jobName,jobDir,jobIndex,starterSmiles,targetSmiles,targetCanonical,generationRun,maxAtoms,targetInNetwork,numMolecules,seconds,status,searchDepth,maxNumRxns,minRxnAtomEconomy,targetUsedForPathwaySearch,runRanking,runVisualization,pathwaysTxtFound,numPathwayBlocksOriginal,numPathwayBlocksExact,exactPathwaysTxt,backupPathwaysTxt,error
high_pPotency_molecule_pathway7_wGen3,/mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/DrugDesignData/Results/combinedEbolaVirus_bestMACAW_allDB_generative/DORAnet/InoAdeGuoXan/PATHWAY_reconstruction_run3/high_pPotency_molecule_pathway7_wGen3,7,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,O=C1N=C2NC=Nc3c2ncn3[C@@H]2O[C@H]1[C@@H](O)[C@H]2O,O=C1N=C2NC=Nc3c2ncn3[C@@H]2O[C@H]1[C@@H](O)[C@H]2O,3,"{'C': 15, 'N': 6, 'O': 8, 'S': 1}",True,4749.0,22979.53,ok,3.0,3.0,0.0,O=C1N=C2NC=Nc3c2ncn3[C@@H]2O[C@H]1[C@@H](O)[C@H]2O,True,False,True,1.0,1.0,high_pPotency_molecule_pathway7_wGen3_pathways_exact3.txt,high_pPotency_molecule_pathway7_wGen3_pathways_unfiltered.txt,
high_pPotency_molecule_pathway8_wGen1,/mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/DrugDesignData/Results/combinedEbolaVirus_bestMACAW_allDB_generative/DORAnet/InoAdeGuoXan/PATHWAY_reconstruction_run3/high_pPotency_molecule_pathway8_wGen1,8,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,NC1=Nc2ncnc3c2ncn3[C@@H]2O[C@H]1[C@@H](O)[C@H]2O,NC1=Nc2ncnc3c2ncn3[C@@H]2O[C@H]1[C@@H](O)[C@H]2O,1,"{'C': 15, 'N': 8, 'O': 6, 'S': 1}",False,53.0,23.46,ok,1.0,1.0,0.0,NC1=Nc2ncnc3c2ncn3[C@@H]2O[C@H]1[C@@H](O)[C@H]2O,True,False,False,0.0,0.0,high_pPotency_molecule_pathway8_wGen1_pathways_exact1.txt,,
high_pPotency_molecule_pathway8_wGen2,/mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/DrugDesignData/Results/combinedEbolaVirus_bestMACAW_allDB_generative/DORAnet/InoAdeGuoXan/PATHWAY_reconstruction_run3/high_pPotency_molecule_pathway8_wGen2,8,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,NC1=Nc2ncnc3c2ncn3[C@@H]2O[C@H]1[C@@H](O)[C@H]2O,NC1=Nc2ncnc3c2ncn3[C@@H]2O[C@H]1[C@@H](O)[C@H]2O,2,"{'C': 15, 'N': 8, 'O': 6, 'S': 1}",False,303.0,207.47,ok,2.0,2.0,0.0,NC1=Nc2ncnc3c2ncn3[C@@H]2O[C@H]1[C@@H](O)[C@H]2O,True,False,False,0.0,0.0,high_pPotency_molecule_pathway8_wGen2_pathways_exact2.txt,,
high_pPotency_molecule_pathway8_wGen3,/mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/DrugDesignData/Results/combinedEbolaVirus_bestMACAW_allDB_generative/DORAnet/InoAdeGuoXan/PATHWAY_reconstruction_run3/high_pPotency_molecule_pathway8_wGen3,8,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,NC1=Nc2ncnc3c2ncn3[C@@H]2O[C@H]1[C@@H](O)[C@H]2O,NC1=Nc2ncnc3c2ncn3[C@@H]2O[C@H]1[C@@H](O)[C@H]2O,3,"{'C': 15, 'N': 8, 'O': 6, 'S': 1}",True,5304.0,26471.95,ok,3.0,3.0,0.0,NC1=Nc2ncnc3c2ncn3[C@@H]2O[C@H]1[C@@H](O)[C@H]2O,True,False,True,1.0,1.0,high_pPotency_molecule_pathway8_wGen3_pathways_exact3.txt,high_pPotency_molecule_pathway8_wGen3_pathways_unfiltered.txt,
high_pPotency_molecule_pathway9_wGen1,/mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/DrugDesignData/Results/combinedEbolaVirus_bestMACAW_allDB_generative/DORAnet/InoAdeGuoXan/PATHWAY_reconstruction_run3/high_pPotency_molecule_pathway9_wGen1,9,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,C[C@H]1O[C@@H](n2cnc3c(NC=O)ncnc32)[C@H](O)[C@@H]1O,C[C@H]1O[C@@H](n2cnc3c(NC=O)ncnc32)[C@H](O)[C@@H]1O,1,"{'C': 15, 'N': 8, 'O': 6, 'S': 1}",False,53.0,22.74,ok,1.0,1.0,0.0,C[C@H]1O[C@@H](n2cnc3c(NC=O)ncnc32)[C@H](O)[C@@H]1O,True,False,False,0.0,0.0,high_pPotency_molecule_pathway9_wGen1_pathways_exact1.txt,,
high_pPotency_molecule_pathway9_wGen2,/mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/DrugDesignData/Results/combinedEbolaVirus_bestMACAW_allDB_generative/DORAnet/InoAdeGuoXan/PATHWAY_reconstruction_run3/high_pPotency_molecule_pathway9_wGen2,9,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,C[C@H]1O[C@@H](n2cnc3c(NC=O)ncnc32)[C@H](O)[C@@H]1O,C[C@H]1O[C@@H](n2cnc3c(NC=O)ncnc32)[C@H](O)[C@@H]1O,2,"{'C': 15, 'N': 8, 'O': 6, 'S': 1}",False,303.0,202.19,ok,2.0,2.0,0.0,C[C@H]1O[C@@H](n2cnc3c(NC=O)ncnc32)[C@H](O)[C@@H]1O,True,False,False,0.0,0.0,high_pPotency_molecule_pathway9_wGen2_pathways_exact2.txt,,
high_pPotency_molecule_pathway9_wGen3,/mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/DrugDesignData/Results/combinedEbolaVirus_bestMACAW_allDB_generative/DORAnet/InoAdeGuoXan/PATHWAY_reconstruction_run3/high_pPotency_molecule_pathway9_wGen3,9,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,C[C@H]1O[C@@H](n2cnc3c(NC=O)ncnc32)[C@H](O)[C@@H]1O,C[C@H]1O[C@@H](n2cnc3c(NC=O)ncnc32)[C@H](O)[C@@H]1O,3,"{'C': 15, 'N': 8, 'O': 6, 'S': 1}",True,5304.0,26381.26,ok,3.0,3.0,0.0,C[C@H]1O[C@@H](n2cnc3c(NC=O)ncnc32)[C@H](O)[C@@H]1O,True,False,True,24.0,24.0,high_pPotency_molecule_pathway9_wGen3_pathways_exact3.txt,high_pPotency_molecule_pathway9_wGen3_pathways_unfiltered.txt,
high_pPotency_molecule_pathway10_wGen1,/mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/DrugDesignData/Results/combinedEbolaVirus_bestMACAW_allDB_generative/DORAnet/InoAdeGuoXan/PATHWAY_reconstruction_run3/high_pPotency_molecule_pathway10_wGen1,10,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,NC(=O)OP(=O)(O)O,NC(=O)OP(=O)(O)O,1,"{'C': 15, 'N': 8, 'O': 6, 'S': 1}",False,53.0,22.87,ok,1.0,1.0,0.0,NC(=O)OP(=O)(O)O,True,False,False,0.0,0.0,high_pPotency_molecule_pathway10_wGen1_pathways_exact1.txt,,
high_pPotency_molecule_pathway10_wGen2,/mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/DrugDesignData/Results/combinedEbolaVirus_bestMACAW_allDB_generative/DORAnet/InoAdeGuoXan/PATHWAY_reconstruction_run3/high_pPotency_molecule_pathway10_wGen2,10,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,NC(=O)OP(=O)(O)O,NC(=O)OP(=O)(O)O,2,"{'C': 15, 'N': 8, 'O': 6, 'S': 1}",False,303.0,202.68,ok,2.0,2.0,0.0,NC(=O)OP(=O)(O)O,True,False,False,0.0,0.0,high_pPotency_molecule_pathway10_wGen2_pathways_exact2.txt,,
high_pPotency_molecule_pathway10_wGen3,/mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/DrugDesignData/Results/combinedEbolaVirus_bestMACAW_allDB_generative/DORAnet/InoAdeGuoXan/PATHWAY_reconstruction_run3/high_pPotency_molecule_pathway10_wGen3,10,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,NC(=O)OP(=O)(O)O,,3,"{'C': 15, 'N': 8, 'O': 6, 'S': 1}",,,26426.76,fail,,,,,,,,,,,,min() iterable argument is empty
