Smiles,Standard Value,Standard Units,Standard Type,Standard Relation,pChEMBL Value,Molecule ChEMBL ID,Molecular Weight,AlogP,Target ChEMBL ID,Target Name,Target Organism
Cc1ccccc1C(=O)N[C@H](C)c1ccc2ccccc2c1,,,EC50,,,CHEMBL552260,289.38,4.64,CHEMBL4303836,SARS-CoV,Severe acute respiratory syndrome-related coronavirus
Cc1cccc(C(=O)N[C@H](C)c2ccc3ccccc3c2)c1,,,EC50,,,CHEMBL559588,289.38,4.64,CHEMBL4303836,SARS-CoV,Severe acute respiratory syndrome-related coronavirus
CC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)NC(CC(=O)O)C(=O)CF,100000.0,nM,EC50,'>',,CHEMBL23226,382.39,1.44,CHEMBL4303836,SARS-CoV,Severe acute respiratory syndrome-related coronavirus
CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)NC(CCC(=O)N(C)C)C(=O)CF,2500.0,nM,EC50,'=',5.6,CHEMBL201212,437.51,2.22,CHEMBL4303836,SARS-CoV,Severe acute respiratory syndrome-related coronavirus
COc1ccc(S(=O)(=O)O)cc1/N=N/c1c(S(=O)(=O)O)cc2cc(Nc3nc(Nc4ccccc4)nc(Nc4cc(C)c(/N=N/c5cc(S(=O)(=O)O)cc6cc(S(=O)(=O)O)cc(O)c56)cc4OC)n3)ccc2c1O,3890.0,nM,IC50,'=',5.41,CHEMBL216826,1089.09,,CHEMBL4303836,SARS-CoV,Severe acute respiratory syndrome-related coronavirus
CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,1.76,uM,EC90,'=',,CHEMBL4065616,602.59,2.31,CHEMBL4303836,SARS-CoV,Severe acute respiratory syndrome-related coronavirus
COc1cc(CNC(=O)C2CCN([C@H](C)c3cccc4ccccc34)CC2)ccn1,9500.0,nM,EC50,'=',5.02,CHEMBL3233822,403.53,4.33,CHEMBL4303836,SARS-CoV,Severe acute respiratory syndrome-related coronavirus
CC(=O)OC[C@H]1O[C@@H](n2c(-c3cccs3)cc(-c3cccs3)c(C#N)c2=O)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@H]1OC(C)=O,10000.0,nM,EC50,'=',5.0,CHEMBL3120677,614.65,3.43,CHEMBL4303836,SARS-CoV,Severe acute respiratory syndrome-related coronavirus
CC(C)c1cc2c(cc1O)[C@@]1(C)CCCC(C)(C)[C@@H]1CC2=O,,%,Inhibition,,,CHEMBL195296,300.44,5.19,CHEMBL4303836,SARS-CoV,Severe acute respiratory syndrome-related coronavirus
OCC1C(COCc2ccccc2)CC1n1cnc2c(Cl)ncnc21,14500.0,nM,IC50,'=',4.84,CHEMBL243757,358.83,2.87,CHEMBL4303836,SARS-CoV,Severe acute respiratory syndrome-related coronavirus
O=c1[nH]cc([C@@H]2C=C(CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,49000.0,nM,EC50,'=',4.31,CHEMBL224363,240.22,-2.2,CHEMBL4303836,SARS-CoV,Severe acute respiratory syndrome-related coronavirus
CC(C)c1cc2c(cc1O)[C@@]1(C)CCCC(C)(C)[C@@H]1CC2,25.0,%,Inhibition,'<',,CHEMBL197308,286.46,5.55,CHEMBL4303836,SARS-CoV,Severe acute respiratory syndrome-related coronavirus
CC(C)[C@@H]1NC(=O)[C@H](C)OC(=O)[C@@H](C(C)C)NC(=O)[C@@H](C(C)C)OC(=O)[C@H](C(C)C)NC(=O)[C@H](C)OC(=O)[C@@H](C(C)C)NC(=O)[C@@H](C(C)C)OC(=O)[C@H](C(C)C)NC(=O)[C@H](C)OC(=O)[C@@H](C(C)C)NC(=O)[C@@H](C(C)C)OC1=O,25.0,%,Inhibition,'<',,CHEMBL223643,1111.34,,CHEMBL4303836,SARS-CoV,Severe acute respiratory syndrome-related coronavirus
O=C1OC[C@H](Cc2ccc3c(c2)OCO3)[C@H]1Cc1ccc2c(c1)OCO2,25.0,%,Inhibition,'<',,CHEMBL242011,354.36,2.72,CHEMBL4303836,SARS-CoV,Severe acute respiratory syndrome-related coronavirus
CC1=C[C@@H]2[C@@H](CC1)[C@](C)(O)CC[C@H]2C(C)C,4440.0,nM,EC50,'=',5.35,CHEMBL486795,222.37,3.78,CHEMBL4303836,SARS-CoV,Severe acute respiratory syndrome-related coronavirus
O=C(/C=C/c1ccccc1)N[C@@H](CC1CC1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)C(=O)NCc1ccccc1,1900.0,nM,EC50,'=',5.72,CHEMBL4442435,530.63,1.88,CHEMBL4303836,SARS-CoV,Severe acute respiratory syndrome-related coronavirus
O=C(O)c1ccc(NC(=O)c2cccc3c2C2=C(CCCC2)C3=O)cc1,25.0,%,Inhibition,'=',,CHEMBL201882,347.37,4.16,CHEMBL4303836,SARS-CoV,Severe acute respiratory syndrome-related coronavirus
CC(C)c1cc2c(cc1O)[C@@]1(C)CCCC(C)(C)[C@@H]1CC2,,,Activity,,,CHEMBL197308,286.46,5.55,CHEMBL4303836,SARS-CoV,Severe acute respiratory syndrome-related coronavirus
CC(C)c1ccc2c(c1)C(=O)C[C@H]1C(C)(C)CCC[C@]21C,25.0,%,Inhibition,'<',,CHEMBL428568,284.44,5.48,CHEMBL4303836,SARS-CoV,Severe acute respiratory syndrome-related coronavirus
COc1c(C(C)C)cc2c(c1O)[C@@]1(C)CCCC(C)(C)[C@@H]1C[C@@H]2O,25.0,%,Inhibition,'<',,CHEMBL390220,332.48,5.05,CHEMBL4303836,SARS-CoV,Severe acute respiratory syndrome-related coronavirus
