Smiles,Standard Value,Standard Units,Standard Type,Standard Relation,pChEMBL Value,Molecule ChEMBL ID,Molecular Weight,AlogP,Target ChEMBL ID,Target Name,Target Organism
CN(C)[C@@H](CCOc1cccc2ccccc12)c1ccccc1,0.48,%,Inhibition,'=',,CHEMBL2110900,305.42,4.91,CHEMBL4303835,SARS-CoV-2,Severe acute respiratory syndrome coronavirus 2
Cn1cc([S+](C)[O-])c(=O)c2ccc(F)cc21,-0.07,%,Inhibition,'=',,CHEMBL1908307,239.27,1.42,CHEMBL4303835,SARS-CoV-2,Severe acute respiratory syndrome coronavirus 2
Cl.Clc1cccc(C(c2ccc3[nH]cnc3c2)n2ccnc2)c1,0.0,%,Inhibition,'=',,CHEMBL2105015,345.23,4.05,CHEMBL4303835,SARS-CoV-2,Severe acute respiratory syndrome coronavirus 2
CCOc1ccccc1OCCN[C@H](C)Cc1ccc(OC)c(S(N)(=O)=O)c1.Cl,-0.06,%,Inhibition,'=',,CHEMBL1200914,444.98,2.34,CHEMBL4303835,SARS-CoV-2,Severe acute respiratory syndrome coronavirus 2
Nc1c(CC(=O)O)cccc1C(=O)c1ccccc1,0.41,%,Inhibition,'=',,CHEMBL25146,255.27,2.13,CHEMBL4303835,SARS-CoV-2,Severe acute respiratory syndrome coronavirus 2
Nc1cc(C(Cl)=C(Cl)Cl)c(S(N)(=O)=O)cc1S(N)(=O)=O,-0.16,%,Inhibition,'=',,CHEMBL1474129,380.66,0.91,CHEMBL4303835,SARS-CoV-2,Severe acute respiratory syndrome coronavirus 2
CN(c1ccccc1)S(=O)(=O)c1ccccc1C(=O)Nc1nccs1,-0.04,%,Inhibition,'=',,CHEMBL1447706,373.46,3.22,CHEMBL4303835,SARS-CoV-2,Severe acute respiratory syndrome coronavirus 2
Cc1cc(I)ccc1Nc1c(C(=O)NOCC2CC2)cc(F)c(F)c1F,30.7,%,Inhibition,'=',,CHEMBL1474985,476.24,4.83,CHEMBL4303835,SARS-CoV-2,Severe acute respiratory syndrome coronavirus 2
O=C1Nc2ccc(I)cc2C1=Cc1cc(Br)c(O)c(Br)c1,4.37,%,Inhibition,'=',,CHEMBL1880739,520.95,5.01,CHEMBL4303835,SARS-CoV-2,Severe acute respiratory syndrome coronavirus 2
O=C(O)C1CN(CCCP(=O)(O)O)CCN1,0.31,%,Inhibition,'=',,CHEMBL22304,252.21,-1.09,CHEMBL4303835,SARS-CoV-2,Severe acute respiratory syndrome coronavirus 2
CNC(=O)c1ccc2c(c1)S(=O)(=O)c1ccccc1C2=O,0.24,%,Inhibition,'=',,CHEMBL81099,301.32,1.42,CHEMBL4303835,SARS-CoV-2,Severe acute respiratory syndrome coronavirus 2
CCCCCOc1c(OC)ccc2cc(C(=O)NCc3ccc4c(c3)OCO4)c(=O)[nH]c12,0.03,%,Inhibition,'=',,CHEMBL178372,438.48,3.76,CHEMBL4303835,SARS-CoV-2,Severe acute respiratory syndrome coronavirus 2
CCNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](C)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H]1CCC(=O)N1,0.08,%,Inhibition,'=',,CHEMBL3272561,1167.34,,CHEMBL4303835,SARS-CoV-2,Severe acute respiratory syndrome coronavirus 2
Nc1cc(-c2ccncc2)c[nH]c1=O,-0.27,%,Inhibition,'=',,CHEMBL12856,187.2,1.02,CHEMBL4303835,SARS-CoV-2,Severe acute respiratory syndrome coronavirus 2
C=C1/C(=C/C=C2\CCC[C@]3(C)[C@@H]([C@H](C)/C=C/[C@@H](O)C4CC4)CC[C@@H]23)C[C@H](O)C[C@@H]1O,0.21,%,Inhibition,'=',,CHEMBL4563773,412.61,5.09,CHEMBL4303835,SARS-CoV-2,Severe acute respiratory syndrome coronavirus 2
CC(O)(CC(=O)O)CC(=O)O,0.03,%,Inhibition,'=',,CHEMBL50444,162.14,-0.31,CHEMBL4303835,SARS-CoV-2,Severe acute respiratory syndrome coronavirus 2
Cc1cccn2c(=O)c(-c3nnn[nH]3)cnc12,0.1,%,Inhibition,'=',,CHEMBL1201198,228.22,0.18,CHEMBL4303835,SARS-CoV-2,Severe acute respiratory syndrome coronavirus 2
CC(=O)NC[C@H]1CN(c2ccc(-c3ccc(CNCc4cnn[nH]4)cc3)c(F)c2)C(=O)O1,0.15,%,Inhibition,'=',,CHEMBL455461,438.46,2.36,CHEMBL4303835,SARS-CoV-2,Severe acute respiratory syndrome coronavirus 2
CN1CCC(c2c[nH]c3ccc(NC(=O)c4ccc(F)cc4)cc23)CC1,0.27,%,Inhibition,'=',,CHEMBL101690,351.43,4.37,CHEMBL4303835,SARS-CoV-2,Severe acute respiratory syndrome coronavirus 2
NC(=O)OCC(COC(N)=O)c1ccccc1,-0.17,%,Inhibition,'=',,CHEMBL1094,238.24,0.96,CHEMBL4303835,SARS-CoV-2,Severe acute respiratory syndrome coronavirus 2
CCC(C)C(N)C1=NC(C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](CCC(=O)[O-])C(=O)N[C@H](C(=O)N[C@H]2CCCCNC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](CC(=O)[O-])NC(=O)[C@@H](Cc3cnc[nH]3)NC(=O)[C@@H](Cc3ccccc3)NC(=O)[C@@H]([C@H](C)CC)NC(=O)[C@@H](CCCN)NC2=O)[C@@H](C)CC)CS1.[Zn+2],0.51,%,Inhibition,'=',,CHEMBL4303492,1486.09,,CHEMBL4303835,SARS-CoV-2,Severe acute respiratory syndrome coronavirus 2
CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21,5.39,%,Inhibition,'=',,CHEMBL1232461,423.9,3.66,CHEMBL4303835,SARS-CoV-2,Severe acute respiratory syndrome coronavirus 2
COc1ccc2nc3c(c(N)c2c1)CCCC3,0.14,%,Inhibition,'=',,CHEMBL1256415,228.29,2.7,CHEMBL4303835,SARS-CoV-2,Severe acute respiratory syndrome coronavirus 2
CCCCCN(C)CCC(O)(P(=O)([O-])O)P(=O)(O)O.O.[Na+],-0.21,%,Inhibition,'=',,CHEMBL3989569,359.23,0.5,CHEMBL4303835,SARS-CoV-2,Severe acute respiratory syndrome coronavirus 2
CCOc1ccc(C[C@H]2NC(=O)CCSSC[C@@H](C(=O)N3CCC[C@H]3C(=O)N[C@@H](CCCN)C(=O)NCC(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H]([C@@H](C)CC)NC2=O)cc1,0.13,%,Inhibition,'=',,CHEMBL382301,994.21,-3.04,CHEMBL4303835,SARS-CoV-2,Severe acute respiratory syndrome coronavirus 2
NC(=O)c1ccc([N+](=O)[O-])cc1Cl,-0.15,%,Inhibition,'=',,CHEMBL1450565,200.58,1.35,CHEMBL4303835,SARS-CoV-2,Severe acute respiratory syndrome coronavirus 2
CN(C)C(=O)c1cc2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n1C1CCCC1,1.7,%,Inhibition,'=',,CHEMBL3545110,434.55,2.8,CHEMBL4303835,SARS-CoV-2,Severe acute respiratory syndrome coronavirus 2
CC(=O)Nc1ccc(S(=O)(=O)Nc2ccc([N+](=O)[O-])cc2)cc1,-0.21,%,Inhibition,'=',,CHEMBL493636,335.34,2.35,CHEMBL4303835,SARS-CoV-2,Severe acute respiratory syndrome coronavirus 2
COc1cccc2cc(-c3nc([C@H]4CC[C@H](C(=O)O)CC4)n4ncnc(N)c34)[nH]c12,5.29,%,Inhibition,'=',,CHEMBL3120215,406.45,3.22,CHEMBL4303835,SARS-CoV-2,Severe acute respiratory syndrome coronavirus 2
C[C@H](NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](N)Cc1c[nH]cn1)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](Cc1ccccc1)C(=O)N[C@@H](CCCCN)C(N)=O,-0.05,%,Inhibition,'=',,CHEMBL105462,873.03,1.03,CHEMBL4303835,SARS-CoV-2,Severe acute respiratory syndrome coronavirus 2
CC(C)NC[C@H](O)COc1ccc(CCOCC2CC2)cc1,0.06,%,Inhibition,'=',,CHEMBL1201274,307.43,2.39,CHEMBL4303835,SARS-CoV-2,Severe acute respiratory syndrome coronavirus 2
C=C(C)C1CC=C(CO)CC1,-0.13,%,Inhibition,'=',,CHEMBL444711,152.24,2.28,CHEMBL4303835,SARS-CoV-2,Severe acute respiratory syndrome coronavirus 2
NC(=O)CN1CCCC1=O,-0.15,%,Inhibition,'=',,CHEMBL36715,142.16,-0.91,CHEMBL4303835,SARS-CoV-2,Severe acute respiratory syndrome coronavirus 2
CN[C@H](C(=O)N[C@H](C(=O)N(C)[C@H](/C=C(\C)C(=O)O)C(C)C)C(C)(C)C)C(C)(C)c1ccccc1,1.11,%,Inhibition,'=',,CHEMBL182319,473.66,3.6,CHEMBL4303835,SARS-CoV-2,Severe acute respiratory syndrome coronavirus 2
CC12CC(C=O)C(=O)CC1CCC1C2CCC2(C)C1CCC2(C)O,0.59,%,Inhibition,'=',,CHEMBL4303498,332.48,3.77,CHEMBL4303835,SARS-CoV-2,Severe acute respiratory syndrome coronavirus 2
CN[C@H](CNC(=O)N1CCC[C@@H]([C@@H](OCCNC(=O)OC)c2cccc(Cl)c2)C1)C[C@H]1CCCOC1,-0.17,%,Inhibition,'=',,CHEMBL1276678,525.09,3.58,CHEMBL4303835,SARS-CoV-2,Severe acute respiratory syndrome coronavirus 2
CCN1C[C@]2(COC(=O)c3ccccc3N3C(=O)C[C@H](C)C3=O)CC[C@H](OC)[C@]34[C@@H]5C[C@H]6[C@H](OC)[C@@H]5[C@](O)(C[C@@H]6OC)[C@@](O)([C@@H](OC)[C@H]23)[C@@H]14.O=C(O)CC(O)(CC(=O)O)C(=O)O,-0.09,%,Inhibition,'=',,CHEMBL5483036,874.93,2.04,CHEMBL4303835,SARS-CoV-2,Severe acute respiratory syndrome coronavirus 2
CC1=CC[C@@H](C(C)(C)O)C[C@@H]1O,-0.21,%,Inhibition,'=',,CHEMBL2374961,170.25,1.47,CHEMBL4303835,SARS-CoV-2,Severe acute respiratory syndrome coronavirus 2
O=C(O)CCc1cc(I)c(Oc2ccc(O)cc2)c(I)c1,0.13,%,Inhibition,'=',,CHEMBL2348292,510.07,4.41,CHEMBL4303835,SARS-CoV-2,Severe acute respiratory syndrome coronavirus 2
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,-0.05,%,Inhibition,'=',,CHEMBL54,375.87,4.43,CHEMBL4303835,SARS-CoV-2,Severe acute respiratory syndrome coronavirus 2
O=C1OC(OC(=O)c2cccnc2Nc2cccc(C(F)(F)F)c2)c2ccccc21,0.46,%,Inhibition,'=',,CHEMBL1081506,414.34,4.87,CHEMBL4303835,SARS-CoV-2,Severe acute respiratory syndrome coronavirus 2
CN1CCN2c3ccccc3Cc3ccccc3C2C1.Cl,0.02,%,Inhibition,'=',,CHEMBL544428,300.83,3.08,CHEMBL4303835,SARS-CoV-2,Severe acute respiratory syndrome coronavirus 2
O=c1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,-0.22,%,Inhibition,'=',,CHEMBL100259,244.2,-2.85,CHEMBL4303835,SARS-CoV-2,Severe acute respiratory syndrome coronavirus 2
CCC(=O)O[C@]1(C(=O)COC(C)=O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,0.19,%,Inhibition,'=',,CHEMBL1697782,472.58,3.34,CHEMBL4303835,SARS-CoV-2,Severe acute respiratory syndrome coronavirus 2
Nc1c(-c2cccc(C(F)(F)F)c2)nsc1C(=O)O,0.02,%,Inhibition,'=',,CHEMBL2106558,288.25,3.11,CHEMBL4303835,SARS-CoV-2,Severe acute respiratory syndrome coronavirus 2
NS(=O)(=O)c1nn2cc(-c3ccccc3)nc2s1,0.93,%,Inhibition,'=',,CHEMBL19231,280.33,1.11,CHEMBL4303835,SARS-CoV-2,Severe acute respiratory syndrome coronavirus 2
Nc1cccc(CNC(=O)c2ccc(Oc3ccc(OCc4cccc(F)c4)cc3)nc2)c1,22.35,%,Inhibition,'=',,CHEMBL4303432,443.48,5.1,CHEMBL4303835,SARS-CoV-2,Severe acute respiratory syndrome coronavirus 2
CN(C)CCn1nnnc1SCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3csc(N)n3)[C@H]2SC1.Cl.Cl,-0.09,%,Inhibition,'=',,CHEMBL4303232,598.56,-0.65,CHEMBL4303835,SARS-CoV-2,Severe acute respiratory syndrome coronavirus 2
Cc1cc(C)c2nc(-c3ccccn3)cc(C(=O)Nc3ccc(S(=O)(=O)Nc4onc(C)c4C)cc3)c2c1,-0.1,%,Inhibition,'=',,CHEMBL1310336,527.61,5.57,CHEMBL4303835,SARS-CoV-2,Severe acute respiratory syndrome coronavirus 2
Cc1cc(NC(=O)Nc2ccc(F)c(F)c2)n(-c2ccccc2)n1,-0.17,%,Inhibition,'=',,CHEMBL2409106,328.32,4.1,CHEMBL4303835,SARS-CoV-2,Severe acute respiratory syndrome coronavirus 2
