Smiles,Standard Value,Standard Units,Standard Type,Standard Relation,pChEMBL Value,Molecule ChEMBL ID,Molecular Weight,AlogP,Target ChEMBL ID,Target Name,Target Organism
O=C(Nc1cccc(Cl)c1)c1ccc(-c2ccc(OC3CCNCC3)cc2)o1,4930.0,nM,EC50,'=',5.31,CHEMBL5612925,396.87,4.98,CHEMBL4434621,Ebolavirus,Ebolavirus
O=C(NCCc1ccccc1)c1cnc(-c2ccccc2OC2CCNCC2)s1,6270.0,nM,EC50,'=',5.2,CHEMBL5612002,407.54,3.91,CHEMBL4434621,Ebolavirus,Ebolavirus
O=C(Nc1ccc(Cl)cc1)c1ccc(-c2ccccc2OC2CCNCC2)o1,6350.0,nM,EC50,'=',5.2,CHEMBL5614212,396.87,4.98,CHEMBL4434621,Ebolavirus,Ebolavirus
COC(=O)c1ccc(COc2ccccc2CN2CCN(C(=O)CNC(=O)CC34CC5CC(CC(C5)C3)C4)CC2)cc1,20.0,nM,IC50,'=',7.7,CHEMBL2323039,573.73,4.42,CHEMBL4434621,Ebolavirus,Ebolavirus
O=C(CC12CC3CC(CC(C3)C1)C2)NCC(=O)N1CCN(Cc2ccc(Cl)cc2)CC1,2500.0,nM,IC50,'=',5.6,CHEMBL2323048,444.02,3.71,CHEMBL4434621,Ebolavirus,Ebolavirus
COC(=O)c1cccc(CN2CCN(C(=O)CNC(=O)CC34CC5CC(CC(C5)C3)C4)CC2)c1,14000.0,nM,IC50,'=',4.85,CHEMBL2323045,467.61,2.84,CHEMBL4434621,Ebolavirus,Ebolavirus
COc1cccc(CN2CCN(C(=O)CNC(=O)CC34CC5CC(CC(C5)C3)C4)CC2)c1,2000.0,nM,IC50,'=',5.7,CHEMBL2323271,439.6,3.06,CHEMBL4434621,Ebolavirus,Ebolavirus
N#Cc1ccccc1CN1CCN(C(=O)CNC(=O)CC23CC4CC(CC(C4)C2)C3)CC1,3900.0,nM,IC50,'=',5.41,CHEMBL2323265,434.58,2.93,CHEMBL4434621,Ebolavirus,Ebolavirus
O=C(CC12CC3CC(CC(C3)C1)C2)NCCCC(=O)N1CCN(Cc2ccccc2)CC1,22000.0,nM,IC50,'=',4.66,CHEMBL2323260,437.63,3.83,CHEMBL4434621,Ebolavirus,Ebolavirus
N#CCC(NC(=O)CC12CC3CC(CC(C3)C1)C2)C(=O)N1CCN(Cc2ccccc2)CC1,22000.0,nM,IC50,'=',4.66,CHEMBL2323254,448.61,3.34,CHEMBL4434621,Ebolavirus,Ebolavirus
CC(C)CC(NC(=O)CC12CC3CC(CC(C3)C1)C2)C(=O)N1CCN(Cc2ccccc2)CC1,29000.0,nM,IC50,'=',4.54,CHEMBL2323253,465.68,4.47,CHEMBL4434621,Ebolavirus,Ebolavirus
CC(C)C(NC(=O)CC12CC3CC(CC(C3)C1)C2)C(=O)N1CCN(Cc2ccccc2)CC1,40000.0,nM,IC50,'>',,CHEMBL2323252,451.66,4.08,CHEMBL4434621,Ebolavirus,Ebolavirus
C[C@@H]1[C@H]2C[C@@H](C[C@H]1OC(=O)CN1CCCCC1)C2(C)C,42000.0,nM,IC50,'=',4.38,CHEMBL5595280,279.42,3.09,CHEMBL4434621,Ebolavirus,Ebolavirus
C[C@@H]1[C@H]2C[C@@H](C[C@H]1OC(=O)CCN1CCCCC1)C2(C)C,14300.0,nM,IC50,'=',4.84,CHEMBL5593652,293.45,3.48,CHEMBL4434621,Ebolavirus,Ebolavirus
C[C@@H]1[C@H]2C[C@@H](C[C@H]1OC(=O)CN1CCN(C)CC1)C2(C)C,4800.0,nM,IC50,'=',5.32,CHEMBL5592622,294.44,1.85,CHEMBL4434621,Ebolavirus,Ebolavirus
CN(C)C1CCN(C(=O)c2cccn2Cc2ccccc2)CC1,1110.0,nM,EC50,'=',5.96,CHEMBL5590772,311.43,2.7,CHEMBL4434621,Ebolavirus,Ebolavirus
CN(C)CCOc1ccc(/C(=C(/CCCl)c2ccccc2)c2ccccc2)cc1,,,Activity,,,CHEMBL1655,405.97,6.22,CHEMBL4434621,Ebolavirus,Ebolavirus
O=C(Nc1ccc(N2CCOCC2)cc1)c1cc2occc2n1Cc1ccc(Cl)cc1,100000.0,nM,EC50,'>',,CHEMBL5591420,435.91,5.02,CHEMBL4434621,Ebolavirus,Ebolavirus
CC12CC3CC(C(=O)N[C@H]4CC[C@H](N)CC4)(C1)CC(c1ccccc1)(C3)C2,0.75,uM,EC90,'=',,CHEMBL4636836,366.55,4.3,CHEMBL4434621,Ebolavirus,Ebolavirus
CCC(CC)OC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,232.0,,Ratio,'>',,CHEMBL5205032,588.56,2.06,CHEMBL4434621,Ebolavirus,Ebolavirus
CCC(CC)OC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,140.0,nM,EC50,'=',6.85,CHEMBL5205032,588.56,2.06,CHEMBL4434621,Ebolavirus,Ebolavirus
CC/C(=C(/c1ccc(NC(=O)C2CCN(C)CC2)cc1)c1ccc(OCCN2CCCC2)cc1)c1ccccc1,,%,Inhibition,,,CHEMBL4754810,537.75,6.81,CHEMBL4434621,Ebolavirus,Ebolavirus
CC/C(=C(/c1ccc(NC(=O)C2CCN(C)C2)cc1)c1ccc(OCCN2CCCC2)cc1)c1ccccc1,,%,Inhibition,,,CHEMBL4782391,523.72,6.42,CHEMBL4434621,Ebolavirus,Ebolavirus
CC1CCN(CC(=O)O[C@H]2C(C)(C)[C@H]3CC[C@]2(C)C3)CC1,34100.0,nM,IC50,'=',4.47,CHEMBL5592840,293.45,3.48,CHEMBL4434621,Ebolavirus,Ebolavirus
CN1CCN(CCCC(=O)O[C@H]2C(C)(C)[C@H]3CC[C@]2(C)C3)CC1,10.0,,Ratio IC50,'>',,CHEMBL5583953,322.49,2.77,CHEMBL4434621,Ebolavirus,Ebolavirus
