molecule_chembl_id,smiles,molecular_formula,inchi_key,inchi,molecular_weight,type,standard_value,standard_units,standard_relation,standard_type,pchembl_value,AlogP,polar_surface_area,hba,hbd,rotatable_bonds,qed_weighted,heavy_atoms,aromatic_rings,ro5_violations,Target ChEMBL ID,Target Name,Target Organism
CHEMBL1630994,COc1ccc(CCNC(=O)C(Cc2ccccc2)NS(=O)(=O)c2ccc(Br)cc2)cc1OC,C25H27BrN2O5S,KKJMMFAJOVUXCY-UHFFFAOYSA-N,"InChI=1S/C25H27BrN2O5S/c1-32-23-13-8-19(17-24(23)33-2)14-15-27-25(29)22(16-18-6-4-3-5-7-18)28-34(30,31)21-11-9-20(26)10-12-21/h3-13,17,22,28H,14-16H2,1-2H3,(H,27,29)",547.47,Small molecule,14.0,%,'=',Inhibition,,3.71,93.73,5.0,2.0,11.0,0.38,34.0,3.0,1.0,CHEMBL1907598,Integrin alpha-V/beta-3,Homo sapiens
CHEMBL1630997,Cc1ccc(S(=O)(=O)NC(Cc2ccccc2)C(=O)NC(CCCNC(=N)N)C(=O)O)cc1,C22H29N5O5S,GTDYZKRTCCRNKB-UHFFFAOYSA-N,"InChI=1S/C22H29N5O5S/c1-15-9-11-17(12-10-15)33(31,32)27-19(14-16-6-3-2-4-7-16)20(28)26-18(21(29)30)8-5-13-25-22(23)24/h2-4,6-7,9-12,18-19,27H,5,8,13-14H2,1H3,(H,26,28)(H,29,30)(H4,23,24,25)",475.57,Small molecule,0.0,%,'=',Inhibition,,0.72,174.47,5.0,6.0,12.0,0.15,33.0,2.0,1.0,CHEMBL1907598,Integrin alpha-V/beta-3,Homo sapiens
CHEMBL1631615,CC(C)c1ccc(S(=O)(=O)c2nnn3c2nc(NC(C)c2ccccc2)c2sccc23)cc1,C24H23N5O2S2,QSRGHZSMZYILTI-UHFFFAOYSA-N,"InChI=1S/C24H23N5O2S2/c1-15(2)17-9-11-19(12-10-17)33(30,31)24-23-26-22(25-16(3)18-7-5-4-6-8-18)21-20(13-14-32-21)29(23)28-27-24/h4-16H,1-3H3,(H,25,26)",477.62,Small molecule,8.0,%,'=',Inhibition,,5.47,89.25,8.0,1.0,6.0,0.35,33.0,5.0,1.0,CHEMBL1907598,Integrin alpha-V/beta-3,Homo sapiens
CHEMBL1631617,Cc1cccc(C)c1NC(=S)N/N=C\c1cn(C)c2ccc(S(=O)(=O)N3CCOCC3)cc12,C23H27N5O3S2,WNKDDWMRWZGQHQ-OYKKKHCWSA-N,"InChI=1S/C23H27N5O3S2/c1-16-5-4-6-17(2)22(16)25-23(32)26-24-14-18-15-27(3)21-8-7-19(13-20(18)21)33(29,30)28-9-11-31-12-10-28/h4-8,13-15H,9-12H2,1-3H3,(H2,25,26,32)/b24-14-",485.64,Small molecule,0.0,%,'=',Inhibition,,3.14,87.96,6.0,2.0,5.0,0.33,33.0,3.0,0.0,CHEMBL1907598,Integrin alpha-V/beta-3,Homo sapiens
CHEMBL1631732,CCCCN(CC)CCCNC(=O)C1CCCN(c2ncnc3onc(C)c23)C1,C21H34N6O2,TZLSJARNESOVRQ-UHFFFAOYSA-N,"InChI=1S/C21H34N6O2/c1-4-6-11-26(5-2)12-8-10-22-20(28)17-9-7-13-27(14-17)19-18-16(3)25-29-21(18)24-15-23-19/h15,17H,4-14H2,1-3H3,(H,22,28)",402.54,Small molecule,3.1,%,'=',Inhibition,,2.77,87.39,7.0,1.0,10.0,0.61,29.0,2.0,0.0,CHEMBL1907598,Integrin alpha-V/beta-3,Homo sapiens
CHEMBL1631737,O=C1c2cccnc2C(=O)N1Cc1ccc(F)cc1S(=O)(=O)N1CCN(c2ccccc2F)CC1,C24H20F2N4O4S,JIDJFNYSBOLMFH-UHFFFAOYSA-N,"InChI=1S/C24H20F2N4O4S/c25-17-8-7-16(15-30-23(31)18-4-3-9-27-22(18)24(30)32)21(14-17)35(33,34)29-12-10-28(11-13-29)20-6-2-1-5-19(20)26/h1-9,14H,10-13,15H2",498.51,Small molecule,2.3,%,'=',Inhibition,,2.67,90.89,6.0,0.0,5.0,0.5,35.0,3.0,0.0,CHEMBL1907598,Integrin alpha-V/beta-3,Homo sapiens
CHEMBL1631742,O=C(CSc1nc2nccnc2c(=O)n1Cc1ccc2c(c1)OCO2)NCCc1ccccc1,C24H21N5O4S,FGLIPRBAEJBQEX-UHFFFAOYSA-N,"InChI=1S/C24H21N5O4S/c30-20(25-9-8-16-4-2-1-3-5-16)14-34-24-28-22-21(26-10-11-27-22)23(31)29(24)13-17-6-7-18-19(12-17)33-15-32-18/h1-7,10-12H,8-9,13-15H2,(H,25,30)",475.53,Small molecule,8.0,%,'=',Inhibition,,2.41,108.23,9.0,1.0,8.0,0.31,34.0,4.0,0.0,CHEMBL1907598,Integrin alpha-V/beta-3,Homo sapiens
CHEMBL1631750,CCOC(=O)c1sc2nc(SCC(=O)NCc3ccccc3)n(Cc3ccco3)c(=O)c2c1C,C24H23N3O5S2,XDPTYBRAHSMGJF-UHFFFAOYSA-N,"InChI=1S/C24H23N3O5S2/c1-3-31-23(30)20-15(2)19-21(34-20)26-24(27(22(19)29)13-17-10-7-11-32-17)33-14-18(28)25-12-16-8-5-4-6-9-16/h4-11H,3,12-14H2,1-2H3,(H,25,28)",497.6,Small molecule,25.9,%,'=',Inhibition,,3.99,103.43,9.0,1.0,9.0,0.21,34.0,4.0,0.0,CHEMBL1907598,Integrin alpha-V/beta-3,Homo sapiens
CHEMBL1632519,O=C(CCNS(=O)(=O)c1cccc2nsnc12)N(CCc1ccccc1)Cc1ccccc1,C24H24N4O3S2,SIJOMEQIBYLGOZ-UHFFFAOYSA-N,"InChI=1S/C24H24N4O3S2/c29-23(14-16-25-33(30,31)22-13-7-12-21-24(22)27-32-26-21)28(18-20-10-5-2-6-11-20)17-15-19-8-3-1-4-9-19/h1-13,25H,14-18H2",480.62,Small molecule,0.0,%,'=',Inhibition,,3.63,92.26,6.0,1.0,10.0,0.37,33.0,4.0,0.0,CHEMBL1907598,Integrin alpha-V/beta-3,Homo sapiens
CHEMBL1632520,COc1ccc(/C=N/NC(=O)c2sc3ccccc3c2Cl)cc1CSc1ccccn1,C23H18ClN3O2S2,VITBPTKIYWYNHC-LGJNPRDNSA-N,"InChI=1S/C23H18ClN3O2S2/c1-29-18-10-9-15(12-16(18)14-30-20-8-4-5-11-25-20)13-26-27-23(28)22-21(24)17-6-2-3-7-19(17)31-22/h2-13H,14H2,1H3,(H,27,28)/b26-13+",468.0,Small molecule,0.0,%,'=',Inhibition,,6.01,63.58,6.0,1.0,7.0,0.21,31.0,4.0,1.0,CHEMBL1907598,Integrin alpha-V/beta-3,Homo sapiens
CHEMBL1630962,CC(C)[C@@H]1NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H]2CCCN2C(=O)[C@@H](N)CSSC[C@@H](C(=O)O)NC1=O,C25H35N5O6S2,RNYSLTKEMLNTBH-FSGKZVOOSA-N,"InChI=1S/C25H35N5O6S2/c1-14(2)20-23(33)28-18(25(35)36)13-38-37-12-16(26)24(34)30-10-6-9-19(30)22(32)27-17(21(31)29-20)11-15-7-4-3-5-8-15/h3-5,7-8,14,16-20H,6,9-13,26H2,1-2H3,(H,27,32)(H,28,33)(H,29,31)(H,35,36)/t16-,17-,18-,19+,20-/m0/s1",565.72,Protein,,%,,Inhibition,,0.14,170.93,8.0,5.0,4.0,0.32,38.0,1.0,1.0,CHEMBL1907598,Integrin alpha-V/beta-3,Homo sapiens
CHEMBL1630982,O=C(NCc1ccc2c(c1)OCO2)C(Cc1ccccc1)NS(=O)(=O)c1cccc2cccnc12,C26H23N3O5S,RBKAYBAQPXQFML-UHFFFAOYSA-N,"InChI=1S/C26H23N3O5S/c30-26(28-16-19-11-12-22-23(15-19)34-17-33-22)21(14-18-6-2-1-3-7-18)29-35(31,32)24-10-4-8-20-9-5-13-27-25(20)24/h1-13,15,21,29H,14,16-17H2,(H,28,30)",489.55,Small molecule,,%,,Inhibition,,3.17,106.62,6.0,2.0,8.0,0.39,35.0,4.0,0.0,CHEMBL1907598,Integrin alpha-V/beta-3,Homo sapiens
CHEMBL1631748,O=c1c(/C=N/Cc2ccco2)c(CSc2ccc(Cl)cc2)[nH]n1-c1nc2ccccc2s1,C23H17ClN4O2S2,MCVUVXZGPCCVIY-DHRITJCHSA-N,"InChI=1S/C23H17ClN4O2S2/c24-15-7-9-17(10-8-15)31-14-20-18(13-25-12-16-4-3-11-30-16)22(29)28(27-20)23-26-19-5-1-2-6-21(19)32-23/h1-11,13,27H,12,14H2/b25-13+",481.0,Small molecule,,%,,Inhibition,,5.93,76.18,7.0,1.0,7.0,0.23,32.0,5.0,1.0,CHEMBL1907598,Integrin alpha-V/beta-3,Homo sapiens
CHEMBL1631618,O=C(NCc1cccs1)C(Cc1ccccc1)NS(=O)(=O)c1ccc2nsnc2c1,C20H18N4O3S3,JAWWTEWTINNUOD-UHFFFAOYSA-N,"InChI=1S/C20H18N4O3S3/c25-20(21-13-15-7-4-10-28-15)19(11-14-5-2-1-3-6-14)24-30(26,27)16-8-9-17-18(12-16)23-29-22-17/h1-10,12,19,24H,11,13H2,(H,21,25)",458.59,Small molecule,,%,,Inhibition,,2.96,101.05,7.0,2.0,8.0,0.42,30.0,4.0,0.0,CHEMBL1907598,Integrin alpha-V/beta-3,Homo sapiens
CHEMBL1631618,O=C(NCc1cccs1)C(Cc1ccccc1)NS(=O)(=O)c1ccc2nsnc2c1,C20H18N4O3S3,JAWWTEWTINNUOD-UHFFFAOYSA-N,"InChI=1S/C20H18N4O3S3/c25-20(21-13-15-7-4-10-28-15)19(11-14-5-2-1-3-6-14)24-30(26,27)16-8-9-17-18(12-16)23-29-22-17/h1-10,12,19,24H,11,13H2,(H,21,25)",458.59,Small molecule,,%,,Inhibition,,2.96,101.05,7.0,2.0,8.0,0.42,30.0,4.0,0.0,CHEMBL2111407,Integrin alpha-V/beta-1,Homo sapiens
CHEMBL1630982,O=C(NCc1ccc2c(c1)OCO2)C(Cc1ccccc1)NS(=O)(=O)c1cccc2cccnc12,C26H23N3O5S,RBKAYBAQPXQFML-UHFFFAOYSA-N,"InChI=1S/C26H23N3O5S/c30-26(28-16-19-11-12-22-23(15-19)34-17-33-22)21(14-18-6-2-1-3-7-18)29-35(31,32)24-10-4-8-20-9-5-13-27-25(20)24/h1-13,15,21,29H,14,16-17H2,(H,28,30)",489.55,Small molecule,,%,,Inhibition,,3.17,106.62,6.0,2.0,8.0,0.39,35.0,4.0,0.0,CHEMBL1907598,Integrin alpha-V/beta-3,Homo sapiens
CHEMBL1632516,Nc1c([S+]([O-])Cc2ccc(Cl)cc2)sc2nc(-c3cccs3)cc(-c3ccccc3)c12,C24H17ClN2OS3,NMNHRRVJWBJGHQ-UHFFFAOYSA-N,"InChI=1S/C24H17ClN2OS3/c25-17-10-8-15(9-11-17)14-31(28)24-22(26)21-18(16-5-2-1-3-6-16)13-19(27-23(21)30-24)20-7-4-12-29-20/h1-13H,14,26H2",481.07,Small molecule,1.0,%,'=',Inhibition,,7.24,61.97,5.0,1.0,5.0,0.27,31.0,5.0,1.0,CHEMBL1907598,Integrin alpha-V/beta-3,Homo sapiens
