Smiles,Standard Value,Standard Units,Standard Type,Standard Relation,pChEMBL Value,Molecule ChEMBL ID,Molecular Weight,AlogP,Target ChEMBL ID,Target Name,Target Organism
O=c1c2cc([N+](=O)[O-])ccc2nc(CN2CCOCC2)n1-c1ccccc1F,0.3,,FC,'=',,CHEMBL1537833,384.37,2.27,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
CN1CCN(C)/C(=N/c2cc([N+](=O)[O-])ccc2C(=O)Nc2ccccc2)C1,,,FC,,,CHEMBL3342038,367.41,2.75,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
CCN1CCN(Cc2nc3ccc([N+](=O)[O-])cc3c(=O)n2-c2ccccc2)CC1,300.0,nM,EC50,'=',6.52,CHEMBL3188049,393.45,2.43,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
CCN1CCN(Cc2nc3ccc(C(N)=O)cc3c(=O)n2-c2ccccc2)CC1,25000.0,nM,EC50,'>',,CHEMBL3344442,391.48,1.62,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
O=c1c2cc([N+](=O)[O-])ccc2nc(CN2CCN(c3ccccc3)CC2)n1-c1ccccc1F,25000.0,nM,EC50,'>',,CHEMBL3344446,459.48,3.76,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
O=C1CN(Cc2nc3ccc([N+](=O)[O-])cc3c(=O)n2-c2ccccc2F)CCN1,25000.0,nM,EC50,'>',,CHEMBL3344447,397.37,1.36,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
COc1ccccc1NC(=O)c1cc([N+](=O)[O-])ccc1/N=C1\CN(C)CCN1C,33700.0,nM,EC50,'=',4.47,CHEMBL3342031,397.44,2.76,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
CN1CCN(C)/C(=N/c2ccc([N+](=O)[O-])cc2C(=O)Nc2ccc(F)cc2)C1,90.0,nM,EC50,'=',7.05,CHEMBL3342034,385.4,2.89,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
O=c1[nH]c(=O)n([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)cc1COCc1ccccc1Cl,30.87,%,Inhibition,'=',,CHEMBL5393785,398.8,-0.48,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
CC(C)C(OCc1cn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]c1=N)c1ccccc1,28.2,%,Inhibition,'=',,CHEMBL5402099,405.45,0.18,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
Cc1ccccc1C(OCc1cn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]c1=N)C(C)(C)C,34.43,%,Inhibition,'=',,CHEMBL5428857,433.51,0.88,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
O=c1[nH]/c(=N\O)c(CO)cn1[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,5.24,%,Inhibition,'=',,CHEMBL5416351,289.24,-3.43,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
O=c1[nH]c(=O)n([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)cc1COCc1ccccc1Cl,12.17,%,Activity,'=',,CHEMBL5393785,398.8,-0.48,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
COC(=O)CCCNC(=O)c1cccc2c1NCCC2,30000.0,nM,EC50,'>',,CHEMBL4757849,276.34,1.73,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
CC1=CC(C)(C)Nc2c(C(=O)NC/C=C/S(C)(=O)=O)cccc21,5000.0,nM,EC50,'=',5.3,CHEMBL4753529,334.44,2.58,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
C[C@@H]1CC(C)(C)Nc2c(C(=O)N[C@H](/C=C/S(C)(=O)=O)Cc3ccccc3)cccc21,13000.0,nM,EC50,'=',4.89,CHEMBL4794421,426.58,4.28,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
CC1=CC(C)(C)Nc2c(C(=O)NC/C=C/S(C)(=O)=O)cccc21,5000.0,nM,EC50,'=',5.3,CHEMBL4753529,334.44,2.58,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
CC1=CC(C)(C)Nc2c(C(=O)NC/C=C/S(C)(=O)=O)cccc21,1400.0,nM,EC50,'=',5.85,CHEMBL4753529,334.44,2.58,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
CC1=CC(C)(C)Nc2c(C(=O)NC/C=C/S(C)(=O)=O)cccc21,6000.0,nM,EC50,'=',5.22,CHEMBL4753529,334.44,2.58,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
CC1=CC(C)(C)Nc2c(C(=O)N[C@@H](C)/C=C/S(C)(=O)=O)cccc21,2700.0,nM,EC50,'=',5.57,CHEMBL4759030,348.47,2.97,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
Cc1cnc(N)c2ncn([C@@H]3C=C(CO)[C@@H](O)[C@H]3O)c12,,,Activity,,,CHEMBL3603846,276.3,-0.48,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
CCN1CCN(Cc2nc3ccc(-c4cccnc4)cc3c(=O)n2-c2ccccc2)CC1,,,FC,,,CHEMBL3344445,425.54,3.59,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
CN1CCN(C)/C(=N/c2ccc([N+](=O)[O-])cc2C(=O)Nc2ccccc2F)C1,3.8,,FC,'>',,CHEMBL3182102,385.4,2.89,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
CC(C)NC(=O)c1cc([N+](=O)[O-])ccc1/N=C1\CN(C)CCN1C,,,FC,,,CHEMBL3342035,333.39,1.64,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
CN1CCN(C)/C(=N/c2ccc(C#N)cc2C(=O)Nc2ccccc2F)C1,,,FC,,,CHEMBL3342043,365.41,2.86,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
CCC(OCc1cn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]c1=O)c1ccccc1,8.2,%,Activity,'=',,CHEMBL5438697,392.41,-0.18,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
CC(C)(C)C(OCc1cn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]c1=O)c1ccccc1,17.18,%,Activity,'=',,CHEMBL5399105,420.46,0.45,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
CCS(=O)(=O)c1c(C(N)=O)ncn1C1O[C@H](CO)[C@@H](O)[C@H]1O,0.002,M,ED50,'>',,CHEMBL604397,335.34,-2.61,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
COc1cccc(-n2c(CN3CCNCC3)nc3ccc([N+](=O)[O-])cc3c2=O)c1,,,FC,,,CHEMBL3185317,395.42,1.71,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
Nc1ncc(Br)c2c1ncn2[C@@H]1C=C(CO)[C@@H](O)[C@H]1O,,,Activity,,,CHEMBL2059155,341.17,-0.03,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
Nc1ncnc2c([C@@H]3C=C(CO)[C@@H](O)[C@H]3O)c[nH]c12,,,Activity,,,CHEMBL225599,262.27,-0.72,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
Nc1nc(=O)c([C@@H]2C=C(CO)[C@@H](O)[C@H]2O)c[nH]1,,,Activity,,,CHEMBL225046,239.23,-1.91,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
Nc1nc(O)c2[nH]cc([C@@H]3C=C(CO)[C@@H](O)[C@H]3O)c2n1,,,Activity,,,CHEMBL225045,278.27,-1.02,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
C[C@@H]1CC(C)(C)Nc2c(C(=O)NC/C=C/S(C)(=O)=O)cccc21,1400.0,nM,EC50,'=',5.85,CHEMBL4760407,336.46,2.67,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
COC(=O)/C=C/CNC(=O)c1c[nH]c2ccc(Br)cc12,11000.0,nM,EC50,'=',4.96,CHEMBL4748474,337.17,2.39,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
C[C@@H]1CC(C)(C)Nc2c(C(=O)NC/C=C/S(C)(=O)=O)cccc21,8000.0,nM,EC50,'=',5.1,CHEMBL4760407,336.46,2.67,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1,2.5,M,ED50,'=',,CHEMBL1643,244.21,-3.01,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
NC(=O)c1ncn(C2O[C@H](CO)[C@@H](O)[C@H]2O)c1S,0.002,M,ED50,'>',,CHEMBL604185,275.29,-2.12,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
C#Cc1cccc(Nc2ncnc3ccc(OC)cc23)c1,8000.0,nM,EC50,'=',5.1,CHEMBL5086560,275.31,3.36,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
O=C(NCCc1ccncc1)C1CCN(C(=O)c2ccccc2NCc2ccc(Cl)cc2)CC1,10.0,,FC,'=',,CHEMBL3397202,477.01,4.56,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
COc1cc2c(cc1C(=O)Nc1ccc(C(C)(C)C)cc1)CCCCC2,2.9,uM,EC90,'=',,CHEMBL4852930,351.49,5.51,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
NC(=O)c1cn([C@@H]2C=C(CO)[C@@H](O)[C@H]2O)nn1,100000.0,nM,IC50,'>',,CHEMBL203308,240.22,-2.43,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
CC[C@H](C)[C@H]1NC(=O)[C@@H](NC(=O)[C@@H](CC(C)C)N(C)C(=O)[C@@H]2CCCN2C(=O)C(C)O)[C@@H](C)OC(=O)[C@H](Cc2ccc(OC)cc2)N(C)C(=O)[C@@H]2CCCN2C(=O)[C@H](CC(C)C)NC(=O)[C@@H](C)C(=O)[C@H](C(C)C)OC(=O)C[C@@H]1O,,,Activity,,,CHEMBL2304286,1112.37,,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
