"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL1631627";"";"None";"479.99";"0";"4.09";"G319-0033";"O=C(NCc1ccc(Cl)cc1)C(Cc1ccccc1)NS(=O)(=O)c1cccc2cccnc12";"Inhibition";"'='";"9.1";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1637635";"Inhibition of human alphaVbeta3 receptor expressed in african green monkey Vero E6 cells assessed as inhibition of SNV infection in cells at 1 uM by immunofluorescent assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Vero";"None";"";"";"";"CHEMBL1907598";"Integrin alpha-V/beta-3";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL1629507";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"CHEMBL3307520";"";"";"";"9.1"
"CHEMBL1631734";"";"None";"411.46";"0";"2.48";"E990-0606";"COc1ccc(OC)c(CNC(=O)C2CCCN(c3ncnc4onc(C)c34)C2)c1";"Inhibition";"'='";"0.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1637635";"Inhibition of human alphaVbeta3 receptor expressed in african green monkey Vero E6 cells assessed as inhibition of SNV infection in cells at 1 uM by immunofluorescent assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Vero";"None";"";"";"";"CHEMBL1907598";"Integrin alpha-V/beta-3";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL1629507";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"CHEMBL3307520";"";"";"";"0.0"
"CHEMBL1631736";"";"None";"475.93";"0";"3.76";"C241-1447";"O=C(CCCn1c(=O)c2sccc2n(Cc2ccc(F)cc2Cl)c1=O)NCc1ccco1";"Inhibition";"'='";"12.2";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1637635";"Inhibition of human alphaVbeta3 receptor expressed in african green monkey Vero E6 cells assessed as inhibition of SNV infection in cells at 1 uM by immunofluorescent assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Vero";"None";"";"";"";"CHEMBL1907598";"Integrin alpha-V/beta-3";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL1629507";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"CHEMBL3307520";"";"";"";"12.2"
"CHEMBL1631749";"";"None";"457.49";"0";"2.30";"C260-0716";"O=C(Cn1c(=O)n(Cc2ccc3c(c2)OCO3)c(=O)c2ccccc21)NCCc1ccccc1";"Inhibition";"'='";"25.9";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1637635";"Inhibition of human alphaVbeta3 receptor expressed in african green monkey Vero E6 cells assessed as inhibition of SNV infection in cells at 1 uM by immunofluorescent assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Vero";"None";"";"";"";"CHEMBL1907598";"Integrin alpha-V/beta-3";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL1629507";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"CHEMBL3307520";"";"";"";"25.9"
"CHEMBL1632507";"";"None";"471.99";"0";"3.10";"4781-0113";"CC1(C)CC(=O)c2cc(C(=O)NCCCN3CCOCC3)c(=O)n(-c3ccc(Cl)cc3)c2C1";"Inhibition";"'='";"18.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1637635";"Inhibition of human alphaVbeta3 receptor expressed in african green monkey Vero E6 cells assessed as inhibition of SNV infection in cells at 1 uM by immunofluorescent assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Vero";"None";"";"";"";"CHEMBL1907598";"Integrin alpha-V/beta-3";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL1629507";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"CHEMBL3307520";"";"";"";"18.0"
"CHEMBL1632510";"";"None";"486.02";"0";"4.38";"K653-0563";"O=C(CSc1nc2ccccc2n1S(=O)(=O)c1ccc(Cl)cc1)NCCc1ccccc1";"Inhibition";"'='";"13.6";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1637635";"Inhibition of human alphaVbeta3 receptor expressed in african green monkey Vero E6 cells assessed as inhibition of SNV infection in cells at 1 uM by immunofluorescent assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Vero";"None";"";"";"";"CHEMBL1907598";"Integrin alpha-V/beta-3";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL1629507";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"CHEMBL3307520";"";"";"";"13.6"
"CHEMBL1632514";"";"None";"480.59";"0";"4.89";"4072-2905";"O=C(N/N=C1\C(=O)N(CN(Cc2ccccc2)Cc2ccccc2)c2ccccc21)c1cccs1";"Inhibition";"'='";"3.8";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1637635";"Inhibition of human alphaVbeta3 receptor expressed in african green monkey Vero E6 cells assessed as inhibition of SNV infection in cells at 1 uM by immunofluorescent assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Vero";"None";"";"";"";"CHEMBL1907598";"Integrin alpha-V/beta-3";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL1629507";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"CHEMBL3307520";"";"";"";"3.8"
"CHEMBL1631748";"";"None";"481.00";"1";"5.93";"8012-0652";"O=c1c(/C=N/Cc2ccco2)c(CSc2ccc(Cl)cc2)[nH]n1-c1nc2ccccc2s1";"Inhibition";"";"";"%";"";"";"Active";"UO_0000187";"";"";"";"";"0";"CHEMBL1637640";"Inhibition of human integrase alphaVbeta3 expressed in african green monkey Vero E6 cells assessed as inhibition of Hantaan 76/118 viral entry at 1 mM";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Vero";"None";"";"";"";"CHEMBL1907598";"Integrin alpha-V/beta-3";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL1629507";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"CHEMBL3307520";"";"";"";""
"CHEMBL1630982";"";"None";"489.55";"0";"3.17";"G319-0078";"O=C(NCc1ccc2c(c1)OCO2)C(Cc1ccccc1)NS(=O)(=O)c1cccc2cccnc12";"Inhibition";"";"";"%";"";"";"Active";"UO_0000187";"";"";"";"";"0";"CHEMBL1637641";"Inhibition of human integrase alphaVbeta3 expressed in african green monkey Vero E6 cells assessed as inhibition of SNV SN77734 entry at 10 uM";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Vero";"None";"";"";"";"CHEMBL1907598";"Integrin alpha-V/beta-3";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL1629507";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"CHEMBL3307520";"";"";"";""
"CHEMBL1630962";"";"None";"565.72";"1";"0.14";"Table 1 R11C1";"CC(C)[C@@H]1NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H]2CCCN2C(=O)[C@@H](N)CSSC[C@@H](C(=O)O)NC1=O";"Inhibition";"";"";"%";"";"";"Active";"UO_0000187";"";"";"";"";"0";"CHEMBL1637642";"Inhibition of human integrase alphaVbeta3 expressed in african green monkey Vero E6 cells assessed as inhibition of SNV SN77734 entry at 1 mM";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Vero";"None";"";"";"";"CHEMBL1907598";"Integrin alpha-V/beta-3";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL1629507";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"CHEMBL3307520";"";"";"";""
"CHEMBL1630982";"";"None";"489.55";"0";"3.17";"G319-0078";"O=C(NCc1ccc2c(c1)OCO2)C(Cc1ccccc1)NS(=O)(=O)c1cccc2cccnc12";"Inhibition";"";"";"%";"";"";"Active";"UO_0000187";"";"";"";"";"0";"CHEMBL1637642";"Inhibition of human integrase alphaVbeta3 expressed in african green monkey Vero E6 cells assessed as inhibition of SNV SN77734 entry at 1 mM";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Vero";"None";"";"";"";"CHEMBL1907598";"Integrin alpha-V/beta-3";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL1629507";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"CHEMBL3307520";"";"";"";""
