reactants,products,reactionString,ruleName,thermo,reactionType
C=CCCC(O)=C1C=CC(=O)O1.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,C=CCCC(O)C1C=CC(=O)O1.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,C=CCCC(O)=C1C=CC(=O)O1.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1 >> C=CCCC(O)C1C=CC(=O)O1.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,rule0027_62,No_Thermo,Enzymatic
C=CCC(C=C1C=CC(=O)O1)C(=O)O.O,C=CCC(C(O)=C1C=CC(=O)O1)C(O)O,C=CCC(C=C1C=CC(=O)O1)C(=O)O.O >> C=CCC(C(O)=C1C=CC(=O)O1)C(O)O,rule0070_6,No_Thermo,Enzymatic
C=CC(O)CC=C1C=CC(O)O1.C=CC(O)CC=C1C=CC(O)O1,C=CC(O)C(O)(C=C)CC=C1C=CC(O)O1.CC=C1C=CC(O)O1,C=CC(O)CC=C1C=CC(O)O1.C=CC(O)CC=C1C=CC(O)O1 >> C=CC(O)C(O)(C=C)CC=C1C=CC(O)O1.CC=C1C=CC(O)O1,rule0126_2,No_Thermo,Enzymatic
C=CCC(C=C)CC=C1C=CC(=O)O1,C=CC(C)CC(=C)C=C1C=CC(=O)O1,C=CCC(C=C)CC=C1C=CC(=O)O1 >> C=CC(C)CC(=C)C=C1C=CC(=O)O1,rule0028_51,No_Thermo,Enzymatic
C=CCCC1=CC(=C)OC1=O.C=CCCC1=CC(=C)OC1=O,C=C1C=C(CC)C(=O)O1.C=CC(C=C)CC1=CC(=C)OC1=O,C=CCCC1=CC(=C)OC1=O.C=CCCC1=CC(=C)OC1=O >> C=C1C=C(CC)C(=O)O1.C=CC(C=C)CC1=CC(=C)OC1=O,rule0126_2,No_Thermo,Enzymatic
CCC=C1C=CC(=O)O1.CCC=C1C=CC(=O)O1,C=C1C=CC(=O)O1.CCC=C1C=C(CC)C(=O)O1,CCC=C1C=CC(=O)O1.CCC=C1C=CC(=O)O1 >> C=C1C=CC(=O)O1.CCC=C1C=C(CC)C(=O)O1,rule0126_2,No_Thermo,Enzymatic
C=C(O)CCC=C1C=CC(=O)O1,C=C(O)CCC1=CC(=O)OC1=C,C=C(O)CCC=C1C=CC(=O)O1 >> C=C(O)CCC1=CC(=O)OC1=C,rule0028_51,No_Thermo,Enzymatic
C=CCCCC(=O)C=CC(=O)O.C=CCCCC(=O)C=CC(=O)O,C=CCCCC(=O)C(C=C)=CC(=O)O.CCCC(=O)C=CC(=O)O,C=CCCCC(=O)C=CC(=O)O.C=CCCCC(=O)C=CC(=O)O >> C=CCCCC(=O)C(C=C)=CC(=O)O.CCCC(=O)C=CC(=O)O,rule0126_2,No_Thermo,Enzymatic
O=C1C=CC(=CCCCCO)O1,CC(CCCO)=C1C=CC(=O)O1,O=C1C=CC(=CCCCCO)O1 >> CC(CCCO)=C1C=CC(=O)O1,rule0028_51,No_Thermo,Enzymatic
C=CC1=CC(=CCC)OC1=O.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=O,C=CC1=CC(=CCCO)OC1=O.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.O,C=CC1=CC(=CCC)OC1=O.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=O >> C=CC1=CC(=CCCO)OC1=O.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.O,rule0004_13,No_Thermo,Enzymatic
C=CCCC(C(=O)O)=C1C=CC(=O)O1.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=O,C=CCCC1(C(=O)O)OC12C=CC(=O)O2.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.O,C=CCCC(C(=O)O)=C1C=CC(=O)O1.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=O >> C=CCCC1(C(=O)O)OC12C=CC(=O)O2.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.O,rule0077_4,No_Thermo,Enzymatic
C=CCCC=C1OC(=O)C=C1C=C.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=O,C=CCC(O)C=C1OC(=O)C=C1C=C.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.O,C=CCCC=C1OC(=O)C=C1C=C.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=O >> C=CCC(O)C=C1OC(=O)C=C1C=C.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.O,rule0004_13,No_Thermo,Enzymatic
CCC=CC=C1C=CC(=O)O1.O,CCC(O)=CC=C1C=CC(O)O1,CCC=CC=C1C=CC(=O)O1.O >> CCC(O)=CC=C1C=CC(O)O1,rule0070_6,No_Thermo,Enzymatic
CCCCC=C1C=CC(=O)O1,CCC(CC)=C1C=CC(=O)O1,CCCCC=C1C=CC(=O)O1 >> CCC(CC)=C1C=CC(=O)O1,rule0028_51,No_Thermo,Enzymatic
