PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment,Data Validity Comment
9,381841797,137634900,CC[C@H](C)[C@H]1C(=O)N[C@H]2CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@H]3CSSC[C@@H](C(=O)N1)NC(=O)[C@@H](NC(=O)[C@@H]4CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N4)C(C)C)CCCNC(=N)N)CCCNC(=N)N)NC(=O)[C@@H](NC3=O)CC(C)C)CCCNC(=N)N)CCCCN)NC(=O)[C@@H](NC(=O)CNC(=O)[C@@H](NC(=O)[C@@H](NC2=O)[C@@H](C)O)CCCNC(=N)N)CC5=CC=CC=C5,Unspecified,,,,Inhibition,=,41,%,,
10,381841987,137635025,CC[C@H](C)[C@H]1C(=O)N[C@H]2CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@H]3CSSC[C@@H](C(=O)N1)NC(=O)[C@@H](NC(=O)[C@@H]4CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N4)C(C)C)CCCNC(=N)N)CCCNC(=N)N)NC(=O)[C@@H](NC3=O)CC(C)C)CCCNC(=N)N)CCCNC(=N)N)NC(=O)[C@@H](NC(=O)CNC(=O)[C@@H](NC(=O)[C@@H](NC2=O)[C@@H](C)O)CCCNC(=N)N)CCCCN,Unspecified,,,,Inhibition,=,14,%,,
11,381842434,137635314,CC[C@H](C)[C@H]1C(=O)N[C@H]2CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@H]3CSSC[C@@H](C(=O)N1)NC(=O)[C@@H](NC(=O)[C@@H]4CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N4)C(C)C)CCCNC(=N)N)CCC(=O)O)NC(=O)[C@@H](NC3=O)CC(C)C)CCCNC(=N)N)CCCNC(=N)N)NC(=O)[C@@H](NC(=O)CNC(=O)[C@@H](NC(=O)[C@@H](NC2=O)[C@@H](C)O)CCCNC(=N)N)CC5=CC=CC=C5,Unspecified,,,,Inhibition,=,8,%,,
12,381842659,137635463,CC[C@H](C)[C@H]1C(=O)N[C@H]2CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@H]3CSSC[C@@H](C(=O)N1)NC(=O)[C@@H](NC(=O)[C@@H]4CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N4)C(C)C)CCC(=O)O)CCCNC(=N)N)CCCNC(=N)N)NC(=O)[C@@H](NC3=O)CC(C)C)CCCNC(=N)N)CCCNC(=N)N)NC(=O)[C@@H](NC(=O)CNC(=O)[C@@H](NC(=O)[C@@H](NC2=O)[C@@H](C)O)CCCNC(=N)N)CC5=CC=CC=C5,Unspecified,,,,Inhibition,=,57,%,,
13,381843195,137635814,CC[C@H](C)[C@H]1C(=O)N[C@H]2CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@H]3CSSC[C@@H](C(=O)N1)NC(=O)[C@@H](NC(=O)[C@@H]4CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N4)CC5=CNC6=CC=CC=C65)CCCNC(=N)N)CCCNC(=N)N)NC(=O)[C@@H](NC3=O)CC(C)C)CCCNC(=N)N)CCCNC(=N)N)NC(=O)[C@@H](NC(=O)CNC(=O)[C@@H](NC(=O)[C@@H](NC2=O)[C@@H](C)O)CCCNC(=N)N)CC7=CC=CC=C7,Unspecified,,,,Inhibition,=,183,%,,Outside typical range
14,381843982,137636355,CC[C@H](C)[C@H]1C(=O)N[C@H]2CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@H]3CSSC[C@@H](C(=O)N1)NC(=O)[C@@H](NC(=O)[C@@H]4CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N4)C(C)C)CCCNC(=N)N)CCCNC(=N)N)NC(=O)[C@@H](NC3=O)CC(C)C)CCCNC(=N)N)CC5=CNC6=CC=CC=C65)NC(=O)[C@@H](NC(=O)CNC(=O)[C@@H](NC(=O)[C@@H](NC2=O)[C@@H](C)O)CCCNC(=N)N)CC7=CC=CC=C7,Unspecified,,,,Inhibition,=,41,%,,
15,381845894,137637628,CC[C@H](C)[C@H]1C(=O)N[C@H]2CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@H]3CSSC[C@@H](C(=O)N1)NC(=O)[C@@H](NC(=O)[C@@H]4CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N4)C(C)C)CCCNC(=N)N)CCCNC(=N)N)NC(=O)[C@@H](NC3=O)CC(C)C)C)CCCNC(=N)N)NC(=O)[C@@H](NC(=O)CNC(=O)[C@@H](NC(=O)[C@@H](NC2=O)[C@@H](C)O)CCCNC(=N)N)CC5=CC=CC=C5,Unspecified,,,,Inhibition,=,41,%,,
16,381846258,137637872,CC[C@H](C)[C@H]1C(=O)N[C@H]2CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@H]3CSSC[C@@H](C(=O)N1)NC(=O)[C@@H](NC(=O)[C@@H]4CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N4)C(C)C)CCCNC(=N)N)CCCNC(=N)N)NC(=O)[C@@H](NC3=O)CC(C)C)CCCNC(=N)N)CCCNC(=N)N)NC(=O)[C@@H](NC(=O)CNC(=O)[C@@H](NC(=O)[C@@H](NC2=O)CCCCN)CCCNC(=N)N)CC5=CC=CC=C5,Unspecified,,,,Inhibition,=,114,%,,
17,381846736,137638187,CC[C@H](C)[C@H]1C(=O)N[C@H]2CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@H]3CSSC[C@@H](C(=O)N1)NC(=O)[C@@H](NC(=O)[C@@H]4CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N4)C(C)C)CCCNC(=N)N)CCCNC(=N)N)NC(=O)[C@@H](NC3=O)CC(C)C)CCCNC(=N)N)CCCNC(=N)N)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC2=O)[C@@H](C)O)CCCNC(=N)N)C(C)C)CC5=CC=CC=C5,Unspecified,,,,Inhibition,=,57,%,,
18,381847392,137638628,C[C@H]([C@H]1C(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N[C@H]2CSSC[C@@H](C(=O)N1)NC(=O)[C@@H](NC(=O)[C@@H]3CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@H]4CSSC[C@@H](C(=O)N[C@H](C(=O)N3)CCCNC(=N)N)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC4=O)CCCNC(=N)N)CCCNC(=N)N)CCCNC(=N)N)CC5=CNC6=CC=CC=C65)CC7=CNC8=CC=CC=C87)NC(=O)[C@@H](NC2=O)CCCNC(=N)N)CC9=CNC1=CC=CC=C19)CC1=CNC2=CC=CC=C21)CCCNC(=N)N)O,Unspecified,,,,Inhibition,=,473,%,,Outside typical range
19,381851003,137641045,CC[C@H](C)[C@H]1C(=O)N[C@H]2CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@H]3CSSC[C@@H](C(=O)N1)NC(=O)[C@@H](NC(=O)[C@@H]4CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N4)C(C)C)CCCNC(=N)N)CCCNC(=N)N)NC(=O)[C@@H](NC3=O)CC(C)C)CCCNC(=N)N)CCCNC(=N)N)NC(=O)[C@@H](NC(=O)CNC(=O)[C@@H](NC(=O)[C@@H](NC2=O)CC(C)C)CCCNC(=N)N)CC5=CC=CC=C5,Unspecified,,,,Inhibition,=,114,%,,
20,381851439,137641350,C1[C@H]2C(=O)N[C@H](C(=O)N[C@H]3CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@@H](CSS1)C(=O)N[C@H](C(=O)N[C@H]4CSSC[C@@H](C(=O)N[C@H](C(=O)N2)CCCNC(=N)N)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC4=O)CCCNC(=N)N)CCCNC(=N)N)CCCNC(=N)N)CC5=CNC6=CC=CC=C65)CC7=CNC8=CC=CC=C87)CCCNC(=N)N)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC3=O)CCCNC(=N)N)CCCNC(=N)N)CCCNC(=N)N)CC9=CNC1=CC=CC=C19)CC1=CNC2=CC=CC=C21,Unspecified,,,,Inhibition,=,914,%,,Outside typical range
21,381852408,137642002,CC[C@H](C)[C@H]1C(=O)N[C@H]2CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@H]3CSSC[C@@H](C(=O)N1)NC(=O)[C@@H](NC(=O)[C@@H]4CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N4)C(C)C)CCCNC(=N)N)CCCNC(=N)N)NC(=O)[C@@H](NC3=O)CC(C)C)CCCNC(=N)N)C)NC(=O)[C@@H](NC(=O)CNC(=O)[C@@H](NC(=O)[C@@H](NC2=O)[C@@H](C)O)CCCNC(=N)N)CC5=CC=CC=C5,Unspecified,,,,Inhibition,=,41,%,,
22,381852883,137642325,CC[C@H](C)[C@H]1C(=O)N[C@H]2CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@H]3CSSC[C@@H](C(=O)N1)NC(=O)[C@@H](NC(=O)[C@@H]4CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N4)C(C)C)CCCNC(=N)N)CCCNC(=N)N)NC(=O)[C@@H](NC3=O)CC(C)C)CCCNC(=N)N)CCCNC(=N)N)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC2=O)[C@@H](C)O)CCCNC(=N)N)CCC(=O)O)CC5=CC=CC=C5,Unspecified,,,,Inhibition,=,57,%,,
23,381854406,137643346,CC[C@H](C)[C@H]1C(=O)N[C@H]2CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@H]3CSSC[C@@H](C(=O)N1)NC(=O)[C@@H](NC(=O)[C@@H]4CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N4)C(C)C)CCCNC(=N)N)CCCNC(=N)N)NC(=O)[C@@H](NC3=O)CC(C)C)CCCNC(=N)N)CCCNC(=N)N)NC(=O)[C@@H](NC(=O)CNC(=O)[C@@H](NC(=O)[C@@H](NC2=O)CCCNC(=N)N)CCCNC(=N)N)CC5=CC=CC=C5,Unspecified,,,,Inhibition,=,114,%,,
24,381855020,137643777,CC[C@H](C)[C@H]1C(=O)N[C@H]2CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@H]3CSSC[C@@H](C(=O)N1)NC(=O)[C@@H](NC(=O)[C@@H]4CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N4)C(C)C)CC5=CNC6=CC=CC=C65)CCCNC(=N)N)CCCNC(=N)N)NC(=O)[C@@H](NC3=O)CC(C)C)CCCNC(=N)N)CCCNC(=N)N)NC(=O)[C@@H](NC(=O)CNC(=O)[C@@H](NC(=O)[C@@H](NC2=O)[C@@H](C)O)CCCNC(=N)N)CC7=CC=CC=C7,Unspecified,,,,Inhibition,=,57,%,,
25,381855093,137643831,CC[C@H](C)[C@H]1C(=O)N[C@H]2CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@H]3CSSC[C@@H](C(=O)N1)NC(=O)[C@@H](NC(=O)[C@@H]4CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N4)C(C)C)CCCNC(=N)N)CCCNC(=N)N)NC(=O)[C@@H](NC3=O)CC(C)C)CC(=O)O)CCCNC(=N)N)NC(=O)[C@@H](NC(=O)CNC(=O)[C@@H](NC(=O)[C@@H](NC2=O)[C@@H](C)O)CCCNC(=N)N)CC5=CC=CC=C5,Unspecified,,,,Inhibition,=,41,%,,
26,381855884,137644368,CC[C@H](C)[C@H]1C(=O)N[C@H]2CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@H]3CSSC[C@@H](C(=O)N1)NC(=O)[C@@H](NC(=O)[C@@H]4CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N4)C(C)C)CCCNC(=N)N)CCCNC(=N)N)NC(=O)[C@@H](NC3=O)CC(C)C)CCCNC(=N)N)CCCNC(=N)N)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC2=O)[C@@H](C)O)CCCNC(=N)N)CC5=CC=C(C=C5)O)CC6=CC=CC=C6,Unspecified,,,,Inhibition,=,57,%,,
27,381855976,137644437,CC[C@H](C)[C@H]1C(=O)N[C@H]2CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@H]3CSSC[C@@H](C(=O)N1)NC(=O)[C@@H](NC(=O)[C@@H]4CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N4)C(C)C)C)CCCNC(=N)N)CCCNC(=N)N)NC(=O)[C@@H](NC3=O)CC(C)C)CCCNC(=N)N)CCCNC(=N)N)NC(=O)[C@@H](NC(=O)CNC(=O)[C@@H](NC(=O)[C@@H](NC2=O)[C@@H](C)O)CCCNC(=N)N)CC5=CC=CC=C5,Unspecified,,,,Inhibition,=,57,%,,
28,381858240,137645962,CC[C@H](C)[C@H]1C(=O)N[C@H]2CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@H]3CSSC[C@@H](C(=O)N1)NC(=O)[C@@H](NC(=O)[C@@H]4CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N4)CC5=CNC6=CC=CC=C65)CCCNC(=N)N)CCCNC(=N)N)CCCNC(=N)N)NC(=O)[C@@H](NC3=O)CC7=CNC8=CC=CC=C87)CCCNC(=N)N)CCCNC(=N)N)NC(=O)[C@@H](NC(=O)CNC(=O)[C@@H](NC(=O)[C@@H](NC2=O)[C@@H](C)O)CCCNC(=N)N)CC9=CC=CC=C9,Unspecified,,,,Inhibition,=,423,%,,Outside typical range
29,381858329,137646023,CC[C@H](C)[C@H]1C(=O)N[C@H]2CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@H]3CSSC[C@@H](C(=O)N1)NC(=O)[C@@H](NC(=O)[C@@H]4CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N4)CCCNC(=N)N)CCCNC(=N)N)CCCNC(=N)N)NC(=O)[C@@H](NC3=O)CC(C)C)CCCNC(=N)N)CCCNC(=N)N)NC(=O)[C@@H](NC(=O)CNC(=O)[C@@H](NC(=O)[C@@H](NC2=O)[C@@H](C)O)CCCNC(=N)N)CC5=CC=CC=C5,Active,,,Potential missing data,Inhibition,,,,Active,
30,381859630,137646899,CC[C@H](C)[C@H]1C(=O)N[C@H]2CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@H]3CSSC[C@@H](C(=O)N1)NC(=O)[C@@H](NC(=O)[C@@H]4CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N4)C(C)C)CCCNC(=N)N)CCCNC(=N)N)NC(=O)[C@@H](NC3=O)CC(C)C)CCCNC(=N)N)CCCNC(=N)N)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC2=O)[C@@H](C)O)CCCNC(=N)N)CCCNC(=N)N)CC5=CC=CC=C5,Unspecified,,,,Inhibition,=,57,%,,
31,381859771,137646997,CC[C@H](C)[C@H]1C(=O)N[C@H]2CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@H]3CSSC[C@@H](C(=O)N1)NC(=O)[C@@H](NC(=O)[C@@H]4CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N4)C(C)C)CCCNC(=N)N)CCCNC(=N)N)NC(=O)[C@@H](NC3=O)CC(C)C)CCCNC(=N)N)CCCNC(=N)N)NC(=O)[C@@H](NC(=O)CNC(=O)[C@@H](NC(=O)[C@@H](NC2=O)CC5=CC=C(C=C5)O)CCCNC(=N)N)CC6=CC=CC=C6,Unspecified,,,,Inhibition,=,114,%,,
32,381860172,137647279,CC[C@H](C)[C@H]1C(=O)N[C@H]2CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@H]3CSSC[C@@H](C(=O)N1)NC(=O)[C@@H](NC(=O)[C@@H]4CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N4)C(C)C)CCCNC(=N)N)CCCNC(=N)N)NC(=O)[C@@H](NC3=O)CC(C)C)CCCCN)CCCNC(=N)N)NC(=O)[C@@H](NC(=O)CNC(=O)[C@@H](NC(=O)[C@@H](NC2=O)[C@@H](C)O)CCCNC(=N)N)CC5=CC=CC=C5,Unspecified,,,,Inhibition,=,41,%,,
33,381861077,137647894,CC[C@H](C)[C@H]1C(=O)N[C@H]2CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@H]3CSSC[C@@H](C(=O)N1)NC(=O)[C@@H](NC(=O)[C@@H]4CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N4)C(C)C)CCCNC(=N)N)CCCNC(=N)N)NC(=O)[C@@H](NC3=O)CC(C)C)CCCNC(=N)N)C(C)C)NC(=O)[C@@H](NC(=O)CNC(=O)[C@@H](NC(=O)[C@@H](NC2=O)[C@@H](C)O)CCCNC(=N)N)CC5=CC=CC=C5,Unspecified,,,,Inhibition,=,41,%,,
34,381862745,137649019,CC[C@H](C)[C@H]1C(=O)N[C@H]2CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@H]3CSSC[C@@H](C(=O)N1)NC(=O)[C@@H](NC(=O)[C@@H]4CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N4)CCCCN)CCCNC(=N)N)CCCNC(=N)N)NC(=O)[C@@H](NC3=O)CC(C)C)CCCNC(=N)N)CCCNC(=N)N)NC(=O)[C@@H](NC(=O)CNC(=O)[C@@H](NC(=O)[C@@H](NC2=O)[C@@H](C)O)CCCNC(=N)N)CC5=CC=CC=C5,Active,,,Potential missing data,Inhibition,,,,Active,
35,381863134,137649278,CC[C@H](C)[C@H]1C(=O)N[C@H]2CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@H]3CSSC[C@@H](C(=O)N1)NC(=O)[C@@H](NC(=O)[C@@H]4CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N4)C(C)C)CCCNC(=N)N)CCCNC(=N)N)NC(=O)[C@@H](NC3=O)CC(C)C)CCCNC(=N)N)CC5=CC=C(C=C5)O)NC(=O)[C@@H](NC(=O)CNC(=O)[C@@H](NC(=O)[C@@H](NC2=O)[C@@H](C)O)CCCNC(=N)N)CC6=CC=CC=C6,Unspecified,,,,Inhibition,=,41,%,,
36,381863712,137649665,CC[C@H](C)[C@H]1C(=O)N[C@H]2CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@H]3CSSC[C@@H](C(=O)N1)NC(=O)[C@@H](NC(=O)[C@@H]4CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N4)C(C)C)CCCNC(=N)N)CCCNC(=N)N)NC(=O)[C@@H](NC3=O)CC(C)C)CCCNC(=N)N)CCCNC(=N)N)NC(=O)[C@@H](NC(=O)CNC(=O)[C@@H](NC(=O)[C@@H](NC2=O)[C@@H](C)O)CCCNC(=N)N)CC(=O)O,Unspecified,,,,Inhibition,=,14,%,,
37,381864706,137650339,CC[C@H](C)[C@H]1C(=O)N[C@H]2CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@H]3CSSC[C@@H](C(=O)N1)NC(=O)[C@@H](NC(=O)[C@@H]4CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N4)C(C)C)CCCNC(=N)N)CCCNC(=N)N)NC(=O)[C@@H](NC3=O)CC(C)C)CCCNC(=N)N)CC5=CNC=N5)NC(=O)[C@@H](NC(=O)CNC(=O)[C@@H](NC(=O)[C@@H](NC2=O)[C@@H](C)O)CCCNC(=N)N)CC6=CC=CC=C6,Unspecified,,,,Inhibition,=,41,%,,
