PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,ACTIVITY_TYPE,EC50_MICROM,EC50_95CI_LOW,EC50_95CI_HIGH,LOGEC50,STD_LOGEC50,HILLSLOPE,STD_HILLSLOPE,TOP,STD_TOP,RSQR ,N_POINTS,%Inhibition_0.008uM,%Inhibition_0.023uM,%Inhibition_0.069uM,%Inhibition_0.206uM,%Inhibition_0.617uM,%Inhibition_1.85uM,%Inhibition_5.56uM,%Inhibition_16.7uM,%Inhibition_50uM
27,49666794,2885134,CCOC1=CC2=C(C3=C(C=C(C=C3)NCC4=CC=C(C=C4)OC)N=C2C=C1)N,Inactive,0,,,>,20,,,,,,,,,,9,2.1,-1.1,0.6,1.4,0.6,0.8,-4.6,-15.6,-29.7
28,24804466,2817441,C1=CC=C2C(=C1)C3=NC4=CC=CC=C4OC3=C(C2=O)Cl,Inactive,0,,,>,20,,,,,,,,,,9,0.2,2.9,4.2,1,1.6,5,3.4,7.7,8.4
29,26663758,1422604,C1=CC=C(C=C1)C2=NC3=NC(=CN3N=C2C4=CC=CC=C4)C5=CC(=CC=C5)[N+](=O)[O-],Inactive,0,,,>,20,,,,,,,,,,9,-24,-22.5,-21.2,-19.6,-14.5,-12.6,-7.6,-4.8,8.6
30,17515758,12006136,CCOCCSC1=C(C(=C2CC/C(=C/C3=CC=CS3)/C2=N1)C4=CC=CS4)C#N,Active,60,,,=,8,2.4,26.4,0.905,0.211,1.218,0.461,23.1,4.5,0.959,9,-0.2,-0.3,-1.3,-3.1,0.9,2.3,11.2,14.3,21.7
31,14731086,135474141,C1=CC=C(C=C1)/C(=C/C2=NC3=CC=CC=C3N(C2=O)C4=CC=CC=C4)/O,Inactive,0,,,>,20,,,,,,,,,,9,1.7,0.9,0.5,3.1,1.8,6.3,1.6,12.4,39.3
32,17413291,702952,C1=CC=C(C=C1)C2=CN3C(=N2)N=C(C(=N3)C4=CC=CC=C4)C5=CC=CC=C5,Inactive,0,,,>,20,,,,,,,,,,9,0.9,1.3,-0.6,4.2,3,4.8,14.6,20,31.3
33,121285352,51360688,CN1C=CC2=C1C3=C(C=C2C4=CN=C(C=C4)F)C5CCC3C5,Inactive,0,,,>,20,,,,,,,,,,9,1,8.6,4.5,4.8,1.1,6.3,7.2,10.7,9
34,124753768,53299790,CC1=CC=C(C=C1)C2=C(N3C(=C(C(=CC3=N2)C)Br)C)CC4=CC=CC=C4OC,Inactive,0,,,>,20,,,,,,,,,,9,4.9,3.9,0.8,3.9,4.9,3.1,0,2.1,-0.5
35,92764863,395175,C[N+]1=C(C=C2N1C3=CC=CC=C3C2=CC4=C(C=C(C=C4)N(C)C)OC)C5=CC=CC=C5.C(F)(F)(F)S(=O)(=O)[O-],Inactive,0,,,>,20,,,,,,,,,,9,4.9,0.1,1.7,1.3,2.5,-7.4,-21.4,-31.9,-45.3
36,24841450,136417,COC1=C(C=C(C=C1)C2=C(C(=O)C3=C(C(=C(C(=C3O2)OC)OC)OC)O)OC)OC,Inactive,0,,,>,20,,,,,,,,,,9,-6.9,-8.6,-7.7,-9.4,-9.3,-9.6,-6.4,-4,-3.7
37,57259663,7611981,CC1=NC2=C(S1)C=C(C=C2)NC(=O)[C@H](C(C)C)NC(=O)C3=C(C=CC=C3F)F,Inactive,0,,,>,20,,,,,,,,,,9,-16.4,-12.8,-16,-16.4,-11.6,-12,-14.1,-13.9,-8.4
38,85270401,2689580,CC1=C(C2=CC=CC=C2N1)C(=O)COC(=O)C3=CC=CC=C3O,Inactive,0,,,>,20,,,,,,,,,,9,-11.9,-8.8,-8.5,-9.3,-6.9,-10.6,-10.3,-11.4,-9.2
39,124753761,53299783,CC1=CC2=NC(=C(N2C(=C1Br)C)CC3=CC(=CC=C3)Cl)C4=CC(=CC=C4)Br,Inactive,0,,,>,20,,,,,,,,,,9,-6,-2.9,-4.9,-3.7,-2.6,-2.9,-0.4,-3.7,-3.6
40,17514900,4107213,CC1=CC2=C(N1)C=CC(=C2)CNC(=O)C3=CC(=CC=C3)[N+](=O)[O-],Inactive,0,,,>,20,,,,,,,,,,9,2.8,-0.3,-1.8,-2.2,6.4,-2,-2.1,-2.1,-5.5
41,124753769,53299791,CC1=CC2=NC(=C(N2C(=C1Br)C)CC3=CC=CC=C3OC)C4=CC=C(C=C4)F,Inactive,0,,,>,20,,,,,,,,,,9,-2.5,0.4,0.6,-1.6,1.3,2.1,-0.4,-0.1,-5.7
42,7971751,4652371,CCC(=O)NCCN1C(=CC2=CC=CC=C21)C,Inactive,0,,,>,20,,,,,,,,,,9,4.8,3.1,1.1,1.8,4.2,3.4,4.3,3.6,3.9
43,124753750,53299772,CC1=CC=C(C=C1)C2=C(N3C(=C(C(=CC3=N2)C)Br)C)CC4=CC(=CC=C4)Cl,Inactive,0,,,>,20,,,,,,,,,,9,-2,-2,-1,2,0.5,1.1,5.8,2.5,7.5
44,57264609,2689697,COC1=C(C=C(C=C1)C(=O)OCC(=O)C2=CNC3=CC=CC=C32)OC,Inactive,0,,,>,20,,,,,,,,,,9,1.5,4.3,-0.6,5.2,2.2,2.1,3,-2.3,0.5
45,121285857,51361178,CCCCCCCCC(C1=NC2=C(N1)C=C(C(=C2)C)C)N3C4=CC=CC=C4N=C(C3=O)C5=CC=CC=C5Br,Inactive,0,,,>,20,,,,,,,,,,9,1.1,4.1,2.7,0.8,0.8,7,1,7.8,14.4
46,22401112,2127357,CCC1=C2C(=CC=C1)C(=CN2)C(=O)COC(=O)C3=CC=C(C=C3)O,Inactive,0,,,>,20,,,,,,,,,,9,7.1,2.5,0.9,-1.7,4.5,0,0.4,5.1,-1.1
47,24835014,2413462,COC1=CC=CC(=C1O)C(=O)OCC(=O)C2=CNC3=CC=CC=C32,Inactive,0,,,>,20,,,,,,,,,,9,-7.3,4,4.8,1.3,3.8,1.2,1.3,5.1,-0.1
48,17516496,2125022,CCC1=C2C(=CC=C1)C(=CN2)C(=O)COC(=O)C3=CC=CC=C3,Inactive,0,,,>,20,,,,,,,,,,9,6.2,2.9,4.2,1.7,5.2,4.7,4,0,5.1
49,92764431,392789,CC(=NNC1=NC2=CC=CC=C2O1)C3=CC4=CC=CC=C4C=N3,Active,53,,,=,9.4,5.6,15.8,0.973,0.092,1.397,0.273,89.8,8.4,0.987,9,-0.1,1.6,2.2,3.3,5.5,12.8,23.8,65.9,80.2
50,24789957,4092145,CCS(=O)(=O)N1C(CC(=N1)C2=CC(=CC=C2)NS(=O)(=O)C)C3=CC=CC=C3,Inactive,0,,,>,20,,,,,,,,,,9,4.5,5.5,8.7,0.4,4.7,5.6,5.7,9.5,27.3
51,17515427,6166749,CN1C2=CC=CC=C2N=C(C1=O)/C=C/C3=CC=CC=C3,Inactive,0,,,>,20,,,,,,,,,,9,-3.4,-2.3,-5,-5.4,-2.4,1,-4,1.6,8.1
52,17387931,6406850,CCSC1=NN=C(O1)C2=C(C3=C(C(=NN=C3S2)C4=CC=CC=C4)C5=CC=CC=C5)N,Inactive,0,,,>,20,,,,,,,,,,9,-5.9,-8.6,-12,-13,-12.1,-12.2,-6.9,1.6,19.2
53,17507276,3153499,CS(=O)(=O)N1C(CC(=N1)C2=CC=CC=C2)C3=CC4=C(C=C3)OCO4,Inactive,0,,,>,20,,,,,,,,,,9,-13.3,-14.2,-14.2,-8.8,-12.3,-8.7,-8.8,-13.3,-12
