starter_idx,starter_smiles,status,time_seconds,error
114,CC=C1OC(=O)[C@@H](C)C1=O,scaffolded,0.0,
115,CC=C1OC(=O)[C@@H](OC)[C@@H]1O,scaffolded,0.0,
116,CC=C1OC(=O)[C@H](C)[C@@H]1O,scaffolded,0.0,
117,CC=C1OC(=O)[C@@H](CC)C1=O,scaffolded,0.0,
118,CC=C1C=C(CCCCCC)C(=O)O1,scaffolded,0.0,
119,CC=C1OC(=O)[C@@H](CCCCCC)C1=O,scaffolded,0.0,
120,CC=C1OC(=O)[C@H](CC)[C@@H]1O,scaffolded,0.0,
121,C=CC[C@H]1C(=O)OC(=CC)[C@H]1O,scaffolded,0.0,
122,CC=C1OC(=O)[C@H](OC)C1=O,scaffolded,0.0,
123,C=CC[C@H]1C(=O)OC(=CC)C1=O,scaffolded,0.0,
124,C=CCC1=CC(=CC)OC1=O,scaffolded,0.0,
125,CC=C1C=C(CCCCc2c[nH]c(Cl)c2Cl)C(=O)O1,scaffolded,0.0,
126,CC=C1OC(=O)[C@H](CCCCc2c[nH]c(Cl)c2Cl)[C@@H]1O,scaffolded,0.0,
127,CC=C1OC(=O)[C@@H](CCCC)[C@@H]1O,scaffolded,0.0,
128,CC=C1OC(=O)[C@H](OC)[C@@H]1O,scaffolded,0.0,
129,CC=C1C[C@H](O)C(=O)O1,scaffolded,0.0,
130,CC=C1OC(=O)[C@H](CCCC)C1=O,scaffolded,0.0,
131,CC=C1C[C@H](C(C)C)C(=O)O1,scaffolded,0.0,
132,CC=C1OC(=O)[C@H](CCCCCC)C1=O,scaffolded,0.0,
133,CC=C1OC(=O)[C@H](C)[C@H]1O,scaffolded,0.0,
134,C=CC[C@@H]1C(=O)OC(=CC)C1=O,scaffolded,0.0,
135,CC=C1OC(=O)[C@@H](O)[C@H]1O,scaffolded,0.0,
136,CC=C1OC(=O)[C@H](CCCC)[C@@H]1O,scaffolded,0.0,
137,CC=C1OC(=O)[C@@H](CCCCc2c[nH]c(Cl)c2Cl)C1=O,scaffolded,0.0,
138,CC=C1OC(=O)[C@H](CCCCCC)[C@@H]1O,scaffolded,0.0,
139,CC=C1OC(=O)C(O)C1=O,scaffolded,0.0,
140,CC=C1CCC(=O)O1,scaffolded,0.0,
141,C=CC[C@H]1C(=O)OC(=CC)[C@@H]1O,scaffolded,0.0,
142,CC=C1OC(=O)[C@H](CCCCc2c[nH]c(Cl)c2Cl)[C@H]1O,scaffolded,0.0,
143,CC=C1C=CC(=O)O1,scaffolded,0.0,
144,CC=C1C=C(C(C)C)C(=O)O1,scaffolded,0.0,
145,CC=C1OC(=O)[C@H](O)[C@H]1O,scaffolded,0.0,
146,C=CC[C@H]1CC(=CC)OC1=O,scaffolded,0.0,
147,CC=C1OC(=O)[C@@H](CC)[C@H]1O,scaffolded,0.0,
148,CC=C1C=C(C)C(=O)O1,scaffolded,0.0,
149,CC=C1OC(=O)[C@@H](C(C)C)[C@H]1O,scaffolded,0.0,
150,CC=C1OC(=O)[C@@H](O)[C@@H]1O,scaffolded,0.0,
151,CC=C1C=C(CC)C(=O)O1,scaffolded,0.0,
152,CC=C1C=C(CCCC)C(=O)O1,scaffolded,0.0,
153,CC=C1OC(=O)[C@@H](C)[C@@H]1O,scaffolded,0.0,
154,CC=C1OC(=O)[C@H](CCCCCC)[C@H]1O,scaffolded,0.0,
155,CC=C1C[C@H](CCCC)C(=O)O1,scaffolded,0.0,
156,CC=C1OC(=O)[C@H](CC)[C@H]1O,scaffolded,0.0,
157,CC=C1C=C(O)C(=O)O1,scaffolded,0.0,
158,C[C@@H]1C(=O)OC(=CCO)[C@@H]1O,scaffolded,0.0,
