dir,status,n_reactions,time_seconds,error
starter_00543,success,1300,93.48,
starter_00544,success,3009,240.26,
starter_00545,success,1221,90.7,
starter_00546,success,2706,197.86,
starter_00547,success,2558,175.4,
starter_00548,success,1663,91.12,
starter_00549,failed,-1,0.0,'reactionString' column not found
starter_00550,success,3034,216.11,
starter_00551,success,3223,198.59,
starter_00552,success,1150,94.14,
starter_00553,success,3762,230.02,
starter_00554,success,2353,140.17,
starter_00555,success,3004,187.37,
starter_00556,success,5958,399.56,
starter_00557,success,3026,196.41,
starter_00558,success,3291,262.0,
starter_00559,success,3601,238.1,
starter_00560,success,3470,225.17,
starter_00561,failed,-1,0.0,'reactionString' column not found
starter_00562,success,3026,200.61,
starter_00563,success,3291,254.63,
starter_00564,success,3601,197.81,
starter_00565,failed,-1,0.0,'reactionString' column not found
starter_00566,success,3227,187.48,
starter_00567,success,3399,226.29,
starter_00568,success,2915,215.6,
starter_00569,success,5680,357.95,
starter_00570,failed,-1,0.0,'reactionString' column not found
starter_00571,failed,-1,0.0,'reactionString' column not found
starter_00572,failed,-1,0.0,'reactionString' column not found
starter_00573,failed,-1,0.0,'reactionString' column not found
starter_00574,success,2353,192.83,
starter_00575,failed,-1,0.0,'reactionString' column not found
starter_00576,success,3227,212.32,
starter_00577,success,3871,279.65,
starter_00578,failed,-1,0.0,'reactionString' column not found
starter_00579,failed,-1,0.0,'reactionString' column not found
starter_00580,success,5817,371.01,
starter_00581,success,3684,211.84,
starter_00582,failed,-1,0.0,'reactionString' column not found
starter_00583,success,2799,207.42,
starter_00584,success,3026,198.2,
starter_00585,success,3173,197.87,
starter_00586,success,3399,265.28,
starter_00587,failed,-1,0.0,'reactionString' column not found
starter_00588,success,3470,199.28,
starter_00589,success,3291,240.02,
starter_00590,success,3762,221.81,
starter_00591,success,5680,313.14,
starter_00592,failed,-1,0.0,'reactionString' column not found
starter_00593,failed,-1,0.0,'reactionString' column not found
starter_00594,success,5817,385.02,
starter_00595,success,3601,227.83,
starter_00596,success,2915,237.13,
starter_00597,success,3822,254.97,
starter_00598,success,3108,224.61,
starter_00599,failed,-1,0.0,'reactionString' column not found
starter_00600,failed,-1,0.0,'reactionString' column not found
starter_00601,failed,-1,0.0,'reactionString' column not found
starter_00602,success,3291,266.97,
starter_00603,success,3392,256.4,
starter_00604,failed,-1,0.0,'reactionString' column not found
starter_00605,success,3033,190.57,
starter_00606,failed,-1,0.0,'reactionString' column not found
starter_00607,success,3762,239.96,
starter_00608,success,3822,275.09,
starter_00609,success,2799,182.17,
starter_00610,failed,-1,0.0,'reactionString' column not found
starter_00611,failed,-1,0.0,'reactionString' column not found
starter_00612,failed,-1,0.0,'reactionString' column not found
starter_00613,success,2380,185.75,
starter_00614,success,3323,257.39,
starter_00615,success,3601,260.31,
starter_00616,failed,-1,0.0,'reactionString' column not found
starter_00617,success,3243,221.64,
starter_00618,success,2559,144.33,
starter_00619,success,2798,226.15,
starter_00620,success,3605,244.81,
starter_00621,success,5817,341.92,
starter_00622,success,3042,193.84,
starter_00623,success,3026,172.25,
starter_00624,success,2798,190.81,
starter_00625,success,5125,271.91,
starter_00626,failed,-1,0.01,'reactionString' column not found
starter_00627,success,3762,263.03,
starter_00628,failed,-1,0.0,'reactionString' column not found
starter_00629,failed,-1,0.0,'reactionString' column not found
starter_00630,success,5817,324.38,
starter_00631,success,2696,165.93,
starter_00632,success,138,11.76,
starter_00633,success,129,9.08,
starter_00634,success,131,12.18,
starter_00635,failed,-1,0.0,'reactionString' column not found
starter_00636,failed,-1,0.0,'reactionString' column not found
starter_00637,success,133,10.82,
starter_00638,failed,-1,0.0,'reactionString' column not found
starter_00639,success,140,12.94,
starter_00640,failed,-1,0.0,'reactionString' column not found
starter_00641,failed,-1,0.0,'reactionString' column not found
starter_00642,success,133,10.99,
starter_00643,failed,-1,0.0,'reactionString' column not found
starter_00644,failed,-1,0.0,'reactionString' column not found
starter_00645,failed,-1,0.0,'reactionString' column not found
starter_00646,success,144,14.98,
starter_00647,success,125,10.36,
starter_00648,failed,-1,0.0,'reactionString' column not found
starter_00649,failed,-1,0.0,'reactionString' column not found
starter_00650,failed,-1,0.0,'reactionString' column not found
starter_00651,failed,-1,0.0,'reactionString' column not found
starter_00652,failed,-1,0.0,'reactionString' column not found
starter_00653,success,129,8.53,
starter_00654,failed,-1,0.0,'reactionString' column not found
starter_00655,failed,-1,0.01,'reactionString' column not found
starter_00656,success,144,13.94,
starter_00657,failed,-1,0.0,'reactionString' column not found
starter_00658,failed,-1,0.0,'reactionString' column not found
starter_00659,failed,-1,0.0,'reactionString' column not found
starter_00660,success,115,10.93,
starter_00661,failed,-1,0.0,'reactionString' column not found
starter_00662,success,141,12.21,
starter_00663,failed,-1,0.0,'reactionString' column not found
starter_00664,success,159,14.5,
starter_00665,success,144,14.53,
starter_00666,failed,-1,0.0,'reactionString' column not found
starter_00667,success,140,11.77,
starter_00668,success,133,9.82,
starter_00669,success,138,12.14,
starter_00670,failed,-1,0.0,'reactionString' column not found
starter_00671,failed,-1,0.0,'reactionString' column not found
starter_00672,failed,-1,0.0,'reactionString' column not found
starter_00673,failed,-1,0.0,'reactionString' column not found
starter_00674,failed,-1,0.0,'reactionString' column not found
starter_00675,success,125,8.16,
starter_00676,failed,-1,0.0,'reactionString' column not found
starter_00677,failed,-1,0.0,'reactionString' column not found
starter_00678,failed,-1,0.0,'reactionString' column not found
starter_00679,failed,-1,0.0,'reactionString' column not found
starter_00680,failed,-1,0.0,'reactionString' column not found
starter_00681,success,133,10.13,
starter_00682,success,135,12.55,
starter_00683,failed,-1,0.0,'reactionString' column not found
starter_00684,failed,-1,0.0,'reactionString' column not found
starter_00685,failed,-1,0.0,'reactionString' column not found
starter_00686,success,138,12.37,
starter_00687,failed,-1,0.0,'reactionString' column not found
starter_00688,success,141,11.05,
starter_00689,failed,-1,0.0,'reactionString' column not found
starter_00690,failed,-1,0.0,'reactionString' column not found
starter_00691,failed,-1,0.0,'reactionString' column not found
starter_00692,success,140,11.53,
starter_00693,success,118,11.22,
starter_00694,failed,-1,0.0,'reactionString' column not found
starter_00695,failed,-1,0.0,'reactionString' column not found
starter_00696,success,137,11.29,
starter_00697,failed,-1,0.0,'reactionString' column not found
starter_00698,success,140,10.04,
starter_00699,failed,-1,0.0,'reactionString' column not found
starter_00700,failed,-1,0.0,'reactionString' column not found
starter_00701,success,133,10.82,
starter_00702,failed,-1,0.0,'reactionString' column not found
starter_00703,success,140,9.81,
starter_00704,failed,-1,0.0,'reactionString' column not found
starter_00705,failed,-1,0.0,'reactionString' column not found
starter_00706,success,138,12.0,
starter_00707,failed,-1,0.0,'reactionString' column not found
starter_00708,failed,-1,0.0,'reactionString' column not found
starter_00709,failed,-1,0.0,'reactionString' column not found
starter_00710,success,153,14.13,
starter_00711,success,418,32.88,
starter_00712,success,43,3.86,
starter_00713,success,232,17.74,
starter_00714,success,17,1.12,
starter_00715,failed,-1,0.0,'reactionString' column not found
starter_00716,success,54,4.51,
starter_00717,failed,-1,0.0,'reactionString' column not found
starter_00718,success,218,18.65,
starter_00719,failed,-1,0.0,'reactionString' column not found
starter_00720,failed,-1,0.0,'reactionString' column not found
starter_00721,success,54,5.47,
starter_00722,failed,-1,0.0,'reactionString' column not found
starter_00723,failed,-1,0.0,'reactionString' column not found
starter_00724,failed,-1,0.0,'reactionString' column not found
starter_00725,success,464,39.95,
starter_00726,success,36,3.06,
starter_00727,success,17,0.94,
starter_00728,failed,-1,0.0,'reactionString' column not found
starter_00729,failed,-1,0.0,'reactionString' column not found
starter_00730,failed,-1,0.0,'reactionString' column not found
starter_00731,failed,-1,0.0,'reactionString' column not found
starter_00732,success,43,3.73,
starter_00733,failed,-1,0.01,'reactionString' column not found
starter_00734,failed,-1,0.0,'reactionString' column not found
starter_00735,success,359,29.91,
starter_00736,failed,-1,0.0,'reactionString' column not found
starter_00737,failed,-1,0.0,'reactionString' column not found
starter_00738,success,17,1.3,
starter_00739,success,414,31.63,
starter_00740,failed,-1,0.0,'reactionString' column not found
starter_00741,success,64,5.39,
starter_00742,failed,-1,0.0,'reactionString' column not found
starter_00743,success,312,27.02,
starter_00744,success,464,38.83,
starter_00745,failed,-1,0.0,'reactionString' column not found
starter_00746,success,218,17.23,
starter_00747,success,54,4.9,
starter_00748,success,418,34.24,
starter_00749,success,17,1.43,
starter_00750,failed,-1,0.0,'reactionString' column not found
starter_00751,failed,-1,0.0,'reactionString' column not found
starter_00752,success,17,0.96,
starter_00753,failed,-1,0.0,'reactionString' column not found
starter_00754,success,36,3.13,
starter_00755,failed,-1,0.0,'reactionString' column not found
