"ChEMBL ID";"Assay Type";"Description";"Organism";"Compounds";"Activities";"BAO Format ID";"BAO Format";"Confidence Score";"Confidence Label";"Strain";"Source";"Tax ID";"Tissue ChEMBL ID";"Tissue Name";"Cell Type";"Subcellular Fraction";"Document ChEMBL ID";"PubMed ID";"DOI";"Year";"Journal";"Volume";"First Page";"Last Page";"Assay Parameters";"Assay Classification L1";"Assay Classification L2";"Assay Classification L3";"Variant Sequence Accession";"Variant Sequence Mutation"
"CHEMBL4029439";"F";"Synergistic antimicrobial activity against Enterococcus faecalis ATCC 49533 after 20 hrs in presence of ciprofloxacin by checkerboard assay";"Enterococcus faecalis";"3";"3";"BAO_0000019";"assay format";"1";"1 - Target assigned is non-molecular";"ATCC 49533";"Scientific Literature";"1351";"";"";"";"";"CHEMBL4028805";"28248504";"10.1021/acs.jmedchem.6b01780";"2017";"J Med Chem";"60";"2425";"2438";"";"";"";"";"";""
"CHEMBL5361332";"F";"Antibacterial activity against Enterococcus faecalis ATCC 29212 assessed as bacterial growth inhibition measured after 24 hrs by agar dilution assay";"Enterococcus faecalis";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"ATCC 29212";"Scientific Literature";"1351";"";"";"";"";"CHEMBL5360532";"36577217";"10.1016/j.ejmech.2022.115026";"2023";"Eur J Med Chem";"247";"115026";"115026";"";"";"";"";"";""
"CHEMBL4818452";"F";"Antibiofilm activity against Enterococcus faecalis ATCC 29212 assessed as destruction of biofilm formation at 2 times MIC after 24 hrs by crystal violet staining based assay relative to control";"Enterococcus faecalis";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"ATCC 29212";"Scientific Literature";"1351";"";"";"";"";"CHEMBL4814057";"33845234";"10.1016/j.ejmech.2021.113402";"2021";"Eur J Med Chem";"219";"113402";"113402";"";"";"";"";"";""
"CHEMBL4700495";"F";"Antibacterial activity against wild type Enterococcus faecalis ATCC 29212 assessed as reduction in bacterial growth by CLSI based broth microdilution method";"Enterococcus faecalis";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"ATCC 29212";"Scientific Literature";"1351";"";"";"";"";"CHEMBL4699433";"34095845";"10.1039/d0md00175a";"2020";"RSC Med Chem";"11";"1379";"1385";"";"";"";"";"";""
"CHEMBL4708839";"F";"Ratio of MBC to MIC for vancomycin-resistant Enterococcus faecalis ATCC 51299 assessed as inhibition of bacterial growth measured after 18 to 20 hrs by CLSI protocol based broth microdilution method";"Enterococcus faecalis";"3";"3";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"ATCC 51299";"Scientific Literature";"1351";"";"";"";"";"CHEMBL4706519";"32707373";"10.1016/j.ejmech.2020.112497";"2020";"Eur J Med Chem";"202";"112497";"112497";"";"";"";"";"";""
"CHEMBL3826183";"F";"Bacteriostatic activity against Enterococcus faecalis ATCC 19433 assessed as prevention of spontaneous resistant mutant selection up to 60 times MIC90 measured after 5 weeks";"Enterococcus faecalis";"1";"1";"BAO_0000019";"assay format";"1";"1 - Target assigned is non-molecular";"ATCC 19433";"Scientific Literature";"1351";"";"";"";"";"CHEMBL3822373";"27329794";"10.1016/j.bmcl.2016.06.019";"2016";"Bioorg Med Chem Lett";"26";"3572";"3576";"";"";"";"";"";""
"CHEMBL4818453";"F";"Antibiofilm activity against Enterococcus faecalis ATCC 29212 assessed as destruction of biofilm formation at 1 times MIC after 24 hrs by crystal violet staining based assay relative to control";"Enterococcus faecalis";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"ATCC 29212";"Scientific Literature";"1351";"";"";"";"";"CHEMBL4814057";"33845234";"10.1016/j.ejmech.2021.113402";"2021";"Eur J Med Chem";"219";"113402";"113402";"";"";"";"";"";""
"CHEMBL4231992";"F";"Potency index, ratio of levofloxacin MIC to compound MIC for vancomycin-resistant Enterococcus faecalis 09-9";"Enterococcus faecalis";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"09-9";"Scientific Literature";"1351";"";"";"";"";"CHEMBL4229379";"29604581";"10.1016/j.ejmech.2018.03.031";"2018";"Eur J Med Chem";"150";"771";"782";"";"";"";"";"";""
"CHEMBL4718351";"F";"Potentiation of polymyxin B-induced antibacterial activity against vancomycin-resistant Enterococcus faecalis ATCC 29212 assessed as fold reduction in polymyxin B MIC measured after 24 hrs in presence of polymyxin B by checkerboard assay";"Enterococcus faecalis";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"ATCC 29212";"Scientific Literature";"1351";"";"";"";"";"CHEMBL4715738";"27295561";"10.1021/acs.jnatprod.6b00286";"2016";"J Nat Prod";"79";"1702";"1706";"";"";"";"";"";""
"CHEMBL5515652";"F";"Antibacterial activity against multidrug resistant Enterococcus faecalis ATCC 51299 assessed as resistance development by measuring fold increase in MIC measured after 20 passages";"Enterococcus faecalis";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"ATCC 51299";"Scientific Literature";"1351";"";"";"";"";"CHEMBL5512659";"38640870";"10.1016/j.ejmech.2024.116401";"2024";"Eur J Med Chem";"271";"116401";"116401";"";"";"";"";"";""
"CHEMBL5515658";"F";"Antibiofilm activity in multidrug resistant Enterococcus faecalis ATCC 51299 assessed as reduction in biofilm density at 0.5 to 4 times MIC measured after 24 hrs by inverted fluorescence microscopic analysis";"Enterococcus faecalis";"3";"3";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"ATCC 51299";"Scientific Literature";"1351";"";"";"";"";"CHEMBL5512659";"38640870";"10.1016/j.ejmech.2024.116401";"2024";"Eur J Med Chem";"271";"116401";"116401";"";"";"";"";"";""
"CHEMBL5515733";"F";"Antibacterial activity against multidrug resistant Enterococcus faecalis ATCC 51299 infected in cyclophosphamide immunosuppressed mouse model of abdominal infection assessed as eradication of bacterial colonies in liver at 5 mg/kg measured after 60 hrs relative to control";"Enterococcus faecalis";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"ATCC 51299";"Scientific Literature";"1351";"";"";"";"";"CHEMBL5512659";"38640870";"10.1016/j.ejmech.2024.116401";"2024";"Eur J Med Chem";"271";"116401";"116401";"";"";"";"";"";""
"CHEMBL5148447";"F";"Antibacterial activity against Enterococcus faecalis incubated for 16 to 24 hrs in presence of ampicillin by broth microdilution based spectrophotometric analysis";"Enterococcus faecalis";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"1351";"";"";"";"";"CHEMBL5143711";"35640100";"10.1021/acs.jnatprod.2c00444";"2022";"J Nat Prod";"85";"1641";"1657";"";"";"";"";"";""
"CHEMBL5535683";"F";"Bactericidal activity against Enterococcus faecalis ATCC 29212 assessed as reduction in microbial growth measured after 18 hrs by CLSI based broth microdilution method";"Enterococcus faecalis";"5";"5";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"ATCC 29212";"Scientific Literature";"1351";"";"";"";"";"CHEMBL5532695";"38784463";"10.1039/d3md00686g";"2024";"RSC Med Chem";"15";"1589";"1600";"";"";"";"";"";""
"CHEMBL5326078";"F";"Antibiofilm activity against Enterococcus faecalis assessed as inhibition of biofilm formation at 6 times of MIC by crystal violet staining based analysis";"Enterococcus faecalis";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"1351";"";"";"";"";"CHEMBL5325403";"36623329";"10.1016/j.ejmech.2023.115088";"2023";"Eur J Med Chem";"248";"115088";"115088";"";"";"";"";"";""
"CHEMBL4259765";"A";"Toxicity in Enterococcus faecalis after 18 to 24 hrs by two-fold serial dilution method";"Enterococcus faecalis";"3";"3";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"1351";"";"";"";"";"CHEMBL4257537";"30151083";"10.1039/C8MD00212F";"2018";"Medchemcomm";"9";"1293";"1304";"";"";"";"";"";""
"CHEMBL5511636";"F";"Antibacterial activity against vancomycin-resistant Enterococcus faecalis clinical isolate p1-2007225053 assessed as inhibition of bacterial growth incubated for 24 hrs";"Enterococcus faecalis";"10";"10";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"p1-2007225053";"Scientific Literature";"1351";"";"";"";"";"CHEMBL5506059";"38787534";"10.1021/acs.jmedchem.4c00238";"2024";"J Med Chem";"67";"9028";"9053";"";"";"";"";"";""
"CHEMBL5610913";"F";"Antibacterial activity against Linezolid resistant Enterococcus faecalis clinical isolate 20-1 assessed as inhibition of bacterial growth incubated for 7 days by alamar blue assay";"Enterococcus faecalis";"7";"7";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"clinical isolate 20-1";"Scientific Literature";"1351";"";"";"";"";"CHEMBL5608235";"39236219";"10.1021/acs.jmedchem.3c02061";"2024";"J Med Chem";"67";"16088";"16106";"";"";"";"";"";""
"CHEMBL5391070";"F";"Antibacterial activity against Enterococcus faecalis UC9217 assessed as bacterial growth inhibition";"Enterococcus faecalis";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"UC9217";"Scientific Literature";"1351";"";"";"";"";"CHEMBL5390223";"37807849";"10.1021/acs.jmedchem.3c01040";"2023";"J Med Chem";"66";"13860";"13873";"";"";"";"";"";""
