"ChEMBL ID";"Assay Type";"Description";"Organism";"Compounds";"Activities";"BAO Format ID";"BAO Format";"Confidence Score";"Confidence Label";"Strain";"Source";"Tax ID";"Tissue ChEMBL ID";"Tissue Name";"Cell Type";"Subcellular Fraction";"Document ChEMBL ID";"PubMed ID";"DOI";"Year";"Journal";"Volume";"First Page";"Last Page";"Assay Parameters";"Assay Classification L1";"Assay Classification L2";"Assay Classification L3";"Variant Sequence Accession";"Variant Sequence Mutation"
"CHEMBL5247468";"F";"Antibacterial activity against methicillin-resistant Staphylococcus aureus RN4220/pUL5054 overexpressing MsrA efflux pump assessed as bacterial growth inhibition incubated for 24 hrs by resazurin based broth dilution method";"Staphylococcus aureus";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"RN4220/pUL5054";"Scientific Literature";"1280";"";"";"";"";"CHEMBL5244281";"36731248";"10.1016/j.bmc.2023.117187";"2023";"Bioorg Med Chem";"80";"117187";"117187";"";"";"";"";"";""
"CHEMBL5247469";"F";"Antibacterial activity against methicillin-resistant Staphylococcus aureus 1199B overexpressing NorA efflux pump assessed as bacterial growth inhibition incubated for 24 hrs by resazurin based broth dilution method";"Staphylococcus aureus";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"1199B";"Scientific Literature";"1280";"";"";"";"";"CHEMBL5244281";"36731248";"10.1016/j.bmc.2023.117187";"2023";"Bioorg Med Chem";"80";"117187";"117187";"";"";"";"";"";""
"CHEMBL4815333";"F";"Antibacterial activity against methicillin-resistant wild type Staphylococcus aureus ATCC 43300 assessed as inhibition of bacterial growth by CLSI protocol based broth microdilution assay";"Staphylococcus aureus";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"ATCC 43300";"Scientific Literature";"1280";"";"";"";"";"CHEMBL4813947";"33524686";"10.1016/j.ejmech.2021.113200";"2021";"Eur J Med Chem";"213";"113200";"113200";"";"";"";"";"";""
"CHEMBL4828880";"F";"Antibacterial activity against methicillin-resistant Staphylococcus aureus assessed as inhibition of bacterial growth by CLSI protocol based microdilution assay";"Staphylococcus aureus";"3";"3";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"1280";"";"";"";"";"CHEMBL4828706";"34077221";"10.1021/acs.jnatprod.1c00153";"2021";"J Nat Prod";"84";"1787";"1798";"";"";"";"";"";""
"CHEMBL4395802";"F";"Potentiation of vancomycin-induced antibacterial activity against Staphylococcus aureus ATCC 29213 assessed as vancomycin MIC incubated for 24 hrs by checkerboard titration assay (Rvb = 1 ug/ml)";"Staphylococcus aureus";"2";"2";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"ATCC 29213";"Scientific Literature";"1280";"";"";"";"";"CHEMBL4393707";"31096152";"10.1016/j.ejmech.2019.04.067";"2019";"Eur J Med Chem";"175";"287";"308";"";"";"";"";"";""
"CHEMBL4395483";"F";"Ratio of MBC to MIC for vancomycin resistant Staphylococcus aureus VRS10 by broth microdilution assay";"Staphylococcus aureus";"2";"2";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"VRS10";"Scientific Literature";"1280";"";"";"";"";"CHEMBL4393697";"31075608";"10.1016/j.ejmech.2019.04.063";"2019";"Eur J Med Chem";"175";"49";"62";"";"";"";"";"";""
"CHEMBL4326538";"F";"Antibacterial activity against multidrug-resistant Staphylococcus aureus XU212 after 24 hrs";"Staphylococcus aureus";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"XU212";"Scientific Literature";"1280";"";"";"";"";"CHEMBL4325839";"30317023";"10.1016/j.ejmech.2018.10.012";"2018";"Eur J Med Chem";"160";"23";"36";"";"";"";"";"";""
"CHEMBL4674682";"F";"Antibacterial activity against Staphylococcus aureus ATCC 29213 assessed as reduction in bacterial growth compound preincubated with 50% sheep plasma for 6 hrs followed by incubation for 20 to 24 hrs by agar plate method";"Staphylococcus aureus";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"ATCC 29213";"Scientific Literature";"1280";"";"";"";"";"CHEMBL4673214";"29966917";"10.1016/j.ejmech.2018.06.054";"2018";"Eur J Med Chem";"155";"925";"945";"";"";"";"";"";""
"CHEMBL4408601";"F";"Bactericidal activity against methicilline-resistant Staphylococcus aureus NRS123 USA400 incubated for 18 to 20 hrs followed by replating on tryptic soy agar plate and further incubated for 18 to 24 hrs by CLSI-based broth microdilution assay";"Staphylococcus aureus";"4";"4";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"NRS123 USA400";"Scientific Literature";"1280";"";"";"";"";"CHEMBL4406834";"31446245";"10.1016/j.ejmech.2019.111593";"2019";"Eur J Med Chem";"182";"111593";"111593";"";"";"";"";"";""
"CHEMBL5544159";"F";"Bactericidal activity against methicillin-resistant Staphylococcus aureus NCTC 10442 assessed as up-regulation of molecular functions related gene expression by measuring uracil DNA N-glycosylase activity (GO:0004844) at 4 times of MIC concentration measured after 90 mins incubation by RNA sequencing (RNA-seq) study";"Staphylococcus aureus";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"NCTC 10442";"Scientific Literature";"1280";"";"";"";"";"CHEMBL5543084";"38266554";"10.1016/j.ejmech.2024.116149";"2024";"Eur J Med Chem";"266";"116149";"116149";"";"";"";"";"";""
