
=== ADMET profile prediction ===
inputFile: BacillusAnthracis_generatedCompounds_wART.csv
SMILES column: Canonical_SMILES
outputCsv: /mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/SynThera/BacillusAnthracis/Results_BacillusAnthracis/BacillusAnthracis_generatedCompounds_wART_wADMET.csv
checkpoint: /mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/SynThera/BacillusAnthracis/Results_BacillusAnthracis/BacillusAnthracis_generatedCompounds_wART_wADMET_checkpoint.csv

Applying diversity filter...
diversity: processed 168000/642240 | +502 new | total 109008
diversity: processed 169000/642240 | +535 new | total 109543
diversity: processed 170000/642240 | +535 new | total 110078
diversity: processed 171000/642240 | +519 new | total 110597
diversity: processed 172000/642240 | +520 new | total 111117
diversity: processed 173000/642240 | +527 new | total 111644
diversity: processed 174000/642240 | +505 new | total 112149
diversity: processed 175000/642240 | +531 new | total 112680
diversity: processed 176000/642240 | +520 new | total 113200
diversity: processed 177000/642240 | +536 new | total 113736
diversity: processed 178000/642240 | +540 new | total 114276
diversity: processed 179000/642240 | +547 new | total 114823
diversity: processed 180000/642240 | +529 new | total 115352
diversity: processed 181000/642240 | +508 new | total 115860
diversity: processed 182000/642240 | +490 new | total 116350
diversity: processed 183000/642240 | +510 new | total 116860
diversity: processed 184000/642240 | +496 new | total 117356
diversity: processed 185000/642240 | +525 new | total 117881
diversity: processed 186000/642240 | +494 new | total 118375
diversity: processed 187000/642240 | +534 new | total 118909
diversity: processed 188000/642240 | +528 new | total 119437
diversity: processed 189000/642240 | +498 new | total 119935
diversity: processed 190000/642240 | +517 new | total 120452
diversity: processed 191000/642240 | +522 new | total 120974
diversity: processed 192000/642240 | +516 new | total 121490
diversity: processed 193000/642240 | +534 new | total 122024
diversity: processed 194000/642240 | +508 new | total 122532
diversity: processed 195000/642240 | +496 new | total 123028
diversity: processed 196000/642240 | +502 new | total 123530
diversity: processed 197000/642240 | +527 new | total 124057
diversity: processed 198000/642240 | +524 new | total 124581
diversity: processed 199000/642240 | +493 new | total 125074
diversity: processed 200000/642240 | +517 new | total 125591
diversity: processed 201000/642240 | +518 new | total 126109
diversity: processed 202000/642240 | +551 new | total 126660
diversity: processed 203000/642240 | +520 new | total 127180
diversity: processed 204000/642240 | +527 new | total 127707
diversity: processed 205000/642240 | +502 new | total 128209
diversity: processed 206000/642240 | +504 new | total 128713
diversity: processed 207000/642240 | +496 new | total 129209
diversity: processed 208000/642240 | +480 new | total 129689
diversity: processed 209000/642240 | +522 new | total 130211
diversity: processed 210000/642240 | +515 new | total 130726
diversity: processed 211000/642240 | +538 new | total 131264
diversity: processed 212000/642240 | +495 new | total 131759
diversity: processed 213000/642240 | +506 new | total 132265
diversity: processed 214000/642240 | +526 new | total 132791
diversity: processed 215000/642240 | +517 new | total 133308
diversity: processed 216000/642240 | +500 new | total 133808
diversity: processed 217000/642240 | +535 new | total 134343
diversity: processed 218000/642240 | +516 new | total 134859
diversity: processed 219000/642240 | +521 new | total 135380
diversity: processed 220000/642240 | +477 new | total 135857
diversity: processed 221000/642240 | +505 new | total 136362
diversity: processed 222000/642240 | +511 new | total 136873
diversity: processed 223000/642240 | +470 new | total 137343
diversity: processed 224000/642240 | +510 new | total 137853
diversity: processed 225000/642240 | +509 new | total 138362
diversity: processed 226000/642240 | +509 new | total 138871
diversity: processed 227000/642240 | +534 new | total 139405
diversity: processed 228000/642240 | +523 new | total 139928
diversity: processed 229000/642240 | +495 new | total 140423
diversity: processed 230000/642240 | +497 new | total 140920
diversity: processed 231000/642240 | +501 new | total 141421
diversity: processed 232000/642240 | +521 new | total 141942
diversity: processed 233000/642240 | +481 new | total 142423
diversity: processed 234000/642240 | +499 new | total 142922
diversity: processed 235000/642240 | +470 new | total 143392
diversity: processed 236000/642240 | +488 new | total 143880
diversity: processed 237000/642240 | +498 new | total 144378
diversity: processed 238000/642240 | +488 new | total 144866
diversity: processed 239000/642240 | +498 new | total 145364
diversity: processed 240000/642240 | +518 new | total 145882
diversity: processed 241000/642240 | +519 new | total 146401
diversity: processed 242000/642240 | +492 new | total 146893
diversity: processed 243000/642240 | +483 new | total 147376
diversity: processed 244000/642240 | +469 new | total 147845
diversity: processed 245000/642240 | +514 new | total 148359
diversity: processed 246000/642240 | +509 new | total 148868
diversity: processed 247000/642240 | +490 new | total 149358
diversity: processed 248000/642240 | +503 new | total 149861
diversity: processed 249000/642240 | +493 new | total 150354
diversity: processed 250000/642240 | +480 new | total 150834
diversity: processed 251000/642240 | +499 new | total 151333
diversity: processed 252000/642240 | +497 new | total 151830
diversity: processed 253000/642240 | +488 new | total 152318
diversity: processed 254000/642240 | +489 new | total 152807
diversity: processed 255000/642240 | +481 new | total 153288
diversity: processed 256000/642240 | +516 new | total 153804
diversity: processed 257000/642240 | +496 new | total 154300
diversity: processed 258000/642240 | +502 new | total 154802
diversity: processed 259000/642240 | +497 new | total 155299
diversity: processed 260000/642240 | +508 new | total 155807
