compound_id,Canonical_SMILES,pPotency,Bacteria
51397591,CNC(=O)[C@@H](CCc1ccccc1)NC(=O)[C@@H](CC(=O)NO)CC(C)C,5.154901959985743,BacillusAnthracis
5348600,O=c1oc2c(O)c(O)ccc2c2c1CCC2,6.2441251443275085,BacillusAnthracis
71166,Cc1cc(N)c2cc(NC(=O)Nc3ccc4nc(C)cc(N)c4c3)ccc2n1,6.301029995663981,BacillusAnthracis
73058266,Cc1ccc(-c2cnnc(N3CCC(c4cccc([N+](=O)[O-])c4)C3)n2)o1,4.0,BacillusAnthracis
73053902,Clc1cccc(C2CCN(c3nncc(-c4ccc5c(c4)OCO5)n3)C2)c1,4.0,BacillusAnthracis
73054449,COC(=O)c1cccc(-c2ccc(-c3cnnc(N4CCC(c5cccc(Cl)c5)C4)n3)o2)c1,4.0,BacillusAnthracis
73054177,O=[N+]([O-])c1cccc(-c2ccc(-c3cnnc(N4CCC(c5cccc(Cl)c5)C4)n3)o2)c1,4.0,BacillusAnthracis
73054176,Nc1ccc(-c2cnnc(N3CCC(c4cccc(Cl)c4)C3)n2)cc1,3.5917600346881504,BacillusAnthracis
73054176,Nc1ccc(-c2cnnc(N3CCC(c4cccc(Cl)c4)C3)n2)cc1,4.795880017344075,BacillusAnthracis
73054176,Nc1ccc(-c2cnnc(N3CCC(c4cccc(Cl)c4)C3)n2)cc1,3.5917600346881504,BacillusAnthracis
73054176,Nc1ccc(-c2cnnc(N3CCC(c4cccc(Cl)c4)C3)n2)cc1,4.795880017344075,BacillusAnthracis
73054176,Nc1ccc(-c2cnnc(N3CCC(c4cccc(Cl)c4)C3)n2)cc1,3.5917600346881504,BacillusAnthracis
73054176,Nc1ccc(-c2cnnc(N3CCC(c4cccc(Cl)c4)C3)n2)cc1,4.795880017344075,BacillusAnthracis
73054176,Nc1ccc(-c2cnnc(N3CCC(c4cccc(Cl)c4)C3)n2)cc1,3.5917600346881504,BacillusAnthracis
73054176,Nc1ccc(-c2cnnc(N3CCC(c4cccc(Cl)c4)C3)n2)cc1,4.795880017344075,BacillusAnthracis
73054176,Nc1ccc(-c2cnnc(N3CCC(c4cccc(Cl)c4)C3)n2)cc1,3.5917600346881504,BacillusAnthracis
73054176,Nc1ccc(-c2cnnc(N3CCC(c4cccc(Cl)c4)C3)n2)cc1,4.795880017344075,BacillusAnthracis
73054176,Nc1ccc(-c2cnnc(N3CCC(c4cccc(Cl)c4)C3)n2)cc1,5.096910013008056,BacillusAnthracis
73054176,Nc1ccc(-c2cnnc(N3CCC(c4cccc(Cl)c4)C3)n2)cc1,3.5917600346881504,BacillusAnthracis
73054176,Nc1ccc(-c2cnnc(N3CCC(c4cccc(Cl)c4)C3)n2)cc1,3.5917600346881504,BacillusAnthracis
73054176,Nc1ccc(-c2cnnc(N3CCC(c4cccc(Cl)c4)C3)n2)cc1,4.795880017344075,BacillusAnthracis
73054176,Nc1ccc(-c2cnnc(N3CCC(c4cccc(Cl)c4)C3)n2)cc1,3.5917600346881504,BacillusAnthracis
73054176,Nc1ccc(-c2cnnc(N3CCC(c4cccc(Cl)c4)C3)n2)cc1,4.795880017344075,BacillusAnthracis
73054176,Nc1ccc(-c2cnnc(N3CCC(c4cccc(Cl)c4)C3)n2)cc1,3.5917600346881504,BacillusAnthracis
73054176,Nc1ccc(-c2cnnc(N3CCC(c4cccc(Cl)c4)C3)n2)cc1,4.795880017344075,BacillusAnthracis
73054176,Nc1ccc(-c2cnnc(N3CCC(c4cccc(Cl)c4)C3)n2)cc1,3.5917600346881504,BacillusAnthracis
73054176,Nc1ccc(-c2cnnc(N3CCC(c4cccc(Cl)c4)C3)n2)cc1,4.795880017344075,BacillusAnthracis
14969,CN[C@H](CC(C)C)C(=O)N[C@H]1C(=O)N[C@@H](CC(N)=O)C(=O)N[C@H]2C(=O)N[C@H]3C(=O)N[C@H](C(=O)N[C@H](C(=O)O)c4cc(O)cc(O)c4-c4cc3ccc4O)[C@H](O)c3ccc(c(Cl)c3)Oc3cc2cc(c3O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O[C@H]2C[C@](C)(N)[C@H](O)[C@H](C)O2)Oc2ccc(cc2Cl)[C@H]1O,6.0,BacillusAnthracis
