Canonical_SMILES,Drug_Type,pPotency_prediction,pPotency_std,pPotency_lower_95CI,pPotency_upper_95CI,IC50(M)_prediction,IC50(M)_lower_95CI,IC50(M)_upper_95CI,AMES,hERG,DILI,ClinTox,Carcinogens_Lagunin,Skin_Reaction,LD50_Zhu,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,NR-AR-LBD,NR-AR,NR-AhR,NR-Aromatase,NR-ER-LBD,NR-ER,NR-PPAR-gamma,BBB_Martins,Pgp_Broccatelli,Caco2_Wang,HIA_Hou,PAMPA_NCATS,Bioavailability_Ma,CYP1A2_Veith,CYP2C19_Veith,CYP2C9_Substrate_CarbonMangels,CYP2C9_Veith,CYP2D6_Substrate_CarbonMangels,CYP2D6_Veith,CYP3A4_Substrate_CarbonMangels,CYP3A4_Veith
C=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\O)c3csc(N)n3)[C@H]2SC1,antibiotic,4.394360638687612,1.140032498248693,2.1598969421201737,6.62882433525505,4.033103444538567e-05,2.3505833996683633e-07,0.00691995161568986,0.31433553,0.034567002,0.9019802,0.12763521,0.31405854,0.53257567,2.4462934,0.27904433,0.03740789,0.025640646,0.017666679,0.12248923,0.009831616,0.036351897,0.032485943,0.007235081,0.034722727,0.06591322,0.0117911305,0.07575236,0.005492363,-5.9655066,0.12165856,0.009971759,0.41351542,0.0067283483,0.03959588,0.059846222,0.080272615,0.0024680202,0.016826335,0.13999844,0.018813636
CC(C)(O/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccccc3)CS[C@H]12)c1csc(N)n1)C(=O)O,antibiotic,4.38495622968945,1.141585228680404,2.1474491814758587,6.622463277903043,4.12139054383018e-05,2.38526547485683e-07,0.007121161226631325,0.18069471,0.03861918,0.6444405,0.13383164,0.28215748,0.30874926,2.5321178,0.06643154,0.008377881,0.0036851573,0.0008623491,0.035971355,0.0063793496,0.036488645,0.0037052468,0.0029722364,0.027114356,0.096214645,0.0010648438,0.04656786,0.0013630185,-6.6232133,0.0061837705,0.00046231254,0.20911369,0.0007758435,0.029287308,0.012612949,0.026650598,0.0005175464,0.048052017,0.04014494,0.007865879
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[N+]3(C)CCCC3)CS[C@H]12)c1csc(N)n1,antibiotic,4.352856328555797,1.1444502250171966,2.1097338875220917,6.595978769589502,4.437554209236365e-05,2.5352525628509304e-07,0.007767229051833613,0.21531367,0.06256503,0.04474619,0.001257914,0.100291654,0.5448648,2.1540122,0.0137280915,0.0022415952,0.00014544316,0.00033775606,0.0030236375,0.011065445,0.085487485,0.0014518874,0.0005986248,0.012185817,0.11124317,3.3786405e-06,0.032789998,0.00013510913,-6.002025,0.0009848273,0.0018812995,0.09307605,0.00047279242,0.0060638287,0.00023040498,0.0012108722,0.0036475458,0.0058897333,0.0064613433,0.004135738
CC(C)(C)C(=O)OCOC(=O)[C@@H]1N2C(=O)[C@@H](N=CN3CCCCCC3)[C@H]2SC1(C)C,antibiotic,4.324223271870009,1.1391979627920943,2.0913952647975043,6.557051278942514,4.739982389403694e-05,2.7729926666284676e-07,0.00810223312965847,0.4061187,0.382555,0.5834857,0.21958217,0.097892165,0.41853842,2.4299297,0.27074558,0.031509828,0.029318932,0.041258514,0.10972905,0.04003477,0.050538868,0.008885745,0.034985848,0.035285622,0.102314755,0.030249199,0.45762935,0.2765121,-4.6664777,0.9787714,0.7571435,0.82495326,0.0013983161,0.05968942,0.112334706,0.026715135,0.09872718,0.02228336,0.67490494,0.27369872
CC1(C)S[C@@H]2[C@H](NC(=O)C3(N)CCCCC3)C(=O)N2[C@H]1C(=O)O,antibiotic,4.323987691070087,1.1390894513440495,2.0913723664357504,6.5566030157044235,4.7425542658709846e-05,2.7758563281541085e-07,0.008102660334617436,0.18956265,0.021938438,0.40115786,0.13787596,0.07351903,0.34057194,2.1960373,0.043102168,0.0057519684,0.003878362,0.00084094424,0.03181093,0.02042007,0.07676021,0.0013986955,0.002291649,0.018707955,0.13542716,0.0032025534,0.1681911,0.007954018,-5.9217916,0.3237644,0.016211549,0.67130184,0.00015604962,0.0064383736,0.03292336,0.0032713949,0.008296239,0.005179325,0.121153496,0.0014098265
Cn1nnc(-c2ccc(-c3ccc(N4C[C@H](CO)OC4=O)cc3F)cn2)n1,antibiotic,4.313783820650747,1.1391072771645836,2.0811335574081635,6.546434083893331,4.855301230040062e-05,2.84161944599262e-07,0.008295956049876275,0.68926096,0.19829352,0.9781655,0.18845038,0.3311361,0.42823315,2.8529723,0.20093384,0.062993735,0.015983252,0.035052083,0.13083051,0.015581399,0.022757407,0.08987311,0.029062504,0.007866553,0.10986867,0.014782895,0.78141767,0.043385055,-5.1420426,0.9881159,0.6569071,0.93350077,0.11151955,0.036401536,0.3192662,0.021361243,0.066603824,0.01702657,0.49640244,0.036159318
CN(C)c1cc(CNCC(C)(C)C)c(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,antibiotic,4.31036136231893,1.140601692705076,2.074782044616981,6.545940680020879,4.8937145983499183e-05,2.844849656933687e-07,0.00841817510873874,0.40488368,0.40996486,0.46446005,0.2820789,0.065960616,0.23544796,3.4258523,0.059452195,0.026710529,0.0013471267,0.020018721,0.09060479,0.014954808,0.05594348,0.036140483,0.013142918,0.031228805,0.11419813,0.0021782792,0.12826225,0.04579189,-5.834462,0.4631296,0.10679026,0.6961199,0.011913746,0.031197319,0.008953385,0.010394054,0.041097652,0.02725577,0.22288387,0.024300452
C[C@H]1[C@H](NC(=O)/C(=N\OC(C)(C)C(=O)O)c2csc([NH3+])n2)C(=O)N1S(=O)(=O)[O-],antibiotic,4.306421130921365,1.139731052991064,2.0725482670588793,6.54029399478385,4.93831591289305e-05,2.882079824416309e-07,0.008461585223605548,0.5478941,0.008841209,0.6668963,0.037358206,0.3921148,0.6072942,2.1748497,0.0652875,0.0025485258,0.0006685857,0.00034290276,0.029706279,0.004702513,0.013589652,0.002306815,0.0008147723,0.009912157,0.10620312,0.00012450878,0.24006717,0.00017327876,-6.1319475,0.01670307,0.0046159243,0.3358215,0.0026237068,0.015451993,0.024457756,0.0101422155,0.0005838049,0.012855342,0.034117945,0.00056370837
O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)N1,antibiotic,4.275318279829522,1.1393890024523337,2.042115835022948,6.508520724636096,5.304955193967596e-05,3.1008394122064794e-07,0.009075784285771257,0.9925907,0.044382416,0.97347707,0.018124178,0.47273454,0.98575056,2.2397904,0.787176,0.098329134,0.08845216,0.37667325,0.2314181,0.02821502,0.0040692408,0.10668925,0.013036725,0.026408711,0.10760202,0.029422993,0.9418734,0.009787062,-4.5529304,0.9983324,0.94382346,0.84439564,0.6310261,0.103211045,0.13139041,0.026782209,0.041402422,0.008770822,0.6831427,0.005449949
NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O,antibiotic,4.269140292204939,1.139746084928904,2.0352379657442867,6.5030426186655905,5.380959307587656e-05,3.1402005211309434e-07,0.009220660551793738,0.40821022,0.06062817,0.002877191,0.006433884,0.00012655024,0.3338973,1.2952654,0.007956889,0.0031623624,3.0470133e-05,0.00034574192,0.0037523974,0.015554501,0.16309825,0.00022906422,0.0013681215,0.0349485,0.30165482,5.5935498e-06,0.018269747,0.000109397944,-8.122779,0.00020282804,0.00019203949,0.01892106,5.352009e-07,0.0038052883,3.6472989e-06,7.830995e-05,0.0016248738,0.0011558125,0.0083666,0.000106402884
