,Bacteria,compound_id,Smiles,pPotency
156,BacillusAnthracis,73055906,Cc1cc(N)c2cc(NC(=O)c3cccc(-c4ccc5ncccc5c4)c3)ccc2n1,5.337242168318426
157,BacillusAnthracis,73056185,COc1ccccc1/C=C/C(=O)Nc1ccc2nc(C)cc(N)c2c1,4.337242168318426
158,BacillusAnthracis,73056477,CCOc1ccccc1CCC(=O)Nc1ccc2nc(C)cc(N)c2c1,4.0
159,BacillusAnthracis,73056478,CCCOc1ccccc1CCC(=O)Nc1ccc2nc(C)cc(N)c2c1,4.0
160,BacillusAnthracis,73055902,Cc1cc(N)c2cc(NC(=O)c3ccc(-c4cnc5ccccc5c4)cc3)ccc2n1,5.522878745280337
161,BacillusAnthracis,73056473,COc1ccc(Br)cc1CCC(=O)Nc1ccc2nc(C)cc(N)c2c1,4.0
162,BacillusAnthracis,73054451,Cc1cc(N)c2cc(NC(=O)c3ccc(Oc4ccccc4)cc3)ccc2n1,4.154901959985743
163,BacillusAnthracis,73054455,Cc1cc(N)c2cc(NC(=O)c3cccc(N(C)C)c3)ccc2n1,4.0
164,BacillusAnthracis,73054732,Cc1cc(N)c2cc(NC(=O)c3ccc4ccccc4n3)ccc2n1,4.091514981121351
165,BacillusAnthracis,73055301,COc1ccc(OC)c(CCC(=O)Nc2ccc3nc(C)cc(N)c3c2)c1,4.0
166,BacillusAnthracis,73054454,Cc1cc(N)c2cc(NC(=O)c3ccco3)ccc2n1,4.0
167,BacillusAnthracis,73056479,COc1ccccc1CC(=O)Nc1ccc2nc(C)cc(N)c2c1,4.0
168,BacillusAnthracis,73056179,Cc1cc(N)c2cc(NC(=O)c3cccc(-c4cncc5ccccc45)c3)ccc2n1,4.6777807052660805
169,BacillusAnthracis,73055019,COc1ccc(CCC(=O)Nc2ccc3nc(C)cc(N)c3c2)cc1,4.0
170,BacillusAnthracis,73056184,Cc1cc(N)c2cc(NC(=O)CCc3ccc(F)cc3)ccc2n1,4.0
171,BacillusAnthracis,73056475,COc1cc(Cl)ccc1CCC(=O)Nc1ccc2nc(C)cc(N)c2c1,4.107905397309519
172,BacillusAnthracis,73056476,COc1cc(Br)ccc1CCC(=O)Nc1ccc2nc(C)cc(N)c2c1,4.236572006437063
173,BacillusAnthracis,73054730,Cc1cc(N)c2cc(NC(=O)c3ccc(N4CCOCC4)cc3)ccc2n1,4.0
174,BacillusAnthracis,73054736,Cc1cc(N)c2cc(NC(=O)c3ccc(-c4cccnc4)cc3)ccc2n1,4.366531544420414
175,BacillusAnthracis,4369384,Cc1cc(S(=O)(=O)N[C@@H](C(=O)NO)C2CCOCC2)ccc1F,7.619788758288394
176,BacillusAnthracis,135403140,O=C(N/N=C/c1cc([N+](=O)[O-])ccc1O)c1ccc(O)c(O)c1,5.958607314841775
177,BacillusAnthracis,136241621,Cc1cc(=S)c(O)c(C(=S)NCc2ccc(-c3ccccc3)cc2)o1,4.853871964321762
178,BacillusAnthracis,51397591,CNC(=O)[C@@H](CCc1ccccc1)NC(=O)[C@@H](CC(=O)NO)CC(C)C,5.154901959985743
179,BacillusAnthracis,5348600,O=c1oc2c(O)c(O)ccc2c2c1CCC2,6.2441251443275085
180,BacillusAnthracis,71166,Cc1cc(N)c2cc(NC(=O)Nc3ccc4nc(C)cc(N)c4c3)ccc2n1,6.301029995663981
181,BacillusAnthracis,73058266,Cc1ccc(-c2cnnc(N3CCC(c4cccc([N+](=O)[O-])c4)C3)n2)o1,4.0
182,BacillusAnthracis,73053902,Clc1cccc(C2CCN(c3nncc(-c4ccc5c(c4)OCO5)n3)C2)c1,4.0
183,BacillusAnthracis,73054449,COC(=O)c1cccc(-c2ccc(-c3cnnc(N4CCC(c5cccc(Cl)c5)C4)n3)o2)c1,4.0
184,BacillusAnthracis,73054177,O=[N+]([O-])c1cccc(-c2ccc(-c3cnnc(N4CCC(c5cccc(Cl)c5)C4)n3)o2)c1,4.0
185,BacillusAnthracis,73054176,Nc1ccc(-c2cnnc(N3CCC(c4cccc(Cl)c4)C3)n2)cc1,3.5917600346881504
186,BacillusAnthracis,73054176,Nc1ccc(-c2cnnc(N3CCC(c4cccc(Cl)c4)C3)n2)cc1,4.795880017344075
187,BacillusAnthracis,73054176,Nc1ccc(-c2cnnc(N3CCC(c4cccc(Cl)c4)C3)n2)cc1,3.5917600346881504
188,BacillusAnthracis,73054176,Nc1ccc(-c2cnnc(N3CCC(c4cccc(Cl)c4)C3)n2)cc1,4.795880017344075
189,BacillusAnthracis,73054176,Nc1ccc(-c2cnnc(N3CCC(c4cccc(Cl)c4)C3)n2)cc1,3.5917600346881504
190,BacillusAnthracis,73054176,Nc1ccc(-c2cnnc(N3CCC(c4cccc(Cl)c4)C3)n2)cc1,4.795880017344075
191,BacillusAnthracis,73054176,Nc1ccc(-c2cnnc(N3CCC(c4cccc(Cl)c4)C3)n2)cc1,3.5917600346881504
192,BacillusAnthracis,73054176,Nc1ccc(-c2cnnc(N3CCC(c4cccc(Cl)c4)C3)n2)cc1,4.795880017344075
