SMILES,isStarter,molFormula,molWeight,numHeavyAtoms
Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2OC(=O)CC(=O)O)c(=O)[nH]1,False,C13H15N5O8,369.0921,26
CC(O)(C#N)O[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(=O)[nH]c(N)nc21,False,C13H16N6O6,352.1131,25
CC(N)O[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(=O)[nH]c(N)nc21,False,C12H18N6O5,326.1339,23
Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2OC(=O)CO)c(=O)[nH]1,False,C12H15N5O7,341.0971,24
COC(=O)O[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(=O)[nH]c(N)nc21,False,C12H15N5O7,341.0971,24
Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2OC(O)CO)c(=O)[nH]1,False,C12H17N5O7,343.1128,24
CC(=O)O[C@@H]1[C@H](O)[C@@H](C)O[C@H]1n1cnc2c(=O)[nH]c(N)nc21,False,C12H15N5O5,309.1073,22
CC(=O)[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(=O)[nH]c(N)nc21,False,C12H15N5O5,309.1073,22
CC(=O)O[C@@H]1[C@H](O)[C@@H](C(=O)O)O[C@H]1n1cnc2c(=O)[nH]c(N)nc21,False,C12H13N5O7,339.0815,24
CC(=O)O[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(=O)n(C(C)=O)c(N)nc21,False,C14H17N5O7,367.1128,26
CC(=O)O[C@@]1(C)[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(=O)[nH]c(N)nc21,False,C13H17N5O6,339.1179,24
CC(=O)O[C@H]1[C@H](n2cnc3c(=O)[nH]c(N)nc32)O[C@H](CO)[C@]1(C)O,False,C13H17N5O6,339.1179,24
CC(=O)O[C@@H]1[C@H](O)[C@@H](CO)O[C@]1(C)n1cnc2c(=O)[nH]c(N)nc21,False,C13H17N5O6,339.1179,24
CC(=O)O[C@H]1[C@H](n2cnc3c(=O)[nH]c(N)nc32)O[C@@](C)(CO)[C@H]1O,False,C13H17N5O6,339.1179,24
CC(=O)O[C@@H]1[C@H](O)[C@@H](C(C)O)O[C@H]1n1cnc2c(=O)[nH]c(N)nc21,False,C13H17N5O6,339.1179,24
CC(=O)O[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1n1c(C)nc2c(=O)[nH]c(N)nc21,False,C13H17N5O6,339.1179,24
Nc1nc2c(ncn2[C@@H]2OC[C@@H](O)[C@H]2O)c(=O)[nH]1,False,C9H11N5O4,253.0811,18
O=c1[nH]c2nc3c1ncn3[C@@H]1O[C@H](C(O)=N2)[C@@H](O)[C@H]1O,False,C10H9N5O5,279.0604,20
