PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Average IC50 Modifier,Average IC50,IC50 Modifier Test 1,IC50 Test 1,IC50 Modifier Test 2,IC50 Test 2,IC50 Test 3,IC50 Test 4,% Inhibition @ 50 uM Test 1,% Inhibition @ 25 uM Test 1,% Inhibition @ 12.5 uM Test 1,% Inhibition @ 6.25 uM Test 1,% Inhibition @ 5 uM Test 1,% Inhibition @ 3.125 uM Test 1,% Inhibition @ 2.5 uM Test 1,% Inhibition @ 1.563 uM Test 1,% Inhibition @ 1.25 uM Test 1,% Inhibition @ 0.781 uM Test 1,% Inhibition @ 0.625 uM Test 1,% Inhibition @ 0.391 uM Test 1,% Inhibition @ 0.3125 uM Test 1,% Inhibition @ 0.195 uM Test 1,% Inhibition @ 0.156 uM Test 1,% Inhibition @ 0.078 uM Test 1,% Inhibition @ 0.039 uM Test 1,% Inhibition @ 0.02 uM Test 1,% Inhibition @ 0.009 uM Test 1,% Inhibition @ 0.004 uM Test 1,% Inhibition @ 25 uM Test 2,% Inhibition @ 12.5 uM Test 2,% Inhibition @ 6.25 uM Test 2,% Inhibition @ 5 uM Test 2,% Inhibition @ 3.125 uM Test 2,% Inhibition @ 2.5 uM Test 2,% Inhibition @ 1.563 uM Test 2,% Inhibition @ 1.25 uM Test 2,% Inhibition @ 0.781 uM Test 2,% Inhibition @ 0.625 uM Test 2,% Inhibition @ 0.391 uM Test 2,% Inhibition @ 0.313 uM Test 2,% Inhibition @ 0.195 uM Test 2,% Inhibition @ 0.156 uM Test 2,% Inhibition @ 0.078 uM Test 2,% Inhibition @ 0.039 uM Test 2,% Inhibition @ 0.02 uM Test 2,% Inhibition @ 0.009 uM Test 2,% Inhibition @ 0.004 uM Test 2,% Inhibition @ 25 uM Test 3,% Inhibition @ 12.5 uM Test 3,% Inhibition @ 6.25 uM Test 3,% Inhibition @ 3.125 uM Test 3,% Inhibition @ 2.5 uM Test 3,% Inhibition @ 1.563 uM Test 3,% Inhibition @ 1.25 uM Test 3,% Inhibition @ 0.781 uM Test 3,% Inhibition @ 0.625 uM Test 3,% Inhibition @ 0.391 uM Test 3,% Inhibition @ 0.3125 uM Test 3,% Inhibition @ 0.195 uM Test 3,% Inhibition @ 0.156 uM Test 3,% Inhibition @ 0.078 uM Test 3,% Inhibition @ 0.039 uM Test 3,% Inhibition @ 0.02 uM Test 3,% Inhibition @ 0.009 uM Test 3,% Inhibition @ 0.004 uM Test 3,% Inhibition @ 2.5 uM Test 4,% Inhibition @ 1.25 uM Test 4,% Inhibition @ 0.625 uM Test 4,% Inhibition @ 0.313 uM Test 4,% Inhibition @ 0.156 uM Test 4,% Inhibition @ 0.078 uM Test 4,% Inhibition @ 0.039 uM Test 4,% Inhibition @ 0.02 uM Test 4,Verification
33,150864359,5018304,C1=CC=C(C(=C1)CC(=O)[O-])NC2=C(C=CC=C2Cl)Cl.[Na+],Inactive,0,,,,,,,,,,,36.13,15.67,9,7.2,,5.77,,3.53,,4.47,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verified
34,152138454,66545952,C1CN(CC(=O)N1)CC2=NC3=C(C=C(C=C3)[N+](=O)[O-])C(=O)N2C4=CC=CC=C4F,Inactive,0,,,,,,,,,,,-1.4,-2.73,-1.03,-0.17,,0.6,,0.33,-3.17,-1.13,-1.33,-1.43,0.57,,0.37,1.13,2.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verified
35,152138456,13228318,CCN(CC)C1=NC(=O)C2=C(S1)N=CC=C2,Inactive,0,,,,,,,,,,,-1.73,-0.33,-0.13,-0.07,,0.2,,1.07,-0.97,0.8,0.37,-0.8,2.17,,0.13,0.8,2.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verified
36,152138457,941565,COC1=CC=C(C=C1)NC2=NC(=O)C3=C(S2)N=CC=C3,Inactive,0,,,,,,,,,,,-2.13,-0.8,0.43,-0.1,,0.9,,2.37,-1.5,1.2,0.63,0.93,1.9,,1.43,2.53,2.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verified
37,152138458,66545950,C1=CC=C(C=C1)CCC2=CC=C(C=C2)NC3=NC(=O)C4=C(S3)N=CC=C4,Inactive,0,,,,,,,,,,,-2.33,7.6,6.27,4.17,,8.13,,3,-0.2,2.07,1.47,1.3,1.47,,1.87,3.73,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verified
38,136348362,57339121,CCN1CCN(CC1)CC2=NC3=C(C=C(C=C3)[N+](=O)[O-])C(=O)N2C,Inactive,0,,,,,,,,,,,2.33,-5.13,-1.57,1.8,,2.33,,1.67,,0.93,,1.1,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verified
39,136348363,57339119,CCN1CCN(CC1)CC2=NC3=C(C=C(C=C3)C(=O)O)C(=O)N2C4=CC=CC=C4,Inactive,0,,,,,,,,,,,,-5.4,-1.43,2.3,,4.7,,2.3,,1.6,,0.73,,1.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verified
40,136348364,57339123,COC1=CC=CC=C1N2C(=NC3=C(C2=O)C=C(C=C3)[N+](=O)[O-])CN4CCNCC4,Inactive,0,,,,,,,,,,,,5.2,-2.7,0.87,,1.8,,-0.63,,1.77,,1.3,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verified
41,143472904,60138207,CCN1CCN(CC1)CC2=NC3=C(C=C(C=C3)C4=CN=CC=C4)C(=O)N2C5=CC=CC=C5,Inactive,0,,,,,,,,,,,,7.6,10.97,11.6,,9.17,,12.33,,10.7,,4.07,,5.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verified
42,143472905,60138202,CCN1CCN(CC1)CC2=NC3=C(C=CC=C3[N+](=O)[O-])C(=O)N2C4=CC=CC=C4,Inactive,0,,,,,,,,,,,,-3.57,3.63,7.23,,5.8,,10.33,,8,,4.27,,6.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verified
43,143472906,60138205,CN(C)C1=CC=CC(=C1)N2C(=NC3=C(C2=O)C=C(C=C3)[N+](=O)[O-])CN4CCNCC4,Inactive,0,,,,,,,,,,,,2.5,7.3,12.2,,9.53,,15.2,,9.3,,3.97,,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verified
44,143472907,60138208,CN(C)C1=CC=C(C=C1)N2C(=NC3=C(C2=O)C=C(C=C3)[N+](=O)[O-])CN4CCNCC4,Inactive,0,,,,,,,,,,,,46.6,37.6,24.6,,20.07,,19.67,,12.5,,7.13,,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verified
45,143472911,60138201,CCN1CCN(CC1)CC2=NC3=C(C=CC=N3)C(=O)N2C4=CC=CC=C4,Inactive,0,,,,,,,,,,,,-1.77,4.33,7.07,,4.63,,6.07,,3.23,,3.87,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verified
46,144087339,60156244,CCN1CCN(CC1)CC2NC3=C(C=C(C=C3)[N+](=O)[O-])C(=O)N2C4=CC=CC=C4F,Inactive,0,,,,,,,,,,,,7.2,9.9,6.53,,8,,8.43,,9.8,,5.93,,2.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verified
47,144087342,60156251,CCN1CCN(CC1)CC2=NC3=C(C=C(C=C3)S(=O)(=O)O)C(=O)N2C4=CC=CC=C4,Inactive,0,,,,,,,,,,,,-0.9,3.47,6.07,,7.23,,8.7,,8.73,,5.1,,2.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verified
48,144087343,60156252,C1=CC=C(C=C1)COC2=CC=C(C=C2)NC3=NC(=O)C4=C(S3)N=CC(=C4)[N+](=O)[O-],Inactive,0,,,,,,,,,,,,-1.13,6.3,7.4,,8.33,,8.7,,10.9,,6.53,,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verified
