Starter_Name,starter_Canonical_SMILES,Canonical_SMILES
Adenosine,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CC(O)N(C(N)=O)c1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@]2(O)O[C@@H]12
Adenosine,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,C[C@]1(O)[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(N(C=O)C(N)=O)ncnc21
Adenosine,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CC(O)N(C(N)=O)c1nc2nc3c1ncn3[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O2
Adenosine,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CC(O)N(C(N)=O)c1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@H]2O[C@]21O
Adenosine,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CC(O)N(C(N)=O)c1ncnc2c1ncn2[C@@H]1O[C@@H]2CO[C@@]2(O)[C@H]1O
Adenosine,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,Cc1nc(N(C=O)C(N)=O)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2n1
Adenosine,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,C[C@@]1(CO)O[C@@H](n2cnc3c(N(C=O)C(N)=O)ncnc32)[C@H](O)[C@@H]1O
Adenosine,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CC(O)N(C(N)=O)c1ncnc2c1ncn2[C@@H]1O[C@@H]2C(O)O[C@H]2[C@H]1O
Adenosine,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CC(O)N(C(N)=O)c1ncnc2c1ncn2[C@@H]1O[C@@]2(CO2)[C@@H](O)[C@H]1O
Adenosine,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,NC(=O)N1c2ncnc3c2ncn3[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2OCC1O
Adenosine,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,Cc1nc2c(N(C=O)C(N)=O)ncnc2n1[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
Adenosine,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CC(O)N(C(N)=O)c1ncnc2c1nc1n2[C@@H]2O[C@H](CO1)[C@@H](O)[C@H]2O
Adenosine,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,NC(=O)N1c2ncnc3c2ncn3[C@@H]2O[C@H](COCC1O)[C@@H](O)[C@H]2O
Adenosine,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CC(O)[C@H]1O[C@@H](n2cnc3c(N(C=O)C(N)=O)ncnc32)[C@H](O)[C@@H]1O
Adenosine,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,C[C@]1(n2cnc3c(N(C=O)C(N)=O)ncnc32)O[C@H](CO)[C@@H](O)[C@H]1O
Adenosine,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CC(=O)N(C(N)=O)c1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
Adenosine,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,NC(=O)N1c2ncnc3c2ncn3[C@@H]2O[C@H](CO)[C@@H](OCC1O)[C@H]2O
Adenosine,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CC(O)N(C(N)=O)c1nc2nc3c1ncn3[C@@H]1O[C@H](CO)[C@@H](O2)[C@H]1O
Adenosine,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CC(O)N(C(N)=O)c1ncnc2c1ncn2[C@@H]1O[C@]2(CO)O[C@H]2[C@H]1O
Adenosine,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CC(O)N(C(N)=O)c1ncnc2c1ncn2[C@@H]1O[C@@H]2C(O)O[C@@H]1[C@@H]2O
Adenosine,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CC(O)N(C(N)=O)c1nc2nc3c1ncn3[C@@H]1O[C@H](CO2)[C@@H](O)[C@H]1O
Adenosine,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CC(O)N(C(N)=O)c1ncnc2c1ncn2[C@]12O[C@@H]1[C@H](O)[C@@H](CO)O2
Adenosine,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CC(O)N(C(N)=O)c1ncnc2c1ncn2[C@@H]1O[C@]2(CO)O[C@@H]1[C@@H]2O
Adenosine,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,C[C@]1(O)[C@@H](CO)O[C@@H](n2cnc3c(N(C=O)C(N)=O)ncnc32)[C@@H]1O
Adenosine,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CC(O)N(C(N)=O)c1ncnc2c1ncn2[C@@H]1O[C@@H]2CO[C@]1(O)[C@@H]2O
Adenosine,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CC(O)N(C(N)=O)c1ncnc2c1ncn2[C@@]12OC[C@@H](O1)[C@@H](O)[C@H]2O
Adenosine,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CCC(=O)OC(CC)[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
Adenosine,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CCC(=O)O[C@H]1[C@@H](O)[C@H](n2c(CC)nc3c(N)ncnc32)O[C@@H]1CO
Adenosine,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CCC(=O)O[C@@H]1[C@@H](CO)O[C@@H](n2cnc3c(N)ncnc32)[C@]1(O)CC
Adenosine,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CCC(=O)O[C@H]1[C@@H](O)[C@H](n2cnc3c(N)nc(CC)nc32)O[C@@H]1CO
Adenosine,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CCC(=O)O[C@H]1[C@@H](O)[C@H](n2cnc3c(N)ncnc32)O[C@@]1(CC)CO
Adenosine,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CCC(=O)O[C@H]1[C@@H](O)[C@@](CC)(n2cnc3c(N)ncnc32)O[C@@H]1CO
Adenosine,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CCC(=O)OC[C@H]1O[C@@H](n2cnc3c(N)nc(CC)nc32)[C@H](O)[C@@H]1O
Adenosine,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CCC(=O)Nc1nc(CC)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
Adenosine,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CCC(C)C(=O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
Adenosine,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CCC(=O)O[C@H]1[C@H](n2cnc3c(N)ncnc32)O[C@@](CC)(CO)[C@H]1O
Adenosine,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CCC(=O)OC[C@H]1O[C@](CC)(n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
Adenosine,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CCCCC(=O)Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
