dirName,starters_Canonical_SMILES,target_Canonical_SMILES,helpers_Canonical_SMILES,maxAtoms,generations,pPotency_prediction,pPotency_std,IC50 (µM)
high_pPotency_molecule_pathway12_wGen2,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,O=CNc1ncnc2c1ncn2[C@@H]1O[C@H](C=O)[C@@H](O)[C@H]1O,"Br, BrBr, C#N, C=C, C=O, CO, N, N#CO, N#N, NO, O, O=C=O, O=NO, O=O, O=S(=O)(O)O, O=S(O)O, O=S=O, O=[N+]([O-])O, S, [C-]#[O+], [H][H]","{'C': 15, 'N': 8, 'O': 6, 'S': 1}",2,5.645,0.4721122901580117,2.2623524483465043
high_pPotency_molecule_pathway12_wGen3,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,O=CNc1ncnc2c1ncn2[C@@H]1O[C@H](C=O)[C@@H](O)[C@H]1O,"Br, BrBr, C#N, C=C, C=O, CO, N, N#CO, N#N, NO, O, O=C=O, O=NO, O=O, O=S(=O)(O)O, O=S(O)O, O=S=O, O=[N+]([O-])O, S, [C-]#[O+], [H][H]","{'C': 15, 'N': 8, 'O': 6, 'S': 1}",3,5.645,0.4721122901580117,2.2623524483465043
high_pPotency_molecule_pathway13_wGen3,Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,Nc1nc2c(ncn2[C@@H]2OC(C(O)O)=C[C@H]2O)c(=O)[nH]1,"Br, BrBr, C#N, C=C, C=O, CO, N, N#CO, N#N, NO, O, O=C=O, O=NO, O=O, O=S(=O)(O)O, O=S(O)O, O=S=O, O=[N+]([O-])O, S, [C-]#[O+], [H][H]","{'C': 15, 'N': 8, 'O': 8, 'S': 1}",3,5.629,0.4757028597240771,2.348605290807148
high_pPotency_molecule_pathway13_wGen2,Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,Nc1nc2c(ncn2[C@@H]2OC(C(O)O)=C[C@H]2O)c(=O)[nH]1,"Br, BrBr, C#N, C=C, C=O, CO, N, N#CO, N#N, NO, O, O=C=O, O=NO, O=O, O=S(=O)(O)O, O=S(O)O, O=S=O, O=[N+]([O-])O, S, [C-]#[O+], [H][H]","{'C': 15, 'N': 8, 'O': 8, 'S': 1}",2,5.629,0.4757028597240771,2.348605290807148
high_pPotency_molecule_pathway13_wGen1,Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,Nc1nc2c(ncn2[C@@H]2OC(C(O)O)=C[C@H]2O)c(=O)[nH]1,"Br, BrBr, C#N, C=C, C=O, CO, N, N#CO, N#N, NO, O, O=C=O, O=NO, O=O, O=S(=O)(O)O, O=S(O)O, O=S=O, O=[N+]([O-])O, S, [C-]#[O+], [H][H]","{'C': 15, 'N': 8, 'O': 8, 'S': 1}",1,5.629,0.4757028597240771,2.348605290807148
high_pPotency_molecule_pathway14_wGen1,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,NC(=O)O,"Br, BrBr, C#N, C=C, C=O, CO, N, N#CO, N#N, NO, O, O=C=O, O=NO, O=O, O=S(=O)(O)O, O=S(O)O, O=S=O, O=[N+]([O-])O, S, [C-]#[O+], [H][H]","{'C': 15, 'N': 8, 'O': 6, 'S': 1}",1,5.627,0.4778164170800386,2.3607113070515946
high_pPotency_molecule_pathway14_wGen2,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,NC(=O)O,"Br, BrBr, C#N, C=C, C=O, CO, N, N#CO, N#N, NO, O, O=C=O, O=NO, O=O, O=S(=O)(O)O, O=S(O)O, O=S=O, O=[N+]([O-])O, S, [C-]#[O+], [H][H]","{'C': 15, 'N': 8, 'O': 6, 'S': 1}",2,5.627,0.4778164170800386,2.3607113070515946
high_pPotency_molecule_pathway14_wGen3,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,NC(=O)O,"Br, BrBr, C#N, C=C, C=O, CO, N, N#CO, N#N, NO, O, O=C=O, O=NO, O=O, O=S(=O)(O)O, O=S(O)O, O=S=O, O=[N+]([O-])O, S, [C-]#[O+], [H][H]","{'C': 15, 'N': 8, 'O': 6, 'S': 1}",3,5.627,0.4778164170800386,2.3607113070515946
high_pPotency_molecule_pathway15_wGen1,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,Nc1nc2nc3c1nc(C(O)O)n3[C@@H]1OC[C@@H](O)[C@H]1O2,"Br, BrBr, C#N, C=C, C=O, CO, N, N#CO, N#N, NO, O, O=C=O, O=NO, O=O, O=S(=O)(O)O, O=S(O)O, O=S=O, O=[N+]([O-])O, S, [C-]#[O+], [H][H]","{'C': 15, 'N': 8, 'O': 6, 'S': 1}",1,5.626,0.4734121731248699,2.367721827792262
high_pPotency_molecule_pathway15_wGen2,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,Nc1nc2nc3c1nc(C(O)O)n3[C@@H]1OC[C@@H](O)[C@H]1O2,"Br, BrBr, C#N, C=C, C=O, CO, N, N#CO, N#N, NO, O, O=C=O, O=NO, O=O, O=S(=O)(O)O, O=S(O)O, O=S=O, O=[N+]([O-])O, S, [C-]#[O+], [H][H]","{'C': 15, 'N': 8, 'O': 6, 'S': 1}",2,5.626,0.4734121731248699,2.367721827792262
high_pPotency_molecule_pathway15_wGen3,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,Nc1nc2nc3c1nc(C(O)O)n3[C@@H]1OC[C@@H](O)[C@H]1O2,"Br, BrBr, C#N, C=C, C=O, CO, N, N#CO, N#N, NO, O, O=C=O, O=NO, O=O, O=S(=O)(O)O, O=S(O)O, O=S=O, O=[N+]([O-])O, S, [C-]#[O+], [H][H]","{'C': 15, 'N': 8, 'O': 6, 'S': 1}",3,5.626,0.4734121731248699,2.367721827792262
high_pPotency_molecule_pathway16_wGen1,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,O=c1[nH]cnc2c1ncn2[C@@H]1OC(C(O)O)=C[C@H]1O,"Br, BrBr, C#N, C=C, C=O, CO, N, N#CO, N#N, NO, O, O=C=O, O=NO, O=O, O=S(=O)(O)O, O=S(O)O, O=S=O, O=[N+]([O-])O, S, [C-]#[O+], [H][H]","{'C': 15, 'N': 6, 'O': 8, 'S': 1}",1,5.625,0.4749494608260135,2.36905641593539
high_pPotency_molecule_pathway16_wGen2,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,O=c1[nH]cnc2c1ncn2[C@@H]1OC(C(O)O)=C[C@H]1O,"Br, BrBr, C#N, C=C, C=O, CO, N, N#CO, N#N, NO, O, O=C=O, O=NO, O=O, O=S(=O)(O)O, O=S(O)O, O=S=O, O=[N+]([O-])O, S, [C-]#[O+], [H][H]","{'C': 15, 'N': 6, 'O': 8, 'S': 1}",2,5.625,0.4749494608260135,2.36905641593539
high_pPotency_molecule_pathway16_wGen3,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,O=c1[nH]cnc2c1ncn2[C@@H]1OC(C(O)O)=C[C@H]1O,"Br, BrBr, C#N, C=C, C=O, CO, N, N#CO, N#N, NO, O, O=C=O, O=NO, O=O, O=S(=O)(O)O, O=S(O)O, O=S=O, O=[N+]([O-])O, S, [C-]#[O+], [H][H]","{'C': 15, 'N': 6, 'O': 8, 'S': 1}",3,5.625,0.4749494608260135,2.36905641593539
high_pPotency_molecule_pathway17_wGen3,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,O=CNc1ncnc2c1ncn2[C@@H]1OC[C@@H](O)[C@H]1O,"Br, BrBr, C#N, C=C, C=O, CO, N, N#CO, N#N, NO, O, O=C=O, O=NO, O=O, O=S(=O)(O)O, O=S(O)O, O=S=O, O=[N+]([O-])O, S, [C-]#[O+], [H][H]","{'C': 15, 'N': 8, 'O': 6, 'S': 1}",3,5.624,0.4703628071050577,2.374857616432553
high_pPotency_molecule_pathway17_wGen2,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,O=CNc1ncnc2c1ncn2[C@@H]1OC[C@@H](O)[C@H]1O,"Br, BrBr, C#N, C=C, C=O, CO, N, N#CO, N#N, NO, O, O=C=O, O=NO, O=O, O=S(=O)(O)O, O=S(O)O, O=S=O, O=[N+]([O-])O, S, [C-]#[O+], [H][H]","{'C': 15, 'N': 8, 'O': 6, 'S': 1}",2,5.624,0.4703628071050577,2.374857616432553
high_pPotency_molecule_pathway17_wGen1,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,O=CNc1ncnc2c1ncn2[C@@H]1OC[C@@H](O)[C@H]1O,"Br, BrBr, C#N, C=C, C=O, CO, N, N#CO, N#N, NO, O, O=C=O, O=NO, O=O, O=S(=O)(O)O, O=S(O)O, O=S=O, O=[N+]([O-])O, S, [C-]#[O+], [H][H]","{'C': 15, 'N': 8, 'O': 6, 'S': 1}",1,5.624,0.4703628071050577,2.374857616432553
high_pPotency_molecule_pathway18_wGen1,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,O=C1Nc2ncnc3c2ncn3[C@@H]2O[C@H]1[C@@H](O)[C@H]2O,"Br, BrBr, C#N, C=C, C=O, CO, N, N#CO, N#N, NO, O, O=C=O, O=NO, O=O, O=S(=O)(O)O, O=S(O)O, O=S=O, O=[N+]([O-])O, S, [C-]#[O+], [H][H]","{'C': 15, 'N': 8, 'O': 6, 'S': 1}",1,5.618,0.4708529600472844,2.410605783863802
high_pPotency_molecule_pathway18_wGen2,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,O=C1Nc2ncnc3c2ncn3[C@@H]2O[C@H]1[C@@H](O)[C@H]2O,"Br, BrBr, C#N, C=C, C=O, CO, N, N#CO, N#N, NO, O, O=C=O, O=NO, O=O, O=S(=O)(O)O, O=S(O)O, O=S=O, O=[N+]([O-])O, S, [C-]#[O+], [H][H]","{'C': 15, 'N': 8, 'O': 6, 'S': 1}",2,5.618,0.4708529600472844,2.410605783863802
high_pPotency_molecule_pathway18_wGen3,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,O=C1Nc2ncnc3c2ncn3[C@@H]2O[C@H]1[C@@H](O)[C@H]2O,"Br, BrBr, C#N, C=C, C=O, CO, N, N#CO, N#N, NO, O, O=C=O, O=NO, O=O, O=S(=O)(O)O, O=S(O)O, O=S=O, O=[N+]([O-])O, S, [C-]#[O+], [H][H]","{'C': 15, 'N': 8, 'O': 6, 'S': 1}",3,5.618,0.4708529600472844,2.410605783863802
high_pPotency_molecule_pathway19_wGen1,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CC1(C)O[C@@H](n2cnc3c(NC=O)ncnc32)[C@H](O)[C@@H]1O,"Br, BrBr, C#N, C=C, C=O, CO, N, N#CO, N#N, NO, O, O=C=O, O=NO, O=O, O=S(=O)(O)O, O=S(O)O, O=S=O, O=[N+]([O-])O, S, [C-]#[O+], [H][H]","{'C': 15, 'N': 8, 'O': 6, 'S': 1}",1,5.616,0.4709556385980449,2.421166634536341
high_pPotency_molecule_pathway19_wGen3,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CC1(C)O[C@@H](n2cnc3c(NC=O)ncnc32)[C@H](O)[C@@H]1O,"Br, BrBr, C#N, C=C, C=O, CO, N, N#CO, N#N, NO, O, O=C=O, O=NO, O=O, O=S(=O)(O)O, O=S(O)O, O=S=O, O=[N+]([O-])O, S, [C-]#[O+], [H][H]","{'C': 15, 'N': 8, 'O': 6, 'S': 1}",3,5.616,0.4709556385980449,2.421166634536341
high_pPotency_molecule_pathway19_wGen2,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CC1(C)O[C@@H](n2cnc3c(NC=O)ncnc32)[C@H](O)[C@@H]1O,"Br, BrBr, C#N, C=C, C=O, CO, N, N#CO, N#N, NO, O, O=C=O, O=NO, O=O, O=S(=O)(O)O, O=S(O)O, O=S=O, O=[N+]([O-])O, S, [C-]#[O+], [H][H]","{'C': 15, 'N': 8, 'O': 6, 'S': 1}",2,5.616,0.4709556385980449,2.421166634536341
high_pPotency_molecule_pathway20_wGen2,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,OC1=Nc2ncnc3c2ncn3[C@@H]2O[C@H]1[C@@H](O)[C@H]2O,"Br, BrBr, C#N, C=C, C=O, CO, N, N#CO, N#N, NO, O, O=C=O, O=NO, O=O, O=S(=O)(O)O, O=S(O)O, O=S=O, O=[N+]([O-])O, S, [C-]#[O+], [H][H]","{'C': 15, 'N': 8, 'O': 6, 'S': 1}",2,5.615,0.4713800435394702,2.4277919460196387
high_pPotency_molecule_pathway20_wGen3,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,OC1=Nc2ncnc3c2ncn3[C@@H]2O[C@H]1[C@@H](O)[C@H]2O,"Br, BrBr, C#N, C=C, C=O, CO, N, N#CO, N#N, NO, O, O=C=O, O=NO, O=O, O=S(=O)(O)O, O=S(O)O, O=S=O, O=[N+]([O-])O, S, [C-]#[O+], [H][H]","{'C': 15, 'N': 8, 'O': 6, 'S': 1}",3,5.615,0.4713800435394702,2.4277919460196387
high_pPotency_molecule_pathway20_wGen1,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,OC1=Nc2ncnc3c2ncn3[C@@H]2O[C@H]1[C@@H](O)[C@H]2O,"Br, BrBr, C#N, C=C, C=O, CO, N, N#CO, N#N, NO, O, O=C=O, O=NO, O=O, O=S(=O)(O)O, O=S(O)O, O=S=O, O=[N+]([O-])O, S, [C-]#[O+], [H][H]","{'C': 15, 'N': 8, 'O': 6, 'S': 1}",1,5.615,0.4713800435394702,2.4277919460196387
