compound_id,Canonical_SMILES,pPotency,Virus
145976469,CS(=O)(=O)c1ccc(CNc2ccc(Cl)cc2CN2CCN(C(=O)CNC(=O)CC3CCC(F)(F)CC3)CC2)cc1,7.481486060122113,Ebola
145978230,CS(=O)(=O)c1ccc(CNc2ccc(Cl)cc2CN2CCN(C(=O)CNC(=O)C3CC34CCC(F)(F)CC4)CC2)cc1,7.455931955649724,Ebola
162147,C1=C2CCCN[C@H]2[C@@H]2C[C@H]1[C@H]1CCCCN1C2,4.906578314837765,Ebola
145964144,O=S(=O)(c1cccs1)N1CCCC2=C[C@H]3C[C@H](CN4CCCC[C@H]34)[C@@H]21,4.478861916295964,Ebola
145964165,O=S(=O)(c1cc(Cl)cc(Cl)c1)N1CCCC2=C[C@H]3C[C@H](CN4CCCC[C@H]34)[C@@H]21,4.97469413473523,Ebola
145964586,Clc1cc(Cl)cc(CCCN2CCCC3=C[C@H]4C[C@H](CN5CCCC[C@H]45)[C@@H]32)c1,5.214670164989233,Ebola
13408688,CN[C@@H]1CC[C@H](c2ccc(Cl)c(Cl)c2)c2ccccc21.Cl,5.522878745280337,Ebola
145966425,O=C(c1cc(Cl)cc(Cl)c1)N1CCCC2=C[C@H]3C[C@H](CN4CCCC[C@H]34)[C@@H]21,4.400116927926312,Ebola
145966448,Clc1ccc(CN2CCCC3=C[C@H]4C[C@H](CN5CCCC[C@H]45)[C@@H]32)c(Cl)c1,5.180456064458132,Ebola
145967145,O=C(c1ccc(Cl)cc1)N1CCCC2=C[C@H]3C[C@H](CN4CCCC[C@H]34)[C@@H]21,4.467245621007502,Ebola
145971839,O=S(=O)(c1ccc(Cl)cc1)N1CCCC2=C[C@H]3C[C@H](CN4CCCC[C@H]34)[C@@H]21,4.661543506395395,Ebola
145972380,N#Cc1cccc(S(=O)(=O)N2CCCC3=C[C@H]4C[C@H](CN5CCCC[C@H]45)[C@@H]32)c1,4.158640529545145,Ebola
145973105,Clc1ccc(CCCN2CCCC3=C[C@H]4C[C@H](CN5CCCC[C@H]45)[C@@H]32)cc1,5.1487416512809245,Ebola
145973503,Fc1ccc(CN2CCCC3=C[C@H]4C[C@H](CN5CCCC[C@H]45)[C@@H]32)cc1,4.769551078621726,Ebola
145974178,FC(F)(F)Oc1ccc(CN2CCCC3=C[C@H]4C[C@H](CN5CCCC[C@H]45)[C@@H]32)cc1,4.982966660701219,Ebola
145975034,COc1cccc(CN2CCCC3=C[C@H]4C[C@H](CN5CCCC[C@H]45)[C@@H]32)c1,4.91721462968355,Ebola
145975079,Clc1ccc(CCN2CCCC3=C[C@H]4C[C@H](CN5CCCC[C@H]45)[C@@H]32)cc1,5.221848749616356,Ebola
145975201,Clc1cc(Cl)cc(CN2CCCC3=C[C@H]4C[C@H](CN5CCCC[C@H]45)[C@@H]32)c1,5.091514981121351,Ebola
145975253,Clc1cc(Cl)cc(CCN2CCCC3=C[C@H]4C[C@H](CN5CCCC[C@H]45)[C@@H]32)c1,5.2441251443275085,Ebola
145975673,Clc1ccc(CCCN2CCCC3=C[C@H]4C[C@H](CN5CCCC[C@H]45)[C@@H]32)cc1Cl,5.236572006437063,Ebola
11472743,C1=C2CCCN(Cc3ccccc3)[C@H]2[C@@H]2C[C@H]1[C@H]1CCCCN1C2,4.818156412055227,Ebola
145976695,Clc1ccc(CN2CCCC3=C[C@H]4C[C@H](CN5CCCC[C@H]45)[C@@H]32)cc1Cl,5.318758762624412,Ebola
145977391,O=C(c1ccc(Cl)c(Cl)c1)N1CCCC2=C[C@H]3C[C@H](CN4CCCC[C@H]34)[C@@H]21,4.309803919971486,Ebola
145977519,Clc1ccc(CCN2CCCC3=C[C@H]4C[C@H](CN5CCCC[C@H]45)[C@@H]32)cc1Cl,5.167491087293763,Ebola
145977524,Cc1ccccc1CN1CCCC2=C[C@H]3C[C@H](CN4CCCC[C@H]34)[C@@H]21,4.779891911959945,Ebola
145978324,Clc1ccc(CN2CCCC3=C[C@H]4C[C@H](CN5CCCC[C@H]45)[C@@H]32)cc1,4.924453038607469,Ebola
145978625,O=S(=O)(c1ccc(Cl)c(Cl)c1)N1CCCC2=C[C@H]3C[C@H](CN4CCCC[C@H]34)[C@@H]21,4.617982957425132,Ebola
145990608,Nc1cccc2c1ncn2[C@@H]1C(F)=C(CO)[C@@H](O)[C@H]1O,6.443697499232712,Ebola
145983439,Nc1ccnc2c1ncn2[C@@H]1C=C(CO)[C@@H](O)[C@H]1O,5.3979400086720375,Ebola
145991490,Nc1cccc2c1ncn2[C@@H]1C=C(CO)[C@@H](O)[C@H]1O,5.698970004336019,Ebola
44468216,N#C[C@@]1(c2ccc3c(N)ncnn23)O[C@H](CO)[C@@H](O)[C@H]1O,4.698970004336019,Ebola
58059506,CCC(CC)COC(=O)[C@H](C)NP(=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@](C)(O)[C@@H]1O)Oc1ccccc1,4.568636235841013,Ebola
44470275,C[C@@]1(O)[C@H](O)[C@@H](CO)O[C@@]1(C#N)c1ccc2c(N)ncnn12,4.301029995663981,Ebola
58059494,CC(C)OC(=O)[C@H](C)NP(=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@](C)(O)[C@@H]1OC(=O)C(C)C)Oc1ccccc1,4.698970004336019,Ebola
121304016,CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,7.0,Ebola
121304049,C[C@H](NP(=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1)C(=O)OC1CCC1,6.376750709602099,Ebola
137634202,CC(C)OC(=O)[C@H](C)NP(=O)(OC[C@H]1O[C@@](C#N)(n2ccc(N)nc2=O)[C@H](O)[C@@H]1O)Oc1ccccc1,4.698970004336019,Ebola
121304026,CCC(CC)COC(=O)[C@H](C)N[P@@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,7.096910013008056,Ebola
56832850,CC(C)OC(=O)[C@H](C)NP(=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,5.734003629504921,Ebola
58069402,CCOC(=O)[C@H](C)NP(=O)(N[C@@H](C)C(=O)OCC)OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O,4.689944262249108,Ebola
121304045,C[C@H](NP(=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1)C(=O)OC1CCCC1,6.198596289982645,Ebola
137641304,CCOC(=O)[C@H](CC)NP(=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,5.072116589669293,Ebola
135329188,CCC(CC)COC(=O)[C@@H](C)NP(=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,6.259637310505756,Ebola
70907629,N#C[C@@]1(n2ccc(N)nc2=O)O[C@H](CO)[C@@H](O)[C@H]1O,4.301029995663981,Ebola
121310008,CCOC(=O)[C@H](Cc1ccccc1)NP(=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,5.3585258894959,Ebola
134443512,C[C@H](NP(=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1)C(=O)OCC(C)(C)C,6.774690718274137,Ebola
137654168,C[C@H](NP(=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1)C(=O)OC(C)(C)C,4.516983579855868,Ebola
56832852,CCOC(=O)[C@H](C)NP(=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,5.615288257061717,Ebola
137659538,CCC(CC)OC(=O)[C@H](C)NP(=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,5.742321425130816,Ebola
121310011,CCOC(=O)[C@@H](NP(=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1)C(C)C,5.152427340857888,Ebola
