reactants,products,reactionString,ruleName,thermo,reactionType
CC(=O)O[C@H]1[C@@H](O)[C@H](n2c(C)nc3c(N)ncnc32)O[C@@H]1CO,Cc1nc2c(N)ncnc2n1[C@@H]1O[C@@H]2CO[C@@]2(OC(C)O)[C@H]1O,CC(=O)O[C@H]1[C@@H](O)[C@H](n2c(C)nc3c(N)ncnc32)O[C@@H]1CO >> Cc1nc2c(N)ncnc2n1[C@@H]1O[C@@H]2CO[C@@]2(OC(C)O)[C@H]1O,rule0169_1,No_Thermo,Enzymatic
C#N.CC(=O)O[C@@H]1CO[C@](CO)(n2cnc3c(N)ncnc32)[C@@H]1O,CC(O)(C#N)O[C@@H]1CO[C@](CO)(n2cnc3c(N)ncnc32)[C@@H]1O,C#N.CC(=O)O[C@@H]1CO[C@](CO)(n2cnc3c(N)ncnc32)[C@@H]1O >> CC(O)(C#N)O[C@@H]1CO[C@](CO)(n2cnc3c(N)ncnc32)[C@@H]1O,rule0393_9,No_Thermo,Enzymatic
CC(O)O[C@H]1[C@@H](O)[C@H]2O[C@@H]1COc1nc3c(N)ncnc3n12,CC1Oc2nc3c(N)ncnc3n2[C@@H]2O[C@H]1[C@@H](OCO)[C@H]2O,CC(O)O[C@H]1[C@@H](O)[C@H]2O[C@@H]1COc1nc3c(N)ncnc3n12 >> CC1Oc2nc3c(N)ncnc3n2[C@@H]2O[C@H]1[C@@H](OCO)[C@H]2O,rule0028_51,No_Thermo,Enzymatic
CC(=O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,CC(O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@@H]2O[C@]12O,CC(=O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O >> CC(O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@@H]2O[C@]12O,rule0169_1,No_Thermo,Enzymatic
CC(O)O[C@@]12O[C@@H]1[C@@H](CO)O[C@H]2n1cnc2c(N)ncnc21.CC(O)O[C@@]12O[C@@H]1[C@@H](CO)O[C@H]2n1cnc2c(N)ncnc21,CC(O)O[C@@]12O[C@@H]1[C@@H](CO)O[C@]2(C)n1cnc2c(N)ncnc21.Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@H]2O[C@]21OCO,CC(O)O[C@@]12O[C@@H]1[C@@H](CO)O[C@H]2n1cnc2c(N)ncnc21.CC(O)O[C@@]12O[C@@H]1[C@@H](CO)O[C@H]2n1cnc2c(N)ncnc21 >> CC(O)O[C@@]12O[C@@H]1[C@@H](CO)O[C@]2(C)n1cnc2c(N)ncnc21.Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@H]2O[C@]21OCO,rule0126_2,No_Thermo,Enzymatic
CCC(=O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,CCC(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@]2(O)O[C@H]12,CCC(=O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O >> CCC(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@]2(O)O[C@H]12,rule0169_1,No_Thermo,Enzymatic
CC(O)O[C@H]1[C@@H](O)[C@H](n2cnc3c(N)ncnc32)O[C@@]12CO2.O,CC(O)O.Nc1ncnc2c1ncn2[C@@H]1O[C@@]2(CO2)[C@@H](O)[C@H]1O,CC(O)O[C@H]1[C@@H](O)[C@H](n2cnc3c(N)ncnc32)O[C@@]12CO2.O >> CC(O)O.Nc1ncnc2c1ncn2[C@@H]1O[C@@]2(CO2)[C@@H](O)[C@H]1O,rule0007_203,No_Thermo,Enzymatic
CC(=O)O[C@H]1[C@@H](O)[C@H](n2cnc3c(N)ncnc32)O[C@@H]1C=O.OO,CC(O)O[C@H]1[C@@H](O)[C@H](n2cnc3c(N)ncnc32)O[C@@H]1C=O.O=O,CC(=O)O[C@H]1[C@@H](O)[C@H](n2cnc3c(N)ncnc32)O[C@@H]1C=O.OO >> CC(O)O[C@H]1[C@@H](O)[C@H](n2cnc3c(N)ncnc32)O[C@@H]1C=O.O=O,rule0078_17,No_Thermo,Enzymatic
COC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](OC(C)=O)[C@@H]1O.COC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](OC(C)=O)[C@@H]1O,CC(=O)O[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(N)ncnc21.COC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](OC(C)=O)[C@@H]1OC,COC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](OC(C)=O)[C@@H]1O.COC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](OC(C)=O)[C@@H]1O >> CC(=O)O[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(N)ncnc21.COC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](OC(C)=O)[C@@H]1OC,rule0001_88,No_Thermo,Enzymatic
CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O.CC(O)O[C@@H]1[C@H](O)[C@H]2CO[C@]1(n1cnc3c(N)ncnc31)O2,CC(=O)Nc1ncnc2c1ncn2[C@@]12OC[C@@H](O1)[C@@H](O)[C@H]2OC(C)O.CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCS,CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O.CC(O)O[C@@H]1[C@H](O)[C@H]2CO[C@]1(n1cnc3c(N)ncnc31)O2 >> CC(=O)Nc1ncnc2c1ncn2[C@@]12OC[C@@H](O1)[C@@H](O)[C@H]2OC(C)O.CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCS,rule0042_10,No_Thermo,Enzymatic
