Starter_Name,Canonical_SMILES
Remdesivir,CCCCOC(=O)[C@H](C)N[P@@](=O)(Oc1ccccc1CC)OP(=O)(O)O
Adenosine,CCNc1ncnc2c1ncn2[C@@H]1O[C@H](C=O)[C@@H](O)[C@H]1O
Guanosine,C[C@]1(O)[C@@H](C=O)O[C@@H](n2cnc3c(=O)[nH]c(NC=O)nc32)[C@@H]1O
Remdesivir,CCC(CC)c1cccc(O[P@@](=O)(O)N[C@@H](C)C(=O)OC)c1
Brincidofovir,CCCCCCOCCCOP(=O)(O)CO[C@H](CO)Cn1c(CCCCC)cc(N)nc1=O
Brincidofovir,Nc1ccn(CCCCCCCCCCCOCCCOP(=O)(O)COCCO)c(=O)n1
Remdesivir,CCC(CC)(CC)COC(=O)[C@H](C)N[P@@](=O)(Oc1ccccc1)OP(=O)(O)O
Guanosine,C[C@H]1O[C@@H](n2cnc3c(=O)[nH]c(NC=O)nc32)[C@@](C)(O)[C@@H]1O
Remdesivir,CCN[P@@](=O)(Oc1ccccc1)OP(=O)(O)O
Adenosine,Cc1nc(NC=O)c2ncn([C@@H]3O[C@H](C=O)[C@@H](O)[C@H]3O)c2n1
Adenosine,CC(O)Nc1ncnc2c1ncn2[C@@H]1O[C@H](C=O)[C@@H](O)[C@H]1O
Adenosine,COC(=O)OP(=O)(O)O
Adenosine,O=COP(=O)(O)O
Remdesivir,CCCCOC(=O)[C@](C)(CC)N[P@](=O)(O)Oc1ccccc1
Remdesivir,CCC(CC)CC(CC)(CC)CO
Brincidofovir,CCCCCCCCCCCCCCCCOCCC(O)[C@@H](O)Cn1ccc(N)nc1=O
Guanosine,C[C@]1(n2cnc3c(=O)[nH]c(NC=O)nc32)O[C@H](C(=O)O)[C@@H](O)[C@H]1O
Remdesivir,CCCCOC(=O)[C@H](CCC)N[P@@](=O)(Oc1ccccc1)OP(=O)(O)O
Adenosine,Nc1ncnc2c1ncn2[C@@H]1O[C@H](C=O)[C@@H](O)[C@H]1O
Adenosine,Nc1ncnc2c1ncn2[C@@H]1OC(C=O)[C@@H](O)[C@H]1O
Remdesivir,CCC(C)(CC)COC(=O)CN[P@@](=O)(Oc1ccccc1)OP(=O)(O)O
Remdesivir,OC1=CC2OC2C=C1
Adenosine,C[C@H]1O[C@@H](n2cnc3c(NC=O)ncnc32)[C@H](O)[C@@]1(C)O
Inosine,O=c1[nH]c(C(O)O)nc2c1nc1n2[C@@H]2OC[C@@H](O1)[C@H]2O
Adenosine,Nc1nc(C(O)O)nc2c1ncn2[C@@H]1OC[C@@]2(O)O[C@@H]12
Adenosine,CC(=O)[C@]1(O)[C@H](O)[C@@H](C)O[C@H]1n1cnc2c(N)ncnc21
Remdesivir,OC1=CC=CC2OC12
Adenosine,CC(N)=O
Remdesivir,CCC(C)COC(=O)[C@H](C)N[P@@](=O)(Oc1cccc(C)c1)OP(=O)(O)O
Brincidofovir,CCCCOCCCOP(=O)(O)CO[C@H](CO)Cn1c(CCOCCCC)cc(N)nc1=O
Xanthosine,O=C1NC2=NC(=O)[C@H]3O[C@H]([C@H](O)[C@@H]3O)n3cnc2c3N1
Guanosine,CC(O)[C@H]1O[C@@H](n2cnc3c(=O)[nH]c(NC=O)nc32)[C@H](O)[C@@H]1O
Remdesivir,CCC(CC)COC(=O)[C@H](C)N[P@@](=O)(Oc1ccccc1O)OP(=O)(O)O
Adenosine,CC(=O)[C@@H]1[C@H](O)CO[C@H]1n1c(CO)nc2c(N)ncnc21
Adenosine,CC(O)Nc1ncnc2c1ncn2[C@@H]1O[C@]2(OC2C)[C@@H](O)[C@H]1O
Inosine,O=c1[nH]c2nc3c1nc(C(O)O)n3[C@@H]1OC[C@@H](O)[C@H]1O2
Remdesivir,CCC(CC)(COC=O)[C@H](C)N[P@@](=O)(Oc1ccccc1)OP(=O)(O)O
Remdesivir,CCC(CC)C(CC)OC(=O)[C@H](C)N[P@@](=O)(Oc1ccccc1)OP(=O)(O)O
Remdesivir,CCC(CC)COC(O)[C@H](C)N[P@@]1(=O)Oc2cccc(c2)OP(=O)(O)O1
Brincidofovir,CCC([C@H](O)CO)n1ccc(N)nc1=O
Remdesivir,CCC(CC)C(O)OC(=O)[C@H](C)N[P@@](=O)(Oc1ccccc1)OP(=O)(O)O
Brincidofovir,Cn1c([C@H](O)CO)cc(N)nc1=O
Brincidofovir,Nc1ccn(C[C@H](O)C(O)C(=O)O)c(=O)n1
Brincidofovir,CCCCCCCCCCCCCCCCOCC[C@](O)(CO)Cn1ccc(N)nc1=O
Brincidofovir,Nc1ccn(CCCCCCCCCCCCOCCCOP(=O)(O)COCCO)c(=O)n1
Brincidofovir,CCCCCCCCC[C@](CO)(Cn1ccc(N)nc1=O)OCP(=O)(O)OP(=O)(O)O
Remdesivir,CCC(CC)COC(=O)OP(=O)(O)O
Brincidofovir,CCCCCCCCCOCCCOP(=O)(O)CO[C@H](CO)Cn1cc(CC)c(N)nc1=O
Guanosine,O=CNc1nc2c(ncn2[C@@H]2OC[C@@H](O)[C@H]2O)c(=O)[nH]1
Remdesivir,CCCC(CC)OC(=O)[C@H](C)N[P@](=O)(O)Oc1ccccc1
Brincidofovir,CCCCCCCOCCCOP(=O)(O)CO[C@](CO)(CCCC)Cn1ccc(N)nc1=O
Adenosine,Nc1nc2nc3c1ncn3[C@@H]1O[C@H](C(O)O2)[C@@H](O)[C@H]1O
Remdesivir,CCC(C)C(C)OC(=O)[C@H](C)N[P@@](=O)(Oc1ccccc1)OP(=O)(O)O
Brincidofovir,CCCCCCCCCOCCCOP(=O)(O)CO[C@@](CC)(CO)Cn1ccc(N)nc1=O
Adenosine,CCC(O)[C@H]1O[C@@H](n2cnc3c(NC=O)ncnc32)[C@H](O)[C@@H]1O
Adenosine,CC(=O)Nc1ncnc2c1ncn2[C@@H]1O[C@H](C)[C@@H](O)[C@H]1O
Brincidofovir,CCCCCCCOCCCOP(=O)(O)CO[C@H](CO)Cn1c(CCCC)cc(N)nc1=O
Adenosine,CC(O)[C@]1(C)O[C@@H](n2cnc3c(NC=O)ncnc32)[C@H](O)[C@@H]1O
Remdesivir,CCC(CC)COC(=O)[C@H](C)N[P@@](=O)(Oc1ccc(C(=O)O)cc1)OP(=O)(O)O
Adenosine,CC(N)Nc1ncnc2c1ncn2[C@@H]1O[C@H](C=O)[C@@H](O)[C@H]1O
Adenosine,CC(=O)OP(=O)(O)O
Guanosine,C[C@@]1(C(=O)O)O[C@@H](n2cnc3c(=O)[nH]c(NC=O)nc32)[C@H](O)[C@@H]1O
Remdesivir,CCC(CC)COC(O)[C@@](C)(N[P@@](=O)(Oc1ccccc1)OP(=O)(O)O)C(=O)O
Remdesivir,CCC(CC)COC(=O)[C@H](C)N[P@@](=O)(Oc1cccc(O)c1)OP(=O)(O)O
Adenosine,Nc1nc(C(O)O)nc2c1ncn2[C@@H]1O[C@@H]2O[C@@H]1[C@@H]2O
Remdesivir,CCCCOC(=O)[C@H](C)N[P@@](=O)(Oc1cccc(CC)c1)OP(=O)(O)O
Inosine,O=C[C@H]1O[C@@H](n2cnc3c(=O)[nH]cnc32)[C@H](O)[C@@H]1O
Inosine,O=C[C@H]1O[C@@H](n2c[nH+]c3c(=O)[nH]cnc32)[C@H](O)[C@@H]1O
Inosine,O=CC1O[C@@H](n2cnc3c(=O)[nH]cnc32)[C@H](O)[C@@H]1O
Inosine,O=c1[nH]c(C(O)O)nc2c1ncn2[C@@H]1O[C@@H]2O[C@@H]1[C@@H]2O
Brincidofovir,CCCC(O)[C@@H](O)Cn1ccc(N)nc1=O
Adenosine,CNC(=O)[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
Brincidofovir,CCCCCCCCCCCCCCCCOCCc1cc(N)nc(=O)n1C[C@H](O)CO
Guanosine,CC(O)Nc1nc2c(nc3n2[C@@H]2OC[C@@H](O3)[C@@]2(O)CO)c(=O)[nH]1
Brincidofovir,CCCCCCCCCCCc1cc(N)nc(=O)n1C[C@@H](CO)OCP(=O)(O)OCCCO
Adenosine,CC(O)[C@H]1O[C@@H](n2cnc3c(NC=O)ncnc32)[C@H](O)[C@@]1(C)O
Remdesivir,CCCCOC(=O)[C@](C)(CC)N[P@@](=O)(Oc1ccccc1)OP(=O)(O)O
Adenosine,NC(=O)[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
Adenosine,CC(O)Nc1ncnc2c1ncn2[C@@H]1O[C@H](C)[C@@H](O)[C@H]1O
Remdesivir,CCC(COC(=O)[C@H](C)N[P@@](=O)(Oc1ccccc1)OP(=O)(O)O)C(C)C
Remdesivir,CCC(C)CCOC(=O)[C@H](C)N[P@@](=O)(Oc1ccccc1)OP(=O)(O)O
Adenosine,CC(C)(O)[C@H]1O[C@@H](n2cnc3c(NC=O)ncnc32)[C@H](O)[C@@H]1O
Adenosine,CC(O)OC(C)[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
Brincidofovir,CCC(O)[C@@H](O)Cn1ccc(N)nc1=O
Inosine,CC(=O)[C@]1(O)[C@@H](C)O[C@@H](n2cnc3c(=O)[nH]cnc32)[C@@H]1O
Remdesivir,CCC(CC)COC(=O)[C@H](CC)N[P@@](=O)(Oc1ccccc1)OP(=O)(O)O
Xanthosine,O=c1[nH]c(=O)c2ncn([C@@H]3OC(C(O)O)=C[C@H]3O)c2[nH]1
Brincidofovir,CCCCCCCCOCCCOP(=O)(O)CO[C@@](CO)(Cn1ccc(N)nc1=O)C(=O)O
Adenosine,Nc1ncnc2c1nc(C(O)O)n2[C@@H]1O[C@@H]2O[C@@H]1[C@@H]2O
Brincidofovir,CCCCCCCCCC[C@](CO)(Cn1ccc(N)nc1=O)OCP(=O)(O)OP(=O)(O)O
Brincidofovir,CCC(CCCCCCCCOCCCOP(=O)(O)COCCO)Cn1ccc(N)nc1=O
Adenosine,O=C[C@H]1O[C@@H](n2cnc3c(NC(=O)CO)ncnc32)[C@H](O)[C@@H]1O
Guanosine,CC(O)[C@H]1O[C@@H](n2cnc3c(=O)[nH]c(NC=O)nc32)[C@@](C)(O)[C@@H]1O
Adenosine,CC(=O)[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
Brincidofovir,CCCCCCCCCOCCCOP(=O)(O)CO[C@H](CO)Cn1c(CO)cc(N)nc1=O
Brincidofovir,CCCCCCCCCCCCCCCc1cc(N)nc(=O)n1C[C@@H](CO)OCP(=O)(O)O
Brincidofovir,CC(CCCCCCCCCOCCCOP(=O)(O)COCCO)Cn1ccc(N)nc1=O
Adenosine,Nc1ncnc2c1nc(C(O)O)n2[C@@H]1O[C@@H]2O[C@H]2[C@H]1O
Brincidofovir,Nc1ccn(CCCCCCCCOCCCOP(=O)(O)COCCO)c(=O)n1
Adenosine,CC(=O)C(O)[C@@H]1C[C@@H](O)[C@H](n2cnc3c(N)ncnc32)O1
Adenosine,CC(=O)[C@@]1(C)O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
Inosine,C[C@@]1(C=O)O[C@@H](n2cnc3c(=O)[nH]cnc32)[C@H](O)[C@@H]1O
Brincidofovir,CCCCCCCCCCCCCC[C@](CO)(Cn1ccc(N)nc1=O)OCP(=O)(O)OC
Brincidofovir,CCCCCCCCCOCCCOP(=O)(O)CO[C@H](CO)Cn1cc(CO)c(N)nc1=O
Guanosine,CC(O)[C@]1(C)O[C@@H](n2cnc3c(=O)[nH]c(NC=O)nc32)[C@H](O)[C@@H]1O
Adenosine,Nc1nc2nc3c1ncn3[C@@H]1O[C@H](C(=O)O)[C@@H](O2)[C@H]1O
Adenosine,CO[C@H]1[C@@H](O)[C@H]2O[C@@H]1C(O)Oc1nc3c(N)ncnc3n12
Adenosine,Cc1nc2c(N)ncnc2n1[C@@H]1O[C@H](C=O)[C@@H](O)[C@H]1O
Brincidofovir,CCCCCCCCCCCOCCCOP(=O)(O)CO[C@H](CO)c1cc(N)nc(=O)n1C
Adenosine,Nc1ncnc2c1nc(C(O)O)n2[C@@H]1OC[C@H]2O[C@]21O
Adenosine,CC(O)[C@H]1O[C@@H](n2cnc3c(NC(C)(C)O)ncnc32)[C@H](O)[C@@H]1O
Guanosine,C[C@]1(O)[C@H](O)[C@@H](C(=O)O)O[C@H]1n1cnc2c(=O)[nH]c(NC=O)nc21
Adenosine,C[C@]1(O)[C@H](O)[C@@H](C(=O)O)O[C@H]1n1cnc2c(NC=O)ncnc21
Brincidofovir,Nc1ccn(C[C@@H](CO)OCP(=O)(O)OCCCOCCCCCCCC(=O)O)c(=O)n1
Guanosine,CC(O)Nc1nc2c(nc(CO)n2[C@@H]2OC[C@@]3(O)O[C@@H]23)c(=O)[nH]1
Adenosine,CC[C@H]1O[C@@H](n2cnc3c(NC=O)ncnc32)[C@H](O)[C@@H]1O
Adenosine,CO[C@@H]1CO[C@@H](n2cnc3c(N)ncnc32)[C@@H]1O
Guanosine,Cc1nc2c(=O)[nH]c(NC=O)nc2n1[C@@H]1O[C@H](C=O)[C@@H](O)[C@H]1O
Guanosine,C[C@]1(n2cnc3c(=O)[nH]c(NC=O)nc32)O[C@H](C=O)[C@@H](O)[C@H]1O
Adenosine,Cc1nc2c(NC=O)ncnc2n1[C@@H]1O[C@@](C)(CO)[C@@H](O)[C@H]1O
Remdesivir,OC1=CC=CC(O)C1O
Remdesivir,CCCCOC(=O)[C@H](C)N[P@@](=O)(Oc1ccc(CC)cc1)OP(=O)(O)O
Brincidofovir,CCCCCCCCCOCCCOP(=O)(O)COC(CO)(CO)Cn1ccc(N)nc1=O
Adenosine,C[C@]1(n2cnc3c(NC=O)ncnc32)O[C@H](C(=O)O)[C@@H](O)[C@H]1O
Brincidofovir,CCCCCCCCCC[C@](CO)(Cn1ccc(N)nc1=O)OCP(=O)(O)OCCCOC
Guanosine,CC(O)(CO)Nc1nc2c(nc3n2[C@@H]2OC[C@@H](O3)[C@H]2O)c(=O)[nH]1
Brincidofovir,CCCCCCCCCCCCCCCCOCc1cc(N)nc(=O)n1C[C@H](O)CO
Remdesivir,CCC(CC)COC1=[N+]([P@](=O)(O)Oc2ccccc2)[C@H]1C
Guanosine,O=C1Nc2nc3c(ncn3[C@@H]3O[C@H]1[C@@H](O)[C@H]3O)c(=O)[nH]2
Brincidofovir,CCCCCCCCCCCOCCCOP(=O)(O)COCCn1cc(CO)c(N)nc1=O
Remdesivir,CCC(O)(CC)COC(=O)[C@H](C)N[P@](=O)(O)Oc1ccccc1
Adenosine,CC(O)Nc1ncnc2c1ncn2[C@@H]1O[C@@]2(C)C(O)O[C@@H]1[C@@H]2O
Brincidofovir,CCCCCCCCCOC[C@](CO)(Cn1ccc(N)nc1=O)OCP(=O)(O)OCC
Brincidofovir,CCCCCCOCCCOP(=O)(O)CO[C@@](CO)(Cn1ccc(N)nc1=O)C(=O)O
Guanosine,NC1=Nc2nc3c(ncn3[C@@H]3O[C@H]1[C@@H](O)[C@H]3O)c(=O)[nH]2
Brincidofovir,CCCCCCOCCCOP(=O)(O)CO[C@](CO)(CCCC)Cn1ccc(N)nc1=O
Adenosine,O=C[C@H]1O[C@@H](n2cnc3c(NCCO)ncnc32)[C@H](O)[C@@H]1O
Guanosine,OC1Oc2nc3c4nc(nc3n2[C@@H]2O[C@H]1[C@@H](O)[C@H]2O)[nH]4
Brincidofovir,CCCCCCCCc1cc(N)nc(=O)n1C[C@@H](CO)OCP(=O)(O)OCCCOCCC
Remdesivir,CCC(CC)COC(=O)[C@H](C)N[P@@](=O)(OC1=CC=CC2OC12)OP(=O)(O)O
Remdesivir,CCC(CC)COC(O)[C@H](C)N[P@@]1(=O)Oc2ccccc2OP(=O)(O)O1
Adenosine,CC(O)Nc1ncnc2c1ncn2[C@@H]1O[C@@H]2C(O)O[C@@H]1[C@@H]2O
Adenosine,CC(O)Nc1ncnc2c1ncn2[C@@H]1O[C@@H]2C(O)O[C@@]1(C)[C@@H]2O
Brincidofovir,CCCC(CO)CCCCCCCOCCCOP(=O)(O)COCCn1ccc(N)nc1=O
Guanosine,CC(O)[C@H]1O[C@@H](n2cnc3c(=O)[nH]c(NC=O)nc32)[C@H](O)[C@@]1(C)O
Brincidofovir,CCCCCCCCCc1cc(N)nc(=O)n1C[C@@H](CO)OCP(=O)(O)OCCCOCC
Brincidofovir,Nc1ccn(CCCCCCCCCCOCCCOP(=O)(O)COCCO)c(=O)n1
Brincidofovir,CCCCOCCCOP(=O)(O)CO[C@](CO)(COCCCC)Cn1ccc(N)nc1=O
Brincidofovir,CCCCCCCCCC[C@](CO)(Cn1ccc(N)nc1=O)OCP(=O)(O)OCCCO
