PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Fluorescence Polarization (mP)_A,Fluorescence Intensity_A,Fluorescence Polarization (mP)_B,Fluorescence Intensity_B,Normalized % Inhibition_A,Normalized % Inhibition_B,Normalized % Inhibition_Avg,Normalized Fluorescence Intensity_A,Normalized Fluorescence Intensity_B
RESULT_TYPE,,,,,,,,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,"Fluoresence polarization for replicate A, calculated from parallel and perpendicular intensity channels (milli-polarization units).",Total fluorescence intensity for replicate A.,"Fluoresence polarization for replicate B, calculated from parallel and perpendicular intensity channels (milli-polarization units).",Total fluorescence intensity for replicate B.,"Fluorescence polarization, normalized to plate average FP of positive and negative controls for replicate A.","Fluorescence polarization, normalized to plate average FP of positive and negative controls for replicate B.","Fluorescence polarization, normalized to plate average FP of positive and negative controls (average of A and B replicates)",Fluorescence intensity normalized to average intensity of all wells on plate.,Fluorescence intensity normalized to average intensity of all wells on plate.
RESULT_UNIT,,,,,,,,NONE,NONE,NONE,NONE,PERCENT,PERCENT,PERCENT,RATIO,RATIO
75668,92145563,16294570,CC1=C(C(=NN1C2=CC=CC=C2)C)CN(C)C(=O)C3COC4=CC=CC=C4O3,Inactive,13,,,184.3,2.71619e+07,184.4,2.7129e+07,11.89,13.47,12.68,101.78,102.07
75669,92145564,16288002,C1CC2(N(C1=O)C3=CC=CC=C3S2)C(=O)OCCCN4C5=CC=CC=C5NC4=O,Inactive,1,,,202.7,2.73157e+07,200.6,2.7158e+07,-0.11,2.78,1.34,102.35,102.18
75670,92145565,9206135,C1COC2=C(O1)C=CC(=C2)N(CC3=CC=CS3)C(=O)CCC4=CC=CO4,Inactive,3,,,200.2,2.74028e+07,199.4,2.73613e+07,1.52,3.57,2.55,102.68,102.95
75671,92145566,8871078,CC1=CC(=NO1)COC(=O)C2=CC=C(C=C2)C#N,Inactive,2,,,200.4,2.70451e+07,200.4,2.69932e+07,1.39,2.91,2.15,101.34,101.56
75672,92145567,8783333,CCC(=O)N(C1CC1)C2=NN=C(S2)SCC(=O)C3=C(N(C(=C3)C)C)C,Inactive,1,,,201.5,2.73637e+07,202.3,2.73315e+07,0.67,1.65,1.16,102.53,102.83
75673,92145568,16282847,COC1=C(C=C2C(N(CCC2=C1)C(=O)CN3C=NN=N3)C4=CC=CC=C4)OC,Inactive,1,,,202.1,2.71264e+07,200.9,2.72053e+07,0.28,2.58,1.43,101.65,102.36
75674,92145569,9206927,C1CC1C2=NN=C(N2C3CC3)SCC4=CC=C(C=C4)C#N,Inactive,3,,,198.7,2.75113e+07,200.8,2.75046e+07,2.5,2.64,2.57,103.09,103.49
75675,92145570,135836450,CN(CC1=NC2=CC=CC=C2C(=O)N1)CC(=O)NC(=O)NC3CCCCC3,Inactive,3,,,199.1,2.73946e+07,199.7,2.73307e+07,2.24,3.37,2.81,102.65,102.83
75676,92145571,9206958,C1CC1NC2=NN=C(S2)SCCOC3=CC=C(C=C3)Br,Inactive,2,,,200.5,2.7328e+07,201.4,2.73305e+07,1.32,2.25,1.79,102.4,102.83
75677,92145572,9110578,C1CN(CC(=O)N1)CC2=C(NC3=CC=CC=C32)C4=CC=CC=C4,Inactive,3,,,198.5,2.7316e+07,200.8,2.7377e+07,2.63,2.64,2.64,102.36,103
75678,92145573,16294757,CC(=O)N1CC(OC2=CC=CC=C21)C(=O)NC3=CC=C(C=C3)S(=O)(=O)N4CCOCC4,Inactive,2,,,198.5,2.76646e+07,201.6,2.73777e+07,2.63,2.12,2.38,103.66,103.01
75679,92145574,7679652,COC(=O)C1=CC=C(C=C1)COC2=CC=CC=C2C(=O)N,Inactive,1,,,200.6,2.74756e+07,203.2,2.73957e+07,1.26,1.06,1.16,102.95,103.08
