PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Fluorescence Polarization (mP)_A,Fluorescence Intensity_A,Fluorescence Polarization (mP)_B,Fluorescence Intensity_B,Normalized % Inhibition_A,Normalized % Inhibition_B,Normalized % Inhibition_Avg,Normalized Fluorescence Intensity_A,Normalized Fluorescence Intensity_B
RESULT_TYPE,,,,,,,,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,"Fluoresence polarization for replicate A, calculated from parallel and perpendicular intensity channels (milli-polarization units).",Total fluorescence intensity for replicate A.,"Fluoresence polarization for replicate B, calculated from parallel and perpendicular intensity channels (milli-polarization units).",Total fluorescence intensity for replicate B.,"Fluorescence polarization, normalized to plate average FP of positive and negative controls for replicate A.","Fluorescence polarization, normalized to plate average FP of positive and negative controls for replicate B.","Fluorescence polarization, normalized to plate average FP of positive and negative controls (average of A and B replicates)",Fluorescence intensity normalized to average intensity of all wells on plate.,Fluorescence intensity normalized to average intensity of all wells on plate.
RESULT_UNIT,,,,,,,,NONE,NONE,NONE,NONE,PERCENT,PERCENT,PERCENT,RATIO,RATIO
6511,92273529,329192,CC1CN=C(N1)NS(=O)(=O)C2=CC=CC=C2,Inactive,0,,,199.8,2.76141e+07,198.8,2.74223e+07,-0.68,0.46,-0.11,101.11,100.42
6512,92273530,2804709,CC1CC(CN(C1)C2=C(C=C(C=C2)NS(=O)(=O)C3=CC=CC=C3)C(=O)O)C,Inactive,0,,,200.5,2.66871e+07,201,2.65029e+07,-1.14,-0.98,-1.06,97.72,97.05
6513,92273531,2801307,CC1=C2CCCC2=C(C=C1)OC3=C(C=C(C=N3)C(F)(F)F)Cl,Inactive,2,,,194.8,2.66871e+07,196.5,2.68179e+07,2.61,1.96,2.29,97.72,98.2
6514,92273532,1201367,CCOC(=O)CSC1=NNC(=S)S1,Inactive,3,,,193.7,2.7064e+07,196.5,2.70067e+07,3.33,1.96,2.65,99.1,98.89
6515,92273533,2801372,CC1=C(C=C(C(=N1)SCCNS(=O)(=O)C2=CC=C(C=C2)C(C)(C)C)C#N)C3=CSC(=N3)C,Inactive,0,,,200.2,2.76347e+07,199.8,2.77265e+07,-0.95,-0.2,-0.58,101.19,101.53
6516,92273534,2785832,CC1=CC=C(C=C1)C(=O)C2C(=O)N(C(=O)N(C2=O)C3=CC=CC=C3)C4=CC=CC=C4,Inactive,2,,,195.9,2.69748e+07,196.4,2.7032e+07,1.89,2.03,1.96,98.77,98.99
6517,92273535,2801456,CC1=NN(N=C1C(=O)ON2C(=O)C3C4C=CC(C3C2=O)O4)C5=CC=CC=C5,Inactive,0,,,198.8,2.69296e+07,199.4,2.68638e+07,-0.02,0.07,0.03,98.61,98.37
6518,92273536,5713290,COC1=CC=C(C=C1)/C=C\2/C(OC3=CC=CC=C3C2=O)C4=CC=CC=C4,Inactive,1,,,197,2.76222e+07,196.9,2.75018e+07,1.16,1.7,1.43,101.14,100.71
6519,92273537,2801523,CCOC(=O)C1=C(C(=C(N1C2=CC=C(C=C2)OC)C(=O)OCC)O)O,Inactive,0,,,199.4,2.73499e+07,200.9,2.69797e+07,-0.42,-0.92,-0.67,100.15,98.8
6520,92273538,2802374,C=CCNC(=O)N1CCC2=C(C1)C3=C(N2)C=CC(=C3)F,Inactive,2,,,194.7,2.7537e+07,197,2.73211e+07,2.68,1.64,2.16,100.83,100.05
6521,92273539,2801630,CC1CCC(C(C1)NC(=O)C2=CC=CC3=CC=CC=C32)C(C)C,Inactive,3,,,195.4,2.72986e+07,195,2.71434e+07,2.21,2.95,2.58,99.96,99.4
6522,92273540,248021,C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=CC(=C3)Cl,Inactive,1,,,197.8,2.62025e+07,197.4,2.63446e+07,0.63,1.38,1.01,95.94,96.47
6523,92273541,75040,C1=CC=C(C=C1)C2=CC=C(C=C2)C(=O)C3=CC=CC=C3,Inactive,3,,,193.4,2.80664e+07,195,2.80368e+07,3.53,2.95,3.24,102.77,102.67
6524,92273542,726933,C1=CC(=CC=C1N2C(=S)SC(=S)N2)Cl,Inactive,0,,,196.5,2.6147e+07,200.6,2.55711e+07,1.49,-0.72,0.39,95.74,93.64
6525,92273543,272048,CNC(=O)C1=CC=CC2=C1C3=CC=CC=C3C2=O,Inactive,2,,,195.2,2.81867e+07,196.9,2.81882e+07,2.35,1.7,2.03,103.21,103.22
6526,92273544,727014,C1=CC=C(C=C1)C2=NNC(=C2)C(=O)NN,Inactive,0,,,199.1,2.67381e+07,198.7,2.69458e+07,-0.22,0.52,0.15,97.91,98.67
6527,92273545,7567,CN(C)C1=CC=C(C=C1)CC2=CC=C(C=C2)N(C)C,Inactive,2,,,196,2.64594e+07,197.1,2.63998e+07,1.82,1.57,1.7,96.89,96.67
6528,92273546,2802698,COC1=CC=CC=C1C2CCN(CC2)CC3=CC=CC4=CC=CC=C43,Inactive,1,,,197.5,2.69526e+07,196.6,2.68842e+07,0.83,1.9,1.37,98.69,98.45
6529,92273547,2801962,CN1C(=O)C2=CC=CC3=C2C(=CC=C3)[S+]1C4=CC=CC=C4C(=O)O.[Cl-],Inactive,1,,,195.8,2.71211e+07,200.7,2.68245e+07,1.95,-0.79,0.58,99.31,98.23
6530,92273548,2802794,C1=CC=C(C=C1)C(CC(=O)C2=CC=C(C=C2)Br)SC3=CC=CC=C3N,Inactive,1,,,195.6,2.744e+07,198.8,2.75694e+07,2.08,0.46,1.27,100.48,100.96
6531,92273549,2802029,C1=CC2=C(C=C1Br)C3=C(N2CC(CO)O)C=CC(=C3)Br,Inactive,1,,,197.4,2.75844e+07,197.2,2.75373e+07,0.9,1.51,1.21,101,100.84
6532,92273550,727245,C1CC2(CCCC(C1)(C2)C(=O)O)C(=O)O,Inactive,0,,,200.9,2.72319e+07,200.9,2.7085e+07,-1.41,-0.92,-1.17,99.71,99.18
6533,92273551,602458,C1=CC=C2C(=C1)C(C3=CC=CC=C3O2)C4C(=O)C5=CC=CC=C5C4=O,Inactive,1,,,198.4,2.7024e+07,197.8,2.7127e+07,0.24,1.11,0.68,98.95,99.34
6534,92273552,65181,C1=CC(=C(C2=C1NC=C2O[C@H]3[C@@H]([C@H]([C@H]([C@H](O3)CO)O)O)O)Cl)Br,Inactive,0,,,214.1,2.58454e+07,212.5,2.55725e+07,-10.1,-8.51,-9.31,94.64,93.64
6535,92273553,225079,COC(=O)C1CCC(=O)C(C1)C(=O)OC,Inactive,1,,,198,2.59681e+07,196,2.58877e+07,0.5,2.29,1.4,95.09,94.8
6536,92273554,2803819,C1=CC=C2C(=C1)C=CC(=C2C3C4=CC=CN4C5=CC=CC=C5N3)O,Inactive,3,,,195,2.69339e+07,195.2,2.76289e+07,2.48,2.82,2.65,98.62,101.17
6537,92273555,2803011,CC1=C(C(=C(C(=C1C)C)CN2CCCCC2)C)C,Inactive,2,,,196.1,2.6882e+07,194.7,2.70427e+07,1.75,3.14,2.45,98.43,99.03
6538,92273556,2803939,CC1=C(C=C(C=C1)N=C2N(C(=C(S2)NC(=O)C)C3=CC4=C(C=C3)OCO4)C(=O)C)C,Inactive,0,,,199.3,2.58673e+07,198.8,2.56052e+07,-0.35,0.46,0.06,94.72,93.76
6539,92273557,2803071,C1CCN(CC1)S(=O)(=O)C2=CC=C(C=C2)NC(=S)NC3=CC4=C(C=C3)OCO4,Inactive,2,,,196.2,2.6898e+07,196.8,2.68057e+07,1.69,1.77,1.73,98.49,98.16
6540,92273558,9583418,C1=CC=C(C=C1)/C(=N/C(=S)NC2=C(C=CC(=C2)Cl)Cl)/N,Inactive,2,,,197,2.74783e+07,196,2.76506e+07,1.16,2.29,1.73,100.62,101.25
6541,92273559,2803180,C1=CC=C2C(=C1)C(C(=O)N2)CC3=CC=C(C=C3)N=CC4=C(C(=CC(=C4)Cl)Cl)O,Inactive,0,,,198.9,2.7808e+07,201.7,2.77669e+07,-0.09,-1.44,-0.77,101.82,101.68
6542,92273560,2804119,CN1CCC2(C(C1)N=NN2C3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F)N4CCOCC4,Inactive,2,,,196.3,2.75051e+07,195,2.77e+07,1.62,2.95,2.29,100.71,101.43
6543,92273561,2803227,CC1=CC(=C(C2=C1C(=O)C(C2)(C)C)C(=O)NC3=CC=CC(=C3)C(F)(F)F)C,Inactive,4,,,193.5,2.78712e+07,193.7,2.79373e+07,3.47,3.8,3.64,102.05,102.3
6544,92273562,2804214,C1=CC=C2C(=C1)C(=NC3=C(N=NN23)C4=CC=C(C=C4)Br)N,Inactive,4,,,191.9,2.83299e+07,194.2,2.75188e+07,4.52,3.47,4,103.73,100.77
6545,92273563,2803280,CC1=C(C(=C(C(=C1C)C)C(C2=CC=CC=C2)O)C)C,Inactive,3,,,195.1,2.76108e+07,193.9,2.81626e+07,2.41,3.67,3.04,101.1,103.13
6546,92273564,2804257,COC1=CC=C(C=C1)C2=C(N=NN2C3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F)C#N,Inactive,3,,,195.1,2.81833e+07,194.6,2.81376e+07,2.41,3.21,2.81,103.2,103.04
6547,92273565,2803369,CCN1C(C(CCC1=O)C(=O)O)C2=CC=C(C=C2)OC,Inactive,2,,,196.8,2.8217e+07,195.3,2.83604e+07,1.29,2.75,2.02,103.32,103.85
6548,92273566,2804360,C1=CC=NC(=C1)CCNC2=C(C(=CC=C2)F)C#N,Inactive,1,,,196.6,2.8316e+07,197.1,2.83525e+07,1.42,1.57,1.5,103.68,103.82
6549,92273567,2803446,CCOC(=S)SCC1=C(C(=C(C(=C1C)C)C)C)C,Inactive,3,,,193.5,2.80174e+07,195.2,2.82089e+07,3.47,2.82,3.15,102.59,103.3
6550,92273568,601924,C1=CSC(=C1)CNC(=O)CC#N,Inactive,3,,,194.2,2.77687e+07,195.5,2.78696e+07,3.01,2.62,2.82,101.68,102.05
6551,92273569,2803509,CC1=C(C(=NO1)C2=CC=CC=C2Cl)NC(=O)NC3=CC=CC(=C3)C(F)(F)F,Inactive,2,,,194.4,2.70029e+07,196.7,2.69204e+07,2.87,1.83,2.35,98.88,98.58
6552,92273570,2804543,CCC1=C(C(=CC=C1)C(C)C)NS(=O)(=O)C2=CC=C(C=C2)C,Inactive,3,,,192,2.72262e+07,196.2,2.68157e+07,4.45,2.16,3.31,99.69,98.2
6553,92273571,572154,C1=CC=C2C(=C1)C(=O)N(C(=N2)C(=O)NCC3=CN=CC=C3)N,Inactive,4,,,193.6,2.78997e+07,193.8,2.79451e+07,3.4,3.73,3.57,102.16,102.33
6554,92273572,574478,CC1CCCCN1CCCNC(=O)NC2=CC=C(C=C2)Cl,Inactive,0,,,202,2.70463e+07,201.2,2.67838e+07,-2.13,-1.11,-1.62,99.03,98.08
6555,92273573,2803728,C1=CC(=CC=C1CSC2=CC=C(C=C2)Cl)C#N,Inactive,2,,,196.4,2.68719e+07,195.4,2.74514e+07,1.56,2.69,2.13,98.4,100.52
6556,92273574,2804715,CC1CN(CC(O1)C)C2=C(C=C(C=C2)NC(=O)C3=CC=CO3)C(=O)O,Inactive,4,,,193,2.72492e+07,193.7,2.747e+07,3.8,3.8,3.8,99.78,100.59
6557,92273575,2801316,C1CCC(CC1)C2=C(C=CC(=C2)Cl)OC3=NC=C(C=C3)NC(=O)C4CC4C(=O)O,Inactive,0,,,201.1,2.69762e+07,199.5,2.69265e+07,-1.54,0,-0.77,98.78,98.6
6558,92273576,2802190,CCOC(=O)CCSC1=NNC(=S)S1,Inactive,0,,,199.8,2.69761e+07,199,2.64251e+07,-0.68,0.33,-0.18,98.78,96.77
6559,92273577,573314,C1=CC=NC(=C1)SCC(=O)C2=CC=C(C=C2)OCC3=CC=C(C=C3)F,Inactive,1,,,197.9,2.71163e+07,198.2,2.79877e+07,0.57,0.85,0.71,99.29,102.49
6560,92273578,2802268,CC12CC3(CC(C1)(CC(C2)(C3)C(=O)O)C)C,Inactive,1,,,197.6,2.69336e+07,198.2,2.70928e+07,0.77,0.85,0.81,98.62,99.21
6561,92273579,2801467,C1CCCCCC(C(CCCC1)CCC#N)O,Inactive,0,,,198.3,2.74723e+07,201.4,2.70668e+07,0.3,-1.24,-0.47,100.59,99.11
6562,92273580,2802345,CC(C)CCNC(=O)OC1=CC=CC=C1,Inactive,1,,,197.8,2.81252e+07,198.4,2.80958e+07,0.63,0.72,0.68,102.99,102.88
6563,92273581,2801526,COC1=C2C(=O)C=C(OC2=C(C=C1)OC)C(=O)O,Inactive,0,,,197.8,2.74377e+07,202.1,2.76122e+07,0.63,-1.7,-0.54,100.47,101.11
6564,92273582,2802379,COC1=CC=CC=C1C2CCN(CC2)C(=O)C3=CC=CO3,Inactive,0,,,200.9,2.69249e+07,204.3,2.68442e+07,-1.41,-3.14,-2.28,98.59,98.3
6565,92273583,2801635,CC1(C2CCC1(C(C2)NC(=O)C3=CC(=CC=C3)C(F)(F)F)C)C,Inactive,0,,,199.2,2.78339e+07,198.5,2.79564e+07,-0.29,0.65,0.18,101.92,102.37
6566,92273584,2802478,CC1=C(C(=NO1)C2=C(C=CC=C2Cl)F)C(=O)N3CC(C3)OC4=CC=C(C=C4)Cl,Inactive,0,,,198.8,2.69736e+07,200.5,2.69998e+07,-0.02,-0.65,-0.34,98.77,98.87
6567,92273585,2801710,CC1=CC(=NNC1=O)C2=CC=CC=N2,Inactive,0,,,199.3,2.80016e+07,198.3,2.80839e+07,-0.35,0.79,0.22,102.53,102.84
6568,92273586,2802516,C1=CC=C(C=C1)C2=NC(=S)NN2C3=CC=CC=C3,Inactive,0,,,201.3,2.62455e+07,199.8,2.5942e+07,-1.67,-0.2,-0.94,96.1,95
6569,92273587,2801784,CC(C)CCNC(=O)C1=CC=CC2=C1C3=CC=CC=C3C2=O,Inactive,1,,,196.8,2.80698e+07,199,2.80968e+07,1.29,0.33,0.81,102.78,102.89
6570,92273588,619480,C1CC(C(=O)C(C1)C2=CC=CC=C2)C3=CC=CC=C3,Inactive,0,,,201.8,2.71599e+07,202,2.72698e+07,-2,-1.64,-1.82,99.45,99.86
6571,92273589,2801851,CC1=C(C=NC2=CC=CC=C12)C3=NN=NN3C4=CC=CC=C4,Inactive,1,,,195.5,2.7428e+07,198.3,2.73589e+07,2.15,0.79,1.47,100.43,100.18
6572,92273590,2802710,CC1=CC=C(C=C1)C(=O)OC2CN3CCC2CC3,Inactive,0,,,201.7,2.6947e+07,201.7,2.67145e+07,-1.93,-1.44,-1.69,98.67,97.82
6573,92273591,2801964,CN1C(=O)C2=CC=CC=C2[S+]1C3=CC=CC4=C3C(=CC=C4)C(=O)O.[Cl-],Inactive,1,,,198.9,2.68546e+07,197.7,2.75933e+07,-0.09,1.18,0.55,98.33,101.04
6574,92273592,2802803,CC1(C2CCC1(C3=NN(C(=C23)C(F)(F)F)C4=CC=CC=C4)C)C,Inactive,0,,,198.9,2.80329e+07,198.3,2.8216e+07,-0.09,0.79,0.35,102.65,103.32
6575,92273593,1880148,CCOC(CN1C2=CC=CC=C2C3=CC=CC=C31)OCC,Inactive,1,,,198.1,2.79162e+07,196.9,2.82335e+07,0.44,1.7,1.07,102.22,103.39
6576,92273594,99835,C1CC2CC1C(C2C(=O)O)C(=O)O,Inactive,0,,,201.2,2.74291e+07,205.8,2.68903e+07,-1.61,-4.13,-2.87,100.44,98.47
6577,92273595,2802148,CN1C2=CC=CC=C2N=C1C(C#N)C(=O)C3=CC=CC=C3I,Inactive,1,,,199.4,2.758e+07,196.6,2.83399e+07,-0.42,1.9,0.74,100.99,103.78
6578,92273596,275824,CCOC(=O)C1C(C2C3=CC=CC=C3C1C4=CC=CC=C24)C(=O)OCC,Inactive,0,,,200.1,2.76794e+07,201.8,2.73965e+07,-0.88,-1.51,-1.2,101.35,100.32
6579,92273597,2802941,CCCCN(C(C)C)S(=O)(=O)C1=CC=C(C=C1)C,Inactive,0,,,199,2.6428e+07,199.2,2.63542e+07,-0.16,0.2,0.02,96.77,96.51
6580,92273598,5713645,C1=CC=C(C=C1)/C=C/C=C(\C#N)/C2=CC(=CC=C2)C(F)(F)F,Inactive,2,,,194.9,2.73654e+07,196.1,2.74644e+07,2.54,2.23,2.39,100.2,100.57
6581,92273599,2803013,C1CC(CC=C1)C=C2C(=O)NC(=O)NC2=O,Inactive,1,,,198.2,2.63983e+07,197.4,2.603e+07,0.37,1.38,0.88,96.66,95.32
6582,92273600,2803942,C1=CC(=C(C(=C1)F)C(=O)NC2=NC(=CC=C2)NC(=O)C3=C(C=CC=C3F)F)F,Inactive,2,,,195.4,2.7611e+07,197.9,2.78709e+07,2.21,1.05,1.63,101.1,102.06
6583,92273601,2803087,COC1=C(C=C(C=C1)CCN=CC2=CC3=C(C=C2)OCO3)OC,Inactive,0,,,199.1,2.71736e+07,200.1,2.70344e+07,-0.22,-0.39,-0.31,99.5,99
6584,92273602,45108809,C1CCN(CC1)CC#CC2=CC(=CC(=C2)C(F)(F)F)C(F)(F)F.[Cl-],Inactive,0,,,199.4,2.7629e+07,199.3,2.78784e+07,-0.42,0.13,-0.15,101.17,102.09
6585,92273603,2803181,CC(C)NC(=S)N1CCCN2C1C3=CC=CC=C3C2=O,Inactive,0,,,197.6,2.79326e+07,200.9,2.77685e+07,0.77,-0.92,-0.08,102.28,101.68
6586,92273604,587277,C1=CC(=C(C(=C1)C(F)(F)F)C(=O)OCC(=O)C2=CC=C(C=C2)Cl)C(F)(F)F,Inactive,0,,,201,2.67821e+07,201,2.69062e+07,-1.47,-0.98,-1.23,98.07,98.53
6587,92273605,2803232,C1=CC=C(C=C1)NC(=S)NC2=CC=CC=C2N3C=CC=C3,Inactive,1,,,197.1,2.78661e+07,196.7,2.73707e+07,1.1,1.83,1.47,102.04,100.23
6588,92273606,1076681,COC1=CC(=C(C=C1)OC)S(=O)(=O)C2=CC=C(C=C2)Br,Inactive,1,,,197.8,2.73617e+07,196.4,2.79414e+07,0.63,2.03,1.33,100.19,102.32
6589,92273607,2803283,COC1=CC=C(C=C1)OCCC(=O)NN,Inactive,1,,,197.2,2.78967e+07,197.4,2.76231e+07,1.03,1.38,1.21,102.15,101.15
6590,92273608,2804260,CC1=C(C(=NO1)C2=C(C=CC=C2Cl)Cl)C(=O)N(C)C,Inactive,0,,,198,2.75021e+07,199.6,2.74484e+07,0.5,-0.07,0.22,100.7,100.51
6591,92273609,2803371,C1OC2=C(O1)C=C(C=C2)C=NC3=CC=CC=C3C(CC4=CC=CC=C4)(C5=CC=CC=C5)O,Inactive,1,,,197.1,2.7815e+07,197.5,2.78063e+07,1.1,1.31,1.21,101.85,101.82
6592,92273610,2804366,C1=CC(=C(C(=C1)F)C#N)N(CC2=CN=CC=C2)C(=S)NC3=CC(=C(C=C3)Cl)Cl,Inactive,0,,,198.2,2.82957e+07,198.6,2.82491e+07,0.37,0.59,0.48,103.61,103.44
6593,92273611,2803462,CC1=C(C(=C(C(=C1C)C)CSC2=CC=CC=N2)C)C,Inactive,2,,,196.3,2.77216e+07,196.1,2.75956e+07,1.62,2.23,1.93,101.51,101.05
6594,92273612,2804469,CC(C)NC(=O)NCC1=C(C=CC=C1Cl)F,Inactive,2,,,195.5,2.7571e+07,195.9,2.7786e+07,2.15,2.36,2.26,100.96,101.75
6595,92273613,9583326,CC1=C(C(=C(C(=C1C)C)C(=O)/C=N/N)C)C,Inactive,0,,,200.6,2.66522e+07,199.7,2.63459e+07,-1.21,-0.13,-0.67,97.59,96.47
6596,92273614,2804550,CCC1=C(C(=CC=C1)C(C)C)NC(=O)NC2=CC=CC=C2,Inactive,2,,,196.6,2.81466e+07,196.5,2.81436e+07,1.42,1.96,1.69,103.06,103.06
6597,92273615,2803684,COC1=CC=C(C=C1)NC(=S)NCCCC2C=NNC2=O,Inactive,2,,,196.1,2.80444e+07,196.6,2.76611e+07,1.75,1.9,1.83,102.69,101.29
6598,92273616,2804623,CC(C)(C)C1=C(C(C(=C(O1)NC(=O)NC(=O)C2=C(C=CC=C2Cl)F)C#N)C3=CC=CS3)C#N,Inactive,0,,,199.5,2.71135e+07,200.8,2.74988e+07,-0.49,-0.85,-0.67,99.28,100.7
6599,92273617,2803736,CC1=C(C=C(C=C1)NC(=O)C2=C(C=C(C=C2CC(C)(C)C(=O)O)C)C)C,Inactive,2,,,196.9,2.79049e+07,195.9,2.73865e+07,1.23,2.36,1.8,102.18,100.29
6600,92273618,2804716,C1=C(C=C(C=C1Cl)Cl)NC(=S)NC(CO)(CO)CO,Inactive,0,,,198.3,2.6974e+07,198.6,2.7045e+07,0.3,0.59,0.45,98.77,99.04
6601,92273619,2801318,CCCC1=CC(=C(C=C1)OC2=NC=C(C=C2)NC(=O)C3CC3C(=O)O)OC,Inactive,0,,,199,2.73164e+07,198.6,2.72943e+07,-0.16,0.59,0.22,100.02,99.95
6602,92273620,387703,C1CN(CCN1C(C#N)C2=CC=C(C=C2)O)C(C#N)C3=CC=C(C=C3)O,Inactive,0,,,200.8,2.66412e+07,198.7,2.66688e+07,-1.34,0.52,-0.41,97.55,97.66
6603,92273621,2801407,CC1=C(C=C(C(=N1)SCCC(=O)OC(C)(C)C)C#N)C2=CSC(=N2)C,Inactive,0,,,199.3,2.75037e+07,198.1,2.75389e+07,-0.35,0.92,0.29,100.71,100.84
6604,92273622,2802270,COC1=CC=C(C=C1)C(=O)NC23CC4CC(C2)CC(C4)C3,Inactive,0,,,197.2,2.70088e+07,201,2.69036e+07,1.03,-0.98,0.03,98.9,98.52
6605,92273623,558079,CN1C2CCC1CC(C2)NC(=O)CC3=CC=CC=C3F,Inactive,0,,,199.6,2.75383e+07,199.3,2.76307e+07,-0.55,0.13,-0.21,100.84,101.18
6606,92273624,2802346,CCNC(=O)OC1=CC=CC=C1,Inactive,1,,,197.5,2.78428e+07,196.6,2.76806e+07,0.83,1.9,1.37,101.95,101.36
6607,92273625,135445587,CC1=CC(=C(C(=O)O1)C(=O)/C=C/N(C)C)O,Inactive,0,,,199.9,2.75121e+07,200.5,2.76342e+07,-0.75,-0.65,-0.7,100.74,101.19
6608,92273626,2802380,COC1=CC=CC=C1C2CCN(CC2)C(=O)C3CCCCC3,Inactive,0,,,201.8,2.71484e+07,202,2.68323e+07,-2,-1.64,-1.82,99.41,98.26
6609,92273627,2801641,COC1=C(C=C(C=C1)Br)COC(=O)C2C3=CC=CC=C3OC4=CC=CC=C24,Inactive,0,,,200.8,2.67834e+07,198.5,2.70029e+07,-1.34,0.65,-0.35,98.07,98.88
6610,92273628,2053781,CCOC1=CC2=C(C=C1)N=C(N2)SCC3=C(C(=C(C(=C3F)F)F)F)F,Inactive,1,,,198,2.78567e+07,198.3,2.78861e+07,0.5,0.79,0.65,102,102.12
6611,92273629,69030,CC1=CC=C(C=C1)S(=O)(=O)C2=CC=C(C=C2)C,Inactive,0,,,198.4,2.76818e+07,199.4,2.75742e+07,0.24,0.07,0.16,101.36,100.97
6612,92273630,2802538,CSC1=NC2=C(S1)NC(=S)NC2=S,Inactive,0,,,201.1,2.62421e+07,199.2,2.62333e+07,-1.54,0.2,-0.67,96.09,96.06
6613,92273631,135405330,C1=CC=C(C=C1)/C(=N\O)/C(=N/O)/C2=CC=CC=C2,Inactive,0,,,200.6,2.72639e+07,200,2.7379e+07,-1.21,-0.33,-0.77,99.83,100.26
6614,92273632,1241433,CCOC(=O)CNC1=NNC(=O)NC1=O,Inactive,0,,,200.2,2.817e+07,198.6,2.8236e+07,-0.95,0.59,-0.18,103.15,103.4
6615,92273633,5713208,CC1=CC(=NC(=N1)S/C=C/C(=O)C2=CC=C(C=C2)Cl)C,Inactive,1,,,197.1,2.76567e+07,197.6,2.7767e+07,1.1,1.24,1.17,101.27,101.68
6616,92273634,2785999,CN1C(=O)C=C(C2=C1N(C(=O)N(C2=O)C3=CC=CC=C3)C4=CC=CC=C4)N5CCOCC5,Inactive,0,,,198.4,2.70829e+07,198.6,2.6905e+07,0.24,0.59,0.42,99.17,98.52
6617,92273635,2801990,CC(=O)NC1=NN(C(N1C(=O)C)C2=CC=CC3=CC=CC=C32)C(=O)C,Inactive,0,,,198.3,2.66362e+07,199.2,2.69275e+07,0.3,0.2,0.25,97.53,98.6
6618,92273636,2802820,C1=CC=C(C=C1)C(=O)C(NC(=O)C2=CC=CC=C2)N3C=NC=CC3=O,Inactive,0,,,198.1,2.79779e+07,199.1,2.78402e+07,0.44,0.26,0.35,102.45,101.95
6619,92273637,602044,C1=CC=C(C=C1)COCC(CN2C3=CC=CC=C3C4=CC=CC=C42)O,Inactive,1,,,198.8,2.74557e+07,196.9,2.76395e+07,-0.02,1.7,0.84,100.53,101.21
6620,92273638,9583262,CC1=CC=C(C=C1)S(=O)(=O)/N=S(\C)/C2=CC=CC=C2,Inactive,0,,,200.4,2.74015e+07,202.2,2.73353e+07,-1.08,-1.77,-1.43,100.33,100.1
6621,92273639,2802151,C1=CC=C2C(=C1)NC(=N2)C(C#N)C(=O)C3=CC=CO3,Inactive,1,,,197.1,2.74844e+07,198,2.7313e+07,1.1,0.98,1.04,100.64,100.02
6622,92273640,345469,COC(=O)C1C(C2C3=CC=CC=C3C1C4=CC=CC=C24)C(=O)OC,Inactive,0,,,197.9,2.77617e+07,199.5,2.76696e+07,0.57,0,0.29,101.65,101.32
6623,92273641,45108810,CN(C)CC1(CCCCC1)CC(=O)O.[Cl-],Inactive,0,,,198.3,2.67272e+07,198.5,2.67276e+07,0.3,0.65,0.48,97.87,97.87
6624,92273642,5793972,C1CCN(C1)/C(=N\S(=O)(=O)C2=CC=CC=C2)/NN,Inactive,1,,,196.6,2.67378e+07,197.2,2.68909e+07,1.42,1.51,1.47,97.9,98.47
6625,92273643,727420,C1=CC=C(C=C1)/C=C/C=C2C(=O)NC(=O)NC2=O,Inactive,2,,,196,2.72971e+07,195.6,2.71976e+07,1.82,2.55,2.19,99.95,99.59
6626,92273644,2803943,COC1=C(C(=CC=C1)OC)C(=O)NC2=CC=CC=C2NC(=O)C3=C(C=CC=C3OC)OC,Inactive,2,,,196.4,2.7047e+07,197.3,2.72957e+07,1.56,1.44,1.5,99.04,99.95
6627,92273645,291985,CCOC1=CC=C(C=C1)CCC(=O)O,Inactive,1,,,197.8,2.7539e+07,197.5,2.74779e+07,0.63,1.31,0.97,100.84,100.62
6628,92273646,9583424,CS/C(=N\S(=O)(=O)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)/N2CCOCC2,Inactive,2,,,196.8,2.7541e+07,195.1,2.75501e+07,1.29,2.88,2.09,100.85,100.88
6629,92273647,576527,C1=CC=C(C=C1)C2=C(ONC2=O)O,Inactive,2,,,195.7,2.73609e+07,196.2,2.74276e+07,2.02,2.16,2.09,100.19,100.44
6630,92273648,2804157,C1C2CC(C1C=C2)NC(=S)N,Inactive,0,,,198.5,2.6368e+07,198.3,2.65304e+07,0.17,0.79,0.48,96.55,97.15
6631,92273649,2803234,CCNC1=CC(=[N+](C2=NNC(=C12)N)CC)N.[Cl-],Inactive,1,,,199.6,2.67827e+07,197,2.66583e+07,-0.55,1.64,0.55,98.07,97.62
6632,92273650,331818,COC1=C(C=C(C=C1)C2=NN=C(C(=C2)C3=CC=CC=C3)C4=CC=CC=C4)CN5CCOCC5,Inactive,2,,,196.2,2.7585e+07,196.9,2.78094e+07,1.69,1.7,1.7,101.01,101.83
6633,92273651,2803328,C1C2CC(C1C=C2)NC(=S)N(CCC#N)CC3=CN=CC=C3,Inactive,2,,,194.1,2.73615e+07,198.6,2.72128e+07,3.07,0.59,1.83,100.19,99.65
