PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Qualifier_IC50_Run1,DR_IC50_Run1 ,Qualifier_IC50_Run2,DR_IC50_Run2,Qualifier_IC50_Run3,DR_IC50_Run3,DR_IC50_Hillslope_Run 1,DR_IC50_Hillslope_Run 2,DR_IC50_Hillslope_Run 3,DR_%inhibition at 50_Run1,DR_%inhibition at 50_Run2,DR_%inhibition at 50_Run3,DR_Plate Mean Max Signal_Run1 ,DR_Plate Mean Max Signal_Run 2,DR_Plate Mean Max Signal_Run 3,DR_Plate Mean Min Signal_Run1 ,DR_Plate Mean Min Signal_Run2,DR_Plate Mean Min Signal_Run3,DR_plate Z'-factor_Run_1,DR_plate Z'-factor_Run_2,DR_plate Z'-factor_Run_3,DR_Run date_run1,DR_Run date_run 2,DR_Run date_run 3
65,22403774,749267,CC1(COC(=N1)/C=C/C2=CC=C(C=C2)[N+](=O)[O-])C,Inactive,20,,,>,50,>,50,>,50,-0.796508,-0.876156,-2.64306,-2.46222,-16.9004,-4.73348,4109.71,3997.52,3917.39,42.7313,35.451,38.8495,0.563383,0.750536,0.812712,3/31/2008,3/31/2008,3/31/2008
66,17515451,7184443,CCN1CCC2(CC1)N=C(C(=S)N2C(=O)C3=CC=C(C=C3)C)C4=CC=C(C=C4)F,Inactive,20,,,>,50,>,50,>,50,2.24293,12.6628,3.40416,32.3289,27.0178,26.3072,4109.71,3997.52,3917.39,42.7313,35.451,38.8495,0.563383,0.750536,0.812712,3/31/2008,3/31/2008,3/31/2008
67,14730447,1873618,C1CN(CCN1CC2=CC(=O)OC3=CC(=C(C=C23)O)C4=CC=CC=C4)C5=CC=CC=C5F,Inactive,20,,,>,50,>,50,>,50,27.4996,-0.712567,-13.6378,-3.37713,6.71978,10.3902,3774.32,4061.83,3832.53,47.1591,42.0847,50.0907,0.72537,0.738093,0.626085,3/31/2008,3/31/2008,3/31/2008
68,17408284,2893413,CC1=CC=C(C=C1)NC2=C(C(=O)C3=CC=CC=C3C2=O)N4CCOCC4,Inactive,20,,,>,50,>,50,>,50,10.5853,2.27677,9.27168,19.5355,14.5076,19.9105,3774.32,4061.83,3832.53,47.1591,42.0847,50.0907,0.72537,0.738093,0.626085,3/31/2008,3/31/2008,3/31/2008
69,17509757,9554359,CC(C(=O)N/N=C/C1=CC(=C(C=C1)OC)OC)N2C=NC3=CC=CC=C3C2=O,Inactive,20,,,>,50,>,50,>,50,-45.2762,-9.04744,-4.99498,4.56207,10.9642,10.0015,3774.32,4061.83,3832.53,47.1591,42.0847,50.0907,0.72537,0.738093,0.626085,3/31/2008,3/31/2008,3/31/2008
70,14727866,4538346,C1COCCN1P(=O)(C(=NC2=CC=CC=C2)NNC3=CC=C(C=C3)[N+](=O)[O-])N4CCOCC4,Inactive,20,,,>,50,>,50,>,50,13.0352,-0.0404544,5.28588,16.8668,22.2811,19.2932,3774.32,4061.83,3832.53,47.1591,42.0847,50.0907,0.72537,0.738093,0.626085,3/31/2008,3/31/2008,3/31/2008
71,22404357,2916452,CC1=CC=C(C=C1)NC2=C(C(=O)C3=CC=CC=C3C2=O)NCCO,Inactive,20,,,>,50,>,50,>,50,49.0126,-11.9193,2.75557,-5.96642,21.9637,6.41307,3774.32,4061.83,3832.53,47.1591,42.0847,50.0907,0.72537,0.738093,0.626085,3/31/2008,3/31/2008,3/31/2008
72,22404901,3342467,CN(C1CCS(=O)(=O)C1)C2=C(C(=O)C3=CC=CC=C3C2=O)NC(=O)C4=CC=CC=C4,Inactive,20,,,>,50,>,50,>,50,4.63358,11.4472,1.92081,19.8211,34.426,26.7582,3774.32,4061.83,3832.53,47.1591,42.0847,50.0907,0.72537,0.738093,0.626085,3/31/2008,3/31/2008,3/31/2008
73,4242690,3237512,C1CC2=C(C(=O)OC3=C2C=C(C=C3)O)N(C1)C(=O)CN4CCN(CC4)C(=O)C5=CC=CO5,Inactive,20,,,>,50,>,50,>,50,-51.1999,-1.47368,-3.7094,-2.05681,-2.7821,-12.1972,4109.71,3997.52,3917.39,42.7313,35.451,38.8495,0.563383,0.750536,0.812712,3/31/2008,3/31/2008,3/31/2008
74,4251491,3245169,CN(CC1=CC=CC=C1)CC(=O)N2CCCC3=C2C(=O)OC4=C3C=C(C=C4)O,Inactive,20,,,>,50,>,50,>,50,-3.92336,-13.5229,0.625225,-5.6109,-2.03197,3.5922,3774.32,4061.83,3832.53,47.1591,42.0847,50.0907,0.72537,0.738093,0.626085,3/31/2008,3/31/2008,3/31/2008
75,4250770,3244534,CC1CCN(CC1)CCC(=O)N2CCCC3=C2C(=O)OC4=C3C=C(C=C4)O,Inactive,20,,,>,50,>,50,>,50,-0.689513,-3.86723,22.8049,-16.6439,-7.14119,20.0687,4109.71,3997.52,3917.39,42.7313,35.451,38.8495,0.563383,0.750536,0.812712,3/31/2008,3/31/2008,3/31/2008
76,4244434,2159436,CC1=CC(=CC=C1)C(=O)NCC2=NN=C(N2C3=CC=CC=C3OC)SCC(=O)OC,Inactive,20,,,>,50,>,50,>,50,-10.7965,-10.2301,-1.00617,-23.7623,-19.248,-0.985259,3837.48,3912.91,3746.78,41.3678,41.585,41.0926,0.720292,0.706884,0.718285,3/31/2008,3/31/2008,3/31/2008
77,4264128,837550,CCN(CC)C1=CC(=C(C=C1)NC(=O)C2=CC(=CC=C2)OC)C,Inactive,20,,,>,50,>,50,>,50,-0.165056,-0.747253,-10.9334,5.25065,-13.9043,-4.18231,4109.71,3997.52,3917.39,42.7313,35.451,38.8495,0.563383,0.750536,0.812712,3/31/2008,3/31/2008,3/31/2008
78,4262801,974879,CC1=CSC(=N1)N2CCC3=CC=CC=C32,Inactive,20,,,>,50,>,50,>,50,-2.32117,-0.989916,8.84165,-34.1409,-9.01784,14.4739,3774.32,4061.83,3832.53,47.1591,42.0847,50.0907,0.72537,0.738093,0.626085,3/31/2008,3/31/2008,3/31/2008
79,4249684,3243604,CCN1C2=CC=CC=C2C(=CC1=O)OCC(=O)OCC,Inactive,20,,,>,50,>,50,>,50,-1.58732,-10.4439,-1.81769,-2.62947,-3.59042,-4.93951,4109.71,3997.52,3917.39,42.7313,35.451,38.8495,0.563383,0.750536,0.812712,3/31/2008,3/31/2008,3/31/2008
80,4249720,3243634,CCOC(=O)N1CCN(CC1)C(=O)CN2C(=CC3=CC=CC=C3C2=O)C,Inactive,20,,,>,50,>,50,>,50,-1,-1.86046,0.386611,-18.7203,-11.6882,-11.8315,3416.15,3614.91,3614.07,45.5255,40.8898,67.8967,0.689295,0.773543,0.687969,3/31/2008,3/31/2008,3/31/2008
81,4242083,3236982,CCN(CC)CCCNC(=O)CC1=C(N(C2=CC=CC=C21)C)C(=O)O,Inactive,20,,,>,50,>,50,>,50,-11.0982,1.36756,8.61689,-15.4815,5.95837,-15.3764,3315.3,3174.95,3159.55,74.8432,42.5739,41.6513,0.60725,0.744905,0.696057,3/31/2008,3/31/2008,3/31/2008
82,4242820,1192760,CCOC(=O)C1=C(OC2=C1C(=C(C3=CC=CC=C32)O)C=NCC4=CC=CC=N4)C,Inactive,20,,,>,50,>,50,>,50,-1.18535,12.7669,-3.13253,1.84507,2.48643,3.24453,3416.15,3614.91,3614.07,45.5255,40.8898,67.8967,0.689295,0.773543,0.687969,3/31/2008,3/31/2008,3/31/2008
83,4263175,1259197,COC(=O)C1=CC(=C(C=C1)Cl)NC(=O)CN2CCN(CC2)CC3=CC=CC=C3,Inactive,20,,,>,50,>,50,>,50,-2.64153,17.5368,-0.395492,-19.3165,-4.65903,-3.47916,3774.32,4061.83,3832.53,47.1591,42.0847,50.0907,0.72537,0.738093,0.626085,3/31/2008,3/31/2008,3/31/2008
84,859087,660389,CCOC(=O)C1=CC=C(C=C1)NS(=O)(=O)C2=C(C=CC(=C2)C3=NN=NN3C(C)C)OC,Inactive,20,,,>,50,>,50,>,50,-2.05725,-1.0684,8.50374,-16.6709,-11.5888,6.64752,3315.3,3174.95,3159.55,74.8432,42.5739,41.6513,0.60725,0.744905,0.696057,3/31/2008,3/31/2008,3/31/2008
85,4261975,1310712,CC(=O)NC1=CC=C(C=C1)C2=NN=C(N2C)SCC(=O)N3C4=C(CCCC4)C5=CC=CC=C53,Inactive,20,,,>,50,>,50,>,50,-0.155218,-0.849403,-8.65302,-2.84843,-10.2622,-10.3011,4109.71,3997.52,3917.39,42.7313,35.451,38.8495,0.563383,0.750536,0.812712,3/31/2008,3/31/2008,3/31/2008
86,859373,54694096,CC1=NC2=CC=CC=C2C(=O)N1NC(=O)C3=C(C4=C(CCCC4)N(C3=O)CC(C)C)O,Inactive,20,,,>,50,>,50,>,50,-11.1389,-75.082,27.0761,-3.18642,-11.3124,2.34597,3315.3,3174.95,3159.55,74.8432,42.5739,41.6513,0.60725,0.744905,0.696057,3/31/2008,3/31/2008,3/31/2008
87,4262480,2961632,CCN1CCN(CC1)CCCOC2=CC=C(C=C2)C3=CC=CC=C3,Inactive,20,,,>,50,>,50,>,50,-4.04638,-67.4032,-1.57487,4.22294,-7.79491,2.39823,3416.15,3614.91,3614.07,45.5255,40.8898,67.8967,0.689295,0.773543,0.687969,3/31/2008,3/31/2008,3/31/2008
88,860483,661771,CC1=CC(=O)C2=C(N1CC(=O)NCC3=CC=CO3)C=CC(=C2)OC,Inactive,20,,,>,50,>,50,>,50,2.48988,12.4581,-1.90662,6.14521,-7.50769,-9.57091,3315.3,3174.95,3159.55,74.8432,42.5739,41.6513,0.60725,0.744905,0.696057,3/31/2008,3/31/2008,3/31/2008
89,853532,656186,CCCCOC(=O)C1=C(NC2(C1(C(=O)C3=CC=CC=C32)O)O)C,Inactive,20,,,>,50,>,50,>,50,2.29898,2.28703,3.08818,38.2743,31.1985,41.1747,3837.48,3912.91,3746.78,41.3678,41.585,41.0926,0.720292,0.706884,0.718285,3/31/2008,3/31/2008,3/31/2008
90,858582,659889,C1=CC=C2C(=C1)N=C3C(=C(N(C3=N2)CCNC(=O)C4=CC=CS4)N)C#N,Inactive,20,,,>,50,>,50,>,50,-1.77162,-2.33917,19.082,-15.2941,-20.3553,-15.0998,3837.48,3912.91,3746.78,41.3678,41.585,41.0926,0.720292,0.706884,0.718285,3/31/2008,3/31/2008,3/31/2008
91,4263348,892591,CC1=C(C(=CC(=C1C)Br)C(=O)OC2CCN(CC2)C)C,Inactive,20,,,>,50,>,50,>,50,25.8213,-0.26041,13.3145,-9.31325,-7.14281,17.0892,3837.48,3912.91,3746.78,41.3678,41.585,41.0926,0.720292,0.706884,0.718285,3/31/2008,3/31/2008,3/31/2008
92,4246644,3240963,CC1=CC2=CC(=O)NC(=C2C=C1)C,Inactive,20,,,>,50,>,50,>,50,-1.61637,-0.760504,4.9787,-10.3872,3.16348,10.1278,4109.71,3997.52,3917.39,42.7313,35.451,38.8495,0.563383,0.750536,0.812712,3/31/2008,3/31/2008,3/31/2008
93,4246530,1492410,CCC(=O)NC1=NON=C1C2=NC3=CC=CC=C3N2CCC(C)C,Inactive,20,,,>,50,>,50,>,50,-2.29897,0.307783,2.71205,-15.628,-9.71014,0.978925,3315.3,3174.95,3159.55,74.8432,42.5739,41.6513,0.60725,0.744905,0.696057,3/31/2008,3/31/2008,3/31/2008
94,3713486,2535257,CCOC(=O)C1=C(C2=C(O1)C=CC(=C2)Br)CSC3=NN=C(S3)C,Inactive,20,,,>,50,>,50,>,50,-2.59369,-10.3047,-9.06425,-8.78894,-13.2403,-14.3292,3315.3,3174.95,3159.55,74.8432,42.5739,41.6513,0.60725,0.744905,0.696057,3/31/2008,3/31/2008,3/31/2008
95,4247067,3241322,C1CN(C(=N1)SCC2=CN=CC=C2)C(=O)C3=CC=CS3,Inactive,20,,,>,50,>,50,>,50,-8.48738,14.0012,5.15632,-6.30166,-16.2792,-12.4356,3315.3,3174.95,3159.55,74.8432,42.5739,41.6513,0.60725,0.744905,0.696057,3/31/2008,3/31/2008,3/31/2008
96,14736018,699581,C1=CC=C(C=C1)/[N+](=C/C2=CC=C(C=C2)F)/[O-],Inactive,20,,,>,50,>,50,>,50,-6.8337,0.786432,8.14134,-7.79318,3.96681,11.1424,3416.15,3614.91,3614.07,45.5255,40.8898,67.8967,0.689295,0.773543,0.687969,3/31/2008,3/31/2008,3/31/2008
97,4248395,3242473,CC(C(=O)N1CCCC2=C1C(=O)OC3=C2C=C(C=C3)O)N4CCC5=CC=CC=C5C4,Inactive,20,,,>,50,>,50,>,50,-0.981331,-8.83763,-12.9566,8.79016,-3.79213,-4.76266,4109.71,3997.52,3917.39,42.7313,35.451,38.8495,0.563383,0.750536,0.812712,3/31/2008,3/31/2008,3/31/2008
98,4265001,973141,C1OC2=C(O1)C=C(C=C2)C(=O)CSC3=NC=NN3,Inactive,20,,,>,50,>,50,>,50,-2.05935,-4.10449,-17.6517,-20.2373,-14.6941,-17.9486,3837.48,3912.91,3746.78,41.3678,41.585,41.0926,0.720292,0.706884,0.718285,3/31/2008,3/31/2008,3/31/2008
99,4254508,700862,CC1=C(C(=NO1)C2=CC=CC=C2)C(=O)NCC3=CC=CC=N3,Inactive,20,,,>,50,>,50,>,50,-3.59682,-11.0651,-1.57564,-21.8611,-1.62989,-11.3452,3416.15,3614.91,3614.07,45.5255,40.8898,67.8967,0.689295,0.773543,0.687969,3/31/2008,3/31/2008,3/31/2008
100,863271,664517,CC1=CC=C(C=C1)N2C(=O)[C@@H]3[C@H](C2=O)C4C5=CC=CC=C5C=CN4[C@@H]3C(=O)C6=CC=CO6,Inactive,20,,,>,50,>,50,>,50,-0.150635,-0.497751,-7.67891,12.4602,-11.9588,-4.00813,4109.71,3997.52,3917.39,42.7313,35.451,38.8495,0.563383,0.750536,0.812712,3/31/2008,3/31/2008,3/31/2008
101,862982,664220,CC1=CC(=C(C=C1)N2C(=O)[C@@H]3[C@H](C2=O)C4C5=CC=CC=C5C=CN4[C@@H]3C(=O)C6=CC=CO6)C,Inactive,20,,,>,50,>,50,>,50,2.93477,14.7469,9.50997,19.597,18.5947,23.8429,3774.32,4061.83,3832.53,47.1591,42.0847,50.0907,0.72537,0.738093,0.626085,3/31/2008,3/31/2008,3/31/2008
102,857932,659284,CCC(=O)N1CC2=CC=CC=C2C3=CC=CC=C3C1=O,Inactive,20,,,>,50,>,50,>,50,-7.2587,12.4762,24.2705,-16.8938,7.05408,-4.74139,3774.32,4061.83,3832.53,47.1591,42.0847,50.0907,0.72537,0.738093,0.626085,3/31/2008,3/31/2008,3/31/2008
103,852691,655325,CC1=C(C2(C(=O)C3=CC=CC=C3C2(N1)O)O)C(=O)OCC=C,Inactive,20,,,>,50,>,50,>,50,1.4509,2.20468,1.80081,22.2359,30.2111,21.3601,3315.3,3174.95,3159.55,74.8432,42.5739,41.6513,0.60725,0.744905,0.696057,3/31/2008,3/31/2008,3/31/2008
104,4257167,1264486,CN1C(=NN=C1SCC2=NC3=CC=CC=C3N2)COC4=CC=CC=C4,Inactive,20,,,>,50,>,50,>,50,-10.2584,-2.43192,29.537,-16.8832,19.9816,-14.4459,3315.3,3174.95,3159.55,74.8432,42.5739,41.6513,0.60725,0.744905,0.696057,3/31/2008,3/31/2008,3/31/2008
105,861465,591407,C1CCC2=C(C1)N=C(N=N2)N,Inactive,20,,,>,50,>,50,>,50,-1.86321,2.21755,-0.00533713,12.9005,27.9606,28.0741,3774.32,4061.83,3832.53,47.1591,42.0847,50.0907,0.72537,0.738093,0.626085,3/31/2008,3/31/2008,3/31/2008
106,843466,645761,COC1=CC(=C(C=C1)C2=NN=C(O2)SCC(=O)C3=CC=CS3)OC,Inactive,20,,,>,50,>,50,>,50,15.3509,-4.04408,-12.0756,-13.5149,-15.2824,-2.85708,3774.32,4061.83,3832.53,47.1591,42.0847,50.0907,0.72537,0.738093,0.626085,3/31/2008,3/31/2008,3/31/2008
107,857282,658624,COC1=CC=C(C=C1)N2N=C3C=CC=CC3=N2,Inactive,20,,,>,50,>,50,>,50,-0.988187,-8.48159,-12.4207,-9.38787,-18.0093,10.1598,3774.32,4061.83,3832.53,47.1591,42.0847,50.0907,0.72537,0.738093,0.626085,3/31/2008,3/31/2008,3/31/2008
108,849467,651961,COC1=CC=CC=C1NC(=O)N2CCC(CC2)C(=O)C3=CC=C(C=C3)F,Inactive,20,,,>,50,>,50,>,50,-1.34617,-11.8976,-1.22175,-2.99686,-19.5041,6.37805,3837.48,3912.91,3746.78,41.3678,41.585,41.0926,0.720292,0.706884,0.718285,3/31/2008,3/31/2008,3/31/2008
109,859902,661205,CCN1C(=NNC1=S)C2=CC(=C(C(=C2)OC)OC)OC,Inactive,20,,,>,50,>,50,>,50,-11.6446,-8.01154,-22.3554,-35.0391,-21.0066,-16.0172,3416.15,3614.91,3614.07,45.5255,40.8898,67.8967,0.689295,0.773543,0.687969,3/31/2008,3/31/2008,3/31/2008
110,856019,1967,CC1=C(C(=O)C(=C(C1=O)C)CCCCC#CCCCC#CCO)C,Inactive,20,,,>,50,>,50,>,50,-6.43412,13.4182,-3.14176,-0.269081,1.5188,0.777379,3315.3,3174.95,3159.55,74.8432,42.5739,41.6513,0.60725,0.744905,0.696057,3/31/2008,3/31/2008,3/31/2008
111,855765,51039,C1C(=C(N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)N)C(=O)O)Cl,Inactive,20,,,>,50,>,50,>,50,20.7923,-9.16728,1.32927,-16.2179,-16.0352,5.92451,3416.15,3614.91,3614.07,45.5255,40.8898,67.8967,0.689295,0.773543,0.687969,3/31/2008,3/31/2008,3/31/2008
112,14723517,3154518,CC1=CC=C(C=C1)CSCCNC(=O)CN2C(=O)C3=CC=CC=C3S2(=O)=O,Inactive,20,,,>,50,>,50,>,50,27.8389,-15.4317,1.1372,-10.8456,-11.4163,2.17394,3837.48,3912.91,3746.78,41.3678,41.585,41.0926,0.720292,0.706884,0.718285,3/31/2008,3/31/2008,3/31/2008
113,858845,660152,CC(=O)[C@H]1[C@H]2[C@@H]([C@@H]3N1C=CC4=CC=CC=C34)C(=O)N(C2=O)C5=CC(=CC=C5)Cl,Inactive,20,,,>,50,>,50,>,50,0.979196,0.754823,-0.834767,6.35429,7.47935,1.18518,3416.15,3614.91,3614.07,45.5255,40.8898,67.8967,0.689295,0.773543,0.687969,3/31/2008,3/31/2008,3/31/2008
114,858991,660294,C1=CC2=C(C=CC(=C2)N=CC3=C(C=C(C=C3)O)O)N=C1,Inactive,20,,,>,50,>,50,>,50,66.6686,0.838371,-9.03082,-5.39357,-1.67571,-3.79536,3774.32,4061.83,3832.53,47.1591,42.0847,50.0907,0.72537,0.738093,0.626085,3/31/2008,3/31/2008,3/31/2008
115,14736418,2879049,C1CSC2=[N+]1C(=CS2)C3=CC=C(C=C3)[N+](=O)[O-].[Br-],Inactive,20,,,>,50,>,50,>,50,10.8288,0.526331,0.591956,14.7482,21.0866,26.5175,3837.48,3912.91,3746.78,41.3678,41.585,41.0926,0.720292,0.706884,0.718285,3/31/2008,3/31/2008,3/31/2008
116,14735661,5124027,COCCCNC(=O)CC(C1=CC=C(C=C1)OC)NS(=O)(=O)C2=CC=C(C=C2)F,Inactive,20,,,>,50,>,50,>,50,-2.82404,-4.58984,-3.55472,-17.52,-7.9785,-6.6054,3774.32,4061.83,3832.53,47.1591,42.0847,50.0907,0.72537,0.738093,0.626085,3/31/2008,3/31/2008,3/31/2008
117,16953655,2323972,C1=CC=C2C(=C1)C=C(NC2=O)NC3=CC=C(C=C3)F,Inactive,20,,,>,50,>,50,>,50,3.10091,1.79813,1.47774,26.7641,31.637,26.114,3837.48,3912.91,3746.78,41.3678,41.585,41.0926,0.720292,0.706884,0.718285,3/31/2008,3/31/2008,3/31/2008
118,14726276,951791,C1=CC=C(C(=C1)CN2C=C(C3=CC=CC=C32)C#N)C#N,Inactive,20,,,>,50,>,50,>,50,-0.345369,-0.76498,-2.46256,-2.59916,-18.9158,-13.8353,4109.71,3997.52,3917.39,42.7313,35.451,38.8495,0.563383,0.750536,0.812712,3/31/2008,3/31/2008,3/31/2008
119,4260061,2771104,C1COCCN1S(=O)(=O)C2=CC=C(C=C2)C(=O)NC(C3=CC=CC=C3)C(=O)O,Inactive,20,,,>,50,>,50,>,50,-1.55885,-1.01089,-1.47388,-8.39467,-15.7509,-8.31855,3416.15,3614.91,3614.07,45.5255,40.8898,67.8967,0.689295,0.773543,0.687969,3/31/2008,3/31/2008,3/31/2008
120,14723508,1453619,C1CN(CCC1C2=NC(=NO2)C3=CC=NC=C3)S(=O)(=O)C4=CC5=CC=CC=C5C=C4,Inactive,20,,,>,50,>,50,>,50,-2.14233,-9.98582,0.352118,-22.0086,-15.2606,-7.12778,3416.15,3614.91,3614.07,45.5255,40.8898,67.8967,0.689295,0.773543,0.687969,3/31/2008,3/31/2008,3/31/2008
121,17510009,1248777,C1=CC=C2C(=C1)N(C3=CC=CC=C3S2)C(=O)COC(=O)/C=C/C4=CC=C(C=C4)[N+](=O)[O-],Inactive,20,,,>,50,>,50,>,50,-9.13151,-26.0129,-7.66745,-1.55505,-5.26442,2.13959,3774.32,4061.83,3832.53,47.1591,42.0847,50.0907,0.72537,0.738093,0.626085,3/31/2008,3/31/2008,3/31/2008
122,22410291,4097208,CC(=O)NC1=C(C(=O)C2=CC=CC=C2C1=O)N(C)C3CCS(=O)(=O)C3,Inactive,20,,,>,50,>,50,>,50,42.9792,1.17036,0.282925,-2.65755,7.22489,24.8039,3774.32,4061.83,3832.53,47.1591,42.0847,50.0907,0.72537,0.738093,0.626085,3/31/2008,3/31/2008,3/31/2008
123,17505319,3807559,C1=CC=C(C=C1)C2=CC(=O)C3=C(C(=C(C=C3O2)OC4C(C(C(C(O4)C(=O)O)O)O)O)O)O,Inactive,20,,,>,50,>,50,>,50,-5.46333,-7.34041,-3.65811,-30.1064,-17.7545,-31.811,3774.32,4061.83,3832.53,47.1591,42.0847,50.0907,0.72537,0.738093,0.626085,3/31/2008,3/31/2008,3/31/2008
124,14730864,6356140,CC(=O)[C@@H]1[C@H]2[C@@H]([C@@H]3N1C=CC4=CC=CC=C34)C(=O)N(C2=O)C5=CC=C(C=C5)OC,Inactive,20,,,>,50,>,50,>,50,24.549,-3.77423,-2.31258,-8.7153,7.46682,-19.4099,3774.32,4061.83,3832.53,47.1591,42.0847,50.0907,0.72537,0.738093,0.626085,3/31/2008,3/31/2008,3/31/2008
125,22406314,135521589,CCN(CC)C1=CC(=C(C=C1)/C=N/NC2=CC=C(C=C2)C)O.Cl,Inactive,20,,,>,50,>,50,>,50,-1.88789,1.44363,0.182841,3.25067,8.988,16.4149,3837.48,3912.91,3746.78,41.3678,41.585,41.0926,0.720292,0.706884,0.718285,3/31/2008,3/31/2008,3/31/2008
126,17512624,6866121,C1=CC=C(C=C1)C2=NNC(=S)N2/N=C/C=C/C3=CC=CO3,Inactive,20,,,>,50,>,50,>,50,-0.0885703,13.4335,-2.15895,-4.18713,13.1997,1.40739,3837.48,3912.91,3746.78,41.3678,41.585,41.0926,0.720292,0.706884,0.718285,3/31/2008,3/31/2008,3/31/2008
127,16953985,135420893,CCOC(=O)/C(=C(\C1=CC=C(C=C1)[N+](=O)[O-])/O)/N=NC2=CC=C(C=C2)F,Inactive,20,,,>,50,>,50,>,50,13.191,11.534,-13.3958,4.84999,-17.5901,-4.24155,3837.48,3912.91,3746.78,41.3678,41.585,41.0926,0.720292,0.706884,0.718285,3/31/2008,3/31/2008,3/31/2008
128,22413239,9564849,CC(C)(C)C1=NN2C=NN=C2N(C1=O)/N=C/C3=CC=C(C=C3)OC,Inactive,20,,,>,50,>,50,>,50,18.1987,-0.383437,4.89901,-26.9135,-3.39286,-9.792,3837.48,3912.91,3746.78,41.3678,41.585,41.0926,0.720292,0.706884,0.718285,3/31/2008,3/31/2008,3/31/2008
129,14730036,5524312,CSC1=NSC(=C1C#N)/C=C/NC2=CC=C(C=C2)Cl,Inactive,20,,,>,50,>,50,>,50,-2.86542,12.5436,18.1049,-10.8645,-0.429358,-9.14608,3837.48,3912.91,3746.78,41.3678,41.585,41.0926,0.720292,0.706884,0.718285,3/31/2008,3/31/2008,3/31/2008
130,22403872,2914402,COC1=CC=C(C=C1)NC2=C(C(=O)C3=CC=CC=C3C2=O)NCCO,Inactive,20,,,>,50,>,50,>,50,3.09211,1.83296,1.49938,29.5536,15.9249,15.0317,3837.48,3912.91,3746.78,41.3678,41.585,41.0926,0.720292,0.706884,0.718285,3/31/2008,3/31/2008,3/31/2008
131,17431627,2829688,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N3C(=O)/C(=C/4\C5=CC=CC=C5N(C4=O)C(=O)C)/SC3=S,Inactive,20,,,>,50,>,50,>,50,1.76635,8.47404,-11.824,4.07204,11.1338,-0.358276,3837.48,3912.91,3746.78,41.3678,41.585,41.0926,0.720292,0.706884,0.718285,3/31/2008,3/31/2008,3/31/2008
132,14728711,9549823,CCCCCCCC1=CC2=CC(=O)C(C(=O)C2=CN1CCC3=CC=CC=C3)(C)OC(=O)C,Inactive,20,,,>,50,>,50,>,50,-1.72774,-13.036,0.2347,-1.96003,-13.9736,-5.19973,3837.48,3912.91,3746.78,41.3678,41.585,41.0926,0.720292,0.706884,0.718285,3/31/2008,3/31/2008,3/31/2008
133,16953252,702433,CC1=CC=CC=C1/[N+](=C/C2=CC=NC=C2)/[O-],Inactive,20,,,>,50,>,50,>,50,-2.50174,2.3156,1.0631,2.79726,19.3686,24.7228,3837.48,3912.91,3746.78,41.3678,41.585,41.0926,0.720292,0.706884,0.718285,3/31/2008,3/31/2008,3/31/2008
134,17402807,6283348,COC1=CC=C(C=C1)CN2C(=O)C(C3=CC=CC=C3C2=O)/C=N\OCC4=CC=C(C=C4)F,Inactive,20,,,>,50,>,50,>,50,4.48893,-0.979233,2.48965,2.33824,-12.6772,20.3835,3837.48,3912.91,3746.78,41.3678,41.585,41.0926,0.720292,0.706884,0.718285,3/31/2008,3/31/2008,3/31/2008
135,3717668,2116196,C1=CC=C(C=C1)CN2C(=C(C(=O)NC2=O)NCC3=CC=CC=C3F)N,Inactive,20,,,>,50,>,50,>,50,3.22495,1.63835,1.54155,29.2168,29.2208,40.8232,3416.15,3614.91,3614.07,45.5255,40.8898,67.8967,0.689295,0.773543,0.687969,3/31/2008,3/31/2008,3/31/2008
136,22406564,135521597,CCN(CC)C1=CC(=C(C=C1)/C=N/NC2=CC=CC(=C2)C)O,Inactive,20,,,>,50,>,50,>,50,-0.230072,0.107253,0.668147,-10.8461,-1.08837,41.7724,3416.15,3614.91,3614.07,45.5255,40.8898,67.8967,0.689295,0.773543,0.687969,3/31/2008,3/31/2008,3/31/2008
137,22401592,15944801,C1C2[C@H]([C@H]([C@H]([C@@H](O2)OC(=O)C3=CC(=C(C(=C3)O)O)O)O)OC(=O)C4=CC(=C(C(=C4C5=C(C(=C(C=C5C(=O)O1)O)O)O)O)O)O)O,Inactive,20,,,>,50,>,50,>,50,28.3311,2.62784,-1.0087,-25.24,4.67075,19.4676,3416.15,3614.91,3614.07,45.5255,40.8898,67.8967,0.689295,0.773543,0.687969,3/31/2008,3/31/2008,3/31/2008
138,17411610,5341375,C1CCN(CC1)C2=C(C(=O)C3=CC=CC=C3C2=O)NC4=CC=C(C=C4)C(=O)/C=C/C5=CC=C(C=C5)O,Inactive,20,,,>,50,>,50,>,50,1.62808,1.50191,-0.0489464,1.80763,24.4108,30.5931,3416.15,3614.91,3614.07,45.5255,40.8898,67.8967,0.689295,0.773543,0.687969,3/31/2008,3/31/2008,3/31/2008
