SMILES,Is_Starter,MolFormula,MolWeight,NumHeavyAtoms
C=CC[C@@H]1C(O)OC(=C(O)C(O)NC(N)=[NH2+])C1O,False,C10H18N3O5+,260.1241,18
C=CC[C@H]1C(=O)C(=C(O)CNC(N)=O)OC1O,False,C10H14N2O5,242.0903,17
C=CC[C@H]1C(=O)C(=C(O)C=O)OC1O,False,C9H10O5,198.0528,14
C[C@H]1C(=O)C(=C(O)CNC(N)=[NH2+])OC1O,False,C8H14N3O4+,216.0979,15
C=CC[C@H]1C(=O)C(=C(O)CNC(N)=[NH2+])OC1(O)C=C,False,C12H18N3O4+,268.1292,19
C=CC[C@H]1C(=O)C(=C(O)C(C=C)NC(N)=[NH2+])OC1O,False,C12H18N3O4+,268.1292,19
C=CC[C@]1(C=C)C(=O)C(=C(O)CNC(N)=[NH2+])OC1O,False,C12H18N3O4+,268.1292,19
C=CC(C=C)[C@H]1C(=O)C(=C(O)CNC(N)=[NH2+])OC1O,False,C12H18N3O4+,268.1292,19
C=CC(=C)C[C@H]1C(=O)C(=C(O)CNC(N)=[NH2+])OC1O,False,C12H18N3O4+,268.1292,19
C=CC=CC[C@H]1C(=O)C(=C(O)CNC(N)=[NH2+])OC1O,False,C12H18N3O4+,268.1292,19
C=CC[C@@H]1C(=O)OC(=CO)C1(O)CNC(N)=[NH2+],False,C10H16N3O4+,242.1135,17
C=CCC1(O)CC(=O)OC1=C(O)CNC(N)=[NH2+],False,C10H16N3O4+,242.1135,17
C=CC1(O)C(=C(O)CNC(N)=[NH2+])OC(=O)[C@H]1C,False,C10H16N3O4+,242.1135,17
C=CC[C@@]1(CNC(N)=[NH2+])C(=O)OC(=CO)C1O,False,C10H16N3O4+,242.1135,17
C=CC(CNC(N)=[NH2+])[C@@H]1C(=O)OC(=CO)C1O,False,C10H16N3O4+,242.1135,17
C=C(CNC(N)=[NH2+])C[C@@H]1C(=O)OC(=CO)C1O,False,C10H16N3O4+,242.1135,17
NC(=[NH2+])NCC=CC[C@@H]1C(=O)OC(=CO)C1O,False,C10H16N3O4+,242.1135,17
C=CC[C@@H]1C(=O)OC(=C=O)C1O,False,C8H8O4,168.0423,12
C=CC[C@@H]1C2=NC(=[NH2+])NCC(O)=C(O2)C1O,False,C10H14N3O3+,224.103,16
C=CC[C@@H]1C2=[N+]=C(N)NCC(O)=C(O2)C1O,False,C10H14N3O3+,224.103,16
C=CC[C@@H]1C(=O)OC(=C(CNC(N)=[NH2+])OC)C1O,False,C11H18N3O4+,256.1292,18
