reactants,products,reactionString,ruleName
CO[C@H](C(=O)O)[C@H](O)C(O)=CC1CCCCC1,CO[C@](CO)(C(=O)O)C(O)=CC1CCCCC1,CO[C@H](C(=O)O)[C@H](O)C(O)=CC1CCCCC1 >> CO[C@](CO)(C(=O)O)C(O)=CC1CCCCC1,rule0028_46
CO[C@H](C(=O)O)[C@H](O)C(O)=CC1CCCCC1,CO[C@@H](CO)C(=O)O.O=C=CC1CCCCC1,CO[C@H](C(=O)O)[C@H](O)C(O)=CC1CCCCC1 >> CO[C@@H](CO)C(=O)O.O=C=CC1CCCCC1,rule0053_20
CO[C@H](C(=O)O)[C@H](O)C(O)=CC1CCCCC1.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,CO[C@H](C(=O)O)[C@H](O)C(O)CC1CCCCC1.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,CO[C@H](C(=O)O)[C@H](O)C(O)=CC1CCCCC1.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1 >> CO[C@H](C(=O)O)[C@H](O)C(O)CC1CCCCC1.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,rule0027_62
NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=C1OC(=CC2CCCCC2)[C@@H](O)[C@@H]1O.O=O,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.O.O=C1OC(=CC2(O)CCCCC2)[C@@H](O)[C@@H]1O,NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=C1OC(=CC2CCCCC2)[C@@H](O)[C@@H]1O.O=O >> NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.O.O=C1OC(=CC2(O)CCCCC2)[C@@H](O)[C@@H]1O,rule0004_12
CO[C@H](C(=O)O)[C@H](O)C(O)=CC1CCCCC1,OC(=CC1CCCCC1)[C@@H](O)[C@@H]1OCOC1O,CO[C@H](C(=O)O)[C@H](O)C(O)=CC1CCCCC1 >> OC(=CC1CCCCC1)[C@@H](O)[C@@H]1OCOC1O,rule0191_1
CO[C@@H]1C(=O)OC(=CC2(O)CCCCC2)[C@H]1O,CO[C@@H]1C(=O)OC2=CC3(CCCCC3)O[C@H]21.O,CO[C@@H]1C(=O)OC(=CC2(O)CCCCC2)[C@H]1O >> CO[C@@H]1C(=O)OC2=CC3(CCCCC3)O[C@H]21.O,rule0032_35
CO[C@H](C(=O)O)[C@H](O)C(O)=CC1CCCCC1,CO[C@H](C(=O)O)[C@H](O)C1CCCCC1C=CO,CO[C@H](C(=O)O)[C@H](O)C(O)=CC1CCCCC1 >> CO[C@H](C(=O)O)[C@H](O)C1CCCCC1C=CO,rule0028_47
CO[C@@H]1C(=O)OC(=CC2CCCCC2)[C@H]1O.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=O,CO[C@@H]1C(=O)OC(=CC2CCC(O)CC2)[C@H]1O.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.O,CO[C@@H]1C(=O)OC(=CC2CCCCC2)[C@H]1O.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=O >> CO[C@@H]1C(=O)OC(=CC2CCC(O)CC2)[C@H]1O.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.O,rule0004_12
CO[C@H](C(=O)O)[C@H](O)C(O)=CC1CCCCC1,CO[C@H](C(O)O)[C@@H]1OC2CCC(C=C1O)CC2,CO[C@H](C(=O)O)[C@H](O)C(O)=CC1CCCCC1 >> CO[C@H](C(O)O)[C@@H]1OC2CCC(C=C1O)CC2,rule0169_1
CO[C@H](C(=O)O)[C@H](O)C(O)=CC1CCCCC1,CO[C@H](C(O)=CC1CCCCC1)[C@H](O)C(=O)O,CO[C@H](C(=O)O)[C@H](O)C(O)=CC1CCCCC1 >> CO[C@H](C(O)=CC1CCCCC1)[C@H](O)C(=O)O,rule0936_3
