starter_Canonical_SMILES,Canonical_SMILES,source_DataBase,pPotency_prediction,pPotency_std,pPotency_lower_95CI,pPotency_upper_95CI,IC50(M)_prediction,IC50(M)_lower_95CI,IC50(M)_upper_95CI
CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,OC12C=CC=CC1O2,RemdesivirOnly_gen2,5.417320196174972,0.4749869376145661,4.486345798450423,6.348294593899522,3.825425987185384e-06,4.484410968018534e-07,3.263278965241525e-05
CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,CCC(CC)COC(=O)[C@H](C)N[P@@](=O)(OC1(O)C=CC=CC1O)OP(=O)(O)O,RemdesivirOnly_gen2,5.415790143495877,0.4770238707847665,4.480823356757735,6.350756930234019,3.83892702417489e-06,4.45905747031448e-07,3.305039415852361e-05
CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,CCCCOC(=O)[C@H](C)N[P@](=O)(O)Oc1ccccc1CC,RemdesivirOnly_gen2,5.415788442982102,0.4799138259296494,4.475157344159989,6.356419541804215,3.838942055821247e-06,4.401294794815853e-07,3.3484410372401953e-05
CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,O=P(O)(O)Oc1ccccc1,RemdesivirOnly_gen2,5.414016230476782,0.4777240330311214,4.477677125735784,6.350355335217779,3.854639518170055e-06,4.46318269764194e-07,3.32906959486297e-05
CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,CCC(CC)C(OC=O)[C@H](C)N[P@](=O)(O)Oc1ccccc1,RemdesivirOnly_gen2,5.412697758165098,0.4728098162775579,4.485990518261085,6.339404998069112,3.866359579250659e-06,4.577148490728497e-07,3.265949624825062e-05
CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,CCC(CC)COC(=O)C(OC(=O)[C@H](C)N[P@](=O)(O)Oc1ccccc1)C(CC)CC,RemdesivirOnly_gen2,5.410793407775339,0.4720880171897412,4.485500894083446,6.336085921467231,3.883350515594133e-06,4.61226315831922e-07,3.2696337371306354e-05
CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,CCC(CC)COC(=O)OC(=O)O,RemdesivirOnly_gen2,5.4099148601625,0.4726259188906053,4.483568059136914,6.336261661188086,3.891214215503641e-06,4.6103971574893e-07,3.284217726523002e-05
CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,CCC(C)(C=O)CC,RemdesivirOnly_gen2,5.409573539501626,0.4763265686805344,4.475973464887779,6.343173614115474,3.894273600115236e-06,4.5376018463827e-07,3.342154597509266e-05
CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,CCC(O)(CC)COC(O)[C@H](C)N[P@](=O)(O)Oc1ccccc1,RemdesivirOnly_gen2,5.409265986091466,0.4717132524973199,4.484708011196719,6.333823960986213,3.897032376386158e-06,4.636348136177504e-07,3.275608495423069e-05
CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,CCCCC,RemdesivirOnly_gen2,5.408284895764487,0.4749668948293318,4.4773497818989965,6.339220009629977,3.905845895159935e-06,4.579098549839698e-07,3.331579783813951e-05
CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,CCC(C=O)(CC)CC,RemdesivirOnly_gen2,5.407024888069866,0.4760487636638651,4.473969311288691,6.340080464851042,3.9171942823897145e-06,4.570035094551465e-07,3.357613394321796e-05
CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,CCC(CC)COC(=O)[C@H](C)N[P@@](=O)(OC12C=CC=CC1O2)OP(=O)(O)O,RemdesivirOnly_gen2,5.4067973860135945,0.4799186751246802,4.466156782769222,6.347437989257967,3.919246814135837e-06,4.4932647717580745e-07,3.418560082784488e-05
CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,CCC(CC)COC[C@H](C)N[P@@](=O)(Oc1ccccc1)OP(=O)(O)O,RemdesivirOnly_gen2,5.406696209322737,0.4713336877358977,4.482882181360377,6.330510237285097,3.920159979357954e-06,4.671859384323353e-07,3.2894085629646e-05
CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,CCC(CC)(COC(=O)[C@H](C)N[P@](=O)(O)Oc1ccccc1)C(=O)O,RemdesivirOnly_gen2,5.406254652014974,0.4725172053180356,4.480120929591624,6.332388374438324,3.924147724121895e-06,4.651699221970564e-07,3.3103893063420624e-05
CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,CCC(CC)(COC(=O)O)COC(=O)O,RemdesivirOnly_gen2,5.405632830957162,0.4742035468300132,4.476193879170337,6.335071782743988,3.929770326986643e-06,4.623046026626241e-07,3.340458808742298e-05
CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,CCC(CC)c1ccccc1O[P@](=O)(N[C@@H](C)C(=O)OC)OP(=O)(O)O,RemdesivirOnly_gen2,5.405419069755233,0.4733487226362058,4.47765557338827,6.333182566122196,3.931705049233249e-06,4.643200461013333e-07,3.3292348077499555e-05
CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,CCC(C=O)(C=O)CC,RemdesivirOnly_gen2,5.403950264076394,0.4759815434805861,4.4710264388544445,6.336874089298343,3.945024783841674e-06,4.603900305603462e-07,3.380442562186429e-05
CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,CCC(CC)C(OC=O)[C@H](C)N[P@@](=O)(Oc1ccccc1)OP(=O)(O)O,RemdesivirOnly_gen2,5.4035307745644126,0.4739364317484294,4.474615368337491,6.332446180791334,3.948837164814741e-06,4.651080103184511e-07,3.3526223174581894e-05
CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,CCC1(CC)COC(O)[C@H](C)N[P@@](=O)(Oc2ccccc2)O1,RemdesivirOnly_gen2,5.402898161763312,0.4718435277910009,4.4780848472929495,6.327711476233674,3.954593409342484e-06,4.7020638672175057e-07,3.325945685733409e-05
CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,CCC(CC)c1ccccc1O[P@@](=O)(O)N[C@@H](C)C(=O)OC,RemdesivirOnly_gen2,5.402020240140885,0.4717678370870382,4.477355279450291,6.32668520083148,3.962595662880149e-06,4.7131883895205596e-07,3.3315376110127955e-05
CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,CCc1ccc(O[P@](=O)(N[C@@H](C)C(=O)OCC(CC)CC)OP(=O)(O)O)cc1,RemdesivirOnly_gen2,5.401521293712852,0.4749785681123064,4.470563300212731,6.332479287212973,3.967150772821658e-06,4.6507255632201813e-07,3.384049443545799e-05
CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,CCC(C)(CC)COC(=O)CN[P@](=O)(O)Oc1ccccc1,RemdesivirOnly_gen2,5.4010637267289,0.4719074007917336,4.476125221177102,6.326002232280698,3.971332713603071e-06,4.720606148581196e-07,3.340986946533156e-05
CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,CCC(C)(C)CO,RemdesivirOnly_gen2,5.4001747486764895,0.4752920846362083,4.468602262789521,6.331747234563458,3.979470149226458e-06,4.6585714998490397e-07,3.39936451959525e-05
CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,CCC(CCO)COC(O)[C@H](C)N[P@](=O)(O)Oc1ccccc1,RemdesivirOnly_gen2,5.399599144086363,0.4710932044969704,4.476256463272301,6.322941824900425,3.984747950366989e-06,4.75398902842736e-07,3.339977465872802e-05
CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,CCN[P@](=O)(O)Oc1ccc(C(=O)OCC(CC)CC)cc1,RemdesivirOnly_gen2,5.398072837431428,0.4719136644607075,4.473122055088441,6.323023619774415,3.998776788983613e-06,4.7530937480728724e-07,3.364170087029586e-05
CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,CCC(CO)C(C)O,RemdesivirOnly_gen2,5.397856626896606,0.4751883080452931,4.466487543127832,6.32922571066538,4.000768048260375e-06,4.685697946895028e-07,3.415957485391817e-05
CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,CCC(CC)COC(=O)[C@H](C)N(C(N)=O)[P@@](=O)(Oc1ccccc1)OP(=O)(O)O,RemdesivirOnly_gen2,5.396528999245864,0.4788561344853757,4.457970975654527,6.3350870228372,4.0130170115680046e-06,4.6228837993378e-07,3.4836059555381944e-05
CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,CCC(COC=O)C(C)[C@H](C)N[P@@](=O)(Oc1ccccc1)OP(=O)(O)O,RemdesivirOnly_gen2,5.395529300523673,0.4765065672589313,4.461576428696168,6.329482172351178,4.022265180872438e-06,4.682931742632606e-07,3.4548052532928123e-05
CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,CCC(CC)C(O)O,RemdesivirOnly_gen2,5.3950676059309535,0.4752406671008534,4.46359589841328,6.3265393134486265,4.026543488847223e-06,4.714771900820818e-07,3.4387776988225795e-05
CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,CCC(CC)COC(=O)[C@H](C)N[P@](=O)(O)OC1(O)C=CC=CC1O,RemdesivirOnly_gen2,5.394550382686759,0.4744748268548093,4.464579722051332,6.324521043322185,4.0313417596411525e-06,4.736733562308446e-07,3.43099652307789e-05
CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,CCC(O)(CC)CO,RemdesivirOnly_gen2,5.393719706570529,0.4741395896023418,4.464406110949939,6.323033302191119,4.039059895766595e-06,4.75298778098554e-07,3.4323683529872924e-05
CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,CCC(CC)COC(=O)O[C@H](C)N[P@](=O)(O)Oc1ccccc1,RemdesivirOnly_gen2,5.393587517585156,0.4720211952614431,4.468425974872728,6.318749060297584,4.040289477343569e-06,4.800107235276827e-07,3.400744662695387e-05
CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,CCC(O)(CC)COC(O)O,RemdesivirOnly_gen2,5.393262393481358,0.4733433195140716,4.465509487233778,6.321015299728938,4.04331527520355e-06,4.775124511097188e-07,3.423659085056604e-05
