SMILES,isStarter,molFormula,molWeight,numHeavyAtoms
CCCC[C@H]1C(=O)OC(=CCN(C(=[NH2+])O)C(N)=O)C1=O,False,C12H18N3O5+,284.1241,20
CCCC[C@H]1C(=O)OC(=CC(O)N(C(N)=[NH2+])C(N)O)C1=O,False,C12H21N4O5+,301.1506,21
CCCC[C@H]1C(=O)OC(=CC(O)N(C(N)=[NH2+])C(N)=O)C1O,False,C12H21N4O5+,301.1506,21
CCCC[C@@H]1C(=O)C(=CC(O)N(C(N)=[NH2+])C(N)=O)OC1O,False,C12H21N4O5+,301.1506,21
CCCC[C@H]1C(=O)OC(=C(O)CN(C(N)=[NH2+])C(N)O)C1=O,False,C12H21N4O5+,301.1506,21
CCCC[C@H]1C(=O)OC(=C(O)CN(C(N)=[NH2+])C(N)=O)C1O,False,C12H21N4O5+,301.1506,21
CCCC[C@@H]1C(=O)C(=C(O)CN(C(N)=[NH2+])C(N)=O)OC1O,False,C12H21N4O5+,301.1506,21
CCCC(O)[C@H]1C(=O)OC(=CCN(C(N)=[NH2+])C(N)O)C1=O,False,C12H21N4O5+,301.1506,21
CCCC(O)[C@H]1C(=O)OC(=CCN(C(N)=[NH2+])C(N)=O)C1O,False,C12H21N4O5+,301.1506,21
CCCC(O)[C@@H]1C(=O)C(=CCN(C(N)=[NH2+])C(N)=O)OC1O,False,C12H21N4O5+,301.1506,21
CCC(O)C[C@H]1C(=O)OC(=CCN(C(N)=[NH2+])C(N)O)C1=O,False,C12H21N4O5+,301.1506,21
CCC(O)C[C@H]1C(=O)OC(=CCN(C(N)=[NH2+])C(N)=O)C1O,False,C12H21N4O5+,301.1506,21
CCC(O)C[C@@H]1C(=O)C(=CCN(C(N)=[NH2+])C(N)=O)OC1O,False,C12H21N4O5+,301.1506,21
CC(O)CC[C@H]1C(=O)OC(=CCN(C(N)=[NH2+])C(N)O)C1=O,False,C12H21N4O5+,301.1506,21
CC(O)CC[C@H]1C(=O)OC(=CCN(C(N)=[NH2+])C(N)=O)C1O,False,C12H21N4O5+,301.1506,21
CC(O)CC[C@@H]1C(=O)C(=CCN(C(N)=[NH2+])C(N)=O)OC1O,False,C12H21N4O5+,301.1506,21
NC(=[NH2+])N(CC=C1OC(=O)[C@H](CCCCO)C1=O)C(N)O,False,C12H21N4O5+,301.1506,21
NC(=[NH2+])N(CC=C1OC(=O)[C@H](CCCCO)C1O)C(N)=O,False,C12H21N4O5+,301.1506,21
NC(=[NH2+])N(CC=C1OC(O)[C@H](CCCCO)C1=O)C(N)=O,False,C12H21N4O5+,301.1506,21
CCCC[C@H]1C(=O)OC(=CCN(C(N)=O)C(N)=O)C1=O,False,C12H17N3O5,283.1168,20
NC(=[NH2+])NC(N)=O,False,C2H7N4O+,103.0614,7
C[C@H]1C(=O)OC(=CCN(C(N)=[NH2+])C(N)=O)C1=O,False,C9H13N4O4+,241.0931,17
CCCC[C@H]1C(=O)OC(=CC(CCC)N(C(N)=[NH2+])C(N)=O)C1=O,False,C15H25N4O4+,325.187,23
