PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,Activity_Score,Curve_Description,Fit_LogAC50,Fit_HillSlope,Fit_R2,Fit_InfiniteActivity,Fit_ZeroActivity,Fit_CurveClass,Excluded_Points,Max_Response,Activity at 0.0000097126 uM,Activity at 0.0000291954 uM,Activity at 0.0000923421 uM,Activity at 0.0002769992 uM,Activity at 0.0005418107 uM,Activity at 0.0009681622 uM,Activity at 0.00270 uM,Activity at 0.00558 uM,Activity at 0.00871 uM,Activity at 0.017 uM,Activity at 0.027 uM,Activity at 0.074 uM,Activity at 0.157 uM,Activity at 0.240 uM,Activity at 0.666 uM,Activity at 1.337 uM,Activity at 2.154 uM,Activity at 5.995 uM,Activity at 11.92 uM,Activity at 19.39 uM,Activity at 53.90 uM,Activity at 109.7 uM,Activity at 143.7 uM,Activity at 406.4 uM,Compound QC
RESULT_TYPE,,,,,,,,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING
55,170465342,60854,C1CN(CCN1CCC2=C(C=C3C(=C2)CC(=O)N3)Cl)C4=NSC5=CC=CC=C54,Inactive,0,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00263539-01/213244158,,Inactive,,,,0,,-5.4141,4.9549,0.3933,11,-8.4688,4,0 0 0 0 0 0 0 0 0 0 1,-20.3515,,,,,,-2.5818,-18.5751,,-6.3609,,-16.044,-11.1277,,7.991,-0.2261,,-22.474,17.2095,,4.5484,-20.3515,,,,QC'd by Prestwick Chemical; Inc.
56,170465966,6321253,CCN(CC)C(=O)N[C@H]1CN([C@H]2CC3=CNC4=CC=CC(=C34)C2=C1)C,Inactive,0,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00179663-03/213244147,,Inactive,,,,0,,,,,0,0,4,,2.8619,,,,,,-3.1167,-23.6953,,39.7013,,-2.8696,-17.8609,,-0.2627,-20.7875,,7.567,-10.867,,1.5882,2.8619,,,,QC'd by Tocris
57,170466202,65684,CC1=CC2=C(C=C1)NC3C2CN(CC3)C,Inactive,0,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00263512-01/213244081,,Inactive,,,,0,,-6.6253,4.9549,0.3407,-8.7771,-1,4,0 0 0 0 0 0 0 0 0 0 0,-11.8976,,,,,1.2401,,-7.3368,1.3014,,4.8845,-11.583,,6.0485,-10.8067,,-6.227,-5.3573,,-8.0674,-11.8976,,,,,QC'd by Vitas
58,170466842,1623625,CCCCC/C(=C\C1=CC=CC=C1)/C=O,Inactive,0,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00274076-01/213244110,,Activator,,,,0,Single point of activity,,,,0,0,3,,34.0208,,,,,,12.4022,2.2403,,-23.6207,,24.8254,24.5802,,8.81,-18.7934,,-1.7307,-9.5326,,-1.0567,34.0208,,,,QC'd by SIGMA
59,174006924,3606,CCC(C1=CC=C(C=C1)O)C(CC)C2=CC=C(C=C2)O,Inactive,0,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00094818-08/213244106,,Inactive,,,,0,,-5.3641,4.9549,0.5057,15.5,-7.9457,4,0 0 0 0 0 0 0 0 0 0 1,-23.8066,,,,,,8.1932,-6.4456,,-7.8154,,5.8527,-14.743,,-17.8714,-15.8816,,-16.4325,15.2611,,13.1044,-23.8066,,,,QC'd by Microsource
60,174006944,5280569,C1=CC(=C(C2=C1C=CC(=O)O2)O)O,Inactive,0,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00015349-06/213244180,,Inactive,,,,0,,-8.4641,4.9549,0.4412,-8.9998,17.6579,4,0 0 0 0 0 0 0 0 0 0 0,-19.2452,,,,,,18.0977,9.0476,,-14.1865,,-13.6355,-5.3601,,-30.1917,3.0543,,7.8905,-4.7565,,-3.6676,-19.2452,,,,QC'd by Microsource
61,174007190,71815,CC1=NC=C(N1CC(C)O)[N+](=O)[O-],Inactive,0,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00095158-05/213244174,,Inactive,,,,0,,,,,0,0,4,,-11.383,,,,,,8.3234,-2.9918,,-6.3716,,-2.1734,1.5367,,-12.6365,8.612,,-12.7771,-3.8167,,-6.8224,-11.383,,,,QC'd by Microsource
62,174007262,71729980,C1C[C@@H]([C@@H](C1)C(=O)O)C(=O)C2=CC=C(C=C2)C3=CC=C(C=C3)NC(=O)NC4=CC=CC=C4,Inactive,0,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00346522-01/213244125,,Inactive,,,,0,,-5.9141,4.9549,0.388,-0.5,-15.1502,4,0 0 0 0 0 0 0 0 0 0 1,-29.6673,,,,,,-23.4523,-18.5008,,-1.018,,-26.3752,-3.0455,,-15.5126,-16.5779,,0.7648,4.7054,,-8.022,-29.6673,,,,QC'd by Selleck
63,174007450,73265409,CC1=N[C@@]2([C@@H](O1)C[C@@H]3[C@@]2(C[C@@H]([C@@H]4[C@H]3CCC5=CC(=O)C=C[C@]45C)O)C)C(=O)COC(=O)C,Inactive,0,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00263521-02/213244096,,Inactive,,,,0,,-6.8141,4.9549,0.5173,-26.3982,-2.9746,4,0 0 0 0 0 0 0 0 0 1 0,-42.9141,,,,,,-24.5015,6.8319,,2.1524,,-4.9031,4.5492,,-29.3451,-27.4378,,-17.1986,-13.9378,,21.6765,-42.9141,,,,QC'd by Selleck
64,26754887,5283141,CCCCC[C@@H](/C=C/C=C/C/C=C\CCCC(=O)O)O,Inactive,0,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00161325-01/213244210,,Inactive,,,,0,,,,,0,0,4,,20.3704,-6.3641,15.1596,12.6378,-1.7347,,9.3324,0.7188,,2.9799,-3.6198,,6.1632,12.3404,,20.3704,,,,,,,,,,QC'd by BIOMOL
65,29215484,72941688,CCC[C@@H](C(=O)OCC)N[C@@H](C)C(=O)N1[C@@H]2CCCC[C@H]2C[C@H]1C(=O)O,Inactive,0,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00159509-02/213244171,,Inactive,,,,0,,-4.6641,0.8,0.5026,-26.4029,5,4,0 0 0 0 0 0 0 0 0 0 0,-18.669,,,,,,17.3853,-5.702,,4.5935,,-4.4637,11.8438,,10.6879,3.4753,,-9.0927,0.9442,,-8.7108,-18.669,,,,QC'd by Enamine
66,385219834,5282347,CC1=C(C2=C(CC[C@@](O2)(C)CC/C=C(\C)/CC/C=C(\C)/CCC=C(C)C)C(=C1O)C)C,Inactive,0,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00253538-02/213244176,,Inactive,,,,0,,-9.064,4.9549,0.4291,-8.4935,9,4,0 0 0 0 0 0 0 0 0 0 1,6.5615,,,-5.0835,23.1575,,-0.3712,-13.5497,,-6.6823,-16.2445,,-11.1164,-7.7806,,-7.7221,,3.8794,6.5615,,,,,,,QC'd by Cayman
67,385219835,5053503,CC(O)(P(=O)(O)[O-])P(=O)(O)[O-],Inactive,0,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00179380-03/213244170,,Inactive,,,,0,,-8.4641,4.9549,0.5743,-1.5,-22.9639,4,0 0 0 0 0 0 0 0 0 0 0,10.8949,,,,,,-23.3033,-16.0986,,8.7387,,-6.914,-2.5514,,-7.581,-1.3354,,1.1063,-6.2492,,-9.2783,10.8949,,,,QC'd by Microsource
68,50125937,3045381,CN(CCCN1CCC2=CC(=C(C=C2CC1=O)OC)OC)C[C@H]3CC4=CC(=C(C=C34)OC)OC.Cl,Inactive,0,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00181343-01/213244156,,Inactive,,,,0,,-8.8641,4.9549,0.7748,-10.2936,21,4,0 0 0 0 0 0 0 0 0 0 1,3.5728,,,,,,16.2818,-15.0439,,-8.4753,,-18.9947,-9.4757,,-9.4987,-9.4665,,-10.9999,-6.2201,,-3.0378,3.5728,,,,QC'd by APAC
69,90340630,4051,CC1=CN=C(S1)NC(=O)C2=C(C3=CC=CC=C3S(=O)(=O)N2C)[O-].[Na+],Inactive,0,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00015671-04/213244153,,Inactive,,,,0,,-4.7641,4.9549,0.5053,-18.5421,14.13,4,0 0 0 0 0 0 0 0 0 0 0,-17.9517,,,,,,7.5354,18.9899,,17.9849,,-10.5724,16.1759,,3.5945,21.8753,,30.1981,21.6096,,-6.7957,-17.9517,,,,QC'd by SigmaAldrich
70,90341008,54676228,CN1C(=C(C2=CC=CC=C2S1(=O)=O)O)C(=O)NC3=CC=CC=N3,Inactive,0,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00015823-14/213244119,,Inactive,,,,0,,-8.7141,4.5045,0.4149,-7.7044,15.5,4,0 0 0 0 0 0 0 0 0 0 0,-0.843,,,,,,14.5658,-4.7577,,-7.8712,,-2.0108,-13.7147,,-10.2947,7.8403,,-6.4307,-22.6703,,-14.8926,-0.843,,,,QC'd by SigmaAldrich
71,90341290,11401613,C1=CC=C2C(=C1)C=CC3=C2C=CN=C3Cl,Inactive,0,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00093606-05/213244093,,Inactive,,,,0,,-4.8641,3.1925,0.6518,-23.6687,10.4154,4,1 0 0 0 0 0 0 0 0 0 0,-23.3009,,,,,,33.5222,5.117,,-0.9036,,12.7424,9.4151,,-0.2816,16.5196,,30.8529,6.1859,,-14.4951,-23.3009,,,,QC'd by SigmaAldrich
72,90341836,135409384,CC(C([C@H]1CNC2=C(N1)C(=O)NC(=N2)N)O)O,Inactive,0,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00162357-02/213244127,,Inactive,,,,0,,-4.5141,4.095,0.3651,27.747,-5.0293,4,0 0 0 0 0 0 0 0 0 0 0,25.3049,,,,,,-10.9501,12.8341,,-25.1891,,-1.6867,14.1154,,-18.4042,3.4454,,-12.8136,-8.2465,,-0.9266,25.3049,,,,QC'd by SigmaAldrich
