PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,Activity_Score,Curve_Description,Fit_LogAC50,Fit_HillSlope,Fit_R2,Fit_InfiniteActivity,Fit_ZeroActivity,Fit_CurveClass,Excluded_Points,Max_Response,Activity at 0.0000000311 uM,Activity at 0.0000000880 uM,Activity at 0.0000001756 uM,Activity at 0.0000004972 uM,Activity at 0.0000014063 uM,Activity at 0.0000028127 uM,Activity at 0.0000079555 uM,Activity at 0.0000225014 uM,Activity at 0.0000450029 uM,Activity at 0.0001299230 uM,Activity at 0.0003002708 uM,Activity at 0.0008965874 uM,Activity at 0.00268 uM,Activity at 0.00700 uM,Activity at 0.016 uM,Activity at 0.032 uM,Activity at 0.076 uM,Activity at 0.219 uM,Activity at 0.631 uM,Activity at 1.728 uM,Activity at 3.886 uM,Activity at 8.587 uM,Activity at 17.80 uM,Activity at 49.20 uM,Activity at 107.3 uM,Activity at 231.0 uM,Compound QC
5508,124880620,6603907,C[C@@H](CC1=CNC2=C1C=C(C=C2)O)N,Inactive,0,http://assay.nih.gov/htsws/rest/display/vsv-offlinelibs-lassa-v1/NCGC00015629-02/122106638,,Inactive,,,,0,,,,,,,4,,-6.3684,,,,,,,,,,,,,,,,,,,,-12.2292,-0.9644,-7.2003,-4.7972,-6.3684,,,QC'd by Tocris
5509,124880622,2107,CC(CC1=CNC2=C1C=C(C=C2)O)N,Inactive,0,http://assay.nih.gov/htsws/rest/display/vsv-offlinelibs-lassa-v1/NCGC00015629-04/122109853,,Inactive,,,,0,,,,,,,4,,-4.8578,,,,,,,,,,,,,,,,,,,,-9.3195,-3.9453,-0.2729,-5.9321,-4.8578,,,QC'd by BIOMOL
5510,124880636,107982,CC(C)CCCCCCC(=O)NCC1=CC(=C(C=C1)O)OC,Inactive,0,http://assay.nih.gov/htsws/rest/display/vsv-offlinelibs-lassa-v1/NCGC00015645-04/122106863,,Inactive,,,,0,,,4.9549,0.5227,-5.789,-13.5953,4,0 0 0 0 1,-10.6986,,,,,,,,,,,,,,,,,,,,-11.7461,-4.3537,-3.1575,-9.591,-10.6986,,,QC'd by Timtec
5511,124880639,4122,COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=CS3,Inconclusive,20,http://assay.nih.gov/htsws/rest/display/vsv-offlinelibs-lassa-v1/NCGC00015647-03/122106748,,Inhibitor,28.1838,35.2257,,20,Partial curve; partial efficacy,-4.55,3.132,0.9487,-53.851,-18.6253,-2.2,0 0 0 0 0,-47.6144,,,,,,,,,,,,,,,,,,,,-15.9378,-23.1378,-17.004,-28.5971,-47.6144,,,QC'd by Tocris
5512,124880641,4122,COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=CS3,Inactive,0,http://assay.nih.gov/htsws/rest/display/vsv-offlinelibs-lassa-v1/NCGC00015647-07/122111067,,Inactive,,,,0,,,,,,,4,,-22.7755,,,,,,,,,,,,,,,,,-12.9469,,-34.4093,-12.849,,-19.6041,,-22.7755,,,QC'd by UPCMLD
5513,124880643,4122,COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=CS3,Inactive,0,http://assay.nih.gov/htsws/rest/display/vsv-offlinelibs-lassa-v1/NCGC00015647-09/122110367,,Inactive,,,,0,,,,,,,4,,-30.1025,,,,,,,,,,,,,,,,,,,,-30.5482,-34.6533,-51.471,-31.8844,-30.1025,,,QC'd by BIOMOL
5514,124880649,150885,CNCCC1=CNC2=C1C=C(C=C2)O,Inactive,0,http://assay.nih.gov/htsws/rest/display/vsv-offlinelibs-lassa-v1/NCGC00015648-02/122105933,,Inactive,,,,0,,,3.0654,0.9116,-1.5694,-16.3733,4,0 0 0 0 1,-14.9053,,,,,,,,,,,,,,,,,,,,-11.9777,-2.8961,-3.6533,-0.0578,-14.9053,,,QC'd by Timtec
5515,124880655,4053,C1=CC(=CC=C1CC(C(=O)O)N)N(CCCl)CCCl,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/vsv-offlinelibs-lassa-v1/NCGC00015653-03/122116041,,Inhibitor,35.4813,63.2701,,10,Single point of activity,-4.45,4.9549,0.8754,-60.4284,2.8418,-3,0 0 0 0 0,-46.7599,,,,,,,,,,,,,,,,,-3.2784,,2.6908,-4.63,,16.405,,-46.7599,,,QC'd by Microsource
5516,124880662,1832,CN(C)CCC1=CNC2=C1C=C(C=C2)OC,Inactive,0,http://assay.nih.gov/htsws/rest/display/vsv-offlinelibs-lassa-v1/NCGC00015654-06/122110439,,Inactive,,,,0,,,,,,,4,,1.4945,,,,,,,,,,,,,,,,,,,,-9.5551,4.218,-5.6917,-5.0638,1.4945,,,QC'd by BIOMOL
5517,124880663,4086,CC(C)NCC(C1=CC(=CC(=C1)O)O)O,Inactive,0,http://assay.nih.gov/htsws/rest/display/vsv-offlinelibs-lassa-v1/NCGC00015655-02/122115310,,Inactive,,,,0,,,4.9549,0.6273,-2.1162,2.5,4,0 0 0 0 0,-4.2635,,,,,,,,,,,,,,,,,2.2323,,2.5378,-3.4649,,0.9216,,-4.2635,,,QC'd by Microsource
5518,124880667,154412,CN1CCN2[C@@H](C1)C3=CC=CC=C3CC4=CC=CC=C42,Inactive,0,http://assay.nih.gov/htsws/rest/display/vsv-offlinelibs-lassa-v1/NCGC00015656-03/122106966,,Inactive,,,,0,,,3.5117,0.9742,-9.8152,14,4,0 0 0 0 0,-11.9293,,,,,,,,,,,,,,,,,,,,12.0246,-1.0918,-9.52,-7.5783,-11.9293,,,QC'd by Tocris
5519,124880673,155806,CC(C)CN1C2=C(C(=O)N(C1=O)C)NC(=N2)COC,Inactive,0,http://assay.nih.gov/htsws/rest/display/vsv-offlinelibs-lassa-v1/NCGC00015658-02/122105785,,Inactive,,,,0,,,,,,,4,,-8.7792,,,,,,,,,,,,,,,,,,,,-15.8151,-4.1414,-11.496,-7.3539,-8.7792,,,QC'd by Tocris
5520,124880675,155806,CC(C)CN1C2=C(C(=O)N(C1=O)C)NC(=N2)COC,Inactive,0,http://assay.nih.gov/htsws/rest/display/vsv-offlinelibs-lassa-v1/NCGC00015658-05/122109536,,Inactive,,,,0,,,2.6384,0.9997,-6.2509,3,4,0 0 0 0 1,-1.7425,,,,,,,,,,,,,,,,,,,,2.1275,-1.1989,-5.1314,-6.0424,-1.7425,,,QC'd by BIOMOL
5521,124880676,155806,CC(C)CN1C2=C(C(=O)N(C1=O)C)NC(=N2)COC,Inactive,0,http://assay.nih.gov/htsws/rest/display/vsv-offlinelibs-lassa-v1/NCGC00015658-06/122101313,,Inactive,,,,0,,,4.9549,0.7596,-10.7993,9.5,4,0 0 0 0 0,-9.7231,,,,,,,,,,,,,,,,,5.7975,,-11.0394,-16.4994,,-4.9515,,-9.7231,,,QC'd by BIOMOL
5522,124880679,4178,CC1=C(C(=CC=C1)C)OCC(C)N,Inactive,0,http://assay.nih.gov/htsws/rest/display/vsv-offlinelibs-lassa-v1/NCGC00015659-03/122102120,,Inactive,,,,0,,,0.7,0.929,14,-5.8464,4,0 0 0 0 0,11.8729,,,,,,,,,,,,,,,,,-3.2053,,3.0516,4.977,,13.3104,,11.8729,,,QC'd by Tocris
5523,124880689,5353788,CCO/C(=N/C1=C[N+](=NO1)N2CCOCC2)/[O-],Inactive,0,http://assay.nih.gov/htsws/rest/display/vsv-offlinelibs-lassa-v1/NCGC00015661-06/122115543,,Inactive,,,,0,,,4.9549,0.9579,-0.0889,13.5,4,0 0 0 0 1,21.3762,,,,,,,,,,,,,,,,,11.4714,,15.2969,0.2152,,-0.0741,,21.3762,,,QC'd by Microsource
5524,124880695,4376,CNC(CC(=O)O)C(=O)O,Inactive,0,http://assay.nih.gov/htsws/rest/display/vsv-offlinelibs-lassa-v1/NCGC00015666-02/122116254,,Inactive,,,,0,,,3.99,0.3495,-1.225,4,4,0 0 0 0 0,-1.4375,,,,,,,,,,,,,,,,,1.7631,,0.6646,9.7795,,0.6826,,-1.4375,,,QC'd by Microsource
5525,124880702,5281670,C1=CC(=C(C=C1O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O,Inactive,0,http://assay.nih.gov/htsws/rest/display/vsv-offlinelibs-lassa-v1/NCGC00015672-06/122115645,,Inactive,,,,0,,,4.9549,0.4379,-6.7555,6,4,0 0 0 0 0,-7.6418,,,,,,,,,,,,,,,,,3.7801,,-12.713,-8.5329,,1.9075,,-7.6418,,,QC'd by Microsource
5526,124880704,5281670,C1=CC(=C(C=C1O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O,Inactive,0,http://assay.nih.gov/htsws/rest/display/vsv-offlinelibs-lassa-v1/NCGC00015672-08/122106164,,Inactive,,,,0,,,2.2526,0.9044,-1.8747,-12.4049,4,0 0 0 0 0,-3.7119,,,,,,,,,,,,,,,,,,,,-10.7541,-7.4231,-2.2397,-0.7289,-3.7119,,,QC'd by Timtec
5527,124880710,4201,C1CCN(CC1)C2=NC(=N)N(C(=C2)N)O,Inactive,0,http://assay.nih.gov/htsws/rest/display/vsv-offlinelibs-lassa-v1/NCGC00015673-03/122106369,,Inactive,,,,0,,,3.5117,0.7129,-2.0833,-10.8176,4,0 0 0 0 0,-2.2819,,,,,,,,,,,,,,,,,,,,-8.2943,-13.598,-2.1528,-3.4358,-2.2819,,,QC'd by Tocris
5528,124880711,4201,C1CCN(CC1)C2=NC(=N)N(C(=C2)N)O,Inactive,0,http://assay.nih.gov/htsws/rest/display/vsv-offlinelibs-lassa-v1/NCGC00015673-05/122115400,,Inactive,,,,0,,,4.9549,0.3814,1,11,4,0 0 0 0 1,19.5416,,,,,,,,,,,,,,,,,2.566,,19.6746,0.0056,,2.6704,,19.5416,,,QC'd by Microsource
5529,124880714,4201,C1CCN(CC1)C2=NC(=N)N(C(=C2)N)O,Inactive,0,http://assay.nih.gov/htsws/rest/display/vsv-offlinelibs-lassa-v1/NCGC00015673-09/122109969,,Inactive,,,,0,,,3.132,0.852,-22.8662,-2,4,0 0 0 0 0,-17.8052,,,,,,,,,,,,,,,,,,,,-2.1755,-6.6309,0.31,-6.3884,-17.8052,,,QC'd by BIOMOL
5530,124880717,1669,COC1=C(C=CC(=C1)CCN)O,Inactive,0,http://assay.nih.gov/htsws/rest/display/vsv-offlinelibs-lassa-v1/NCGC00015674-03/122110355,,Inactive,,,,0,,,,,,,4,,-1.4266,,,,,,,,,,,,,,,,,,,,0.7071,-1.9306,-0.899,-4.0143,-1.4266,,,QC'd by BIOMOL
5531,124880718,4197,CC1=C(C=C(C(=O)N1)C#N)C2=CC=NC=C2,Inactive,0,http://assay.nih.gov/htsws/rest/display/vsv-offlinelibs-lassa-v1/NCGC00015675-03/122106460,,Inactive,,,,0,,,3.99,0.6845,4,-6.3095,4,0 0 0 0 1,-5.2879,,,,,,,,,,,,,,,,,,,,-2.8511,-9.4246,3.5896,2.9278,-5.2879,,,QC'd by Tocris
5532,124880723,446355,C[C@](C1=CC=C(C=C1)C(=O)O)(C(=O)O)N,Inactive,0,http://assay.nih.gov/htsws/rest/display/vsv-offlinelibs-lassa-v1/NCGC00015676-02/122105848,,Inactive,,,,0,,,4.095,0.5627,11.5,-5.1195,4,0 0 0 0 0,8.7272,,,,,,,,,,,,,,,,,,,,-1.8195,-13.4329,0.5299,-2.7248,8.7272,,,QC'd by Tocris
5533,124880725,1222,CC(C1=CC=C(C=C1)C(=O)O)(C(=O)O)N,Inactive,0,http://assay.nih.gov/htsws/rest/display/vsv-offlinelibs-lassa-v1/NCGC00015676-05/122110133,,Inactive,,,,0,,,4.9549,0.6565,11,-7.717,4,0 0 0 0 0,8.2389,,,,,,,,,,,,,,,,,,,,-11.0142,0.6592,-9.7425,-10.2411,8.2389,,,QC'd by BIOMOL
5534,124880731,5148969,CSC(=NCCCC(C(=O)O)N)N,Inactive,0,http://assay.nih.gov/htsws/rest/display/vsv-offlinelibs-lassa-v1/NCGC00015679-02/122105245,,Inactive,,,,0,,,4.9549,0.5561,6,-0.3963,4,0 0 0 0 0,3.8459,,,,,,,,,,,,,,,,,3.7591,,-1.2064,-3.2469,,7.8569,,3.8459,,,QC'd by Microsource
5535,124880734,896,CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC,Inactive,0,http://assay.nih.gov/htsws/rest/display/vsv-offlinelibs-lassa-v1/NCGC00015680-07/122115222,,Inactive,,,,0,,,4.9549,0.4881,-0.057,9.5,4,0 0 0 0 1,14.0649,,,,,,,,,,,,,,,,,2.9411,,16.2408,-1.7142,,1.5625,,14.0649,,,QC'd by Microsource
5536,124880736,896,CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC,Inactive,0,http://assay.nih.gov/htsws/rest/display/vsv-offlinelibs-lassa-v1/NCGC00015680-09/122107019,,Inactive,,,,0,,,3.9295,0.4294,6.5,-8.8333,4,0 0 0 0 0,5.284,,,,,,,,,,,,,,,,,,,,-12.0448,2.2953,-16.9445,-1.1202,5.284,,,QC'd by Timtec
5537,124880742,3025961,CC1=NC(=CC=C1)C#CC2=CC=CC=C2,Inactive,0,http://assay.nih.gov/htsws/rest/display/vsv-offlinelibs-lassa-v1/NCGC00015682-02/122106691,,Activator,4.4668,35.8669,,0,Complete curve; partial efficacy; poor fit,-5.35,3.9295,0.8034,34.7986,-1.0683,1.4,0 0 0 0 0,22.9272,,,,,,,,,,,,,,,,,,,,0.6786,12.2382,41.3615,39.6057,22.9272,,,QC'd by Tocris
5538,124880744,3025961,CC1=NC(=CC=C1)C#CC2=CC=CC=C2,Inactive,0,http://assay.nih.gov/htsws/rest/display/vsv-offlinelibs-lassa-v1/NCGC00015682-04/122109844,,Activator,2.5119,30.0479,,0,Complete curve; partial efficacy; poor fit,-5.6,4.9549,0.8149,25.5,-4.5479,1.4,0 0 0 0 1,-0.7204,,,,,,,,,,,,,,,,,,,,-2.1232,31.6065,24.6732,19.4169,-0.7204,,,QC'd by BIOMOL
5539,124880748,1234,CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C(=C2)OC)OC)OC,Inactive,0,http://assay.nih.gov/htsws/rest/display/vsv-offlinelibs-lassa-v1/NCGC00015686-06/122110575,,Inactive,,,,0,,,4.9549,0.7069,-21.8511,2.5,4,0 0 0 0 0,-14.8759,,,,,,,,,,,,,,,,,,,,-5.7505,6.1093,4.6649,4.9333,-14.8759,,,QC'd by BIOMOL
5540,124880752,644213,C1=CC=C(C=C1)NC(=O)C2=C(C=CC(=C2)[N+](=O)[O-])Cl,Inactive,0,http://assay.nih.gov/htsws/rest/display/vsv-offlinelibs-lassa-v1/NCGC00015688-02/122106949,,Inactive,,,,0,,,4.9549,0.9507,-11.168,-0.5,4,0 0 0 0 1,-5.459,,,,,,,,,,,,,,,,,,,,-1.8334,0.8133,-3.2064,-10.9734,-5.459,,,QC'd by Tocris
5541,124880754,644213,C1=CC=C(C=C1)NC(=O)C2=C(C=CC(=C2)[N+](=O)[O-])Cl,Inactive,0,http://assay.nih.gov/htsws/rest/display/vsv-offlinelibs-lassa-v1/NCGC00015688-05/122109863,,Inactive,,,,0,,,4.9549,0.8392,-15.0023,-3.7122,4,0 0 0 0 0,-13.4657,,,,,,,,,,,,,,,,,,,,-5.5935,-15.1793,-17.0853,-12.8786,-13.4657,,,QC'd by BIOMOL
5542,124880755,644213,C1=CC=C(C=C1)NC(=O)C2=C(C=CC(=C2)[N+](=O)[O-])Cl,Inactive,0,http://assay.nih.gov/htsws/rest/display/vsv-offlinelibs-lassa-v1/NCGC00015688-06/122109549,,Inactive,,,,0,,,1.4787,0.8934,-34.2078,-1,4,0 0 0 0 0,-25.1732,,,,,,,,,,,,,,,,,,,,0.4008,-3.6183,-9.8491,-9.3028,-25.1732,,,QC'd by BIOMOL
5543,124880759,6603931,CCCN1C2=C(C(=O)N(C1=O)CCC)NC(=N2)C3=CC=C(C=C3)OCC(=O)NC4=CC=C(C=C4)C#N,Inactive,0,http://assay.nih.gov/htsws/rest/display/vsv-offlinelibs-lassa-v1/NCGC00015689-04/122101765,,Inactive,,,,0,,,2.4064,0.984,-7.8109,1,4,0 0 0 0 0,-7.0425,,,,,,,,,,,,,,,,,1.055,,-2.7732,-8.1757,,-7.9677,,-7.0425,,,QC'd by Tocris
5544,124880769,1833,COC1=CC2=C(C=C1)NC=C2CCN,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/vsv-offlinelibs-lassa-v1/NCGC00015694-03/122110026,,Inhibitor,31.6228,90.9999,,10,Single point of activity,-4.5,4.9549,0.9853,-84.4999,6.5,-3,0 0 0 0 0,-72.3484,,,,,,,,,,,,,,,,,,,,8.6549,11.4542,-0.1774,-3.4192,-72.3484,,,QC'd by BIOMOL
5545,124880770,1833,COC1=CC2=C(C=C1)NC=C2CCN,Inactive,0,http://assay.nih.gov/htsws/rest/display/vsv-offlinelibs-lassa-v1/NCGC00015694-04/122110628,,Inactive,,,,0,,,,,,,4,,2.7924,,,,,,,,,,,,,,,,,,,,-0.0799,-1.9107,1.6867,2.9075,2.7924,,,QC'd by BIOMOL
5546,124880771,5281672,C1=C(C=C(C(=C1O)O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O,Inactive,0,http://assay.nih.gov/htsws/rest/display/vsv-offlinelibs-lassa-v1/NCGC00015697-05/122106669,,Inactive,,,,0,,,4.5045,0.7799,-7.412,3.5,4,0 0 0 0 0,-10.3433,,,,,,,,,,,,,,,,,,,,2.6458,-4.8719,-8.5206,-3.896,-10.3433,,,QC'd by Timtec
5547,124880773,5281672,C1=C(C=C(C(=C1O)O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O,Inactive,0,http://assay.nih.gov/htsws/rest/display/vsv-offlinelibs-lassa-v1/NCGC00015697-07/122102035,,Inactive,,,,0,,,4.9549,0.5106,0.5,-28.9762,4,0 0 0 0 0,7.4351,,,,,,,,,,,,,,,,,-20.8135,,4.4823,5.744,,-15.5666,,7.4351,,,QC'd by BIOMOL
5548,124880787,1263681,C[C@@]12CC3C[C@@](C1)(CC(C3)(C2)N)C,Inactive,0,http://assay.nih.gov/htsws/rest/display/vsv-offlinelibs-lassa-v1/NCGC00015705-02/122106291,,Inactive,,,,0,,,4.9549,0.5616,-7.4761,0.5,4,0 0 0 0 0,-7.0634,,,,,,,,,,,,,,,,,,,,-4.8715,3.7945,1.7717,-6.1456,-7.0634,,,QC'd by Tocris
5549,124880790,4011,CNCCCC12CCC(C3=CC=CC=C31)C4=CC=CC=C24,Active,41,http://assay.nih.gov/htsws/rest/display/vsv-offlinelibs-lassa-v1/NCGC00015708-02/122106568,,Inhibitor,15.8489,95.9607,,41,Partial curve; high efficacy,-4.8,4.9549,0.9834,-86.534,9.4266,-2.1,0 0 0 0 0,-96.1489,,,,,,,,,,,,,,,,,,,,3.9599,14.7523,3.6123,-64.5352,-96.1489,,,QC'd by Tocris
5550,124880792,4011,CNCCCC12CCC(C3=CC=CC=C31)C4=CC=CC=C24,Inactive,0,http://assay.nih.gov/htsws/rest/display/vsv-offlinelibs-lassa-v1/NCGC00015708-05/122114725,,Inactive,,,,0,,,2.3332,0.9497,-25.9447,4,4,0 0 0 0,-24.5372,,,,,,,,,,,,,,,,,,,0.8194,6.0536,-7.1943,,-24.5372,,,,QC'd by Prestwick Chemical; Inc.
5551,124880801,3540,CNCCNS(=O)(=O)C1=CC=CC2=C1C=CN=C2,Inactive,0,http://assay.nih.gov/htsws/rest/display/vsv-offlinelibs-lassa-v1/NCGC00015709-03/122110622,,Inactive,,,,0,,,1.9673,0.9297,24,3,4,0 0 0 0 0,23.1933,,,,,,,,,,,,,,,,,,,,3.7541,1.9437,8.9588,11.7574,23.1933,,,QC'd by BIOMOL
5552,124880802,4515,C1CN(CC(=C1)C(=O)O)CCON=C(C2=CC=CC=C2)C3=CC=CC=C3,Inactive,0,http://assay.nih.gov/htsws/rest/display/vsv-offlinelibs-lassa-v1/NCGC00015712-02/122105842,,Inactive,,,,0,,,3.99,0.8031,-18.9832,1,4,0 0 0 0 0,-15.4027,,,,,,,,,,,,,,,,,,,,-4.4303,5.0326,2.9604,-2.6601,-15.4027,,,QC'd by Tocris
5553,124880804,4515,C1CN(CC(=C1)C(=O)O)CCON=C(C2=CC=CC=C2)C3=CC=CC=C3,Inactive,0,http://assay.nih.gov/htsws/rest/display/vsv-offlinelibs-lassa-v1/NCGC00015712-04/122110449,,Inactive,,,,0,,,3.5722,0.9478,-20.5604,3.5,4,0 0 0 0 0,-17.1337,,,,,,,,,,,,,,,,,,,,0.4873,4.2472,5.8458,-2.8732,-17.1337,,,QC'd by BIOMOL
5554,124880805,157704,CCOC(=O)C1=C(NC(=C([C@H]1C2=CC(=CC=C2)[N+](=O)[O-])C(=O)OC)C)C,Inactive,0,http://assay.nih.gov/htsws/rest/display/vsv-offlinelibs-lassa-v1/NCGC00015713-03/122106131,,Inactive,,,,0,,,4.9549,0.9986,9,-8.644,4,0 0 0 0 1,-5.7465,,,,,,,,,,,,,,,,,,,,-8.4464,-8.87,-5.2207,7.7587,-5.7465,,,QC'd by Tocris
5555,124880806,4507,CCOC(=O)C1=C(NC(=C(C1C2=CC(=CC=C2)[N+](=O)[O-])C(=O)OC)C)C,Inactive,0,http://assay.nih.gov/htsws/rest/display/vsv-offlinelibs-lassa-v1/NCGC00015713-05/122105181,,Inactive,,,,0,,,2.4064,0.4208,0,6.5,4,0 0 0 0 1,8.6101,,,,,,,,,,,,,,,,,2.3702,,11.1362,3.4342,,0.2809,,8.6101,,,QC'd by Microsource
5556,124880808,4507,CCOC(=O)C1=C(NC(=C(C1C2=CC(=CC=C2)[N+](=O)[O-])C(=O)OC)C)C,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/vsv-offlinelibs-lassa-v1/NCGC00015713-08/122109747,,Inhibitor,35.4813,46.6109,,10,Single point of activity,-4.45,4.9549,0.8967,-48.9798,-2.3689,-3,0 0 0 0 0,-39.6665,,,,,,,,,,,,,,,,,,,,-4.1019,-4.6367,-7.2013,4.0224,-39.6665,,,QC'd by BIOMOL
5557,124880811,157132,CC1=C([C@H](C(=C(N1)C)C(=O)OC(C)C)C2=CC(=CC=C2)[N+](=O)[O-])C(=O)OCCOC,Inactive,0,http://assay.nih.gov/htsws/rest/display/vsv-offlinelibs-lassa-v1/NCGC00015714-03/122106355,,Inactive,,,,0,,-4.8,1.5095,0.9807,-25.9296,-2.2435,4,0 0 0 0 0,-23.2747,,,,,,,,,,,,,,,,,,,,-3.5362,-6.3591,-8.3866,-16.0997,-23.2747,,,QC'd by Tocris
5558,124880812,4497,CC1=C(C(C(=C(N1)C)C(=O)OC(C)C)C2=CC(=CC=C2)[N+](=O)[O-])C(=O)OCCOC,Inactive,0,http://assay.nih.gov/htsws/rest/display/vsv-offlinelibs-lassa-v1/NCGC00015714-05/122116150,,Inactive,,,,0,,,4.9549,0.4365,-13.4406,4.5,4,0 0 0 0 0,-21.9815,,,,,,,,,,,,,,,,,4.1633,,1.7039,-22.0339,,3.2658,,-21.9815,,,QC'd by Microsource
5559,124880816,4497,CC1=C(C(C(=C(N1)C)C(=O)OC(C)C)C2=CC(=CC=C2)[N+](=O)[O-])C(=O)OCCOC,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/vsv-offlinelibs-lassa-v1/NCGC00015714-10/122110623,,Inhibitor,14.1254,43.0808,,10,Partial curve; partial efficacy; poor fit,-4.85,1.2876,0.8777,-36.9705,6.1103,-2.4,0 0 0 0 0,-36.2456,,,,,,,,,,,,,,,,,,,,5.9601,-4.3576,-11.6581,-13.593,-36.2456,,,QC'd by BIOMOL
5560,124880819,6603938,CNCC[C@@H](C1=CC=CC=C1)OC2=CC=CC=C2OC,Inactive,0,http://assay.nih.gov/htsws/rest/display/vsv-offlinelibs-lassa-v1/NCGC00015715-02/122106741,,Inactive,,,,0,,,4.9549,0.6147,-27.1571,-2.5,4,0 0 0 0 0,-20.9642,,,,,,,,,,,,,,,,,,,,-13.199,1.1668,-0.0755,1.5178,-20.9642,,,QC'd by Tocris
5561,124880827,4401,CN1C=NC2=C(N=CN=C21)NC3CCCC3,Inactive,0,http://assay.nih.gov/htsws/rest/display/vsv-offlinelibs-lassa-v1/NCGC00015717-04/122110635,,Inactive,,,,0,,,,,,,4,,7.9161,,,,,,,,,,,,,,,,,,,,8.3254,3.1121,-0.0519,6.1078,7.9161,,,QC'd by BIOMOL
5562,124880828,6603939,COC1=CC=CC=C1N2CCN(CC2)C[C@H](COC3=CC=CC4=CC=CC=C43)O,Inactive,0,http://assay.nih.gov/htsws/rest/display/vsv-offlinelibs-lassa-v1/NCGC00015718-03/122106339,,Inactive,,,,0,,,3.5117,0.9002,-37.7638,-6.0926,4,0 0 0 0 0,-28.5532,,,,,,,,,,,,,,,,,,,,-3.6789,-11.0902,-2.9938,-10.8324,-28.5532,,,QC'd by Tocris
5563,124880835,4552,C1=CC2=C(C=C1C(F)(F)F)NC(=O)N2C3=C(C=CC(=C3)C(F)(F)F)O,Inactive,0,http://assay.nih.gov/htsws/rest/display/vsv-offlinelibs-lassa-v1/NCGC00015720-04/122110275,,Inactive,,,,0,,,3.132,0.8958,-13.7332,11,4,0 0 0 0 1,-0.5656,,,,,,,,,,,,,,,,,,,,8.5143,2.6057,-16.0276,-10.1039,-0.5656,,,QC'd by BIOMOL
5564,124880836,4552,C1=CC2=C(C=C1C(F)(F)F)NC(=O)N2C3=C(C=CC(=C3)C(F)(F)F)O,Inactive,0,http://assay.nih.gov/htsws/rest/display/vsv-offlinelibs-lassa-v1/NCGC00015720-05/122110016,,Inactive,,,,0,,,2.2526,0.9725,-26.396,-0.6911,4,0 0 0 0 0,-22.4133,,,,,,,,,,,,,,,,,,,,-1.4093,-2.2755,-2.1728,-15.832,-22.4133,,,QC'd by BIOMOL
5565,124880841,4488,C1=CC(=CC(=C1)NC2=C(C=CC=N2)C(=O)O)C(F)(F)F,Inactive,0,http://assay.nih.gov/htsws/rest/display/vsv-offlinelibs-lassa-v1/NCGC00015724-07/122116232,,Inactive,,,,0,,,4.9549,0.723,15.5,-0.0007,4,0 0 0 0 0,12.2505,,,,,,,,,,,,,,,,,5.0646,,-4.5839,-0.2483,,-0.9838,,12.2505,,,QC'd by Microsource
5566,124880844,4488,C1=CC(=CC(=C1)NC2=C(C=CC=N2)C(=O)O)C(F)(F)F,Inactive,0,http://assay.nih.gov/htsws/rest/display/vsv-offlinelibs-lassa-v1/NCGC00015724-11/122110314,,Inactive,,,,0,,,3.132,0.8297,-38.4545,-10.1844,4,0 0 0 0 0,-29.9621,,,,,,,,,,,,,,,,,,,,-15.5846,-10.2364,-5.1537,-14.5135,-29.9621,,,QC'd by BIOMOL
5567,124880849,4495,CS(=O)(=O)NC1=C(C=C(C=C1)[N+](=O)[O-])OC2=CC=CC=C2,Inactive,0,http://assay.nih.gov/htsws/rest/display/vsv-offlinelibs-lassa-v1/NCGC00015725-07/122116314,,Inactive,,,,0,,,,,,,4,,-1.0311,,,,,,,,,,,,,,,,,-9.1731,,-5.1897,-0.688,,-15.3733,,-1.0311,,,QC'd by Microsource
5568,124880851,4495,CS(=O)(=O)NC1=C(C=C(C=C1)[N+](=O)[O-])OC2=CC=CC=C2,Inactive,0,http://assay.nih.gov/htsws/rest/display/vsv-offlinelibs-lassa-v1/NCGC00015725-09/122111732,,Inactive,,,,0,,,4.9549,0.8341,-8.4301,0.5,4,0 0 0 0 1,2.9576,,,,,,,,,,,,,,,,,-0.6554,,-0.5746,3.2025,,-7.4417,,2.9576,,,QC'd by Tocris
