PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,Activity_Score,Curve_Description,Fit_LogAC50,Fit_HillSlope,Fit_R2,Fit_InfiniteActivity,Fit_ZeroActivity,Fit_CurveClass,Excluded_Points,Max_Response,Activity at 0.0000000311 uM,Activity at 0.0000000880 uM,Activity at 0.0000001756 uM,Activity at 0.0000004972 uM,Activity at 0.0000014063 uM,Activity at 0.0000028127 uM,Activity at 0.0000079555 uM,Activity at 0.0000225014 uM,Activity at 0.0000450029 uM,Activity at 0.0001299230 uM,Activity at 0.0003002708 uM,Activity at 0.0008965874 uM,Activity at 0.00268 uM,Activity at 0.00700 uM,Activity at 0.016 uM,Activity at 0.032 uM,Activity at 0.076 uM,Activity at 0.219 uM,Activity at 0.631 uM,Activity at 1.728 uM,Activity at 3.886 uM,Activity at 8.587 uM,Activity at 17.80 uM,Activity at 49.20 uM,Activity at 107.3 uM,Activity at 231.0 uM,Compound QC
11589,144206691,23688977,C1C(=C(N2[C@H](S1)[C@@H](C2=O)NC(=O)CN3C=NN=N3)C(=O)[O-])CSC4=NN=CS4.[Na+],Inactive,0,http://assay.nih.gov/htsws/rest/display/vsv-offlinelibs-lassa-v1/NCGC00182064-02/122107476,,Inactive,,,,0,,,3.9295,0.9298,-12.0307,-3.2001,4,0 0 0 0 0,-10.4423,,,,,,,,,,,,,,,,,,,,-4.5038,-3.5415,-2.2501,-4.607,-10.4423,,,QC'd by Kemprotec
11590,144206692,39912,C[C@@H](C1=CC=C(C=C1)CC(C)C)C(=O)O,Inactive,0,http://assay.nih.gov/htsws/rest/display/vsv-offlinelibs-lassa-v1/NCGC00016861-05/122107794,,Inactive,,,,0,,,,,,,4,,-19.3842,,,,,,,,,,,,,,,,,,,,-15.1464,-5.0127,-13.445,-8.1218,-19.3842,,,QC'd by Kemprotec
11591,144206693,5284529,COC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)[C@@H](C3=CCC=CC3)N)SC1)C(=O)O,Inactive,0,http://assay.nih.gov/htsws/rest/display/vsv-offlinelibs-lassa-v1/NCGC00185745-01/122108055,,Inactive,,,,0,,,4.9549,0.8303,-1,-16.6756,4,0 0 0 0 1,-7.2844,,,,,,,,,,,,,,,,,,,,-14.7297,2.0586,-3.7517,-1.493,-7.2844,,,QC'd by Kemprotec
11592,144206694,5876,C[C@]12C[C@@H]([C@H]3[C@H]([C@@H]1CC[C@@]2(C(=O)CO)O)C[C@@H](C4=CC(=O)C=C[C@]34C)F)O,Inactive,0,http://assay.nih.gov/htsws/rest/display/vsv-offlinelibs-lassa-v1/NCGC00182067-02/122107573,,Inactive,,,,0,,,2.4064,0.8721,3,25.5,4,0 0 0 0 1,15.7406,,,,,,,,,,,,,,,,,,,,20.4196,12.3172,0.3908,6.1321,15.7406,,,QC'd by Kemprotec
11593,144206695,11693,C[N+]1(CCC(C1)OC(=O)C(C2CCCC2)(C3=CC=CC=C3)O)C.[Br-],Inactive,0,http://assay.nih.gov/htsws/rest/display/vsv-offlinelibs-lassa-v1/NCGC00182069-02/122107379,,Inactive,,,,0,,,2.6384,0.9712,-19.193,-8.4738,4,0 0 0 0 1,-4.366,,,,,,,,,,,,,,,,,,,,-7.8948,-9.8958,-11.453,-16.8275,-4.366,,,QC'd by Kemprotec
11594,144206696,11693,C[N+]1(CCC(C1)OC(=O)C(C2CCCC2)(C3=CC=CC=C3)O)C.[Br-],Inconclusive,10,http://assay.nih.gov/htsws/rest/display/vsv-offlinelibs-lassa-v1/NCGC00179456-02/122107207,,Inhibitor,2.2387,33.3218,,10,Complete curve; partial efficacy; poor fit,-5.65,4.9549,0.5922,-29.1087,4.2131,-1.4,0 0 0 0 1,0.7415,,,,,,,,,,,,,,,,,,,,1.0728,-41.796,-15.6165,-30.189,0.7415,,,QC'd by Kemprotec
11595,144206697,2515,CCN(CC(C)O)C1=NN=C(C=C1)NNC(=O)OCC,Inactive,0,http://assay.nih.gov/htsws/rest/display/vsv-offlinelibs-lassa-v1/NCGC00182063-02/122107551,,Inactive,,,,0,,,4.9549,0.6908,-9.9241,0.5,4,0 0 0 0 0,-11.8255,,,,,,,,,,,,,,,,,,,,0.5458,-5.5157,-12.8534,-4.9959,-11.8255,,,QC'd by Kemprotec
11596,144206698,656604,CC(C)(C(=O)N[C@@H](CS)C(=O)O)S,Inactive,0,http://assay.nih.gov/htsws/rest/display/vsv-offlinelibs-lassa-v1/NCGC00182062-02/122107962,,Inactive,,,,0,,,4.9549,0.6595,-2.5,-19.9235,4,0 0 0 0 0,-4.9934,,,,,,,,,,,,,,,,,,,,-16.6029,3.8625,-6.4966,-2.4841,-4.9934,,,QC'd by Kemprotec
11597,144206699,50294,CCCC1=C2C(=CC3=C1OC(=CC3=O)C(=O)O)C(=O)C=C(N2CC)C(=O)O,Inactive,0,http://assay.nih.gov/htsws/rest/display/vsv-offlinelibs-lassa-v1/NCGC00182073-02/122107410,,Inactive,,,,0,,,3.99,0.7624,-11.5661,-2,4,0 0 0 0 0,-11.3051,,,,,,,,,,,,,,,,,,,,-5.5592,1.1392,-6.6577,-11.0492,-11.3051,,,QC'd by Kemprotec
11598,144206700,6257,COC1=CC=CC=C1OCC2CNC(=O)O2,Inactive,0,http://assay.nih.gov/htsws/rest/display/vsv-offlinelibs-lassa-v1/NCGC00182072-02/122107314,,Inactive,,,,0,,,4.9549,0.8788,-10.2653,9,4,0 0 0 0 0,-11.7393,,,,,,,,,,,,,,,,,,,,6.4746,-9.4774,-13.1377,-5.9817,-11.7393,,,QC'd by Kemprotec
11599,144206701,6915744,CC[C@@H]1[C@@]([C@@H]([C@H](/C(=N/OCOCCOC)/[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)O)(C)O,Inactive,0,http://assay.nih.gov/htsws/rest/display/vsv-offlinelibs-lassa-v1/NCGC00182077-02/122107662,,Inactive,,,,0,,,4.9549,0.8565,-8.8924,1,4,0 0 0 0 0,-7.2756,,,,,,,,,,,,,,,,,,,,-1.2016,3.4391,-3.2912,-9.9103,-7.2756,,,QC'd by Kemprotec
