PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Activity_Score,Curve_Description,Fit_LogAC50,Fit_HillSlope,Fit_R2,Fit_InfiniteActivity,Fit_ZeroActivity,Fit_CurveClass,Excluded_Points,Max_Response,Activity at 0.0000097126 uM,Activity at 0.0000291954 uM,Activity at 0.0000923421 uM,Activity at 0.0002769992 uM,Activity at 0.0005418107 uM,Activity at 0.0009681622 uM,Activity at 0.00270 uM,Activity at 0.00558 uM,Activity at 0.00871 uM,Activity at 0.017 uM,Activity at 0.027 uM,Activity at 0.074 uM,Activity at 0.157 uM,Activity at 0.240 uM,Activity at 0.666 uM,Activity at 1.337 uM,Activity at 2.154 uM,Activity at 5.995 uM,Activity at 11.92 uM,Activity at 19.39 uM,Activity at 53.90 uM,Activity at 109.7 uM,Activity at 143.7 uM,Activity at 406.4 uM,Compound QC
RESULT_TYPE,,,,,,,,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING
33,124881022,5994,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C,Active,41,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00015785-04/213243989,,Inhibitor,21.6712,106.9533,41,Partial curve; high efficacy,-4.6641,2.4064,0.985,-99.0386,7.9147,-2.1,0 0 0 0 0 0 0 0 0 0 0,-91.7024,,,,,,5.4601,6.8907,,6.341,,13.5415,5.9327,,10.21,5.775,,13.8274,-4.0308,,-34.9091,-91.7024,,,,QC'd by Labotest
34,144206432,65494,CCC(=O)N(C1=CC=CC=C1)C2(CCN(CC2)CCC3=CC=CS3)COC.C(C(=O)O)C(CC(=O)O)(C(=O)O)O,Active,41,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00247355-02/213243929,,Inhibitor,44.373,93.8934,41,Partial curve; high efficacy,-4.3529,3.5117,0.992,-88.753,5.1403,-2.1,0 0 0 0 0 0 0 0 0 0 0,-87.0128,,,,,,,6.7489,2.3536,,7.8459,,3.8136,1.753,,5.3334,4.2239,,10.1802,2.953,,-27.8285,-87.0128,,,QC'd by RTI
35,144214029,10800,CC1=CC(=CC(=C1O)[N+](=O)[O-])[N+](=O)[O-],Active,41,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00091775-03/213243890,,Inhibitor,49.7874,110.3924,41,Partial curve; high efficacy,-4.3029,3.0654,0.9794,-102.3953,7.9971,-2.1,0 0 0 0 0 0 0 0 0 0 0,-100.3875,,,,,,,7.5591,10.3135,,10.4793,,0.3641,13.8564,,4.9315,11.1923,,9.052,0.9402,,-20.133,-100.3875,,,QC'd by LightBiologicals
36,144214040,5564,C1=CC(=C(C=C1Cl)O)OC2=C(C=C(C=C2)Cl)Cl,Active,41,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00159417-06/213243981,,Inhibitor,24.9528,121.2602,41,Partial curve; high efficacy,-4.6029,2.2526,0.9875,-109.2983,11.9619,-2.1,0 0 0 0 0 0 0 0 0 0 0,-100.643,,,,,,,8.1424,18.9758,,14.0186,,9.2783,7.097,,10.3728,13.7495,,4.6386,-3.0793,,-77.3737,-100.643,,,QC'd by SIGMA
37,174006264,11581936,CN1C=C(C(=N1)C2=CC=C(C=C2)OCC3=NC4=CC=CC=C4C=C3)C5=CC=NC=C5,Active,41,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00346630-01/213243915,,Inhibitor,24.3155,105.2417,41,Partial curve; high efficacy,-4.6141,2.7202,0.9822,-102.0228,3.2189,-2.1,0 0 0 0 0 0 0 0 0 0 0,-100.0224,,,,,,2.2991,-1.5059,,-2.8864,,1.8117,3.2175,,6.4695,7.2738,,7.1083,-1.2618,,-28.9217,-100.0224,,,,QC'd by Selleck
38,174007291,34458,COC1=C(C2=C(CC3C4=CC5=C(C=C4CCN3C2)OCO5)C=C1)OC,Active,41,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00173359-06/213243983,,Inhibitor,21.6712,73.7927,41,Partial curve; partial efficacy,-4.6641,2.7202,0.9884,-68.2927,5.5,-2.2,0 0 0 0 0 0 0 0 0 0 0,-66.9536,,,,,,5.9207,3.4785,,6.3547,,6.9975,8.0956,,5.185,1.5049,,6.0444,0.2975,,-22.2896,-66.9536,,,,QC'd by Carbosynth
39,385219836,,,Active,41,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00263847-01/213243962,,Inhibitor,17.2141,102.4301,41,Partial curve; partial efficacy,-4.7641,1,0.9772,-101.638,0.7921,-2.2,0 0 0 0 0 0 0 0 0 0 0,-78.5136,,,,,,8.5656,5.0017,,1.227,,-6.7013,-0.1775,,-4.7398,-6.8475,,-8.7594,-26.2467,,-52.7631,-78.5136,,,,QC'd by Microsource
40,90341030,5282138,CC1=C(C(C(=C(N1)C)C(=O)OC/C=C/C2=CC=CC=C2)C3=CC(=CC=C3)[N+](=O)[O-])C(=O)OCCOC,Active,40,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00162150-03/213243924,,Inhibitor,27.2824,87.2667,40,Partial curve; high efficacy,-4.5641,4.095,0.9789,-87.3828,-0.1161,-2.1,0 0 0 0 0 0 0 0 0 0 0,-80.593,,,,,,5.568,2.0366,,-3.1191,,5.447,0.9712,,-0.1184,-5.2052,,-2.3799,-1.656,,-19.8741,-80.593,,,,QC'd by SigmaAldrich
41,90341221,644213,C1=CC=C(C=C1)NC(=O)C2=C(C=CC(=C2)[N+](=O)[O-])Cl,Active,40,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00015688-09/213243957,,Inhibitor,24.3155,74.4987,40,Partial curve; partial efficacy,-4.6141,2.4064,0.9678,-71.8377,2.661,-2.2,0 0 0 0 0 0 0 0 0 0 0,-70.4291,,,,,,4.3234,6.3504,,4.0875,,5.5268,0.9185,,1.2282,4.1726,,-4.928,-2.2725,,-19.5237,-70.4291,,,,QC'd by SigmaAldrich
42,170465077,6603149,CNCCCC1C2=CC=CC=C2C=CC3=CC=CC=C13.Cl,Active,40,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00015851-10/213243866,,Inhibitor,30.6114,101.1676,40,Partial curve; high efficacy,-4.5141,4.095,0.9956,-103.7825,-2.6149,-2.1,0 0 0 0 0 0 0 0 0 0 0,-96.0949,,,,,,-4.8774,-1.0915,,-0.365,,-3.7789,0.0541,,-4.076,-4.9515,,-4.641,-1.7235,,-16.0595,-96.0949,,,,QC'd by Microsource
