PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Activity_Score,Curve_Description,Fit_LogAC50,Fit_HillSlope,Fit_R2,Fit_InfiniteActivity,Fit_ZeroActivity,Fit_CurveClass,Excluded_Points,Max_Response,Activity at 0.0000389080 uM,Activity at 0.0001066275 uM,Activity at 0.0001907270 uM,Activity at 0.0004536066 uM,Activity at 0.0008842259 uM,Activity at 0.0009786459 uM,Activity at 0.00290 uM,Activity at 0.00495 uM,Activity at 0.00878 uM,Activity at 0.016 uM,Activity at 0.026 uM,Activity at 0.048 uM,Activity at 0.088 uM,Activity at 0.221 uM,Activity at 0.459 uM,Activity at 0.757 uM,Activity at 1.175 uM,Activity at 2.248 uM,Activity at 5.820 uM,Activity at 11.46 uM,Activity at 19.13 uM,Activity at 24.67 uM,Activity at 57.49 uM,Activity at 115.4 uM,Activity at 221.8 uM,Activity at 288.0 uM,Compound QC
RESULT_TYPE,,,,,,,,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING
11,174006461,25033539,CC1=C2C=C(C(=O)N(C2=NC(=N1)N)C3CCC(CC3)OCCO)C4=CN=C(C=C4)OC,Active,92,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00346659-01/212310389,,Inhibitor,0.1534,100,92,Complete curve; high efficacy,-6.8141,1,0.9376,-100,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-98.3466,,,,,,18.7532,1.8665,,3.2618,,-20.6945,,-41.8309,-66.3509,,-68.2397,,-77.5782,-99.3894,,-87.9887,,-98.3466,,,,QC'd by Selleck
12,174006878,73265297,CC[C@@H]1CC[C@H]2[C@@H]([C@H]([C@@H]([C@]3(O2)CC[C@@H]([C@@H](O3)C[C@@H](C)O)C)C)OC(=O)C=C[C@@H]([C@H]([C@@H](C(=O)[C@@H]([C@H]([C@@H](C(=O)[C@]([C@H]([C@@H](CC=CC=C1)C)O)(C)O)C)O)C)C)O)C)C,Active,92,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00346531-01/212310956,,Inhibitor,0.1367,100,92,Complete curve; high efficacy,-6.8641,1,0.9215,-100,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-97.1151,,,,,,-10.7679,0.941,,-3.1111,,-2.2532,,-18.2936,-92.6635,,-87.7011,,-98.476,-91.0102,,-93.0251,,-97.1151,,,,QC'd by Selleck
13,174007006,73265330,CCC1=C2N=C(C=C(N2N=C1)NCC3=C[N+](=CC=C3)[O-])N4CCCC[C@@H]4CCO,Active,92,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00346656-01/212310403,,Inhibitor,0.1086,100,92,Complete curve; high efficacy,-6.9641,1,0.9169,-100,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-93.2109,,,,,,3.1126,8.3744,,3.1899,,11.2383,,-54.8333,-81.2802,,-82.6804,,-87.5537,-93.2946,,-88.3257,,-93.2109,,,,QC'd by Selleck
14,174007092,3003931,CC(=NNC(=S)N1CCC1)C2=CC=CC=N2,Active,92,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00347952-01/212310462,,Inhibitor,0.0273,81.1748,92,Complete curve; high efficacy,-7.5641,1,0.9756,-81.1748,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-83.7219,,,,,,-4.9888,-3.7159,,-12.7391,,-46.4842,,-66.28,-67.2042,,-70.7039,,-80.6094,-82.2888,,-84.557,,-83.7219,,,,QC'd by XcessBio
15,124881567,3117,CCN(CC)C(=S)SSC(=S)N(CC)CC,Active,91,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00016000-10/212310021,,Inhibitor,0.1931,100,91,Complete curve; high efficacy,-6.7141,1,0.9111,-100,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-90.3102,,,,,,-17.9186,-4.7692,,-7.7351,,1.087,,-5.2222,-68.6466,,-90.9014,,-88.5709,-90.4245,,-91.3904,,-90.3102,,,,QC'd by SIGMA
16,174006456,44187953,CCN1C2=C(C(=NC(=N2)C3=CC=C(C=C3)NC(=O)NC4=CC=C(C=C4)C(=O)N5CCN(CC5)C)N6CCOCC6)N=N1,Active,91,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00346649-01/212310337,,Inhibitor,0.0544,82.7084,91,Complete curve; high efficacy,-7.2641,1,0.9812,-82.7084,0,-1.1,1 0 0 0 0 0 0 0 0 0 0,-88.3637,,,,,,22.7324,-4.4203,,-2.7138,,-31.5664,,-52.8043,-65.7872,,-75.0944,,-75.6779,-82.3717,,-81.8436,,-88.3637,,,,QC'd by Selleck
17,174006528,10366136,CC1(COC1)COC2=CC3=C(C=C2)N(C=N3)C4=NC5=C(C=CC=C5N6CCC(CC6)N)C=C4,Active,91,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00346658-01/212310190,,Inhibitor,0.0544,81.3396,91,Complete curve; high efficacy,-7.2641,1,0.9104,-81.3396,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-79.3894,,,,,,-16.5242,-16.4586,,-21.3317,,-29.1635,,-38.2334,-65.1571,,-73.2087,,-71.8381,-89.1882,,-87.7558,,-79.3894,,,,QC'd by Selleck
18,174007036,135473382,CC(C)C1=NN(C2=C1C(=O)NC(=N2)CC3=CC=C(C=C3)OCCO)C4=C(C=CC=C4Cl)Cl,Active,91,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00345809-01/212310493,,Inhibitor,0.1721,100,91,Complete curve; high efficacy,-6.7641,1,0.8559,-100,0,-1.1,0 0 0 0 1 0 0 0 0 0 0,-106.0613,,,,,,-3.6127,4.0061,,14.0003,,32.367,,23.83,-79.46,,-90.1779,,-83.3849,-81.0552,,-86.293,,-106.0613,,,,QC'd by EMD Chemicals
19,174006328,135564985,CC(C)C1=C(C=C(C(=C1)C2=NNC(=O)N2C3=CC4=C(C=C3)N(C=C4)C)O)O,Active,90,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00346678-01/212310742,,Inhibitor,0.3854,100,90,Complete curve; high efficacy,-6.4141,1,0.9115,-100,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-101.0068,,,,,,4.268,-21.1647,,-1.1314,,2.5926,,6.1898,-24.0915,,-89.2548,,-96.4613,-98.8594,,-92.2035,,-101.0068,,,,QC'd by Selleck
20,174006519,25242324,CC(C)(C1=CC2=C(S1)C(=NC(=N2)C3=CN=C(N=C3)N)N4CCOCC4)O,Active,90,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00345838-01/212310386,,Inhibitor,0.3854,100,90,Complete curve; high efficacy,-6.4141,1,0.9546,-100,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-85.9677,,,,,,16.0161,10.2157,,5.5457,,3.4428,,-27.5445,-37.3035,,-59.3106,,-84.2104,-99.8853,,-91.9836,,-85.9677,,,,QC'd by SynKinase
21,29215025,25749169,CC[C@H]1CN2CCC3=CC(=C(C=C3[C@H]2C[C@@H]1C[C@H]4C5=CC(=C(C=C5CCN4)OC)OC)OC)OC,Active,90,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00024379-04/212310584,,Inhibitor,0.3854,100,90,Complete curve; high efficacy,-6.4141,1,0.9689,-100,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-106.0463,,,,,,-10.545,-7.3567,,5.2302,,-5.5144,,-7.4701,-28.738,,-75.5886,,-94.3919,-97.8677,,-101.4876,,-106.0463,,,,QC'd by InterBioScreen
22,124954168,135539077,CCNC(=O)C1=NOC(=C1C2=CC=C(C=C2)CN3CCOCC3)C4=CC(=C(C=C4O)O)C(C)C,Active,89,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00247878-01/212311556,,Inhibitor,0.6108,100,89,Complete curve; high efficacy,-6.2141,1,0.856,-100,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-75.0595,,,,,,-14.3472,-10.2008,,1.0741,,-1.4497,,-1.3536,-8.066,,-76.3154,,-82.6514,-80.1478,,-84.4841,,-75.0595,,,,QC'd by Selleck
23,137275902,5459219,CN1CC[C@H]([C@H](C1)O)C2=C(C=C(C3=C2OC(=CC3=O)C4=CC=CC=C4Cl)O)O,Active,89,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00250401-01/212310436,,Inhibitor,0.5444,100,89,Complete curve; high efficacy,-6.2641,1,0.913,-100,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-84.9878,,,,,,8.6344,6.2434,,-5.0776,,10.3615,,4.1017,-27.5857,,-80.1721,,-75.3143,-84.1616,,-84.0554,,-84.9878,,,,QC'd by Selleck
24,137275991,11314340,CC1=C2C=C(C=CC2=NN1)C3=CC(=CN=C3)OC[C@H](CC4=CC=CC=C4)N,Active,89,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00263147-01/212310345,,Inhibitor,0.4324,100,89,Complete curve; high efficacy,-6.3641,1,0.8681,-100,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-88.9704,,,,,,0.659,9.5302,,3.3494,,3.08,,-27.0321,-63.3435,,-47.014,,-62.8648,-81.2688,,-90.4708,,-88.9704,,,,QC'd by Selleck
25,174006469,71317162,C1=CC2=NC=CC(=C2C=C1C=C3C(=O)NC(=O)S3)C4=CC=NC=C4,Active,89,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00346509-01/212310397,,Inhibitor,0.4324,100,89,Complete curve; high efficacy,-6.3641,1,0.9157,-100,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-82.9665,,,,,,10.0747,16.3399,,-1.84,,7.9695,,-2.3536,-57.972,,-55.8041,,-75.1239,-91.4239,,-91.9882,,-82.9665,,,,QC'd by Selleck
26,174006490,10172943,CC1=C2C=C(C=CC2=NN1)C3=CC(=CN=C3)OC[C@H](CC4=CNC5=CC=CC=C54)N,Active,89,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00347278-01/212310361,,Inhibitor,0.4852,100,89,Complete curve; high efficacy,-6.3141,1,0.9292,-100,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-91.4769,,,,,,2.3002,-7.0685,,1.3164,,-2.6524,,-22.0568,-51.5936,,-50.7087,,-68.6924,-82.551,,-87.2757,,-91.4769,,,,QC'd by Adooq
27,174007022,6197,C[C@H]1C[C@@H](C(=O)[C@@H](C1)[C@@H](CC2CC(=O)NC(=O)C2)O)C,Active,89,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00017363-10/212310425,,Inhibitor,0.968,123.2359,89,Complete curve; high efficacy,-6.0141,1,0.9712,-123.2359,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-130.8237,,,,,,-7.1765,0.7916,,6.2463,,-0.6222,,-15.9201,-8.8499,,-62.1615,,-90.3247,-102.8376,,-105.4461,,-130.8237,,,,QC'd by Microsource
28,174007098,9903786,C1=CC(=CC=C1C2=CC(=C(S2)NC(=O)N)C(=O)N)F,Active,89,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00167773-03/212310482,,Inhibitor,0.4324,100,89,Complete curve; high efficacy,-6.3641,1,0.9731,-100,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-96.5938,,,,,,2.786,-6.4713,,-3.5832,,-3.0742,,-5.2185,-51.3558,,-54.5763,,-83.1046,-94.2408,,-95.1011,,-96.5938,,,,QC'd by Tocris
29,174007130,387447,B([C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,Active,89,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00242506-02/212310777,,Inhibitor,0.4852,100,89,Complete curve; high efficacy,-6.3141,1,0.9219,-100,0,-1.1,0 0 0 0 0 0 0 0 0 1 0,-89.5086,,,,,,3.4189,-7.0628,,2.2978,,-1.1709,,-2.1353,-47.4642,,-63.7445,,-75.2154,-72.6699,,-63.3753,,-89.5086,,,,QC'd by Selleck
30,174007474,73265414,C[C@@H]1[C@@H]([C@H](C[C@@H](O1)O[C@@H]2[C@@H](O[C@H](C[C@@H]2O)O[C@@H]3[C@@H](O[C@H](C[C@@H]3O)O[C@H]4CC[C@]5([C@@H](C4)CC[C@@H]6[C@H]5C[C@H]([C@]7([C@@]6(CC[C@@H]7C8=CC(=O)OC8)O)C)O)C)C)C)O)O,Active,89,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00090797-11/212311411,,Inhibitor,0.5586,100,89,Complete curve; high efficacy,-6.2529,1,0.9197,-100,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-86.7271,,,,,,,0.1703,8.4693,,0.7893,,4.7,,5.3213,-61.9382,,-81.1726,,-86.4762,,-87.2755,-90.7723,,-86.7271,,,QC'd by SIGMA
31,137275850,57519506,C[C@H]1C[C@@H]([C@H]([C@H](C=C([C@@H]([C@H](C=CC=C(C(=O)NC2=CC(=O)C(=C(C1)C2=O)NCCN(C)C)C)OC)OC(=O)N)C)C)O)OC,Active,88,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00242478-02/212311621,,Inhibitor,0.6853,100,88,Complete curve; high efficacy,-6.1641,1,0.96,-100,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-97.449,,,,,,-10.3825,-11.322,,-6.487,,-2.8668,,-1.1116,-11.1233,,-58.8025,,-82.5302,-88.7812,,-105.4759,,-97.449,,,,QC'd by Selleck
32,137275921,25105690,CN1CCN(CC1)C2=CC=C(C=C2)C3=NC4=CC(=C(C=C4C(=N3)NCCN5CCOCC5)OC)OC,Active,88,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00263017-01/212311635,,Inhibitor,0.6853,100,88,Complete curve; high efficacy,-6.1641,1,0.9494,-100,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-102.3488,,,,,,0.7035,9.2395,,14.3124,,2.1026,,7.6646,-7.2685,,-58.6442,,-87.1673,-94.4009,,-102.0994,,-102.3488,,,,QC'd by NCGCChem
33,137276082,57519534,CC1=C(C(=O)O[C@H](C1)[C@@H](C)[C@H]2CC[C@@H]3[C@@]2(CC[C@@H]4[C@H]3C[C@@H]5[C@]6([C@@]4(C(=O)C=C[C@@H]6O)C)O5)C)CO,Active,88,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00263238-01/212310522,,Inhibitor,0.8627,100,88,Complete curve; high efficacy,-6.0641,1,0.9512,-100,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-104.059,,,,,,0.4196,9.4035,,-3.2003,,1.0958,,10.1905,-3.0992,,-48.9638,,-77.5564,-100.1058,,-109.4866,,-104.059,,,,QC'd by Toronto Research
34,174006499,57519554,CC1=C(SC2=C1N=C(N=C2N3CCOCC3)C4=CN=C(N=C4)N)CN5CCN(CC5)C(=O)C(C)C,Active,88,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00263109-02/212310347,,Inhibitor,0.2728,81.5934,88,Complete curve; high efficacy,-6.5641,1,0.9465,-81.5934,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-75.5117,,,,,,5.2545,25.0145,,-6.3999,,0.6219,,-14.5766,-38.4425,,-62.9317,,-74.0454,-80.1237,,-80.7777,,-75.5117,,,,QC'd by Axon Medchem
35,174006513,107935,CC1(C=CC2=C(O1)C=CC3=C2O[C@@H]4COC5=CC(=C(C=C5[C@@H]4C3=O)OC)OC)C,Active,88,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00025288-03/212310285,,Inhibitor,0.1534,84.1388,88,Complete curve; high efficacy,-6.8141,1,0.9461,-68.7068,15.4321,-1.1,0 0 0 0 0 0 0 0 0 0 0,-73.4434,,,,,,2.6588,26.7634,,15.8985,,1.0389,,-23.037,-34.2671,,-42.9864,,-64.9453,-57.8701,,-76.1171,,-73.4434,,,,QC'd by Microsource
36,174007062,11955716,CC(C)C1=CC(=C(C=C1O)O)C(=O)N2CC3=C(C2)C=C(C=C3)CN4CCN(CC4)C,Active,88,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00346674-01/212310688,,Inhibitor,0.968,100,88,Complete curve; high efficacy,-6.0141,1,0.902,-100,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-87.6631,,,,,,-4.7788,-18.2261,,2.0203,,3.233,,7.5063,6.6476,,-59.4563,,-74.5208,-86.5774,,-89.6494,,-87.6631,,,,QC'd by Selleck
37,124954167,16736529,CC1=CN=C(C(=C1OC)C)CN2C=NC3=C2N=C(N=C3Cl)N,Active,87,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00247877-01/212311673,,Inhibitor,1.3674,100,87,Complete curve; high efficacy,-5.8641,1,0.9872,-100,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-90.2599,,,,,,1.2659,1.575,,-2.3604,,-4.0986,,-3.3955,-10.4064,,-30.0148,,-67.4598,-82.718,,-86.614,,-90.2599,,,,QC'd by Selleck
38,174006171,12309103,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)C)O)N)O,Active,87,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00024246-13/212310834,,Inhibitor,1.2187,100,87,Complete curve; high efficacy,-5.9141,1,0.9633,-100,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-89.4758,,,,,,0.3342,4.2892,,-14.8789,,2.4797,,3.9714,-3.601,,-35.476,,-69.3555,-88.7271,,-91.738,,-89.4758,,,,QC'd by Microsource
39,174006474,46180666,CC1=NC(=NC=C1C2=NC3=C(C(=N2)N4CCOCC4)SC(=C3)C(C)(C)O)N,Active,87,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00345837-01/212310305,,Inhibitor,1.5342,100,87,Complete curve; high efficacy,-5.8141,1,0.9635,-100,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-84.8821,,,,,,0.6825,0.4662,,12.5509,,2.1235,,-4.2247,-17.2633,,-21.0711,,-65.2983,-77.4226,,-102.5816,,-84.8821,,,,QC'd by SynKinase
40,174006779,9918559,CC[C@H](CC#N)OC(=O)N[C@@H](C)C1=CC(=CC=C1)NC(=O)NC2=CC(=C(C=C2)C3=CN=CO3)OC,Active,87,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00345803-01/212311081,,Inhibitor,1.5342,100,87,Complete curve; high efficacy,-5.8141,1,0.9457,-100,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-82.8932,,,,,,-2.216,-5.9246,,5.2244,,3.3696,,-3.0638,6.7724,,-27.2905,,-66.4284,-93.5359,,-93.2538,,-82.8932,,,,QC'd by ChemieTek
41,174006909,107751,CC(=O)SCC(CC1=CC=CC=C1)C(=O)NCC(=O)OCC2=CC=CC=C2,Active,87,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00179511-04/212310922,,Inhibitor,1.0861,100,87,Complete curve; high efficacy,-5.9641,1,0.9707,-100,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-93.9449,,,,,,-1.3314,3.4457,,-7.8104,,-5.2741,,-14.8083,-4.587,,-33.1349,,-72.1543,-93.6691,,-90.2612,,-93.9449,,,,QC'd by Selleck
