PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Activity_Score,Curve_Description,Fit_LogAC50,Fit_HillSlope,Fit_R2,Fit_InfiniteActivity,Fit_ZeroActivity,Fit_CurveClass,Excluded_Points,Max_Response,Activity at 0.0000389080 uM,Activity at 0.0001066275 uM,Activity at 0.0001907270 uM,Activity at 0.0004536066 uM,Activity at 0.0008842259 uM,Activity at 0.0009786459 uM,Activity at 0.00290 uM,Activity at 0.00495 uM,Activity at 0.00878 uM,Activity at 0.016 uM,Activity at 0.026 uM,Activity at 0.048 uM,Activity at 0.088 uM,Activity at 0.221 uM,Activity at 0.459 uM,Activity at 0.757 uM,Activity at 1.175 uM,Activity at 2.248 uM,Activity at 5.820 uM,Activity at 11.46 uM,Activity at 19.13 uM,Activity at 24.67 uM,Activity at 57.49 uM,Activity at 115.4 uM,Activity at 221.8 uM,Activity at 288.0 uM,Compound QC
RESULT_TYPE,,,,,,,,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING
21,174007006,73265330,CCC1=C2N=C(C=C(N2N=C1)NCC3=C[N+](=CC=C3)[O-])N4CCCC[C@@H]4CCO,Active,99,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00346656-01/212314227,,Inhibitor,0.0385,131.9974,99,Complete curve; high efficacy,-7.4141,1,0.9383,-131.9974,0,-1.1,0 0 0 1 0 0 0 0 0 0 0,-126.2899,,,,,,5.6319,10.6722,,7.8619,,2.5692,,-110.5362,-127.0323,,-127.0519,,-125.6488,-125.9342,,-127.1651,,-126.2899,,,,QC'd by Selleck
22,174007055,16678941,CC1=C(N=C(C=C1)NC(=O)C2(CC2)C3=CC4=C(C=C3)OC(O4)(F)F)C5=CC(=CC=C5)C(=O)O,Active,99,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00346550-01/212315541,,Inhibitor,0.0685,144.1353,99,Complete curve; high efficacy,-7.1641,1,0.9549,-144.1353,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-139.2051,,,,,,1.4626,8.3619,,-8.3276,,-11.6064,,-88.8887,-134.6749,,-140.4828,,-136.6549,-136.1942,,-135.2368,,-139.2051,,,,QC'd by Selleck
23,174007279,11556427,C[C@H]1[C@H](OC(=O)N1CC2=C(C=CC(=C2)C(F)(F)F)C3=CC(=C(C=C3OC)F)C(C)C)C4=CC(=CC(=C4)C(F)(F)F)C(F)(F)F,Active,99,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00346671-01/212315651,,Inhibitor,0.0193,119.4619,99,Complete curve; high efficacy,-7.7141,1,0.8568,-119.4619,0,-1.1,1 0 0 0 0 0 0 0 0 0 0,-122.8964,,,,,,-30.4241,-7.9682,,-56.7863,,-40.8425,,-117.891,-113.1801,,-118.063,,-114.7768,-126.8173,,-99.0582,,-122.8964,,,,QC'd by Selleck
24,137275867,9954540,C1CCN[C@@H](C1)[C@H](C2=CC=CC=C2)NC(=O)C3=C(C(=CC=C3)C(F)(F)F)Cl,Active,98,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00247954-02/212315610,,Inhibitor,0.0086,100,98,Complete curve; high efficacy,-8.0641,1,0.807,-100,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-104.9135,,,,,,-21.824,-6.5603,,-66.6099,,-50.8191,,-108.0529,-111.1781,,-117.6791,,-116.0767,-118.7701,,-123.686,,-104.9135,,,,QC'd by ChemAxon
25,137275899,57519528,CN(C)C1CCN(CC1)C(=O)C2=CC=C(C=C2)NC(=O)NC3=NC(=NC(=N3)N4CCOCC4)N5CCOCC5,Active,98,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00250398-01/212314159,,Inhibitor,0.0611,135.8491,98,Complete curve; high efficacy,-7.2141,1,0.9654,-135.8491,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-130.1418,,,,,,-15.817,2.1339,,-4.2476,,-21.9198,,-92.6783,-118.6753,,-125.5048,,-129.5564,-133.1962,,-135.5779,,-130.1418,,,,QC'd by Selleck
26,137276013,57519512,CC(C)(C)C1=C(N=CN1)C=C2C(=O)NC(=CC3=CC=CC=C3)C(=O)N2,Active,98,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00263169-01/212313872,,Inhibitor,0.0079,100,98,Complete curve; high efficacy,-8.1029,1,0.857,-100,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-124.512,,,,,,,-16.1518,-28.5121,,-85.7817,,-84.7133,,-106.546,-92.0055,,-96.06,,-99.2433,,-89.8551,-90.122,,-124.512,,,QC'd by Selleck
27,174006592,25171648,CN1CCC(CC1)COC2=CN=C(N=C2)C3=CC=CC(=C3)CN4C(=O)C=CC(=N4)C5=CC=CC(=C5)C#N,Active,98,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00345793-01/212314011,,Inhibitor,0.0611,129.1124,98,Complete curve; high efficacy,-7.2141,1,0.9261,-129.1124,0,-1.1,1 0 0 0 0 0 0 0 0 0 0,-127.0532,,,,,,-48.4375,-5.4664,,-14.0014,,-69.4915,,-51.4961,-91.2994,,-124.9393,,-133.6567,-126.7544,,-128.4977,,-127.0532,,,,QC'd by ChemieTek
28,174007098,9903786,C1=CC(=CC=C1C2=CC(=C(S2)NC(=O)N)C(=O)N)F,Active,98,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00167773-03/212314306,,Inhibitor,0.1367,148.5766,98,Complete curve; high efficacy,-6.8641,1,0.9525,-148.5766,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-152.8566,,,,,,-8.2373,-3.7072,,-2.629,,-9.1635,,-80.4157,-71.7165,,-137.1739,,-151.7588,-135.4957,,-138.36,,-152.8566,,,,QC'd by Tocris
29,174007435,441276,CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@](C3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C,Active,98,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00024995-10/212313932,,Inhibitor,0.0069,100,98,Complete curve; high efficacy,-8.1641,1,0.8945,-100,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-99.5984,,,,,,6.8156,-19.5264,,-71.6383,,-85.3073,,-83.7994,-96.6751,,-95.5222,,-92.5971,-79.4224,,-99.1188,,-99.5984,,,,QC'd by Microsource
30,174007436,10607,COC1=CC(=CC(=C1OC)OC)[C@H]2[C@@H]3[C@H](COC3=O)[C@H](C4=CC5=C(C=C24)OCO5)O,Active,98,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00022001-14/212313907,,Inhibitor,0.0069,100,98,Complete curve; high efficacy,-8.1641,1,0.8194,-100,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-105.3205,,,,,,0.1174,-0.3623,,-81.6147,,-83.4381,,-90.1943,-94.329,,-102.2881,,-105.5985,-108.3636,,-68.7267,,-105.3205,,,,QC'd by Microsource
