PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Activity_Score,Curve_Description,Fit_LogAC50,Fit_HillSlope,Fit_R2,Fit_InfiniteActivity,Fit_ZeroActivity,Fit_CurveClass,Excluded_Points,Max_Response,Activity at 0.0000097126 uM,Activity at 0.0000291954 uM,Activity at 0.0000923421 uM,Activity at 0.0002769992 uM,Activity at 0.0005418107 uM,Activity at 0.0009682458 uM,Activity at 0.00270 uM,Activity at 0.00558 uM,Activity at 0.00871 uM,Activity at 0.017 uM,Activity at 0.027 uM,Activity at 0.074 uM,Activity at 0.157 uM,Activity at 0.240 uM,Activity at 0.666 uM,Activity at 1.337 uM,Activity at 2.154 uM,Activity at 5.995 uM,Activity at 11.92 uM,Activity at 19.39 uM,Activity at 53.90 uM,Activity at 109.7 uM,Activity at 143.7 uM,Activity at 406.4 uM,Compound QC
10,137276002,11282283,C1CN(CCN1C2=NC=NC3=C2OC4=CC=CC=C43)C(=S)NCC5=CC6=C(C=C5)OCO6,Active,86,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00263158-01/213244554,,Inhibitor,2.2239,100.4845,86,Complete curve; high efficacy,-5.6529,1.4641,0.9915,-103.0931,-2.6086,-1.1,0 0 0 0 0 0 0 0 0 0 0,-100.4807,,,,,,,-2.2956,-3.3151,,-0.9642,,-3.0711,-10.169,,-9.7771,-31.9885,,-83.9253,-92.0663,,-99.7641,-100.4807,,,QC'd by Selleck
11,170466763,73828,COC(=O)C1=C(N=C(C(=N1)Cl)Cl)N,Active,86,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00253704-01/213244627,,Inhibitor,1.7214,80.0497,86,Complete curve; high efficacy,-5.7641,3.99,0.9641,-90.9554,-10.9057,-1.1,0 0 0 0 0 0 0 0 0 0 0,-98.4366,,,,,,-18.8281,-26.5111,,-6.1463,,-8.9186,-6.4239,,-7.2295,-4.6019,,-67.2066,-86.801,,-86.7456,-98.4366,,,,QC'd by GVK
12,26747626,6084,COC1=C(C=C(C=C1)CC2=NC=CC3=CC(=C(C=C32)OC)OC)OC.Cl,Active,86,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00094258-02/213244665,,Inhibitor,1.9314,109.708,86,Complete curve; high efficacy,-5.7141,0.8,0.992,-103.6767,6.0313,-1.1,0 0 0 0 0 0 0 0 0 0 0,-93.91,,,,,,6.612,3.865,,5.0482,,2.6386,-0.963,,-8.6926,-35.3245,,-44.6641,-75.2259,,-92.2314,-93.91,,,,QC'd by Microsource
13,174006489,9858940,CC1=NC(=CC=C1)C2=C(N=C(N2)C(C)(C)C)C3=CC4=C(C=C3)OCO4,Active,85,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00165889-02/213244639,,Inhibitor,3.4347,85.4397,85,Complete curve; high efficacy,-5.4641,4.9549,0.9916,-94.0123,-8.5726,-1.1,0 0 0 0 0 0 0 0 0 0 0,-93.2662,,,,,,-16.8613,-11.6093,,-4.5754,,-4.3146,-9.7693,,-6.995,-7.3559,,-15.3157,-92.9061,,-92.1807,-93.2662,,,,QC'd by Selleck
14,137275978,51371303,CCC1=CN=CN=C1N2CCN(CC2)CC3=NC4=C(N3)C=C(C=C4)C(F)(F)F,Active,84,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00263134-01/213244648,,Inhibitor,4.4373,85.5618,84,Complete curve; high efficacy,-5.3529,1.6266,0.9853,-99.3502,-13.7885,-1.1,0 0 0 0 0 0 0 0 0 0 0,-99.7492,,,,,,,-12.956,-15.3844,,-16.6477,,-6.1942,-21.772,,-10.6996,-29.6901,,-51.0773,-88.5894,,-95.7142,-99.7492,,,QC'd by ChemAxon
15,144214048,3034285,CO/C=C(\C1=CC=CC=C1OC2=NC=NC(=C2)OC3=CC=CC=C3C#N)/C(=O)OC,Active,84,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00163818-04/213244584,,Inhibitor,4.9787,98.078,84,Complete curve; high efficacy,-5.3029,1.3723,0.9878,-100.617,-2.539,-1.1,0 0 0 0 0 0 0 0 0 0 0,-99.2278,,,,,,,-7.1921,2.3325,,0.9405,,1.4256,-4.1491,,-16.4633,-14.3606,,-45.4945,-81.9516,,-93.2112,-99.2278,,,QC'd by LightBiologicals
16,174007069,9820008,COC1=CC=CC(=C1)C2=CC(=C(C=C2)NC(=O)C3=C(CCC3)C(=O)O)F,Active,84,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00345056-01/213244582,,Inhibitor,3.8537,96.535,84,Complete curve; high efficacy,-5.4141,2.4729,0.9958,-90.9151,5.6199,-1.1,0 0 0 0 0 0 0 0 0 0 0,-92.9602,,,,,,6.7189,6.4782,,6.6936,,9.2194,0.1059,,5.1553,0.9321,,-10.6422,-70.2085,,-86.974,-92.9602,,,,QC'd by NCGCChem
17,385219832,16095342,CCN1C2=CC(=NC=C2N=C1C3=NON=C3N)OC4=CC=CC(=C4)NC(=O)C5=CC=C(C=C5)OCCN6CCOCC6,Active,84,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00241982-02/213244594,,Inhibitor,4.324,100.9407,84,Complete curve; high efficacy,-5.3641,1.5095,0.9831,-102.0287,-1.088,-1.1,0 0 0 0 0 0 0 0 0 0 0,-100.0281,,,,,,0.8173,0.2498,,-2.4321,,-5.4228,-6.9204,,8.7742,-15.3929,,-22.7448,-66.5153,,-92.1411,-100.0281,,,,QC'd by ChemAxon
18,90341237,4680,COC1=C(C=C(C=C1)CC2=NC=CC3=CC(=C(C=C32)OC)OC)OC,Active,84,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00015810-09/213244603,,Inhibitor,3.4347,87.4413,84,Complete curve; high efficacy,-5.4641,1.331,0.997,-89.2286,-1.7873,-1.1,0 0 0 0 0 0 0 0 0 0 0,-87.479,,,,,,0.3944,-5.3532,,-2.3804,,-1.1404,-4.2951,,-2.2482,-9.6262,,-32.85,-63.6453,,-79.0802,-87.479,,,,QC'd by SigmaAldrich
19,124882242,3503,CC1=CC2=C(C(=C(C(=C2C(C)C)O)O)C=O)C(=C1C3=C(C4=C(C=C3C)C(=C(C(=C4C=O)O)O)C(C)C)O)O,Active,83,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00016423-02/213244613,,Inhibitor,6.1078,89.7214,83,Complete curve; high efficacy,-5.2141,2.7202,0.9871,-94.1247,-4.4033,-1.1,0 0 0 0 0 0 0 0 0 0 0,-96.8361,,,,,,-14.2566,-6.1264,,-3.4577,,-2.0904,-2.7498,,-0.1997,-3.9636,,-6.4028,-54.2076,,-85.8552,-96.8361,,,,QC'd by Tocris
20,170466326,71768,CC(C)(C)C1CCC(CC1)CC2=C(C3=CC=CC=C3C(=O)C2=O)O,Active,83,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00253624-01/213244600,,Inhibitor,6.1078,97.034,83,Complete curve; high efficacy,-5.2141,3.132,0.9886,-96.5126,0.5214,-1.1,0 0 0 0 0 0 0 0 0 0 0,-97.4874,,,,,,-5.226,-6.732,,-1.9904,,1.2418,0.4613,,6.8016,4.2726,,2.6961,-51.1413,,-93.4848,-97.4874,,,,QC'd by GVK
21,170466887,135409453,CCCCCN=C(N)N/N=C/C1=CNC2=C1C=C(C=C2)OC,Active,83,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00095192-05/213244663,,Inhibitor,9.6802,106.3942,83,Complete curve; high efficacy,-5.0141,1.8851,0.9691,-110.4699,-4.0757,-1.1,1 0 0 0 0 0 0 0 0 0 0,-99.1799,,,,,,-27.2764,-6.6038,,-4.2817,,-5.5573,-4.2761,,2.3692,-15.156,,-3.9648,-31.7675,,-99.5224,-99.1799,,,,QC'd by Bosche
22,174006174,51037431,C1=CC(=CC=C1CNC2=NC=NC3=C2C=C(C=C3)F)F,Active,83,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00263555-02/213244598,,Inhibitor,8.6275,104.611,83,Complete curve; high efficacy,-5.0641,1.2221,0.9611,-105.5028,-0.8918,-1.1,0 0 0 0 0 0 0 0 0 0 0,-92.5463,,,,,,-0.7733,-1.0264,,6.3714,,3.1666,-2.2202,,-5.5406,-14.2013,,-22.5313,-31.4987,,-88.6435,-92.5463,,,,QC'd by SIGMA
23,90340670,2545,CC12C3CCC(C1(C(=O)OC2=O)C)O3,Active,83,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00015266-08/213244680,,Inhibitor,9.6802,104.1467,83,Complete curve; high efficacy,-5.0141,1.9673,0.9595,-105.6824,-1.5358,-1.1,0 0 0 0 0 0 0 0 0 0 0,-97.8541,,,,,,-2.4291,-18.6761,,2.8928,,-1.0578,4.0278,,-0.7127,4.5297,,-10.3433,-24.8633,,-92.7224,-97.8541,,,,QC'd by SigmaAldrich
24,144214040,5564,C1=CC(=C(C=C1Cl)O)OC2=C(C=C(C=C2)Cl)Cl,Active,81,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00159417-06/213244583,,Inhibitor,22.2392,113.5006,81,Complete curve; high efficacy,-4.6529,4.5045,0.9835,-106.7053,6.7953,-1.1,0 0 0 0 0 0 0 0 0 0 0,-98.8012,,,,,,,4.8077,4.5594,,2.4541,,7.8632,-2.3562,,13.7877,7.3792,,14.4545,-0.2808,,-95.4876,-98.8012,,,QC'd by SIGMA
25,26756900,5353422,CCC1C2(C(C(O1)(C(C(O2)/C=C/C=C/C=C/C3=C(C(=CC(=O)O3)OC)C)O)C)OC(=O)C)C,Active,72,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00163515-01/213244596,,Inhibitor,0.1086,79.5853,72,Complete curve; partial efficacy,-6.9641,3.5117,0.9939,-95.1417,-15.5564,-1.2,0 0 0 0 0 0 0 0 0 0 0,-96.1027,,,,,,-23.4833,-14.8123,,-12.5639,,-12.2237,-35.2226,,-92.2863,-93.5971,,-94.4371,-94.572,,-94.662,-96.1027,,,,QC'd by BIOMOL
26,174007192,73265358,CC[C@]1(CC[C@@H](O1)[C@@]2(CC[C@@]3(O2)C[C@@H]([C@H]([C@H](O3)[C@@H](C)[C@H]([C@H](C)C(=O)[O-])OC)C)O)C)[C@H]4[C@@H](C[C@@H](O4)[C@@H]5[C@@H](C[C@H]([C@@](O5)(CO)O)C)C)C,Active,71,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00179454-04/213244573,,Inhibitor,0.1678,76.0431,71,Complete curve; partial efficacy,-6.7753,1.21,0.9891,-92.7296,-16.6865,-1.2,0 0 0 0 0 0 0 0 0 0 0,-95.4009,,,,,-25.0016,,-11.0422,-17.7501,,-18.5414,-27.632,,-48.2302,-68.2538,,-86.5272,-89.3516,,-91.1399,-95.4009,,,,,QC'd by Selleck
27,385219836,,,Active,43,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00263847-01/213244564,,Inhibitor,8.6275,100.9658,43,Partial curve; high efficacy,-5.0641,0.6,0.9748,-106.3666,-5.4008,-2.1,0 0 0 0 0 0 0 0 0 0 0,-88.6388,,,,,,-3.6699,-11.149,,-4.4893,,-5.7747,-12.456,,-15.7372,-29.7474,,-36.86,-44.2104,,-63.8819,-88.6388,,,,QC'd by Microsource
28,90341210,4564402,COC1=CC=C(C=C1)CCCOC2=C(C=CC(=C2)CCN3C=CN=C3)OC,Active,43,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00015967-03/213244611,,Inhibitor,8.6275,96.8791,43,Partial curve; high efficacy,-5.0641,1.1,0.9763,-103.4854,-6.6063,-2.1,0 0 0 0 0 0 0 0 0 0 0,-95.8198,,,,,,-15.259,-6.4371,,-5.3604,,-6.1126,-8.4937,,0.2431,-10.3166,,-24.316,-52.3465,,-68.7108,-95.8198,,,,QC'd by SigmaAldrich
29,124881022,5994,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C,Active,41,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00015785-04/213244591,,Inhibitor,24.3155,97.1151,41,Partial curve; high efficacy,-4.6141,2.4064,0.943,-95.0663,2.0489,-2.1,0 0 0 0 0 0 0 0 0 0 0,-93.2022,,,,,,8.3951,6.8021,,9.2406,,-6.8777,-9.3855,,3.8878,3.1524,,8.0049,-8.8047,,-29.4393,-93.2022,,,,QC'd by Labotest
30,144204548,5447130,C1=C(OC(=C1)[N+](=O)[O-])/C=N/NC(=O)N,Active,41,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00090686-04/213244614,,Inhibitor,24.3155,91.4611,41,Partial curve; high efficacy,-4.6141,1.8851,0.9798,-95.3933,-3.9322,-2.1,0 0 0 0 0 0 0 0 0 0 0,-83.6783,,,,,,-3.3999,-1.0654,,-0.5293,,0.6437,-1.6846,,-5.857,-8.0162,,-8.1465,-16.8646,,-37.6874,-83.6783,,,,QC'd by SigmaAldrich
31,144206432,65494,CCC(=O)N(C1=CC=CC=C1)C2(CCN(CC2)CCC3=CC=CS3)COC.C(C(=O)O)C(CC(=O)O)(C(=O)O)O,Active,41,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00247355-02/213244683,,Inhibitor,49.7874,100.5724,41,Partial curve; high efficacy,-4.3029,1.9282,0.9778,-109.606,-9.0335,-2.1,0 0 0 0 0 0 0 0 0 0 0,-96.1456,,,,,,,-16.6891,-11.8837,,-7.0871,,-6.6904,-5.3396,,-7.7462,-10.883,,-3.5627,-20.6836,,-46.3224,-96.1456,,,QC'd by RTI
32,144213997,4984721,C1=CC(=C(C=C1[N+](=O)[O-])O)N,Active,41,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00091650-03/213244575,,Inhibitor,62.6786,76.4591,41,Partial curve; partial efficacy,-4.2029,1.4641,0.9058,-91.6588,-15.1997,-2.2,0 0 0 0 0 0 0 0 0 0 0,-76.3823,,,,,,,-16.758,-10.8428,,-11.0881,,-19.8138,-13.5579,,-7.3286,-21.7291,,-22.4375,-25.599,,-31.3002,-76.3823,,,QC'd by SIGMA
33,174006264,11581936,CN1C=C(C(=N1)C2=CC=C(C=C2)OCC3=NC4=CC=CC=C4C=C3)C5=CC=NC=C5,Active,41,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00346630-01/213244669,,Inhibitor,24.3155,104.8947,41,Partial curve; high efficacy,-4.6141,2.3332,0.9383,-107.6557,-2.761,-2.1,0 0 0 0 0 0 0 0 0 0 0,-99.6812,,,,,,0.7655,-13.1121,,-7.9608,,-4.3597,-3.3183,,8.5045,-6.7133,,10.7589,-15.9381,,-38.1564,-99.6812,,,,QC'd by Selleck
34,26757024,5708351,C[C@@]12CC[C@H]([C@@]([C@H]1CCC(=C)[C@H]2/C=C/C3=CCOC3=O)(C)CO)O,Active,41,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00163645-01/213244673,,Inhibitor,21.6712,102.8331,41,Partial curve; high efficacy,-4.6641,1,0.9745,-112.1406,-9.3075,-2.1,0 0 0 0 0 0 0 0 0 0 0,-89.0005,,,,,,-6.2194,-15.4894,,-6.8976,,-10.3574,-5.825,,-9.2846,-13.2888,,-21.5135,-34.0218,,-49.8392,-89.0005,,,,QC'd by BIOMOL
35,90341030,5282138,CC1=C(C(C(=C(N1)C)C(=O)OC/C=C/C2=CC=CC=C2)C3=CC(=CC=C3)[N+](=O)[O-])C(=O)OCCOC,Active,41,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00162150-03/213244678,,Inhibitor,21.6712,109.4197,41,Partial curve; high efficacy,-4.6641,1.3723,0.9536,-112.4226,-3.003,-2.1,0 0 0 0 0 0 0 0 0 0 0,-93.6855,,,,,,-1.1625,0.0985,,6.4134,,5.3936,-12.1998,,-9.4691,-7.4029,,-13.8672,-18.9684,,-47.4956,-93.6855,,,,QC'd by SigmaAldrich
36,90341036,1967,CC1=C(C(=O)C(=C(C1=O)C)CCCCC#CCCCC#CCO)C,Active,41,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00015053-09/213244561,,Inhibitor,19.3145,116.4498,41,Partial curve; high efficacy,-4.7141,1.1341,0.9582,-109.6188,6.831,-2.1,0 0 0 0 0 0 0 0 0 0 0,-91.349,,,,,,5.4419,10.306,,9.5908,,13.7431,5.1319,,3.7801,0.2944,,-14.8452,-13.4124,,-43.3111,-91.349,,,,QC'd by SigmaAldrich
37,90341221,644213,C1=CC=C(C=C1)NC(=O)C2=C(C=CC(=C2)[N+](=O)[O-])Cl,Active,41,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00015688-09/213244635,,Inhibitor,24.3155,88.5967,41,Partial curve; high efficacy,-4.6141,1.8851,0.9404,-97.1918,-8.5951,-2.1,0 0 0 0 0 0 0 0 0 0 0,-85.256,,,,,,-7.4948,-7.7794,,-18.699,,0.6953,-17.8573,,-4.3774,-5.9632,,-5.8916,-20.0043,,-39.4534,-85.256,,,,QC'd by SigmaAldrich
38,104171134,135398737,CN1CCN(CC1)C2=NC3=C(C=CC(=C3)Cl)NC4=CC=CC=C42,Active,40,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00015254-12/213244656,,Inhibitor,30.6114,77.1705,40,Partial curve; high efficacy,-4.5141,4.095,0.9586,-87.1642,-9.9936,-2.1,0 0 0 0 0 0 0 0 0 0 0,-80.4274,,,,,,-8.4447,-8.5773,,-7.5957,,-2.6826,-11.7208,,-7.4193,-5.8969,,-17.9398,-16.3695,,-21.2092,-80.4274,,,,QC'd by BIOMOL
39,144214029,10800,CC1=CC(=CC(=C1O)[N+](=O)[O-])[N+](=O)[O-],Active,40,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00091775-03/213244568,,Inhibitor,39.5475,103.4666,40,Partial curve; high efficacy,-4.4029,4.4495,0.973,-101.2662,2.2004,-2.1,0 0 0 0 0 0 0 0 0 0 0,-99.2806,,,,,,,-2.0062,-5.9319,,10.7417,,6.0105,7.4602,,-5.8985,1.5844,,1.5186,6.5786,,-48.3292,-99.2806,,,QC'd by LightBiologicals
40,170465077,6603149,CNCCCC1C2=CC=CC=C2C=CC3=CC=CC=C13.Cl,Active,40,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00015851-10/213244620,,Inhibitor,30.6114,98.3005,40,Partial curve; high efficacy,-4.5141,4.095,0.9858,-105.8022,-7.5018,-2.1,0 0 0 0 0 0 0 0 0 0 0,-97.965,,,,,,-9.3045,-13.5347,,-3.1451,,-7.3419,-8.9738,,-10.1529,-6.1267,,-4.4322,-2.4593,,-19.9368,-97.965,,,,QC'd by Microsource
41,174006522,24905149,CC1=C2C(=CC=C1)N=C(N(C2=O)C3=CC=CC=C3C)CN4C5=NC=NC(=C5C(=N4)C6=CC(=CC=C6)O)N,Active,40,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00346614-01/213244682,,Inhibitor,30.6114,86.114,40,Partial curve; high efficacy,-4.5141,4.095,0.8576,-95.0265,-8.9125,-2.1,0 0 0 0 0 0 0 0 0 0 0,-87.9875,,,,,,-9.615,-5.131,,1.1373,,-14.612,-3.7297,,-34.5369,-13.5491,,-1.8577,-6.4101,,-21.7201,-87.9875,,,,QC'd by Selleck
42,174007291,34458,COC1=C(C2=C(CC3C4=CC5=C(C=C4CCN3C2)OCO5)C=C1)OC,Active,40,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00173359-06/213244585,,Inhibitor,24.3155,63.9936,40,Partial curve; partial efficacy,-4.6141,2.3332,0.8902,-67.1392,-3.1455,-2.2,0 0 0 0 0 0 0 0 0 0 0,-65.8227,,,,,,-11.641,-8.741,,4.439,,5.6328,-7.4646,,-3.5568,5.1237,,-10.0675,-8.4196,,-21.9009,-65.8227,,,,QC'd by Carbosynth
