PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Activity_Score,Curve_Description,Fit_LogAC50,Fit_HillSlope,Fit_R2,Fit_InfiniteActivity,Fit_ZeroActivity,Fit_CurveClass,Excluded_Points,Max_Response,Activity at 0.0000389080 uM,Activity at 0.0001066275 uM,Activity at 0.0001907270 uM,Activity at 0.0004536066 uM,Activity at 0.0008842259 uM,Activity at 0.0009786459 uM,Activity at 0.00290 uM,Activity at 0.00495 uM,Activity at 0.00878 uM,Activity at 0.016 uM,Activity at 0.026 uM,Activity at 0.048 uM,Activity at 0.088 uM,Activity at 0.221 uM,Activity at 0.459 uM,Activity at 0.757 uM,Activity at 1.175 uM,Activity at 2.248 uM,Activity at 5.820 uM,Activity at 11.46 uM,Activity at 19.13 uM,Activity at 24.67 uM,Activity at 57.49 uM,Activity at 115.4 uM,Activity at 221.8 uM,Activity at 288.0 uM,Compound QC
RESULT_TYPE,,,,,,,,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING
11,174007055,16678941,CC1=C(N=C(C=C1)NC(=O)C2(CC2)C3=CC4=C(C=C3)OC(O4)(F)F)C5=CC(=CC=C5)C(=O)O,Active,96,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00346550-01/212317453,,Inhibitor,0.0217,126.9465,96,Complete curve; high efficacy,-7.6641,1,0.9688,-100,26.9465,-1.1,0 0 0 1 0 0 0 0 0 0 0,-111.2884,,,,,,8.3296,23.4442,,-4.6801,,21.6799,,-73.675,-100.1499,,-105.5863,,-110.6554,-102.6162,,-104.4846,,-111.2884,,,,QC'd by Selleck
12,137275906,57441923,C[C@@H]1COCCN1C2=NC(=NC3=C2C=CC(=N3)C4=CC(=C(C=C4)OC)CO)N5CCOC[C@H]5C,Active,95,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00250405-01/212316103,,Inhibitor,0.0306,100,95,Complete curve; high efficacy,-7.5141,1,0.9652,-100,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-91.3951,,,,,,-2.9247,-4.4498,,-29.0265,,-44.9764,,-78.7144,-75.4979,,-90.5086,,-92.8706,-94.8988,,-94.4036,,-91.3951,,,,QC'd by Selleck
13,174006442,25260757,CNC(=O)NC1=CC=C(C=C1)C2=NC3=C(C=NN3C4CCC5(CC4)OCCO5)C(=N2)N6CC7CCC(C6)O7,Active,95,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00346635-01/212316049,,Inhibitor,0.0273,100,95,Complete curve; high efficacy,-7.5641,1,0.9073,-100,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-95.9697,,,,,,-4.8527,5.7029,,-34.3975,,-55.7853,,-66.6803,-82.5076,,-90.5624,,-94.487,-133.2292,,-103.184,,-95.9697,,,,QC'd by Selleck
14,174006456,44187953,CCN1C2=C(C(=NC(=N2)C3=CC=C(C=C3)NC(=O)NC4=CC=C(C=C4)C(=O)N5CCN(CC5)C)N6CCOCC6)N=N1,Active,95,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00346649-01/212316073,,Inhibitor,0.0385,138.2132,95,Complete curve; high efficacy,-7.4141,1,0.96,-100,38.2132,-1.1,0 0 0 0 0 0 0 0 0 0 0,-109.7487,,,,,,49.4731,47.3879,,31.6535,,-14.081,,-77.5005,-89.5475,,-94.9584,,-93.9404,-98.5382,,-106.0029,,-109.7487,,,,QC'd by Selleck
15,90340839,6758,CC(=C)[C@H]1CC2=C(O1)C=CC3=C2O[C@@H]4COC5=CC(=C(C=C5[C@@H]4C3=O)OC)OC,Active,95,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00017358-07/212339589,,Inhibitor,0.1413,129.0798,95,Complete curve; high efficacy,-6.85,1,0.9934,-129.0798,0,-1.1,0 0 0 0 0,-131.1786,,,,,,,,,,,,,-51.4558,,-99.4445,,,-121.8098,,-122.9295,,,-131.1786,,,,QC'd by SigmaAldrich
16,124882270,73265412,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@H]2CC[C@@]3([C@@H]4CC[C@@]5([C@@H](CC[C@]5([C@@H]4CCC3=C2)O)C6=COC(=O)C=C6)C)C)O)O)O,Active,93,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00016447-02/212317146,,Inhibitor,0.0769,100,93,Complete curve; high efficacy,-7.1141,1,0.8906,-100,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-97.0771,,,,,,4.2718,-0.2029,,9.6574,,3.1065,,-74.298,-84.4679,,-88.9945,,-82.9072,-90.8654,,-86.4661,,-97.0771,,,,QC'd by SIGMA
17,124950713,10126189,CC1=[N+](C2=C(N1CCOC)C(=O)C3=CC=CC=C3C2=O)CC4=NC=CN=C4,Active,93,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00242514-01/212316622,,Inhibitor,0.0685,100,93,Complete curve; high efficacy,-7.1641,1,0.948,-100,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-104.3374,,,,,,2.8743,0.0389,,2.9202,,-3.7582,,-62.9995,-94.4044,,-96.2666,,-99.0267,-98.948,,-103.3572,,-104.3374,,,,QC'd by Selleck
18,137275899,57519528,CN(C)C1CCN(CC1)C(=O)C2=CC=C(C=C2)NC(=O)NC3=NC(=NC(=N3)N4CCOCC4)N5CCOCC5,Active,93,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00250398-01/212316071,,Inhibitor,0.0968,100,93,Complete curve; high efficacy,-7.0141,1,0.9361,-100,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-94.6349,,,,,,-1.5502,27.6816,,-3.7119,,-10.2868,,-56.0131,-75.6127,,-85.9652,,-90.5659,-91.8389,,-93.5597,,-94.6349,,,,QC'd by Selleck
19,137276013,57519512,CC(C)(C)C1=C(N=CN1)C=C2C(=O)NC(=CC3=CC=CC=C3)C(=O)N2,Active,93,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00263169-01/212315784,,Inhibitor,0.0314,85.5282,93,Complete curve; high efficacy,-7.5029,1,0.9056,-85.5282,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-91.8273,,,,,,,3.5553,-6.5961,,-49.2257,,-43.0196,,-72.7921,-72.9795,,-81.1142,,-75.3033,,-80.1473,-102.5518,,-91.8273,,,QC'd by Selleck
20,137276067,44599690,CN(C)CCN(C)C(=O)C1=CC=C(C=C1)NC(=O)NC2=CC=C(C=C2)C3=NC4=C(C=CN4CC(F)(F)F)C(=N3)N5CCOCC5,Active,93,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00263223-01/212316024,,Inhibitor,0.0769,100,93,Complete curve; high efficacy,-7.1141,1,0.9759,-100,0,-1.1,0 0 0 0 1 0 0 0 0 0 0,-100.4038,,,,,,-4.9297,14.2828,,-8.6671,,-25.1191,,-106.5162,-78.0414,,-92.3541,,-103.6264,-98.969,,-90.854,,-100.4038,,,,QC'd by Cayman
21,174006448,49836027,CCC(=O)N1CCN(CC1)C2=C(C=C(C=C2)N3C(=O)C=CC4=CN=C5C=CC(=CC5=C43)C6=CC7=CC=CC=C7N=C6)C(F)(F)F,Active,93,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00263215-02/212316098,,Inhibitor,0.0685,100,93,Complete curve; high efficacy,-7.1641,1,0.9035,-100,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-95.7133,,,,,,-7.6383,4.61,,-0.3704,,-12.3003,,-70.5419,-78.4338,,-89.608,,-84.5503,-76.4435,,-86.9582,,-95.7133,,,,QC'd by Tocris
22,174006461,25033539,CC1=C2C=C(C(=O)N(C2=NC(=N1)N)C3CCC(CC3)OCCO)C4=CN=C(C=C4)OC,Active,93,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00346659-01/212316125,,Inhibitor,0.1534,154.0891,93,Complete curve; high efficacy,-6.8141,1,0.9777,-115.5667,38.5224,-1.1,1 0 0 0 0 0 0 0 0 0 0,-121.9228,,,,,,-15.2915,52.531,,27.7122,,10.6262,,-15.5009,-64.4425,,-73.5289,,-97.3535,-122.5709,,-110.7942,,-121.9228,,,,QC'd by Selleck
23,174006500,25207689,CC1=C(SC2=C1N=C(N=C2N3CCOCC3)C4=CN=C(N=C4)N)CN5CCN(CC5)S(=O)(=O)C,Active,93,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00345851-01/212316061,,Inhibitor,0.0968,130.0002,93,Complete curve; high efficacy,-7.0141,1,0.9759,-100,30.0002,-1.1,0 0 0 0 0 0 0 0 0 0 0,-112.982,,,,,,29.0827,17.8121,,29.8761,,2.7572,,-30.3377,-68.5694,,-70.8247,,-108.1963,-102.5816,,-96.8894,,-112.982,,,,QC'd by SynKinase
24,174006878,73265297,CC[C@@H]1CC[C@H]2[C@@H]([C@H]([C@@H]([C@]3(O2)CC[C@@H]([C@@H](O3)C[C@@H](C)O)C)C)OC(=O)C=C[C@@H]([C@H]([C@@H](C(=O)[C@@H]([C@H]([C@@H](C(=O)[C@]([C@H]([C@@H](CC=CC=C1)C)O)(C)O)C)O)C)C)O)C)C,Active,93,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00346531-01/212316692,,Inhibitor,0.0769,100,93,Complete curve; high efficacy,-7.1141,1,0.9332,-100,0,-1.1,0 0 0 0 1 0 0 0 0 0 0,-104.9509,,,,,,-2.1773,-5.9972,,0.4725,,-0.4677,,-1.1873,-100.1688,,-99.6755,,-108.7039,-101.897,,-103.1152,,-104.9509,,,,QC'd by Selleck
25,174007092,3003931,CC(=NNC(=S)N1CCC1)C2=CC=CC=N2,Active,93,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00347952-01/212316198,,Inhibitor,0.0243,85.722,93,Complete curve; high efficacy,-7.6141,1,0.9682,-85.722,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-90.4755,,,,,,-1.8445,2.4496,,-26.2358,,-41.5372,,-75.4893,-77.6523,,-76.8332,,-80.6805,-80.6217,,-91.5833,,-90.4755,,,,QC'd by XcessBio
26,174007098,9903786,C1=CC(=CC=C1C2=CC(=C(S2)NC(=O)N)C(=O)N)F,Active,93,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00167773-03/212316218,,Inhibitor,0.2728,128.6302,93,Complete curve; high efficacy,-6.5641,1,0.9405,-128.6302,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-132.3356,,,,,,21.9112,-3.4871,,11.2019,,16.1155,,-55.5278,-55.7407,,-89.9206,,-116.0629,-123.1084,,-123.0045,,-132.3356,,,,QC'd by Tocris
27,85149099,44144282,CC(=O)O[C@@H]1[C@@H]([C@]2(CCC3[C@H]([C@@]24[C@@H]1O4)CC[C@]5([C@@]3(CC[C@@H](C5)O)C)O)C)C6=COC(=O)C=C6,Active,93,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/MLS002473256-01/212337783,,Inhibitor,0.3162,165.8897,93,Complete curve; high efficacy,-6.5,1,0.9917,-127.1545,38.7353,-1.1,0 0 0 0 0,-124.6612,,,,,,,,,,,,,8.9086,,-63.3458,,,-112.2279,,-120.2039,,,-124.6612,,,,QC'd by K H Lee - Univ. of North Carolina - MLI PSL
28,99460876,11977753,CC(C)(C#N)C1=CC=C(C=C1)N2C3=C4C=C(C=CC4=NC=C3N(C2=O)C)C5=CC6=CC=CC=C6N=C5,Active,93,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00187481-04/212316104,,Inhibitor,0.0685,100,93,Complete curve; high efficacy,-7.1641,1,0.9038,-100,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-75.2286,,,,,,9.0619,-5.5558,,1.0078,,-19.0041,,-66.577,-76.9143,,-87.5232,,-92.0724,-86.2721,,-84.0099,,-75.2286,,,,QC'd by NCGCChem
29,137275850,57519506,C[C@H]1C[C@@H]([C@H]([C@H](C=C([C@@H]([C@H](C=CC=C(C(=O)NC2=CC(=O)C(=C(C1)C2=O)NCCN(C)C)C)OC)OC(=O)N)C)C)O)OC,Active,92,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00242478-02/212317357,,Inhibitor,0.3061,119.303,92,Complete curve; high efficacy,-6.5141,1,0.9858,-119.303,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-114.0792,,,,,,-6.2535,-8.012,,4.9318,,-4.3079,,-17.0263,-51.806,,-92.9676,,-109.2987,-110.3298,,-116.9637,,-114.0792,,,,QC'd by Selleck
30,137275918,16654980,C1COCCN1C2=NC(=NC(=C2)C3=CN=C(C=C3C(F)(F)F)N)N4CCOCC4,Active,92,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00262604-01/212316129,,Inhibitor,0.6853,176.5907,92,Complete curve; high efficacy,-6.1641,1,0.9664,-138.401,38.1897,-1.1,0 0 0 0 0 0 1 0 0 0 0,-140.4589,,,,,,51.5864,60.5394,,46.5653,,15.708,,29.5949,-28.814,,49.8784,,-76.7066,-122.0965,,-137.3487,,-140.4589,,,,QC'd by Selleck
31,137275921,25105690,CN1CCN(CC1)C2=CC=C(C=C2)C3=NC4=CC(=C(C=C4C(=N3)NCCN5CCOCC5)OC)OC,Active,92,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00263017-01/212317371,,Inhibitor,0.4324,157.1037,92,Complete curve; high efficacy,-6.3641,1,0.9901,-128.2929,28.8108,-1.1,0 0 0 0 0 0 0 0 0 0 0,-124.4308,,,,,,20.4844,31.3033,,24.5715,,12.4326,,20.1662,-26.664,,-73.2408,,-108.1472,-116.7345,,-123.8765,,-124.4308,,,,QC'd by NCGCChem
32,174006328,135564985,CC(C)C1=C(C=C(C(=C1)C2=NNC(=O)N2C3=CC4=C(C=C3)N(C=C4)C)O)O,Active,92,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00346678-01/212316478,,Inhibitor,0.3061,118.9887,92,Complete curve; high efficacy,-6.5141,1,0.9606,-118.9887,0,-1.1,0 1 0 0 0 0 0 0 0 0 0,-119.4665,,,,,,-2.1547,-46.8537,,1.8631,,7.5736,,-5.9671,-50.8617,,-100.9915,,-106.4024,-110.136,,-108.8665,,-119.4665,,,,QC'd by Selleck
33,174006443,73265224,C[C@@H]1COCCN1C2=NC(=NC3=C2C=CC(=N3)C4=CC(=CC=C4)C(=O)NC)N5CCOC[C@H]5C,Active,92,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00346698-01/212316082,,Inhibitor,0.1367,137.5056,92,Complete curve; high efficacy,-6.8641,1,0.9814,-100,37.5056,-1.1,0 0 0 0 0 0 0 0 0 0 0,-102.0998,,,,,,50.9842,28.885,,20.9859,,19.7714,,-21.2407,-49.2617,,-65.8023,,-93.4485,-89.3932,,-95.6902,,-102.0998,,,,QC'd by Selleck
34,174006559,23635314,C1COCCN1CCOC2=CC=C(C=C2)C3=CN=C(C=C3)CC(=O)NCC4=CC=CC=C4,Active,92,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00346644-01/212315930,,Inhibitor,0.1367,100,92,Complete curve; high efficacy,-6.8641,1,0.9132,-100,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-101.1847,,,,,,0.0736,22.2711,,17.8271,,3.4611,,-46.1638,-79.2597,,-75.5292,,-87.314,-86.2303,,-103.3069,,-101.1847,,,,QC'd by Selleck
35,174007160,73265348,C[C@H]1CC(=CC=C[C@@H]([C@@H](OC(=O)C(=CC(=C[C@H]([C@H]1O)C)C)OC)[C@@H](C)[C@H]([C@H](C)[C@]2(C[C@H]([C@@H]([C@H](O2)C(C)C)C)O)O)O)OC)C,Active,92,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00162409-03/212317267,,Inhibitor,0.0485,84.6903,92,Complete curve; high efficacy,-7.3141,1,0.9344,-84.6903,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-89.9048,,,,,,-9.8537,-2.1498,,-6.5294,,-14.9325,,-69.2527,-74.6248,,-81.1824,,-72.9351,-75.2876,,-88.4768,,-89.9048,,,,QC'd by AG Scientific
36,174007338,11351021,CCC[C@@H](C1=CN=CC=C1)NC2=NC(=NC=C2C)C3=CC(=C(C=C3)NC(=O)NCC)OC,Active,92,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00346574-01/212315851,,Inhibitor,0.1086,100,92,Complete curve; high efficacy,-6.9641,1,0.84,-100,0,-1.1,0 0 0 0 0 0 0 0 0 1 0,-77.6174,,,,,,-1.5492,12.3813,,10.1969,,-3.6194,,-68.9972,-65.9768,,-71.4536,,-80.3217,-89.3709,,-68.7891,,-77.6174,,,,QC'd by Selleck
37,124881567,3117,CCN(CC)C(=S)SSC(=S)N(CC)CC,Active,91,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00016000-10/212315757,,Inhibitor,0.1931,100,91,Complete curve; high efficacy,-6.7141,1,0.8873,-100,0,-1.1,0 0 0 0 0 1 0 0 0 0 0,-113.206,,,,,,-6.946,-3.4735,,4.9363,,3.6263,,1.065,5.4328,,-113.2162,,-116.4975,-111.5866,,-108.41,,-113.206,,,,QC'd by SIGMA
38,124883191,73265365,C[C@H]1[C@H]([C@H]([C@H]([C@@H](O1)O[C@H]2C[C@H]([C@@]3([C@@H]4[C@H](CC[C@@]3(C2)O)[C@]5(CC[C@@H]([C@]5(C[C@H]4O)C)C6=CC(=O)OC6)O)CO)O)O)O)O,Active,91,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00017394-08/212317233,,Inhibitor,0.0544,82.2382,91,Complete curve; high efficacy,-7.2641,1,0.9098,-82.2382,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-82.2265,,,,,,-4.1076,-15.2961,,2.5059,,-7.7987,,-64.3701,-77.9265,,-80.8631,,-77.3703,-72.9475,,-78.8701,,-82.2265,,,,QC'd by BIOMOL
39,137275913,11364421,CC[C@@H]1C(=O)N(C2=CN=C(N=C2N1C3CCCC3)NC4=C(C=C(C=C4)C(=O)NC5CCN(CC5)C)OC)C,Active,91,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00253438-01/212317019,,Inhibitor,0.0306,109.4086,91,Complete curve; high efficacy,-7.5141,1,0.9377,-73.8473,35.5613,-1.1,0 0 0 0 0 0 0 0 0 0 0,-75.0824,,,,,,24.8971,26.5171,,17.2957,,2.487,,-71.0254,-58.1536,,-65.0406,,-66.7802,-71.7673,,-75.0866,,-75.0824,,,,QC'd by Selleck
40,174006241,5362420,CC1=C(C2=CC3=NC(=CC4=C(C(=C(N4)C=C5[C@@]6([C@@H](C(=CC=C6C(=N5)C=C1N2)C(=O)OC)C(=O)OC)C)C)CCC(=O)OC)C(=C3C)CCC(=O)O)C=C,Active,91,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00346712-01/212316325,,Inhibitor,0.2167,100,91,Complete curve; high efficacy,-6.6641,1,0.9802,-100,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-96.2425,,,,,,-0.8036,-5.9063,,-8.2519,,-5.1302,,-24.5199,-45.9533,,-85.8585,,-88.752,-109.14,,-103.9909,,-96.2425,,,,QC'd by Selleck
