starter_Canonical_SMILES,Canonical_SMILES,source_DataBase,pPotency_prediction,pPotency_std,pPotency_lower_95CI,pPotency_upper_95CI,IC50(M)_prediction,IC50(M)_lower_95CI,IC50(M)_upper_95CI
Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,CO[C@H]1[C@H](n2cnc3c(=O)[nH]c(N)nc32)O[C@]2(C(O)O)O[C@@H]12,GuanosineOnly_gen3,5.291477213976041,0.4761687866357715,4.358186392169928,6.224768035782153,5.111198951383156e-06,5.959803819954576e-07,4.383425278723249e-05
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CC(O)Nc1ncnc2c1ncn2[C@@H]1O[C@]2(CO)O[C@@]1(C)[C@@H]2O,AdenosineOnly_gen3,5.291474557671273,0.4744226146344654,4.361606232987721,6.221342882354825,5.11123021345125e-06,6.006992886367443e-07,4.349043654469027e-05
O=c1[nH]c(=O)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2[nH]1,CC(O)(CO)O[C@@H]1CO[C@@H]2[C@@H]1Oc1nc3c(=O)[nH]c(=O)[nH]c3n12,XanthosineOnly_gen3,5.291455405310351,0.4758626453389274,4.358764620446053,6.224146190174649,5.111455623371093e-06,5.968343491828508e-07,4.377592982954724e-05
Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,CO[C@@H]1[C@@H]2OC(OC(C)O)[C@H]2O[C@H]1n1cnc2c(=O)[nH]c(N)nc21,GuanosineOnly_gen3,5.291454025185532,0.4763704882478767,4.357767868219693,6.22514018215137,5.111471866860866e-06,5.954699059358934e-07,4.387651564800133e-05
O=c1[nH]c(=O)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2[nH]1,CO[C@]12O[C@H]1[C@H](n1cnc3c(=O)[nH]c(=O)[nH]c31)O[C@@H]2C(O)O,XanthosineOnly_gen3,5.291447299484539,0.477053827486332,4.356421797611328,6.22647280135775,5.111551026276981e-06,5.936455253772453e-07,4.401271933723356e-05
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,Cc1nc2c(N)ncnc2n1[C@@H]1O[C@]2(CO)O[C@@H]1[C@@H]2OC(C)O,AdenosineOnly_gen3,5.291437103450144,0.4757803697003693,4.35890757883742,6.223966628062867,5.111671032779578e-06,5.97081165567811e-07,4.376152230913124e-05
O=c1[nH]c(=O)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2[nH]1,C[C@]1(OCO)[C@H]2COc3nc4c(=O)[nH]c(=O)[nH]c4n3[C@H](O2)[C@@H]1O,XanthosineOnly_gen3,5.291436154107322,0.4755090656148804,4.359438385502156,6.223433922712487,5.111682206611414e-06,5.978139943182692e-07,4.370806844557876e-05
O=c1[nH]c(=O)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2[nH]1,CC(O)OC(C#N)[C@H]1O[C@@H](n2cnc3c(=O)[nH]c(=O)[nH]c32)[C@H](O)[C@@H]1O,XanthosineOnly_gen3,5.291433860810496,0.475609200078036,4.359239828657546,6.223627892963447,5.11170919897723e-06,5.975470504729602e-07,4.372805608232323e-05
O=c1[nH]c(=O)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2[nH]1,CC(O)(O)OC[C@H]1O[C@@H](n2cnc3c(=O)[nH]c(=O)[nH]c32)[C@@H]2O[C@]12O,XanthosineOnly_gen3,5.291431399286644,0.4778150628289923,4.354913876141819,6.227948922431469,5.1117381715529865e-06,5.91631212095687e-07,4.4165802277324376e-05
O=c1[nH]c(=O)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2[nH]1,COC(O)O[C@@]12OC[C@H]1O[C@@H](n1cnc3c(=O)[nH]c(=O)[nH]c31)[C@@H]2O,XanthosineOnly_gen3,5.291423150143078,0.4761171129366748,4.358233608787196,6.224612691498961,5.111835266644632e-06,5.96193598393739e-07,4.3829487374090206e-05
O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,Cc1nc2c(ncn2[C@@H]2O[C@H](C(C)O)[C@@H](OC=O)[C@H]2O)c(=O)[nH]1,InosineOnly_gen3,5.291420807938281,0.4772908335820244,4.355930774117513,6.226910841759049,5.111862835489894e-06,5.93047061345927e-07,4.40625092881463e-05
O=c1[nH]c(=O)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2[nH]1,O=CO[C@@H]1[C@H](O)[C@@H](CO)O[C@]1(CC(=O)O)n1cnc2c(=O)[nH]c(=O)[nH]c21,XanthosineOnly_gen3,5.291401270648625,0.4770467295925178,4.35638968064729,6.22641286064996,5.112092804314111e-06,5.937274651442875e-07,4.4015974288083775e-05
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CC(C)(O)O[C@H]1[C@H]2Oc3nc4c(N)ncnc4n3[C@@H]2O[C@@H]1CO,AdenosineOnly_gen3,5.291401020305295,0.4753871648858983,4.359642177128935,6.223159863481655,5.11209575111348e-06,5.9819136072569e-07,4.36875633523842e-05
