PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,Activity_Score,Curve_Description,Fit_LogAC50,Fit_HillSlope,Fit_R2,Fit_InfiniteActivity,Fit_ZeroActivity,Fit_CurveClass,Excluded_Points,Max_Response,Activity at 0.0000967719 uM,Activity at 0.0002167586 uM,Activity at 0.0005263378 uM,Activity at 0.0009674074 uM,Activity at 0.00173 uM,Activity at 0.00290 uM,Activity at 0.00518 uM,Activity at 0.00878 uM,Activity at 0.026 uM,Activity at 0.041 uM,Activity at 0.078 uM,Activity at 0.140 uM,Activity at 0.235 uM,Activity at 0.419 uM,Activity at 0.711 uM,Activity at 1.384 uM,Activity at 2.154 uM,Activity at 6.280 uM,Activity at 11.32 uM,Activity at 19.05 uM,Activity at 33.84 uM,Activity at 57.16 uM,Activity at 114.3 uM,Activity at 190.5 uM,Activity at 571.4 uM,Compound QC
20,384568887,46926350,CCC1=C2N=C(C=C(N2N=C1)NCC3=C[N+](=CC=C3)[O-])N4CCCC[C@H]4CCO,Active,94,http://assay.nih.gov/htsws/rest/display/TRND-VSVG-PP-HEK293ACE2-f4-mipe-npc/NCGC00346656-03/250074453,,Inhibitor,0.0341,92.3993,,94,Complete curve; high efficacy,-7.4671,1.9673,0.9843,-94.3993,-2,-1.1,0 0 0 0 0 0 0 0 0 0 0,-95.9342,,,,-12.4922,,0,,3.0424,-41.4211,,-77.5911,,-93.794,,-93.5317,,-93.3095,-93.0255,,-94.0714,,-95.9342,,,,QC'd by Axon Medchem
21,405559077,6708778,COC1=CC(=CC(=C1O)OC)[C@H]2[C@@H]3C(COC3=O)C(C4=CC5=C(C=C24)OCO5)O[C@H]6[C@@H]([C@H](C7[C@H](O6)CO[C@H](O7)C8=CC=CS8)O)O,Active,94,http://assay.nih.gov/htsws/rest/display/TRND-VSVG-PP-HEK293ACE2-f4-mipe-npc/NCGC00178065-03/250074471,,Inhibitor,0.0429,98.1852,,94,Complete curve; high efficacy,-7.3671,2.1876,0.9985,-96.6852,1.5,-1.1,0 0 0 0 0 0 0 0 0 0 0,-97.2992,,,,0,,0,,2.3725,-25.4171,,-76.3581,,-93.7522,,-94.2685,,-95.9042,-96.7379,,-97.6618,,-97.2992,,,,QC'd by Microsource
22,363679167,44224257,CN(C(=O)N1[C@](SC(=N1)C2=C(C=CC(=C2)F)F)(CCCN)C3=CC=CC=C3)OC,Active,93,http://assay.nih.gov/htsws/rest/display/TRND-VSVG-PP-HEK293ACE2-f4-mipe-npc/NCGC00381751-04/250074481,,Inhibitor,0.0241,81.0116,,93,Complete curve; high efficacy,-7.6171,2.4064,0.9892,-84.5116,-3.5,-1.1,0 0 0 0 0 0 0 0 0 0 0,-86.4127,,,,-12.0511,,0,,-3.8644,-48.7707,,-77.7949,,-83.1831,,-83.4454,,-86.3742,-83.9416,,-83.6359,,-86.4127,,,,QC'd by MedChem Express
23,377020171,1362865,CC1=CC(=C(N1C2=CC=CC=C2)C)/C=C/3\C(=O)N4C5=CC=CC=C5N=C4S3,Active,93,http://assay.nih.gov/htsws/rest/display/TRND-VSVG-PP-HEK293ACE2-f4-mipe-npc/NCGC00242501-03/250074814,,Inhibitor,0.0681,96.3383,,93,Complete curve; high efficacy,-7.1671,1.4163,0.9956,-96.7333,-0.395,-1.1,0 0 0 0 0 0 0 0 0 0 0,-98.9093,,,,-5.2495,,-0.3291,,-1.4677,-19.7721,,-55.8738,,-79.3991,,-89.129,,-95.465,-97.5994,,-98.471,,-98.9093,,,,QC'd by SIGMA
24,384568121,42890,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=CC=CC=C5C4=O)O)(C(=O)C)O)N)O,Active,93,http://assay.nih.gov/htsws/rest/display/TRND-VSVG-PP-HEK293ACE2-f4-mipe-npc/NCGC00093976-15/250074777,,Inhibitor,0.0857,98.0235,,93,Complete curve; high efficacy,-7.0671,2.3332,0.9962,-98.2996,-0.2761,-1.1,0 0 0 0 0 0 0 0 0 0 0,-98.6943,,,,-1.723,,-0.2301,,-5.3637,-1.2947,,-41.6753,,-94.5952,,-95.6548,,-96.9815,-97.3022,,-97.3324,,-98.6943,,,,QC'd by MedChem Express
25,384568687,241903,CC[C@@]1(C[C@@H]2C[C@@](C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O,Active,93,http://assay.nih.gov/htsws/rest/display/TRND-VSVG-PP-HEK293ACE2-f4-mipe-npc/NCGC00263548-23/250074812,,Inhibitor,0.0383,87.342,,93,Complete curve; high efficacy,-7.4171,3.9295,0.9961,-88.842,-1.5,-1.1,0 0 0 0 0 0 0 0 0 0 0,-93.7152,,,,-2.9656,,0,,-0.6986,-18.8838,,-84.7998,,-83.0013,,-87.9737,,-88.0509,-87.8763,,-89.6076,,-93.7152,,,,QC'd by MedChem Express
26,384568868,6918852,COC1=C(C(=C(C=C1)F)F)C(=O)C2=CN=C(N=C2N)NC3CCN(CC3)S(=O)(=O)C,Active,93,http://assay.nih.gov/htsws/rest/display/TRND-VSVG-PP-HEK293ACE2-f4-mipe-npc/NCGC00346632-02/250074915,,Inhibitor,0.0681,98.7133,,93,Complete curve; high efficacy,-7.1671,2.1876,0.9993,-97.7133,1,-1.1,0 0 0 0 0 0 0 0 0 0 0,-96.9023,,,,0,,0,,0,-9.521,,-52.9923,,-93.4071,,-97.4592,,-97.5183,-97.1234,,-97.2567,,-96.9023,,,,QC'd by Selleck
27,384569314,11519397,COC1=C(C=C2C(=C1)C3=C(C4=CC5=C(C=C4C3=O)OCO5)N(C2=O)CCCN6C=CN=C6)OC,Active,93,http://assay.nih.gov/htsws/rest/display/TRND-VSVG-PP-HEK293ACE2-f4-mipe-npc/NCGC00505020-01/250074498,,Inhibitor,0.0607,95.5948,,93,Complete curve; high efficacy,-7.2171,1.331,0.9902,-99.0948,-3.5,-1.1,0 0 0 0 0 0 0 0 0 0 0,-98.3084,,,,-4.7499,,0,,-13.787,-32.07,,-51.7781,,-92.4608,,-96.4321,,-97.9091,-97.9224,,-98.1496,,-98.3084,,,,QC'd by NCI
28,384569370,92045137,C1CN(CCN1C2=C(C=CC=N2)C#N)C(=O)C3=CC=CC(=C3)CC4=NNC(=O)C5=CC=CC=C54,Active,93,http://assay.nih.gov/htsws/rest/display/TRND-VSVG-PP-HEK293ACE2-f4-mipe-npc/NCGC00508883-01/250074824,,Inhibitor,0.0607,81.1361,,93,Complete curve; high efficacy,-7.2171,1.21,0.9776,-97.9831,-16.847,-1.1,0 0 0 0 0 0 0 0 0 0 0,-97.6112,,,,-20.7058,,-21.0971,,-21.1189,-45.1229,,-52.6697,,-93.7639,,-94.125,,-96.4995,-96.968,,-97.7875,,-97.6112,,,,QC'd by SynKinase
29,384569455,11248490,COC1=C(C=C(C=C1)CS(=O)(=O)/C=C/C2=C(C=C(C=C2OC)OC)OC)OP(=O)(O)O,Active,93,http://assay.nih.gov/htsws/rest/display/TRND-VSVG-PP-HEK293ACE2-f4-mipe-npc/NCGC00510493-01/250074808,,Inhibitor,0.0393,88.1707,,93,Complete curve; high efficacy,-7.4059,3.132,0.993,-87.6707,0.5,-1.1,0 0 0 0 0 0 0 0 0 0 0,-93.0687,,,,,1.2779,,0,,-6.341,,-64.5256,-80.3328,,-83.767,,-86.8972,,-86.3061,-88.4808,,-91.6026,,-93.0687,,,QC'd by MedChem Express
30,405558996,285033,CC(C)(CCC[C@@](CC(=O)OC)(C(=O)O[C@H]1[C@H]2C3=CC4=C(C=C3CCN5[C@@]2(CCC5)C=C1OC)OCO4)O)O,Active,93,http://assay.nih.gov/htsws/rest/display/TRND-VSVG-PP-HEK293ACE2-f4-mipe-npc/NCGC00025155-07/250074760,,Inhibitor,0.0681,97.642,,93,Complete curve; high efficacy,-7.1671,1.5095,0.9855,-99.142,-1.5,-1.1,0 0 0 0 0 0 0 0 0 0 0,-97.1981,,,,0,,0,,-3.8355,-29.1829,,-47.1666,,-96.4021,,-96.8924,,-97.0637,-96.8622,,-97.0856,,-97.1981,,,,QC'd by MedChem Express
