PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Standard Relation,Standard Value,Standard Units,Data Validity Comment
48,103165295,64971,CC(=C)[C@@H]1CC[C@]2([C@H]1[C@H]3CC[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O)C)C(=O)O,Unspecified,,,,Inhibition,=,-0.18,%,
49,103165510,16760703,CCCC(CCC)C(=O)[O-].[Na+],Unspecified,,,,Inhibition,=,-1.46,%,
50,103165526,1574,CC1=C(C2=C(N1)C=CC(=C2)O)CCN,Unspecified,,,,Inhibition,=,12.55,%,
51,103165545,337359,C1COC2=C([C@]13C(=O)NC(=O)N3)C=C(C=C2)F,Unspecified,,,,Inhibition,=,-4.62,%,
52,103165561,3639,C1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl,Unspecified,,,,Inhibition,=,-1.29,%,
53,103165562,3440,C1=COC(=C1)CNC2=CC(=C(C=C2C(=O)O)S(=O)(=O)N)Cl,Unspecified,,,,Inhibition,=,23.42,%,
54,103165583,457928,CC(=C)[C@@H]1CC[C@]2([C@H]1[C@H]3CC[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)OC(=O)CC(C)(C)C(=O)O)C)C(=O)O,Unspecified,,,,Inhibition,=,15.36,%,
55,103165594,4993,CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl,Unspecified,,,,Inhibition,=,57.63,%,
56,103165598,53359,CN(CC(=O)O)C(=S)C1=CC=CC2=C1C=CC(=C2C(F)(F)F)OC,Unspecified,,,,Inhibition,=,8.76,%,
57,103165609,5340,C1=CC(=CC=C1N)S(=O)(=O)NC2=NC=CS2,Unspecified,,,,Inhibition,=,-7.56,%,
58,103165643,5325,CC1=NC(=NC=C1)NS(=O)(=O)C2=CC=C(C=C2)N,Unspecified,,,,Inhibition,=,5.22,%,
59,103165644,5215,C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N,Unspecified,,,,Inhibition,=,-3.32,%,
60,103165674,3000715,CCCC(C)C1(C(=O)NC(=S)NC1=O)CC,Unspecified,,,,Inhibition,=,2.97,%,
61,103165713,444795,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/C(=O)O)/C)/C,Unspecified,,,,Inhibition,=,-4.96,%,
62,103165750,5311200,C1CN(CCN1CC2=CNC3=C2C=CC=N3)C4=CC=C(C=C4)Cl,Unspecified,,,,Inhibition,=,7.63,%,
63,103165751,5329,CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N,Unspecified,,,,Inhibition,=,18.96,%,
64,103165753,2396,CN(C)CCCN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=CNC5=CC=CC=C54,Unspecified,,,,Inhibition,=,-1.4,%,
65,103165769,5327,CC1=CC(=NC(=N1)NS(=O)(=O)C2=CC=C(C=C2)N)C,Unspecified,,,,Inhibition,=,1.35,%,
66,103165831,4737,CCCC(C)C1(C(=O)NC(=O)NC1=O)CC,Unspecified,,,,Inhibition,=,8.12,%,
67,103165910,4099,CCC1(C(=O)NC(=O)N(C1=O)C)CC,Unspecified,,,,Inhibition,=,-1.14,%,
68,103165982,5344,CC1=C(ON=C1C)NS(=O)(=O)C2=CC=C(C=C2)N,Unspecified,,,,Inhibition,=,-2.26,%,
69,103166010,5330,COC1=NN=C(C=C1)NS(=O)(=O)C2=CC=C(C=C2)N,Unspecified,,,,Inhibition,=,-2.53,%,
70,103166017,2481,CC(C)CC1(C(=O)NC(=O)NC1=O)CC=C,Unspecified,,,,Inhibition,=,3.32,%,
71,103166018,5320,CC(=O)NS(=O)(=O)C1=CC=C(C=C1)N,Unspecified,,,,Inhibition,=,-3.73,%,
72,103166066,2179,COC1=C(C=CC(=C1)NS(=O)(=O)C)NC2=C3C=CC=CC3=NC4=CC=CC=C42,Unspecified,,,,Inhibition,=,-4.19,%,
73,103166129,3278,CCC(=C)C(=O)C1=C(C(=C(C=C1)OCC(=O)O)Cl)Cl,Unspecified,,,,Inhibition,=,2.72,%,
74,103166132,5280961,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O,Unspecified,,,,Inhibition,=,-27.03,%,Outside typical range
75,103166215,1697,C1=CC=C(C=C1)NC2=C(C=C3C(=C2)C(=O)NC3=O)NC4=CC=CC=C4,Unspecified,,,,Inhibition,=,94.53,%,
76,103166240,6711154,C1=CC(=CC=C1NC2=C(C=C3C(=C2)C(=O)NC3=O)NC4=CC=C(C=C4)F)F,Unspecified,,,,Inhibition,=,86.12,%,
77,103166276,38409,C1=CSC(=C1)C(=O)C2=C(C(=C(C=C2)OCC(=O)O)Cl)Cl,Unspecified,,,,Inhibition,=,0.31,%,
78,103166320,5327723,C1=CC=C2C(=C1)C3=C4C(=C5C6=CC=CC=C6NC5=C3N2)C(=O)NC4=O,Unspecified,,,,Inhibition,=,-10.24,%,Outside typical range
79,103166322,2051,COC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=CC=C3)Cl)OC,Unspecified,,,,Inhibition,=,73.92,%,
80,103166445,3463,CC1=CC(=C(C=C1)C)OCCCC(C)(C)C(=O)O,Unspecified,,,,Inhibition,=,3.12,%,
81,103166463,896,CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC,Unspecified,,,,Inhibition,=,1.77,%,
82,103166507,5962,C(CCN)C[C@@H](C(=O)O)N,Unspecified,,,,Inhibition,=,-11.14,%,Outside typical range
83,103166547,214350,COC1=C(C=C(C=C1)Cl)[C@]2(C3=C(C=C(C=C3)C(F)(F)F)NC2=O)F,Unspecified,,,,Inhibition,=,1.63,%,
84,103166710,5281708,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O)O,Unspecified,,,,Inhibition,=,48.08,%,
85,103166817,39065,CC1=CC(=CC=C1)OC2=CNC(=O)N=C2,Unspecified,,,,Inhibition,=,13.08,%,
86,103166960,56971,C1CN(CCN1CCCCN2C(=O)C3=CC=CC=C3S2(=O)=O)C4=NC=CC=N4,Unspecified,,,,Inhibition,=,-7.42,%,
87,103167026,5281605,C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=C(C(=C3O)O)O,Unspecified,,,,Inhibition,=,18,%,
88,103167027,5280343,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,Unspecified,,,,Inhibition,=,-1.35,%,
89,103167043,3822,C1CN(CCC1C(=O)C2=CC=C(C=C2)F)CCN3C(=O)C4=CC=CC=C4NC3=O,Unspecified,,,,Inhibition,=,13.11,%,
90,103167089,38853,C[C@](CC1=CC(=C(C=C1)O)O)(C(=O)O)N,Unspecified,,,,Inhibition,=,1.17,%,
91,103167143,4534,CC(CC1=CC(=C(C=C1)O)O)C(C)CC2=CC(=C(C=C2)O)O,Unspecified,,,,Inhibition,=,84.75,%,
92,103167216,3559,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,Unspecified,,,,Inhibition,=,-2.56,%,
93,103167311,464,C1=CC=C(C=C1)C(=O)NCC(=O)O,Unspecified,,,,Inhibition,=,-0.45,%,
94,103167333,5059,CCCCCC(C1=CC(=CC=C1)OCC2=NC3=CC=CC=C3C=C2)O,Unspecified,,,,Inhibition,=,113.51,%,
95,103167358,2148,C1=CC(=CC=C1C(=O)NCC(=O)O)N,Unspecified,,,,Inhibition,=,3.54,%,
96,103167374,5282071,CC[C@@H]1/C=C(/C[C@@H](C[C@@H]([C@@H]2[C@H](C[C@H]([C@@](O2)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@@H]([C@H](CC1=O)O)C)/C(=C/[C@@H]4CC[C@H]([C@@H](C4)OC)O)/C)O)C)OC)OC)C)\C,Unspecified,,,,Inhibition,=,-2.1,%,
97,103167505,3538,CC1=NN=C(C2=CC3=C(C=C2C1)OCO3)C4=CC=C(C=C4)N,Unspecified,,,,Inhibition,=,3.24,%,
98,103167534,5282375,CCOC(=O)/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(C(=C(C=C1C)OC)C)C,Unspecified,,,,Inhibition,=,-0.51,%,
99,103167539,73737,C1CCN(C1)C#N,Unspecified,,,,Inhibition,=,-7.3,%,
100,103167682,4463,CC1=C2C(=NC=C1)N(C3=C(C=CC=N3)C(=O)N2)C4CC4,Unspecified,,,,Inhibition,=,0.18,%,
101,103167733,105007,CCCC1=C(C=CC(=C1O)C(=O)C)OCC(COC2=C(C3=C(C=C2)C(=O)C=C(O3)C(=O)O)CCC)O,Unspecified,,,,Inhibition,=,-3.14,%,
102,103167812,213056,C1C[C@]([C@H]2[C@@H]1[C@@H]2C(=O)O)(C(=O)O)N,Unspecified,,,,Inhibition,=,1.63,%,
103,103167816,5311479,CCCN1C(=O)C2=C(NC1=O)N=C(N2)C3=CC=C(C=C3)S(=O)(=O)O,Unspecified,,,,Inhibition,=,1.02,%,
104,103167962,53001,C1=CC(=CC=C1C(=O)O)OCCN2C=CN=C2,Unspecified,,,,Inhibition,=,54.87,%,
105,103167993,3033769,CCN1CCC[C@H]1CNC(=O)C2=C(C(=CC(=C2OC)Cl)Cl)O,Unspecified,,,,Inhibition,=,17.88,%,
106,103168044,3657,C(=O)(N)NO,Unspecified,,,,Inhibition,=,5.93,%,
107,103168084,10607,COC1=CC(=CC(=C1OC)OC)[C@H]2[C@@H]3[C@H](COC3=O)[C@H](C4=CC5=C(C=C24)OCO5)O,Unspecified,,,,Inhibition,=,58.77,%,
108,103168167,5092,COC1=C(C=C(C=C1)C2CC(=O)NC2)OC3CCCC3,Unspecified,,,,Inhibition,=,0.09,%,
109,103168230,3767,C1=CN=CC=C1C(=O)NN,Unspecified,,,,Inhibition,=,22.5,%,
110,103168388,24360,CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O,Unspecified,,,,Inhibition,=,81.85,%,
111,103168437,132981,CC1(C(=O)N(C(=O)N1CCCCO)C2=CC(=C(C=C2)C#N)C(F)(F)F)C,Unspecified,,,,Inhibition,=,1.63,%,
112,103168452,439246,C1[C@H](OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O,Unspecified,,,,Inhibition,=,-7.82,%,
113,103168531,439533,C1=CC(=C(C=C1[C@@H]2[C@H](C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,Unspecified,,,,Inhibition,=,-7.24,%,
114,103168561,5351344,COC1=C(C=C(C=C1)/C=C\C2=CC(=C(C(=C2)OC)OC)OC)O,Unspecified,,,,Inhibition,=,6.95,%,
115,103168613,5311201,CC1=CC(=CC=C1)NC(=O)N[C@H]2C(=O)N(C3=CC=CC=C3C(=N2)C4=CC=CC=C4)C,Unspecified,,,,Inhibition,=,-9.83,%,
116,103168678,54747,CC(=O)N(C(=O)NC)OC(=O)NC,Unspecified,,,,Inhibition,=,2.97,%,
117,103168755,12124,CC(=O)NC1=CC(=CC=C1)O,Unspecified,,,,Inhibition,=,37.76,%,
118,103168783,4122,COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=CS3,Unspecified,,,,Inhibition,=,66.14,%,
119,103168790,3488,COC1=C(C=C(C=C1)Cl)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3,Unspecified,,,,Inhibition,=,-1.61,%,
120,103168826,192197,CC[C@H](C1=CC=C(C=C1)O)[C@@H](CC)C2=CC=C(C=C2)O,Unspecified,,,,Inhibition,=,0.56,%,
121,103168841,71329,CN(CCC1=CC=C(C=C1)NS(=O)(=O)C)CCOC2=CC=C(C=C2)NS(=O)(=O)C,Unspecified,,,,Inhibition,=,-0.65,%,
122,103168962,135398738,CN(C)/N=N/C1=C(NC=N1)C(=O)N,Unspecified,,,,Inhibition,=,9.22,%,
123,103168965,6604453,CCN[C@@H]1C[C@@H](S(=O)(=O)C2=C1C=C(S2)S(=O)(=O)N)C,Unspecified,,,,Inhibition,=,1.52,%,
124,103168984,60961,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N,Unspecified,,,,Inhibition,=,-5.46,%,
125,103169038,23606,CN(C)N=NC1=CC=C(C=C1)C(=O)O,Unspecified,,,,Inhibition,=,7.85,%,
126,103169156,3883,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,Unspecified,,,,Inhibition,=,19.31,%,
127,103169192,464205,C[C@H](CN1C=NC2=C(N=CN=C21)N)OCP(=O)(O)O,Unspecified,,,,Inhibition,=,-14.56,%,Outside typical range
128,103169255,60172,C1=NC(=C2C(=N1)N(C=N2)CCOCP(=O)(O)O)N,Unspecified,,,,Inhibition,=,27.72,%,
129,103169318,9839644,CC(C)OC1=CC=C(C=C1)CC2=CC=C(C=C2)NC3=NCCN3,Unspecified,,,,Inhibition,=,29.64,%,
130,103169451,9953357,CC1=C(C=NN1C2=NC(=CS2)C3=CC(=CC=C3)C(F)(F)F)C(=O)NCCCO,Unspecified,,,,Inhibition,=,14.94,%,
131,103169457,3033767,CC/C(=C(/C1=CC=C(C=C1)OCCN(C)C)\C2=CC(=CC=C2)O)/C3=CC=CC=C3,Unspecified,,,,Inhibition,=,18.17,%,
132,103169484,2145,CCC1(CCC(=O)NC1=O)C2=CC=C(C=C2)N,Unspecified,,,,Inhibition,=,-29.94,%,Outside typical range
133,103169566,449459,CC/C(=C(\C1=CC=C(C=C1)O)/C2=CC=C(C=C2)OCCN(C)C)/C3=CC=CC=C3,Unspecified,,,,Inhibition,=,0.19,%,
134,103169637,27503,C1=CC2=C(C(=C1)OCC(COC3=CC=CC4=C3C(=O)C=C(O4)C(=O)[O-])O)C(=O)C=C(O2)C(=O)[O-].[Na+].[Na+],Unspecified,,,,Inhibition,=,1.09,%,
135,103169829,108094,COC1(COC2=CC=CC=C2O1)C3=NCCN3,Unspecified,,,,Inhibition,=,7.49,%,
136,103169846,6604858,COC(=O)[C@@H](C1=CC=CC=C1)NC(=O)C2=CC(=NC3=CC=CC=C32)C4=CC=CC=C4,Unspecified,,,,Inhibition,=,-3.43,%,
137,103169851,123619,CC1=NC=C(C=C1)C2=C(C=C(C=N2)Cl)C3=CC=C(C=C3)S(=O)(=O)C,Unspecified,,,,Inhibition,=,12.43,%,
138,103169903,5311424,CC[C@@H](C1=CC=CC=C1)NC(=O)C2=C(C(=NC3=CC=CC=C32)C4=CC=CC=C4)O,Unspecified,,,,Inhibition,=,5.49,%,
139,103169927,91649,CC(C)(C(=O)NC1=CC(=C(C=C1)[N+](=O)[O-])C(F)(F)F)O,Unspecified,,,,Inhibition,=,30.37,%,
140,103169954,3132,C1=CC=C(C=C1)CC(CS)C(=O)NCC(=O)O,Unspecified,,,,Inhibition,=,27.94,%,
141,103170089,14479846,C1CN(CCC1C2(CCC(=O)NC2=O)C3=CC=CC=C3)CC4=CC=C(C=C4)I,Unspecified,,,,Inhibition,=,14.96,%,
142,103170209,6604009,CC[C@@H](C1=CC=CC=C1)NC(=O)C2=C(C(=NC3=CC=CC=C32)C4=CC=CC=C4)C,Unspecified,,,,Inhibition,=,3.09,%,
143,103170467,72402,CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=C(C=CC=C5N=C4C3=C2)N)O,Unspecified,,,,Inhibition,=,80.32,%,
144,103170545,97226,CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=C(C3=C2)N=C5C=CC(=CC5=C4)O)O,Unspecified,,,,Inhibition,=,-9.33,%,
145,103170612,5311181,CC#CCC(C)[C@@H](/C=C/[C@H]1[C@@H](C[C@H]2[C@@H]1C/C(=C/CCCC(=O)O)/C2)O)O,Unspecified,,,,Inhibition,=,1.51,%,
146,103170620,1613,C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(S3)C=CC(=C4)C(F)(F)F)CC(=O)O,Unspecified,,,,Inhibition,=,12.3,%,
147,103170825,5073,CC1=C(C(=O)N2CCCCC2=N1)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F,Unspecified,,,,Inhibition,=,1.52,%,
148,103171219,5280723,CCCCC[C@@H](/C=C/[C@H]1[C@@H](CC(=O)[C@@H]1CCCCCCC(=O)O)O)O,Unspecified,,,,Inhibition,=,28.19,%,
149,103171247,3598,C1=C(C(=C(C(=C1Cl)Cl)CC2=C(C(=CC(=C2Cl)Cl)Cl)O)O)Cl,Unspecified,,,,Inhibition,=,92.91,%,
150,103171270,2788,C1=CC2=C(C(=C(C=C2Cl)I)O)N=C1,Unspecified,,,,Inhibition,=,1.25,%,
151,103171284,82148,CC(=O)NCCC1=CC=CC2=C1C=C(C=C2)OC,Unspecified,,,,Inhibition,=,42.24,%,
152,103171472,2907,C1CNP(=O)(OC1)N(CCCl)CCCl,Unspecified,,,,Inhibition,=,-5.32,%,
153,103171565,2727,CCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)Cl,Unspecified,,,,Inhibition,=,4.33,%,
154,103171745,123686,C1=CC=C(C=C1)NC(=O)NCCNCC(COC2=CC=CC=C2C#N)O,Unspecified,,,,Inhibition,=,-4.03,%,
155,103171853,54676478,CN1C2=CC=CC=C2C(=C(C1=O)C(=O)N(C)C3=CC=CC=C3)O,Unspecified,,,,Inhibition,=,-0.17,%,
156,103171902,5280965,C[C@H]1/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@@H](C[C@H]2[C@@H]([C@H](C[C@](O2)(C[C@H](C[C@H]([C@@H](CC[C@H](C[C@H](CC(=O)O[C@H]([C@@H]([C@@H]1O)C)C)O)O)O)O)O)O)O)C(=O)O)O[C@H]3[C@H]([C@H]([C@@H]([C@H](O3)C)O)N)O,Unspecified,,,,Inhibition,=,3.24,%,
157,103172016,9822753,CC1([C@@H]([C@H](C2=C(O1)C=CC(=C2)C#N)N(CC3=NC=CN3)C4=CC=C(C=C4)Cl)O)C,Unspecified,,,,Inhibition,=,6.46,%,
158,103172204,60490,CC(C1=CC2=CC=CC=C2S1)N(C(=O)N)O,Unspecified,,,,Inhibition,=,6.8,%,
159,103172284,5960,C([C@@H](C(=O)O)N)C(=O)O,Unspecified,,,,Inhibition,=,-6.2,%,
160,103172426,12456,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)OC.[Cl-],Unspecified,,,,Inhibition,=,1.59,%,
161,103172427,73442,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC(=C(C=C4CC3)OC)OC)OC.[Cl-],Unspecified,,,,Inhibition,=,-9.33,%,
162,103172458,53232,CC[C@H](C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C,Unspecified,,,,Inhibition,=,19.66,%,
163,103172786,5281404,CC1=NC=CC2=C1NC3=CC=CC=C23,Unspecified,,,,Inhibition,=,-0.85,%,
