PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Inhibition,Standard Deviation
RESULT_TYPE,,,,,,,,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,Normalized percent inhibition of the primary screen at a compound concentration of 6 micromolar.,Standard deviation of the counterscreen assay derived from the normalized percent inhibition of the triplicate data for each compound.
RESULT_UNIT,,,,,,,,PERCENT,NONE
RESULT_ATTR_CONC_MICROMOL,,,,,,,,6,
1,17401333,1008368,COC1=CC=C(C=C1)C(=O)N2C3=CC4=C(C=C3N=C2SC)OCCO4,Active,100,,,92.3,0.089819
2,24782482,3162837,C1C(N(N=C1C2=CC=CS2)C(=O)CCl)C3=CC=CO3,Active,90,,,83.41,1.2136
3,49675989,3811656,COC1=C(C=C(C=C1)C2CC(=NN2C(=O)CCl)C3=CC=CS3)OC,Active,88,,,81.44,0.870052
4,17504708,859620,CC1=CC(=C(S1)NC(=O)CCl)C(=O)C2=CC=CC=C2,Active,88,,,81.27,1.00325
5,49680425,3555173,COC1=CC=C(C=C1)C2C(C(=NN2C(=O)CCl)C3=CNC4=CC=CC=C43)O,Active,84,,,77.92,2.0177
6,858624,659929,C1CN(CC2=C1NC3=C2C=C(C=C3)Br)C(=O)CN4CCSCC4,Active,81,,,75.21,0.497966
7,49730186,3196508,CCC(C)C1=CC=C(C=C1)N(C(C2=CN=CC=C2)C(=O)NC3CCCC3)C(=O)C4=CC=CO4,Active,81,,,74.94,0.233799
8,49675988,3859741,COC1=C(C=CC(=C1)C2CC(=NN2C(=O)CCl)C3=CC=CS3)OC(F)F,Active,80,,,74,0.399939
9,49719044,807412,CCC1=CC(=O)OC2=C1C=CC(=C2)OC(=O)C3=CC=CO3,Active,77,,,71.45,0.586487
10,49647098,4437603,CC1=CC=C(C=C1)C2CC(=NN2C(=O)CCl)C3=CC=CS3,Active,75,,,70.13,2.56248
11,24807634,728528,CC1=CC(=O)OC2=C1C=CC(=C2)OC(=O)C3=CC=CO3,Active,75,,,70,2.17805
12,22407115,3929515,C1=CC=C(C=C1)C2C=CC(C3C2C(=O)N(C3=O)C4=CN=CC=C4)C5=CC=CC=C5,Active,75,,,69.93,0.414839
13,17409047,3197965,CC1=CC(=C(C(=C1)C)N(C(C2=CSC=C2)C(=O)NC(C)(C)C)C(=O)CN3C4=CC=CC=C4N=N3)C,Active,74,,,69.18,0.236733
14,26661282,2558401,COC1=CC=CC=C1OCCNC(=O)C2=CC(=O)NC3=CC=CC=C32,Active,70,,,65.22,0.514636
15,49643534,3192987,CCC1=NC(=C2C3=C(CC(CC3)C)SC2=N1)N4CCN(CC4)C(=O)CCl,Active,68,,,63.18,2.49308
16,24825651,2412504,C1=CC(=C(C=C1Cl)Cl)CN2C=CSC2=NC(=O)CCl,Active,68,,,63.18,1.33968
17,26725683,16745830,CN1CCN2C(C1)C3(CC4=C2C=CC(=C4)N)C(=O)NC(=O)NC3=O,Active,68,,,62.91,0.786135
18,49674413,4961646,CC1=CC=C(O1)C2=NN(C(C2)C3=CC=CO3)C(=O)CCl,Active,65,,,60.81,1.77392
19,24836082,1177253,C1=CC=C(C=C1)C2=CSC(=C2C(=O)O)NC(=O)/C=C/C3=CC=CS3,Active,65,,,60.62,0.990331
20,49726948,2939288,CC1CCC2C(C1)C(=O)N(C2=O)C3=C(C=CC(=C3)Cl)OC(=O)C4=CC=CO4,Active,65,,,60.23,0.788996
21,49645793,17584476,CCOC1=CC2=C(C=C1)N(C(=O)C2=O)CC3COC4=CC=CC=C4O3,Active,64,,,59.99,0.226912
22,24831327,2526861,CC1=CC(=C(N1C2=CC(=CC=C2)[N+](=O)[O-])C)C(=O)CCl,Active,64,,,59.6,1.04028
23,17517377,4961648,CC1=CC=C(O1)C2=NN(C(C2)C3=CC=CS3)C(=O)CCl,Active,64,,,59.36,0.876337
24,856111,657485,CC(C)(C)OC(=O)NCCC(=O)OC1=CC2=C(C=C1)C=CC(=O)O2,Active,64,,,59.19,0.338339
25,24829925,16196190,CCOC(=O)C1=C(SC(=C1C2=CC=CC=C2)CN(C)C)NC(=O)CCl.Cl,Active,63,,,58.78,0.7292
26,26657548,2416356,C1=CC=C(C(=C1)CN2C=CSC2=NC(=O)CCl)Cl,Active,62,,,57.93,1.75871
27,17414134,5509654,COC1=CC(=CC(=C1OC)OC)/C=N\NC(=O)CN2C3=CC=CC=C3N=N2,Active,61,,,56.65,0.332521
28,24838050,2443805,CC1=C(C(=CC=C1)N2CCN(CC2)C(=O)C3=CC(=O)NC4=CC=CC=C43)C,Active,59,,,55.13,0.715905
29,24805687,761840,C1=CC=C2C(=C1)N=NN2CC(=O)C3=CC=C(C=C3)Br,Active,59,,,54.67,0.921966
30,14744406,2417657,CC1=CC(=C(C(=C1C)S(=O)(=O)N2CCN(CC2)C(=O)C3=CC(=O)NC4=CC=CC=C43)C)C,Active,57,,,53.24,0.682847
31,22405882,3878400,C1=CC=C(C(=C1)C(=O)OC2=CN=CC=C2)[N+](=O)[O-],Active,54,,,50.75,1.87316
32,24808289,3198732,CCC(C)(C)NC(=O)C(C1=CC=CN1C)N(C2=CC=C(C=C2)NC(=O)C)C(=O)CN3C4=CC=CC=C4N=N3,Active,54,,,50.36,0.7294
33,17412961,5734490,COC1=CC=CC=C1/C=C/C(=O)C2=C(C=CC(=C2)Br)OC(=O)C3=CC=CO3,Active,54,,,49.96,1.00846
34,49645946,24747373,CCC1=CC2=C(C=C1)N(C(=O)C2NC(=O)C)CCN3CCOCC3.Cl,Active,54,,,49.9,0.682319
35,49717003,4917203,C1=CC=NC(=C1)SCC(=O)NC2=NON=C2[N+](=O)[O-],Active,52,,,48.79,1.015
36,14723875,460749,CN1C2=NC(=O)N(C(=O)C2=NC(=N1)C3=CC=C(C=C3)Cl)C,Active,52,,,48.34,3.22805
37,24826363,2497380,C1=CC=C(C=C1)CN2C=C(C(=N2)C3=CN=CC=C3)C=O,Active,51,,,47.87,1.082
38,49818189,24817257,C1=CC2=C(N([N+](=C2C=C1)[O-])CCC(=O)N)C(=O)C3=CC=C(C=C3)Cl,Active,51,,,47.84,0.934978
39,49733419,3196509,CC(C)C1=CC=C(C=C1)N(C(C2=CN=CC=C2)C(=O)NC3CCCC3)C(=O)C4=CC=CO4,Active,51,,,47.75,0.797903
40,49646259,24747455,CC(=O)NC1C2=C(C=CC(=C2)Br)N(C1=O)CCN3CCOCC3.Cl,Active,50,,,46.96,0.773634
41,17517478,2454965,CC1=CC(=CC=C1)CN2CCN(CC2)C(=O)CCl,Active,50,,,46.59,1.12786
42,49667379,24761173,CC(=O)NC1C2=C(C=CC(=C2)F)N(C1=O)CCN3CCOCC3.Cl,Active,48,,,44.62,0.918433
43,24834438,2449860,C1CN(CCN1C2=CC=CC(=C2)C(F)(F)F)C(=O)C3=CC(=O)NC4=CC=CC=C43,Active,47,,,44.26,0.71789
44,17508646,859639,CCC1=CC(=C(S1)NC(=O)CCl)C(=O)C2=CC=C(C=C2)C,Active,47,,,44.25,0.86897
45,24791772,2452051,C1=CC(=CC=C1CSC2=NN=C(S2)NC(=O)C3=CC4=C(C=C3)N=CS4)C#N,Active,46,,,43.27,1.99016
46,17408805,1083882,COC1=CC=C(C=C1)N(C(=O)CN2C3=CC=CC=C3N=N2)C4(CCCCC4)C(=O)NC5CCCC5,Active,46,,,42.94,0.658734
47,17413361,5734448,C1=CC=C(C(=C1)/C=C/C(=O)C2=C(C=CC(=C2)Br)OC(=O)C3=CC=CO3)F,Active,46,,,42.87,2.36258
48,14725513,3206295,COC1=CC=CC(=C1)C(C(=O)NCC2=CC=CO2)N(CC3=CC=CO3)C(=O)CN4C5=CC=CC=C5N=N4,Active,43,,,40.01,0.595784
49,16952893,3686662,CC(C1=CC(=C(C=C1)Cl)Cl)NC(=O)CCl,Active,43,,,39.97,1.21534
50,49646101,17583883,COC1=CC2=C(C=C1)N(C(=O)C2=O)CC3COC4=CC=CC=C4O3,Active,42,,,39.5,1.78059
51,14740696,1120962,COC1=CC=C(C=C1)C(=O)OC2=CN=CC=C2,Active,42,,,39.05,0.488434
52,24826882,9643441,CC1(C2CC=C(C1C2)/C=N/NC(=S)NC3=CN=CC=C3)C,Active,41,,,38.74,0.884495
53,49670811,135451179,C1=CC=C2C(=C1)/C(=C/C3=C(N(C(=O)NC3=O)C4=CC=CC=C4F)O)/C=N2,Active,41,,,38.5,0.844237
54,7975174,1160939,CC1=NN=C(S1)SC(=O)N2C3=CC=CC=C3SC4=CC=CC=C42,Active,41,,,38.42,3.76392
55,26670673,601670,C1=CC2=C(C=C1C(=O)O)SC=N2,Active,40,,,37.74,2.35152
56,17409268,3202425,COC1=CC=CC(=C1)C(C(=O)NC2=CC=C(C=C2)F)N(C3CC3)C(=O)CN4C5=CC=CC=C5N=N4,Active,40,,,37.31,0.948237
57,845167,647501,CCN1C2=NC(=O)N(C(=O)C2=NC(=N1)C3=CC=CC=C3)C,Active,39,,,36.62,11.3935
58,49676971,4868361,C1=CC=C(C=C1)NC(=O)NN(C2=CC=CC=C2)C(=O)CCl,Active,39,,,36.47,2.43717
59,26660230,3473830,CC(=O)N1C=C(C2=CC=CC=C21)N(C3=CC=C(C=C3)[N+](=O)[O-])C(=O)CCl,Active,39,,,36.05,1.45424
60,49671052,2057118,C1=CC=C(C=C1)/C=C/CN2C3=CC=CC=C3C(=O)C2=O,Active,39,,,36.04,1.11312
61,49818186,24817254,CC1=CC=C(C=C1)C(=O)C2=C3C=CC=CC3=[N+](N2CCC(=O)N)[O-],Active,38,,,35.79,0.131591
62,17408483,615593,CC1=C(SC(=C1C(=O)C2=CC=CC=C2)NC(=O)CCl)C,Active,38,,,35.62,1.75927
63,49818187,24817255,C1=CC2=C(N([N+](=C2C=C1)[O-])CCC(=O)N)C(=O)C3=CC(=C(C(=C3)Cl)N)Cl,Active,37,,,35.05,1.06368
64,24801258,677475,C1=CC=C2C(=C1)N=NN2CC(=O)C3=CC=C(C=C3)Cl,Active,37,,,35.03,1.12385
65,26666406,1420934,CC(C)C12CN(CC(C1=O)(CN(C2)C(=O)C3=CC=CC=C3[N+](=O)[O-])C(C)C)C(=O)C4=CC=CC=C4[N+](=O)[O-],Active,37,,,34.77,1.10328
66,22404029,1121490,C1=CSC(=C1)C(=O)OC2=CC3=C(C=C2)C=CC(=O)O3,Active,37,,,34.76,0.853617
67,26661844,2017227,CC(=O)N1C=C(C2=CC=CC=C21)N(C3=CC=C(C=C3)Cl)C(=O)CCl,Active,37,,,34.63,0.521486
68,847003,649398,COCCNC(=O)C(C1=CC(=CC=C1)OC)N(CC2=CC=CS2)C(=O)CN3C4=CC=CC=C4N=N3,Active,37,,,34.56,1.36051
69,49675892,3475954,CN(C)S(=O)(=O)C1=CC=CC(=C1)NC(=O)CSC2=CC=CC3=C2N=CC=C3,Active,37,,,34.52,1.83101
70,49669969,3912197,COC1=C(C=C2C(N(CCC2=C1)C(=O)CCl)C3=C(C=CC(=C3)Br)F)OC,Active,36,,,33.95,2.01869
71,49733660,3191728,CC(=O)NC1=CC=C(C=C1)N(C(C2=CC(=CC=C2)OC)C(=O)NCC3CCCO3)C(=O)CN4C5=CC=CC=C5N=N4,Active,36,,,33.83,1.12471
72,859300,6602830,C1=CC(=CN=C1)OC(=O)C2=CC=C(C=C2)Cl.Cl,Active,36,,,33.64,1.63065
73,4260274,638860,CCOC(=O)C1=C(SC(=C1)C2=CC=CC=C2)N,Active,35,,,32.78,0.855339
74,17412497,5735038,CC1=CC=C(C=C1)/C=C/C(=O)C2=C(C=CC(=C2)Br)OC(=O)C3=CC=CO3,Active,35,,,32.39,0.328154
75,7966556,948801,CN1C=NC2=C1C=CC(=C2)NC(=O)C3=CC=C(C=C3)Cl,Active,34,,,31.46,0.678508
76,26669765,2083510,C1CN(CCN1C2=CC=CC=C2)C(=O)C3=CC(=O)NC4=CC=CC=C43,Active,33,,,31.35,0.723737
77,3717392,2999977,CC1=CC=C(C=C1)C(=O)OC2=CC3=C(C=C2)N(C=N3)C,Active,33,,,31.33,0.429821
78,24830836,2515806,CC1=C(C=CC(=C1)NC(=O)CON2C3=C(C=CC(=C3)S(=O)(=O)C)N=N2)Br,Active,33,,,30.94,0.962684
79,49733661,3191469,CC(=O)NC1=CC=C(C=C1)N(C(C2=CC=C(C=C2)OC)C(=O)NCC3CCCO3)C(=O)CN4C5=CC=CC=C5N=N4,Active,32,,,29.95,0.484737
80,851897,654498,C1=CC=C(C=C1)CN(C(C2=CC=CS2)C(=O)NCC3=CC=CO3)C(=O)CN4C5=CC=CC=C5N=N4,Active,31,,,28.74,0.542037
81,22400507,2849510,C1=CC=C(C=C1)C2=CSC(=N2)NC(=O)C3=C(C(=CC=C3)[N+](=O)[O-])C(=O)O,Active,30,,,28.36,1.71277
82,14742908,4371580,CC1CCC2=C(N1CC(=O)N3CCC4=C(C3)C5=C(N4)C=CC(=C5)C)C=CC(=C2)F,Active,30,,,27.98,0.728778
83,17509939,4330749,CC1=CC=C(C=C1)C(=O)NC(=C(Cl)Cl)S(=O)(=O)C2=CC=CC=C2,Active,30,,,27.82,1.73914
84,853290,655942,C1=CC=C(C=C1)CCN(C(C2=CC=CO2)C(=O)NCC3=CC=CO3)C(=O)CN4C5=CC=CC=C5N=N4,Active,29,,,27.65,0.337978
85,24837005,2102546,COC1=CC=C(C=C1)N2CCN(CC2)C(=O)C3=CC(=O)NC4=CC=CC=C43,Active,28,,,26.7,2.13126
86,842353,644611,CC1=CC=C(O1)C(C(=O)NCC2=CC=CO2)N(C3=CC=C(C=C3)OC)C(=O)CN4C5=CC=CC=C5N=N4,Active,28,,,26.49,1.07414
87,49669782,741948,CC1=C(C=C(C=C1)C(=O)N2C=NC3=CC=CC=C32)C,Active,28,,,26.39,1.06673
88,47202119,135472652,C1=CC=C2C(=C1)C=CC(=C2/C=N\NC(=O)C3=CC(=CN=C3)Br)O,Active,28,,,26.27,0.927913
89,846350,648736,CC1=CC=C(O1)C(C(=O)NCC2=CC=CO2)N(C3=CC=CC=C3OC)C(=O)CN4C5=CC=CC=C5N=N4,Active,28,,,26.17,2.8272
90,847463,649868,C1CC2=C(C1)C=C(C=C2)N(C(C3=CC=CO3)C(=O)NCC4=CC=CO4)C(=O)CN5C6=CC=CC=C6N=N5,Active,27,,,25.62,3.27661
91,24802059,3198832,CCC(C)(C)NC(=O)C(C1=CC=C(C=C1)O)N(C2=CC=C(C=C2)NC(=O)C)C(=O)CN3C4=CC=CC=C4N=N3,Active,27,,,25.57,0.391851
92,49828469,24819986,C1=CC2=C(N([N+](=C2C=C1)[O-])CCC(=O)N)C(=O)C3=CC(=CC=C3)[N+](=O)[O-],Active,27,,,25.54,0.419477
93,24801895,3178307,CC(=O)NC1=CC=C(C=C1)N(C(C2=CC(=C(C=C2)O)O)C(=O)NC3CCCC3)C(=O)CN4C5=CC=CC=C5N=N4,Active,27,,,25.37,1.52752
94,49640940,1154427,COC1=CC=C(C=C1)N(CC2=CC(=O)NC3=CC=CC=C32)C(=O)CCl,Active,26,,,24.62,0.708884
95,22413662,87247,CCCC(=O)OC1=CC2=C(C=C1)C(=CC(=O)O2)C,Active,26,,,24.08,0.533678
96,49673799,2384236,C1=CC=C(C=C1)CCN(CCC2=CC=CC=C2)C(=O)CCl,Active,25,,,23.88,0.713109
97,49674172,6903089,C1=CC=C(C=C1)C2=C(C3=CC=CC=C3N2C4=CC=CC=C4)/C=N/NC(=O)CC#N,Active,25,,,23.16,1.11789
98,17514753,2134372,CC1=CC=C(C=C1)S(=O)(=O)/C(=C/Cl)/NC(=O)C2=CC=CC=C2,Active,25,,,23.15,1.91526
99,49648268,17582529,C1C(OC2=CC=CC=C2O1)CN3C4=CC=CC=C4C(=O)C3=O,Active,25,,,23.08,3.21169
100,49668045,24761221,CCN(CC)C(=O)CN1C=C(C2=CC=CC=C21)/C=C/3\C(=O)NC(=O)N(C3=O)C4=CC=CC=C4F,Active,24,,,22.74,1.0164
101,4259348,880528,CC(=O)C1=C(NC(=C1)C2=CC=CC=C2)N3CCCC3,Active,24,,,22.47,1.3529
102,47200726,2282752,C1=CC=C(C=C1)CCCN2C3=CC=CC=C3C(=O)C2=O,Active,24,,,22.45,0.992758
103,24826139,2352096,C1=CC=C2C(=C1)N(C3=CC=CC=C3S2)C(=O)COC(=O)C4=CN=CC=C4,Active,24,,,22.29,1.17124
104,49818195,24817263,CC1=CC=C(C=C1)C(=O)C2=C3C=CC(=CC3=[N+](N2CCC(=O)N)[O-])C(F)(F)F,Active,23,,,21.26,1.57429
105,849297,651774,COCCNC(=O)C(C1=CC=CC=C1)N(CC2=CC=CS2)C(=O)CN3C4=CC=CC=C4N=N3,Active,22,,,21.22,1.4038
106,47200678,676085,C1=CC=C(C(=C1)/C=C/C(=O)NC2=CN=CC=C2)Cl,Active,22,,,20.68,1.11247
107,49677939,2530053,C1=CC(=CN=C1)NC(=O)CC2=CC(=C(C=C2)Cl)Cl,Active,22,,,20.59,0.620942
108,49733167,3221960,CC(C)C1=CC=C(C=C1)N(C(C2=CN=CC=C2)C(=O)NC3CCCC3)C(=O)C4=CSN=N4,Active,21,,,20.09,0.347659
109,24816245,2145491,CC1=C2C(=CC=C1)C(=O)C(=O)N2CCOC3=CC=CC=C3,Active,20,,,19.13,2.17034
110,843208,645492,CC1=CC=C(C=C1)CN(C(C2=CC=CS2)C(=O)NCC3=CC=CO3)C(=O)CN4C5=CC=CC=C5N=N4,Active,20,,,19.06,0.315606
111,17412962,799395,C1=CC(=CN=C1)CNC(=O)/C=C/C2=CC(=C(C=C2)Cl)[N+](=O)[O-],Active,20,,,18.46,1.00225
112,4255208,930620,C1CC(=O)N(C1=O)C2=C(C=CC(=C2)Cl)OC(=O)C3=CC=CO3,Active,19,,,18.14,1.43151
113,49825925,5897880,C1COCCN1C(=O)CN2C=C(C3=CC=CC=C32)/C=C/4\C(=O)NC(=O)N(C4=O)C5=CC=CC=C5F,Active,19,,,18.03,0.622421
114,24827537,9661081,COC1=CC=CC(=C1)/C=N/NC(=S)NC2=CN=CC=C2,Active,19,,,17.98,1.03468
115,24818742,211186,COC1=C(C=C(C=C1Cl)C(=O)NN)Cl,Active,18,,,17.29,0.516204
116,17515361,5399054,C1=CC=C2C(=C1)N=NN2CC(=O)N/N=C\C3=CC=CS3,Active,17,,,16.47,0.822335
117,17515023,9557232,COC1=C(C=C(C=C1)/C=N/NC(=O)CN2C3=CC=CC=C3N=N2)OC,Active,17,,,16.46,0.978567
118,47202254,2966254,C1=CC=C2C(=C1)C(=C(N2)C(=O)O)C(C3=C(C=CC(=C3)Br)OCC(=O)O)C4=C(NC5=CC=CC=C54)C(=O)O,Active,17,,,16.08,3.00035
119,47196538,887990,C1=CC(=C(C(=C1)Cl)/C=C/C(=O)NC2=CN=CC=C2)F,Active,17,,,16.03,0.849242
120,49718735,24790407,C[C@]12[C@@H]3[C@H]([C@H](N1C(=O)N(C2=O)C4=CC(=CC=C4)Br)C5=CC=C(C=C5)Cl)C(=O)N(C3=O)C6CCCCC6,Active,17,,,15.89,1.80823
121,7973891,805223,CC(=O)C1=C(C2=CC=CC=C2N1C)OC(=O)C3=CC=CO3,Active,16,,,15.55,1.8968
122,17412676,2294766,C1=CC=C(C(=C1)C(=O)NC2=CC(=C(C=C2)OCC(C(F)F)(F)F)C(F)(F)F)O,Active,16,,,15.3,2.44275
123,49721405,22515899,C1=C(C=C(C=C1C(F)(F)F)NS(=O)(=O)C2=C(N=CC(=C2)Br)N)C(F)(F)F,Active,16,,,15.16,0.951271
124,17432029,970829,COC(=O)C1=C(C=CC(=C1)NC(=O)CC2=CC=CC=C2[N+](=O)[O-])Cl,Active,16,,,15,0.586731
125,47202252,2965851,C1=CC=C2C(=C1)C(=C(N2)C(=O)O)C(C3=C(C=CC(=C3)Br)O)C4=C(NC5=CC=CC=C54)C(=O)O,Active,15,,,14.73,1.59339
126,49645065,3152897,CC1=CC=C(C=C1)C2=CC(=NN2)NC(=O)C3=CC=CC=C3[N+](=O)[O-],Active,15,,,14.47,1.58441
127,49667911,4621376,CCCCOC1=CC=C(C=C1)C(=O)OC2=CN=CC=C2,Active,15,,,14.08,0.448868
128,47200946,728514,COC(=O)C1=CC=C(C=C1)OC(=O)CN2C(=O)C3=CC=CC=C3C2=O,Active,14,,,13.68,1.40087
129,860204,661510,CCC1=C(C(=CC=C1)CC)N(COC)C(=O)CN2C3=CC=CC=C3N=N2,Active,14,,,13.44,1.59411
130,49668659,675749,CC1=C(C=C(C=C1)C(=O)N2C(=CC(=N2)C)C)Br,Active,14,,,13.38,0.0969447
131,3711170,2997527,CC1=CC(=NO1)NC(=O)COC(=O)C(C(C)C)NC2=C(C=C(C=C2)C(F)(F)F)Cl,Active,14,,,13.3,2.2947
132,49717936,1304219,CC1=C(C=C(C=C1)C(=O)O)NC(=S)NC(=O)C2=CC=C(C=C2)COC3=CC=CC=C3,Active,14,,,13.23,0.665139
133,47201907,2971444,CC1=CC(=O)OC2=C1C=CC(=C2)NC(=O)CC3=CC=CC=C3[N+](=O)[O-],Active,14,,,13.11,1.11134
134,49713840,24789267,CC(C)C[C@@H](C(=O)OC(C)(C)C)NC(=O)C1=C(NC=N1)C(=O)NCC2=CC=C(C=C2)CNC(=O)OC(C)(C)C,Active,14,,,12.96,0.892536
135,24830028,2104090,CC1=CC=C(C=C1)C2=NN(C=C2NC(=O)CCl)C3=CC=CC=C3,Active,13,,,12.58,2.40041
136,3714360,2998767,CC1(C(=O)N(C(=O)N1)CC(=O)NCC2=CC=CO2)C3=CC4=C(C=C3)C=C(C=C4)OC,Active,13,,,12.33,0.668183
137,24839596,2078229,C1CN(CCN1C2=CC=CC=C2)C(=O)C3=CC(=O)C4=CC=CC=C4O3,Inactive,13,,,12.17,1.41895
138,49677473,2406331,C1CN(CCN1C(=O)C2=CC(=CN=C2)Br)S(=O)(=O)C3=CC=CC=C3C(F)(F)F,Inactive,13,,,12.02,0.2749
139,49829348,24820087,CC1=CC=C(C=C1)C(=O)C2=C3C=CC(=CC3=[N+](N2CCC(=O)N)[O-])[N+](=O)[O-],Inactive,12,,,11.97,0.382582
140,49828715,24820042,CC1=CC=C(C=C1)NC(=O)CN(C)C(=O)C2=C(N=CC=C2)NC3=CC=CC(=C3)C(F)(F)F,Inactive,12,,,11.96,1.45387
141,49675101,2333509,C1=CC=C(C=C1)C2=CC=C(C=C2)/C(=C/C3=CC=C(C=C3)F)/C(=O)O,Inactive,12,,,11.82,0.321773
142,49714426,24789481,CC(C)(C)OC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=C(NC=N2)C(=O)NCC3=CC=C(C=C3)CNC(=O)OC(C)(C)C,Inactive,12,,,11.81,1.33078
143,14719153,4395364,C1=CC=C2C(=C1)C(=CC(=C2N)C(C(F)(F)F)(C(F)(F)F)O)C(C(F)(F)F)(C(F)(F)F)O,Inactive,12,,,11.5,0.851002
144,26664947,54677920,CC1=CC=C(N1)C(=O)OC2C(C(OC(C2OC)(C)C)OC3=C(C4=C(C=C3)C(=C(C(=O)O4)NC(=O)C5=CC(=C(C=C5)O)CC=C(C)C)O)Cl)O,Inactive,12,,,11.23,1.15747
145,49674240,5114648,C1=CC=C2C(=C1)C3=CC=CC=C3C2=NNC4=CC(=C(C=C4)Cl)C(=O)O,Inactive,12,,,11.14,1.31796
146,22403583,2561190,C1=CC(=CC(=C1)NS(=O)(=O)C2=CC=C(C=C2)C(=O)NCC3=CC=C(C=C3)F)C(F)(F)F,Inactive,11,,,10.99,1.2097
147,49826802,1949127,CC(C)OP(=O)(C1(C=C(C(=O)C(=C1)Cl)Cl)NS(=O)(=O)C2=CC=C(C=C2)Cl)OC(C)C,Inactive,11,,,10.9,0.930151
148,49727024,3191502,CC(=O)NC1=CC=C(C=C1)N(C(C2=C(C=C(C=C2)OC)OC)C(=O)NCC3CCCO3)C(=O)CN4C5=CC=CC=C5N=N4,Inactive,11,,,10.87,1.87577
149,24807778,1092464,C1=CC=C(C(=C1)NC2=NC(=CS2)C3=CN=CC=C3)Cl,Inactive,11,,,10.86,0.991394
150,49731854,5824720,CCC1=CC=C(C=C1)S(=O)(=O)/N=C/2\C=C(C(=O)C3=CC=CC=C32)NC4=CC=C(C=C4)C(=O)O,Inactive,11,,,10.74,0.647823
151,4256508,1188014,CC1=C(ON=C1C)NS(=O)(=O)C2=CC=C(C=C2)NC(=O)NC3=CC(=C(C=C3)Cl)Cl,Inactive,11,,,10.37,0.581906
152,3715076,2310813,CN1C=NC2=C1C=CC(=C2)OC(=O)C3=CC=CC=C3,Inactive,11,,,10.35,0.723589
153,49735817,6023693,CC1=CC=CC=C1NC2=C/C(=N\S(=O)(=O)C3=CC=C(C=C3)C(=O)O)/C4=CC=CC=C4C2=O,Inactive,11,,,10.33,1.54037
154,24788185,1312344,CCC1=NN=C(S1)NS(=O)(=O)C2=CC=C(C=C2)NC(=O)/C=C/C3=CC=CC=C3Cl,Inactive,10,,,10.03,2.45902
155,49672916,740914,C1=CC=C2C(=C1)C(=O)N(C2=O)CC(=O)OC3=CC=C(C=C3)F,Inactive,10,,,9.91,0.64303
156,49669425,1224165,CC1=C(C2=C(N1C3=CC=CC=C3OC)C4=CC=CC=C4C(=C2)OC)C(=O)O,Inactive,10,,,9.83,0.595336
157,14744335,2320755,CCOC(=O)C1=C(SC(=C1C2=CC=CC=C2)C(C(F)(F)F)(C(F)(F)F)O)N,Inactive,10,,,9.73,4.02986
158,14725720,3206178,C1=CC=C2C(=C1)N=NN2CC(=O)N(CC3=CC=CS3)C(C4=CC=CO4)C(=O)NCC5=CC=CO5,Inactive,10,,,9.57,0.554193
159,24828116,2064069,C1=CC=C(C=C1)C(=O)C2=CC=CC=C2NC(=O)CCl,Inactive,10,,,9.32,1.31683
160,3716169,2323124,COC1=CC(=C(C=C1)C2=NNC(=C2C3=CC4=CC=CC=C4O3)C(F)(F)F)O,Inactive,9,,,9.15,1.34172
161,49726373,3191638,CC(=O)NC1=CC=C(C=C1)N(C(C2=C(C(=CC=C2)OC)OC)C(=O)NCC3CCCO3)C(=O)CN4C5=CC=CC=C5N=N4,Inactive,9,,,9.12,1.65812
162,17411587,9566932,C/C(=N\N=C(/N)\SC1CC(=O)N(C1=O)C2=CC=C(C=C2)Cl)/C3=CC=CS3,Inactive,9,,,9.05,1.33313
163,26726865,2815268,CC1=C(C=C(C=C1)S(=O)(=O)NC2=CC(=NN2C)C3=CC=CC=C3)Cl,Inactive,9,,,8.92,1.07674
164,49826085,2193552,CC1=C(C=C(C=C1)OCC(=O)NC2=C(C=C(C=C2)C(=O)O)NC(=O)COC3=CC(=C(C=C3)C)C)C,Inactive,9,,,8.89,1.0458
165,49821624,1768585,CC1=C(C=CC2=C1OC(=O)C3=CC=CC=C23)OCC(=O)N[C@@H](CC4=CNC5=CC=CC=C54)C(=O)O,Inactive,9,,,8.81,1.90709
166,49728915,3196510,CCC1=CC=C(C=C1)N(C(C2=CN=CC=C2)C(=O)NC3CCCC3)C(=O)C4=CC=CO4,Inactive,9,,,8.6,1.02098
167,24824092,73157,CCCCCC1=C(C(=CC2=C1OC3=CC(=CC(=C3C(=O)O2)C(=O)CCCC)OC)O)C(=O)O,Inactive,9,,,8.54,1.91829
