PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,Activity_Score,Curve_Description,Fit_LogAC50,Fit_HillSlope,Fit_R2,Fit_InfiniteActivity,Fit_ZeroActivity,Fit_CurveClass,Excluded_Points,Max_Response,Activity at 0.00457 uM,Activity at 0.00705 uM,Activity at 0.023 uM,Activity at 0.046 uM,Activity at 0.070 uM,Activity at 0.104 uM,Activity at 0.147 uM,Activity at 0.228 uM,Activity at 0.454 uM,Activity at 0.702 uM,Activity at 0.990 uM,Activity at 1.179 uM,Activity at 2.205 uM,Activity at 3.547 uM,Activity at 5.245 uM,Activity at 6.528 uM,Activity at 11.35 uM,Activity at 18.98 uM,Activity at 27.12 uM,Activity at 37.89 uM,Activity at 57.10 uM,Activity at 85.70 uM,Activity at 114.4 uM,Activity at 171.0 uM,Compound QC
6,384568440,400769,C[C@@]12CC[C@]3(CCC(C[C@H]3[C@H]1C(=O)C=C4[C@]2(CC[C@@H]5[C@@]4(C=C(C(=O)C5(C)C)C#N)C)C)(C)C)C(=O)OC,Active,85,http://assay.nih.gov/htsws/rest/display/TRND-SARS-CoV-2-cytotox-48hr-p2-mipe/NCGC00186460-03/250003160,,Cytotoxic,2.8184,94.817,,85,Complete curve; high efficacy,-5.55,2.0479,0.9999,-95.8221,-1.005,-1.1,0 0 0 0,-95.0616,,,,,,,,,,-6.2542,,,-35.3146,,,,,-94.5292,,,-95.0616,,,,QC'd by APExBIO
7,384569053,59473233,C1COCCN1C2=CC=C(C=C2)NC3=NC(=CN4C3=NC=C4)C5=CC6=C(C=C5)C=NN6,Active,85,http://assay.nih.gov/htsws/rest/display/TRND-SARS-CoV-2-cytotox-48hr-p2-mipe/NCGC00378596-08/250005378,,Cytotoxic,2.8184,90.5207,,85,Complete curve; high efficacy,-5.55,3.0654,0.9989,-88.5207,2,-1.1,0 0 0 0,-86.8835,,,,,,,,,,0,,,-24.056,,,,,-89.9601,,,-86.8835,,,,QC'd by MedChem Express
8,170465567,7347,CN(C)C(=S)SC(=S)N(C)C,Active,84,http://assay.nih.gov/htsws/rest/display/TRND-SARS-CoV-2-cytotox-48hr-p1-npc/NCGC00159424-04/249931807,,Cytotoxic,3.5481,94.199,,84,Complete curve; high efficacy,-5.45,4.9549,0.9999,-94.199,0,-1.1,0 0 0 0,-94.5774,,,,,,,,,0,,,,-10.1492,,,,-93.6255,,,,-94.5774,,,,QC'd by Labotest
9,384568763,10240275,CCN(CC)CCNC(=O)C1=CC2=C(C=C1)N=C(C(=N2)C3=CC=C(C=C3)CN4CCC(CC4)N5C6=CC=CC=C6NC5=O)C7=CC=CC=C7,Active,84,http://assay.nih.gov/htsws/rest/display/TRND-SARS-CoV-2-cytotox-48hr-p2-mipe/NCGC00345840-03/250005579,,Cytotoxic,5.6234,96.9742,,84,Complete curve; high efficacy,-5.25,4.095,1,-95.4742,1.5,-1.1,0 0 0 0,-95.8576,,,,,,,,,,1.6559,,,0,,,,,-94.7507,,,-95.8576,,,,QC'd by SynKinase
10,384568776,135564841,CC(C)([C@@H]1CNC[C@H]1NC2=NC(=NC3=CC(=C(C=C32)OC)OC)C4=C(C=CC(=C4)F)O)O,Active,84,http://assay.nih.gov/htsws/rest/display/TRND-SARS-CoV-2-cytotox-48hr-p2-mipe/NCGC00346436-04/250005733,,Cytotoxic,3.9811,96.1006,,84,Complete curve; high efficacy,-5.4,4.5045,1,-95.1006,1,-1.1,0 0 0 0,-94.9108,,,,,,,,,,0.5692,,,-4.2795,,,,,-94.8159,,,-94.9108,,,,QC'd by Tocris
11,405558544,146170506,CC[C@H]([C@@H]1[C@H](C[C@H](C2(O1)C=C[C@H]([C@@]3(O2)CC[C@@](O3)(C)[C@H]4CC[C@@]([C@@H](O4)C)(CC)O)O)C)C)C(=O)[C@@H](C)[C@H]([C@H](C)[C@H]5[C@H](CC[C@@H](O5)C(CC)C(=O)[O-])C)O,Active,84,http://assay.nih.gov/htsws/rest/display/TRND-SARS-CoV-2-cytotox-48hr-p1-npc/NCGC00389735-01/249930569,,Cytotoxic,2.5119,77.6563,,84,Complete curve; high efficacy,-5.6,2.0479,0.9997,-80.7421,-3.0858,-1.1,0 0 0 0,-80.0369,,,,,,,,,-5.0715,,,,-39.0219,,,,-77.613,,,,-80.0369,,,,QC'd by Microsource
12,363677574,135465539,C1CC1COC2=CC=CC(=C2C3=NC(=C(C(=C3)C4CCNCC4)C#N)N)O,Active,83,http://assay.nih.gov/htsws/rest/display/TRND-SARS-CoV-2-cytotox-48hr-p2-mipe/NCGC00347280-04/250003364,,Cytotoxic,7.9433,99.4986,,83,Complete curve; high efficacy,-5.1,4.9549,0.9997,-96.9986,2.5,-1.1,0 0 0 0,-96.805,,,,,,,,,,1.2306,,,3.5418,,,,,-95.9316,,,-96.805,,,,QC'd by MedChem Express
13,363678393,129869,CCCC1(CCC2(CC1)CCN(C2)CCCN(CC)CC)CCC,Active,83,http://assay.nih.gov/htsws/rest/display/TRND-SARS-CoV-2-cytotox-48hr-p2-mipe/NCGC00379163-01/250002384,,Cytotoxic,7.0795,97.8358,,83,Complete curve; high efficacy,-5.15,4.9549,0.9993,-95.8358,2,-1.1,0 0 0 0,-95.6445,,,,,,,,,,0,,,3.4249,,,,,-95.1788,,,-95.6445,,,,QC'd by Tocris
14,363680793,148193,CN1C=NC=C1C(C2=CC=C(C=C2)Cl)(C3=CC4=C(C=C3)N(C(=O)C=C4C5=CC(=CC=C5)Cl)C)N,Active,83,http://assay.nih.gov/htsws/rest/display/TRND-SARS-CoV-2-cytotox-48hr-p2-mipe/NCGC00389510-02/250002585,,Cytotoxic,8.9125,87.5467,,83,Complete curve; high efficacy,-5.05,3.2475,0.9999,-96.2861,-8.7394,-1.1,0 0 0 0,-96.0939,,,,,,,,,,-8.5329,,,-9.7079,,,,,-88.8543,,,-96.0939,,,,QC'd by Bio Vision
15,377020258,107970,CCCCCCCCC1=CC=C(C=C1)CCC(CO)(CO)N,Active,83,http://assay.nih.gov/htsws/rest/display/TRND-SARS-CoV-2-cytotox-48hr-p2-mipe/NCGC00188399-16/250006046,,Cytotoxic,7.0795,97.3751,,83,Complete curve; high efficacy,-5.15,4.095,1,-97.3751,0,-1.1,0 0 0 0,-97.1807,,,,,,,,,,0,,,-0.6843,,,,,-95.5282,,,-97.1807,,,,QC'd by MedChem Express
16,377020398,46216796,C1CCN(C1)CCOC2=C3COC/C=C/COCC4=CC(=CC=C4)C5=NC(=NC=C5)NC(=C3)C=C2,Active,83,http://assay.nih.gov/htsws/rest/display/TRND-SARS-CoV-2-cytotox-48hr-p2-mipe/NCGC00390623-02/250005539,,Cytotoxic,7.0795,102.44,,83,Complete curve; high efficacy,-5.15,1.6924,0.9998,-100.44,2,-1.1,0 0 0 0,-96.7629,,,,,,,,,,0,,,-9.8984,,,,,-85.0051,,,-96.7629,,,,QC'd by MedChem Express
17,384568407,24180125,C1CN(CCN1)CC2=CSC3=NC(=CN23)C4=CC=CC=C4NC(=O)C5=NC6=CC=CC=C6N=C5,Active,83,http://assay.nih.gov/htsws/rest/display/TRND-SARS-CoV-2-cytotox-48hr-p2-mipe/NCGC00182052-15/250003387,,Cytotoxic,7.0795,96.3568,,83,Complete curve; high efficacy,-5.15,4.9549,1,-96.3568,0,-1.1,0 0 0 0,-96.1644,,,,,,,,,,0,,,0,,,,,-95.5939,,,-96.1644,,,,QC'd by MedChem Express
18,384568524,25195294,C1CN(CCN1)C2=CC=C(C=C2)C3=CN4C(=C(C=N4)C5=CC=NC6=CC=CC=C56)N=C3,Active,83,http://assay.nih.gov/htsws/rest/display/TRND-SARS-CoV-2-cytotox-48hr-p2-mipe/NCGC00249389-22/250002880,,Cytotoxic,7.0795,93.6127,,83,Complete curve; high efficacy,-5.15,4.9549,1,-93.6127,0,-1.1,0 0 0 0,-93.4258,,,,,,,,,,0,,,0,,,,,-92.8807,,,-93.4258,,,,QC'd by MedChem Express
19,384568803,44607531,CN1CCN(CC1)C2=CC=C(C=C2)NC3=NC=C(C(=N3)SC4=CC=CC(=C4)NC(=O)C=C)Cl,Active,83,http://assay.nih.gov/htsws/rest/display/TRND-SARS-CoV-2-cytotox-48hr-p2-mipe/NCGC00346497-03/250005311,,Cytotoxic,8.9125,97.1357,,83,Complete curve; high efficacy,-5.05,4.9549,1,-97.1357,0,-1.1,0 0 0 0,-96.9418,,,,,,,,,,0,,,0,,,,,-94.9322,,,-96.9418,,,,QC'd by APExBIO
20,384569333,46870258,CC1=CNC2=NC(=NC(=C12)C3=CC=CC(=C3)CC#N)NC4=CC(=C(C=C4)N5CCN(CC5)C)F,Active,83,http://assay.nih.gov/htsws/rest/display/TRND-SARS-CoV-2-cytotox-48hr-p2-mipe/NCGC00507855-03/250002427,,Cytotoxic,8.9125,105.034,,83,Complete curve; high efficacy,-5.05,1.6436,0.9999,-100.034,5,-1.1,0 0 0 0,-94.7292,,,,,,,,,,3.0536,,,-3.9173,,,,,-76.9038,,,-94.7292,,,,QC'd by Glixx
21,384568432,1271002,CCC1=CC=C(C=C1)/C=C/2\C(=O)NC(=S)S2,Active,82,http://assay.nih.gov/htsws/rest/display/TRND-SARS-CoV-2-cytotox-48hr-p2-mipe/NCGC00185994-09/250003103,,Cytotoxic,10,91.3037,,82,Complete curve; high efficacy,-5,2.1876,1,-85.8037,5.5,-1.1,0 0 0 0,-84.1212,,,,,,,,,,4.8646,,,2.5388,,,,,-67.7158,,,-84.1212,,,,QC'd by SIGMA
22,384568676,24824610,CC1([C@H]([C@H](C2=C(O1)C(=O)C3=CC=CC=C3C2=O)NCC4=CC=CC=C4)O)C,Active,82,http://assay.nih.gov/htsws/rest/display/TRND-SARS-CoV-2-cytotox-48hr-p2-mipe/NCGC00263222-02/250002907,,Cytotoxic,10,98.1252,,82,Complete curve; high efficacy,-5,2.8473,0.9999,-97.6252,0.5,-1.1,0 0 0 0,-96.8504,,,,,,,,,,0,,,0,,,,,-83.9555,,,-96.8504,,,,QC'd by Cayman
23,384569132,71727581,CN1C(=CC=N1)NC2=NC=CC(=N2)C3=CC(=O)N(C=C3)[C@H](CO)C4=CC(=C(C=C4)Cl)F,Active,82,http://assay.nih.gov/htsws/rest/display/TRND-SARS-CoV-2-cytotox-48hr-p2-mipe/NCGC00386401-01/250003052,,Cytotoxic,11.2202,93.8772,,82,Complete curve; high efficacy,-4.95,2.4064,0.9998,-92.8772,1,-1.1,0 0 0 0,-91.0561,,,,,,,,,,0,,,0,,,,,-72.1776,,,-91.0561,,,,QC'd by Selleck
24,384568529,49867936,B1(OC(=O)CC(O1)(CC(=O)O)C(=O)O)[C@H](CC(C)C)NC(=O)CNC(=O)C2=C(C=CC(=C2)Cl)Cl,Active,67,http://assay.nih.gov/htsws/rest/display/TRND-SARS-CoV-2-cytotox-48hr-p2-mipe/NCGC00249612-02/250002537,,Cytotoxic,0.8913,60.2348,,67,Complete curve; partial efficacy,-6.05,3.5117,0.9985,-93.1767,-32.9418,-1.2,0 0 0 0,-93.5509,,,,,,,,,,-51.1212,,,-90.8041,,,,,-91.9137,,,-93.5509,,,,QC'd by Selleck
25,405559125,56844015,B1(OC(=O)C(O1)(CC(=O)O)CC(=O)O)[C@H](CC(C)C)NC(=O)CNC(=O)C2=C(C=CC(=C2)Cl)Cl,Active,67,http://assay.nih.gov/htsws/rest/display/TRND-SARS-CoV-2-cytotox-48hr-p1-npc/NCGC00522453-01/249930548,,Cytotoxic,0.7943,56.6802,,67,Complete curve; partial efficacy,-6.1,3.9295,0.9999,-91.2497,-34.5695,-1.2,0 0 0 0,-91.0675,,,,,,,,,-40.2642,,,,-90.3425,,,,-90.8279,,,,-91.0675,,,,QC'd by MedChem Express
26,363677849,44516953,CN(C)C1CCN(CC1)C(=O)C2=CC=C(C=C2)NC(=O)NC3=CC=C(C=C3)C4=NC(=NC(=N4)N5CCOCC5)N6CCOCC6,Active,65,http://assay.nih.gov/htsws/rest/display/TRND-SARS-CoV-2-cytotox-48hr-p2-mipe/NCGC00370777-04/250003203,,Cytotoxic,1.122,51.2569,,65,Complete curve; partial efficacy,-5.95,2.7868,0.9988,-64.2223,-12.9655,-1.2,0 0 0 0,-63.5397,,,,,,,,,,-24.1379,,,-56.427,,,,,-65.0207,,,-63.5397,,,,QC'd by APExBIO
27,384568059,4259181,CC(C)C1=CC=C(C=C1)CN2C=CC3=C2C=CC4=C3C(=NC(=N4)NC5CC5)N,Active,65,http://assay.nih.gov/htsws/rest/display/TRND-SARS-CoV-2-cytotox-48hr-p2-mipe/NCGC00025225-03/250005290,,Cytotoxic,2.5119,79.1525,,65,Complete curve; partial efficacy,-5.6,1.9673,0.9999,-95.4677,-16.3153,-1.2,0 0 0 0,-94.7101,,,,,,,,,,-22.346,,,-49.5314,,,,,-94.25,,,-94.7101,,,,QC'd by Tocris
28,384568225,24870922,C[C@H]1C/C(=C\C=C/[C@@H]([C@H](OC(=O)/C(=C\C(=C/[C@H]([C@H]1O)C)\C)/OC)[C@@H](C)[C@H]([C@H](C)[C@]2(C[C@H]([C@@H]([C@H](O2)C(C)C)C)O)O)O)OC)/C,Active,65,http://assay.nih.gov/htsws/rest/display/TRND-SARS-CoV-2-cytotox-48hr-p2-mipe/NCGC00162409-08/250006074,,Cytotoxic,1.5849,76.2376,,65,Complete curve; partial efficacy,-5.8,4.095,0.9999,-76.2376,0,-1.2,0 0 0 0,-76.9628,,,,,,,,0,,-2.5587,,,,,,-75.499,,-76.9628,,,,,,,QC'd by Analyticon
29,404904680,5583,CC1=C(C=CC2=C1C(=NC(=N2)N)N)CNC3=CC(=C(C(=C3)OC)OC)OC,Active,65,http://assay.nih.gov/htsws/rest/display/TRND-SARS-CoV-2-cytotox-48hr-p1-npc/NCGC00161419-07/249930416,,Cytotoxic,1.122,69.1022,,65,Complete curve; partial efficacy,-5.95,4.5045,0.9994,-68.1022,1,-1.2,0 0 0 0,-67.1097,,,,,,,,,0,,,,-65.2181,,,,-69.0761,,,,-67.1097,,,,QC'd by NCGCChem
30,384568285,5081913,C1=CC(=C(C=C1Cl)C(=O)NC2=CC(=CC(=C2)C(F)(F)F)C(F)(F)F)O,Active,64,http://assay.nih.gov/htsws/rest/display/TRND-SARS-CoV-2-cytotox-48hr-p2-mipe/NCGC00165811-08/250005758,,Cytotoxic,1.5849,70.1444,,64,Complete curve; partial efficacy,-5.8,4.095,0.9995,-67.6444,2.5,-1.2,0 0 0 0,-68.7691,,,,,,,,,,0,,,-50.7255,,,,,-67.5114,,,-68.7691,,,,QC'd by Adooq
31,384568486,9826308,COC1=C(C=C2C(=C1)N=CN2C3=CC(=C(S3)C(=O)N)OCC4=CC=CC=C4C(F)(F)F)OC,Active,64,http://assay.nih.gov/htsws/rest/display/TRND-SARS-CoV-2-cytotox-48hr-p2-mipe/NCGC00242217-09/250005424,,Cytotoxic,2.5119,68.2147,,64,Complete curve; partial efficacy,-5.6,2.3332,0.9987,-64.7147,3.5,-1.2,0 0 0 0,-63.2794,,,,,,,,,,0,,,-23.9478,,,,,-65.5392,,,-63.2794,,,,QC'd by MedChem Express
32,384568905,11978790,CN1C2=CN=C3C=CC(=CC3=C2N(C1=O)C4=CC(=C(C=C4)N5CCNCC5)C(F)(F)F)C6=CN=C(C=C6)OC,Active,64,http://assay.nih.gov/htsws/rest/display/TRND-SARS-CoV-2-cytotox-48hr-p2-mipe/NCGC00346681-07/250003669,,Cytotoxic,4.4668,54.0109,,64,Complete curve; partial efficacy,-5.35,3.6772,0.9998,-94.7341,-40.7231,-1.2,0 0 0 0,-95.1145,,,,,,,,,,-40.9852,,,-44.1615,,,,,-93.8224,,,-95.1145,,,,QC'd by APExBIO
33,384569135,71492799,C1=CC=NC(=C1)NNC(=O)/C=C\N2C=NC(=N2)C3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F,Active,64,http://assay.nih.gov/htsws/rest/display/TRND-SARS-CoV-2-cytotox-48hr-p2-mipe/NCGC00386421-05/250002951,,Cytotoxic,2.5119,81.459,,64,Complete curve; partial efficacy,-5.6,2.3332,0.9991,-77.459,4,-1.2,0 0 0 0,-76.1065,,,,,,,,,,0,,,-28.1473,,,,,-78.0342,,,-76.1065,,,,QC'd by Selleck
34,170464919,148124,CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O,Active,63,http://assay.nih.gov/htsws/rest/display/TRND-SARS-CoV-2-cytotox-48hr-p2-mipe/NCGC00181306-04/250002433,,Cytotoxic,8.9125,64.985,,63,Complete curve; partial efficacy,-5.05,4.9549,0.9999,-93.8408,-28.8558,-1.2,0 0 0 0,-93.6535,,,,,,,,,,-29.0594,,,-28.2131,,,,,-92.2699,,,-93.6535,,,,QC'd by Alfa Aesar
35,363677514,24988881,C1CN(CCC1OC2=C(C=CC(=C2)F)Br)C3=NOC(=C3)C4=NN(N=N4)CC(=O)O,Active,63,http://assay.nih.gov/htsws/rest/display/TRND-SARS-CoV-2-cytotox-48hr-p2-mipe/NCGC00346680-05/250006013,,Cytotoxic,3.5481,48.9967,,63,Complete curve; partial efficacy,-5.45,1.5095,0.9999,-63.521,-14.5243,-1.2,0 0 0 0,-62.7377,,,,,,,,,,-18.3536,,,-30.3557,,,,,-59.8539,,,-62.7377,,,,QC'd by MedChem Express
36,384568102,135411,C1C2CC3CC1CC(C2)(C3)C4=C(C=CC(=C4)C5=CC6=C(C=C5)C=C(C=C6)C(=O)O)O,Active,63,http://assay.nih.gov/htsws/rest/display/TRND-SARS-CoV-2-cytotox-48hr-p2-mipe/NCGC00092284-04/250003497,,Cytotoxic,3.1623,61.6223,,63,Complete curve; partial efficacy,-5.5,4.045,0.9999,-61.1223,0.5,-1.2,0 0 0 0,-60.759,,,,,,,,,,0,,,-9.5967,,,,,-61.0722,,,-60.759,,,,QC'd by Tocris
37,384568663,6420138,CC1=C(SC(=N1)N)C2=NC(=NC=C2)NC3=CC=C(C=C3)N4CCOCC4,Active,63,http://assay.nih.gov/htsws/rest/display/TRND-SARS-CoV-2-cytotox-48hr-p2-mipe/NCGC00263204-09/250005865,,Cytotoxic,3.1623,72.9259,,63,Complete curve; partial efficacy,-5.5,2.0937,0.9999,-69.9259,3,-1.2,0 0 0 0,-69.6719,,,,,,,,,,0,,,-19.3236,,,,,-67.8345,,,-69.6719,,,,QC'd by Aobious
38,384568674,57515973,C/C=C\1/C(=O)N[C@H](C(=O)O[C@H]/2CC(=O)N[C@@H](C(=O)N[C@H](CSSCC/C=C2)C(=O)N1)C(C)C)C(C)C,Active,63,http://assay.nih.gov/htsws/rest/display/TRND-SARS-CoV-2-cytotox-48hr-p2-mipe/NCGC00263220-07/250003252,,Cytotoxic,6.3096,41.6673,,63,Complete curve; partial efficacy,-5.2,2.0937,0.9996,-93.4692,-51.8019,-1.2,0 0 0 0,-93.2826,,,,,,,,,,-52.0192,,,-55.8073,,,,,-89.0192,,,-93.2826,,,,QC'd by DC Chemicals
39,384568881,49784945,CS(=O)(=O)N1CCC2=C(N=C(N=C21)N3CCOCC3)C4=CN=C(N=C4)N,Active,63,http://assay.nih.gov/htsws/rest/display/TRND-SARS-CoV-2-cytotox-48hr-p2-mipe/NCGC00346650-02/250003422,,Cytotoxic,3.5481,54.3766,,63,Complete curve; partial efficacy,-5.45,1.6604,0.9999,-60.6777,-6.3011,-1.2,0 0 0 0,-60.2436,,,,,,,,,,-10.2509,,,-22.6643,,,,,-57.4063,,,-60.2436,,,,QC'd by Selleck
40,384569313,397888,COC1=C(C=C2C(=C1)C3=C(C4=CC5=C(C=C4C3=O)OCO5)N(C2=O)CCCNCCO)OC,Active,63,http://assay.nih.gov/htsws/rest/display/TRND-SARS-CoV-2-cytotox-48hr-p2-mipe/NCGC00505019-01/250005449,,Cytotoxic,7.9433,70.8182,,63,Complete curve; partial efficacy,-5.1,4.9549,0.9997,-95.9458,-25.1276,-1.2,0 0 0 0,-95.7543,,,,,,,,,,-25.7999,,,-24.273,,,,,-95.1831,,,-95.7543,,,,QC'd by NCI
