PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Standard Units,Activity Comment
10,482057092,168276364,B1(C2=C(CO1)C=CC(=C2)NC(=O)C3=CC(=CC=C3)NCC4=CC=CC=C4)O,Unspecified,,,Potential missing data,Inhibition,%,NA
11,482057516,168276662,B1(C2=C(CO1)C=CC(=C2)NC(=O)CCCCC)O,Unspecified,,,Potential missing data,Inhibition,%,NA
12,482058954,168277689,B(C1=CC(=CC=C1)NC(=O)C2=CC(=CC=C2)OCC3=CC=CC=C3)(O)O,Unspecified,,,Potential missing data,Inhibition,%,NA
13,482060106,145262355,B1(C2=C(CO1)C=CC(=C2)NCC3=CC=C(C=C3)C#N)O,Unspecified,,,Potential missing data,Inhibition,%,NA
14,482061137,46194030,B1(C2=C(CO1)C=CC(=C2)NC(=O)C3=CC(=CC=C3)OC)O,Unspecified,,,Potential missing data,Inhibition,%,NA
15,482062020,168279933,B1(C2=C(CO1)C=CC(=C2)NC(=O)C3=NC(=CC=C3)OCC4=CC=CC=C4)O,Unspecified,,,Potential missing data,Inhibition,%,NA
16,482062481,168280276,B1(C2=C(CO1)C=CC(=C2)NC(=O)C3=C(ON=C3C4=CC=C(C=C4)F)C)O,Unspecified,,,Potential missing data,Inhibition,%,NA
17,482062915,168280593,B1(C2=C(CO1)C=CC(=C2)NC(=O)C3=CC(=CC=C3)OC4=CC=CC=C4)O,Unspecified,,,Potential missing data,Inhibition,%,NA
18,482063149,168280756,B1(C2=C(CO1)C=CC(=C2)NC(=O)C3=CC(=CC=C3)OCC4=CC=CC(=C4)C)O,Unspecified,,,Potential missing data,Inhibition,%,NA
19,482064522,168281779,B1(C2=C(CO1)C=CC(=C2)NC(=O)C3=CC(=CC=C3)OCC4=C(C=CC=C4Cl)Cl)O,Unspecified,,,Potential missing data,Inhibition,%,NA
20,482066445,168283183,B1(C2=C(CO1)C=CC(=C2)NC(=O)C3=CC=C(C=C3)N4CCOCC4)O,Unspecified,,,Potential missing data,Inhibition,%,NA
21,482068316,168284518,B1(C2=C(CO1)C=CC(=C2)NC(=O)C3=CC=C(C=C3)OCC4=CC=C(C=C4)Cl)O,Unspecified,,,Potential missing data,Inhibition,%,NA
22,482070111,168285822,B1(C2=C(CO1)C=CC(=C2)NC(=O)C(C)C3=CC(=CC=C3)OC4=CC=CC=C4)O,Unspecified,,,Potential missing data,Inhibition,%,NA
23,482070154,168285850,B1(C2=C(CO1)C=CC(=C2)NC(=O)C3=CC(=CC=C3)OCC4=CC=C(C=C4)C#N)O,Unspecified,,,Potential missing data,Inhibition,%,NA
24,482073223,168288080,B1(C2=C(CO1)C=CC(=C2)NC(=O)C3=CC=C(C=C3)OC4=CC=CC=C4)O,Unspecified,,,Potential missing data,Inhibition,%,NA
25,482073621,168288365,B1(C2=C(CO1)C=CC(=C2)NC(=O)C3=CC=CC=C3OCC4=CC=CC=C4)O,Unspecified,,,Potential missing data,Inhibition,%,NA
26,482075602,168289796,B1(C2=C(CO1)C=CC(=C2)NC(=O)C3=CC=C(C=C3)N=C(N)N)O,Unspecified,,,Potential missing data,Inhibition,%,NA
27,482075801,168289937,B1(C2=C(CO1)C=CC(=C2)NC(=O)C3=CC=C(C=C3)OCC4=CC=CC=C4)O,Unspecified,,,Potential missing data,Inhibition,%,NA
28,482076928,168290754,B1(C2=C(CO1)C=CC(=C2)NC(=O)C3=CC(=CC=C3)NC(=O)C4=CC=CC=C4)O,Unspecified,,,Potential missing data,Inhibition,%,NA
29,482077366,165920393,B1(C2=C(CO1)C=CC(=C2)NC(=O)OCC3=CC=CC=C3)O,Unspecified,,,Potential missing data,Inhibition,%,NA
30,482077843,168291442,B1(C2=C(CO1)C=CC(=C2)NC(=O)C3=CC(=CC=C3)OCC4=CC=CC=C4)O,Unspecified,,,Potential missing data,Inhibition,%,NA
31,482079047,168292306,B1(C2=C(CO1)C=CC(=C2)NC(=O)C3=CC(=CC=C3)OCC4=CC(=CC=C4)OC)O,Unspecified,,,Potential missing data,Inhibition,%,NA
32,482081115,168293810,B1(C2=C(CO1)C=CC(=C2)NC(=O)C3=CC(=CC=C3)OCC4CCCCC4)O,Unspecified,,,Potential missing data,Inhibition,%,NA
33,482084342,67346905,B1(C2=C(CO1)C=CC(=C2)NC(=O)C3=CC=C(C=C3)N)O,Unspecified,,,Potential missing data,Inhibition,%,NA
34,482087314,168297366,B1(C2=C(CO1)C=CC(=C2)N=C(N)N)O,Unspecified,,,Potential missing data,Inhibition,%,NA
