PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Standard Units,Activity Comment
9,103258907,5281672,C1=C(C=C(C(=C1O)O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O,Inactive,,,Potential missing data,Inhibition,%,Not Active
10,103274384,5281616,C1=CC=C(C=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O,Inactive,,,Potential missing data,Inhibition,%,Not Active
11,103324264,10494,C[C@]12CC[C@@H](C([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(CC[C@@]5([C@H]4CC(CC5)(C)C)C(=O)O)C)C)(C)C)O,Inactive,,,Potential missing data,Inhibition,%,Not Active
12,103327593,5281650,CC(=CCC1=C(C2=C(C=C1O)OC3=C(C2=O)C(=C(C(=C3)O)OC)CC=C(C)C)O)C,Inactive,,,Potential missing data,Inhibition,%,Not Active
13,103340697,,,Inactive,,,Potential missing data,Inhibition,%,Not Active
14,103350986,64945,C[C@@H]1CC[C@@]2(CC[C@@]3(C(=CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(CC[C@@H](C5(C)C)O)C)C)[C@@H]2[C@H]1C)C)C(=O)O,Inactive,,,Potential missing data,Inhibition,%,Not Active
15,103359422,638278,C1=CC(=CC=C1/C=C/C(=O)C2=C(C=C(C=C2)O)O)O,Inactive,,,Potential missing data,Inhibition,%,Not Active
16,103507229,222284,CC[C@H](CC[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)C(C)C,Inactive,,,Potential missing data,Inhibition,%,Not Active
17,103556863,5280794,CC[C@H](/C=C/[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)C(C)C,Inactive,,,Potential missing data,Inhibition,%,Not Active
18,103557565,5280804,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O,Inactive,,,Potential missing data,Inhibition,%,Not Active
19,103558712,5281643,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O[C@H]4[C@@H]([C@H]([C@H]([C@H](O4)CO)O)O)O)O)O,Inactive,,,Potential missing data,Inhibition,%,Not Active
20,103562273,161527,C[C@]12CC[C@@H](C([C@@H]1CC[C@@]3([C@@H]2CC[C@@]4(C3=CC[C@@]5([C@H]4CC(CC5)(C)C)C(=O)O)C)C)(C)C)O,Inactive,,,Potential missing data,Inhibition,%,Not Active
21,103568501,5464078,CC(=CCC1=C(C2=C(C=C1O)OC3=C(C2=O)C(=C(C(=C3)O)O)CC=C(C)C)O)C,Inactive,,,Potential missing data,Inhibition,%,Not Active
22,103579305,392450,CC(=CCC1=C(C(=C2C(=C1O)C(=O)C3=C(O2)C(=CC=C3)O)CC=C(C)C)O)C,Inactive,,,Potential missing data,Inhibition,%,Not Active
23,103579906,5742590,CC[C@H](CC[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)C)C)C(C)C,Inactive,,,Potential missing data,Inhibition,%,Not Active
24,103580497,91472,C[C@H]1C(=O)CC[C@@H]2[C@@]1(CC[C@H]3[C@]2(CC[C@@]4([C@@]3(CC[C@@]5([C@H]4CC(CC5)(C)C)C)C)C)C)C,Inactive,,,Potential missing data,Inhibition,%,Not Active
25,103580573,10212,CC(=CCOC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2)C,Inactive,,,Potential missing data,Inhibition,%,Not Active
26,103580605,40491193,C[C@@H]1[C@H]([C@@H]([C@@H]([C@@H](O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC(=C(C(=C4)O)O)O)O)O)O,Inactive,,,Potential missing data,Inhibition,%,Not Active
27,103580762,73170,C[C@@H]1CC[C@@]2(CC[C@@]3(C(=CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(CC[C@@H](C5(C)C)O)C)C)[C@@H]2[C@H]1C)C)C,Inactive,,,Potential missing data,Inhibition,%,Not Active
28,103581083,92231,C[C@@]1(CC[C@@H]2[C@@H]1[C@H]3[C@H](C3(C)C)CCC2=C)O,Inactive,,,Potential missing data,Inhibition,%,Not Active
29,103581316,92097,C[C@]12CCC(C[C@H]1[C@@]3(CC[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4(C3=CC2)C)(C)C)O)C)C)(C)C,Inactive,,,Potential missing data,Inhibition,%,Not Active
30,103582274,107971,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O,Inactive,,,Potential missing data,Inhibition,%,Not Active
31,103582285,5321398,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O,Inactive,,,Potential missing data,Inhibition,%,Not Active
32,103582334,9898279,CC(=CCC[C@@](C)([C@H]1CC[C@@]2([C@@H]1[C@@H](C[C@H]3[C@]2(CC[C@@H]4[C@@]3(CC[C@@H](C4(C)C)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)C)C)O)C)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO)O)O)O)O)O)O)C,Inactive,,,Potential missing data,Inhibition,%,Not Active
33,103582387,185617,C1=CC(=CC=C1C2=CC(=O)C3=C(C(=C(C=C3O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)C(=O)O)O)O)O)O)O)O,Inactive,,,Potential missing data,Inhibition,%,Not Active
34,103599162,11869599,C[C@]12CCC[C@]([C@@H]1CCC(=C)[C@@H]2CCC3=COC=C3)(C)C(=O)O,Inactive,,,Potential missing data,Inhibition,%,Not Active
35,103601177,119242,C[C@H]1[C@H](CC[C@@H]2[C@@]1(CC[C@H]3[C@]2(CC[C@@]4([C@@]3(CC[C@@]5([C@H]4CC(CC5)(C)C)C)C)C)C)C)O,Inactive,,,Potential missing data,Inhibition,%,Not Active
36,103603066,5281641,CC(=CCC1=C(C(=CC2=C1C(=O)C3=C(O2)C=C(C4=C3OC(CC4)(C)C)O)O)OC)C,Inactive,,,Potential missing data,Inhibition,%,Not Active
37,103618547,1755965,C1=CC=C(C=C1)/C=C/C(=O)NCCCCNC(=O)C2=CC=CC=C2,Inactive,,,Potential missing data,Inhibition,%,Not Active
38,103638480,44584555,CC(=CCC[C@@](C)([C@H]1CC[C@@]2([C@@H]1[C@@H](C[C@H]3[C@]2(CC[C@@H]4[C@@]3(CC[C@@H](C4(C)C)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)C)C)O)C)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O)O)O)O)C,Inactive,,,Potential missing data,Inhibition,%,Not Active
39,103643382,5318980,CC(=CCC1=C2C(=C(C=C1O)O)C(=O)C(=C(O2)C3=CC=C(C=C3)OC)O)C,Inactive,,,Potential missing data,Inhibition,%,Not Active
40,103693320,5318997,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC2=C(OC3=C(C2=O)C(=CC(=C3CC=C(C)C)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)C5=CC=C(C=C5)OC)O)O)O,Inactive,,,Potential missing data,Inhibition,%,Not Active
41,103736952,12000799,C1=CO[C@H]([C@H]2[C@@H]1[C@@H]([C@H]3[C@@]2(O3)CO)OC(=O)C4=CC(=C(C=C4)O)O)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O,Inactive,,,Potential missing data,Inhibition,%,Not Active
42,160669374,14589226,C[C@H](CCC(C)(C)C(=C)C)[C@H]1CC[C@@]2([C@@]1(CC=C3[C@H]2CC[C@@H]4[C@@]3(CCC(=O)C4(C)C)C)C)C,Inactive,,,Potential missing data,Inhibition,%,Not Active
43,160669375,164722,CC1=CC(=O)C2=C(C3=C(C=C2O1)OC([C@H](C3)O)(C)C)O,Inactive,,,Potential missing data,Inhibition,%,Not Active
44,160671945,14034912,CC(C)([C@@H]1CC2=C(O1)C=C3C(=C2OC)C(=O)C=C(O3)CO[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O,Inactive,,,Potential missing data,Inhibition,%,Not Active
45,160680058,5087851,CC1=CC(=O)C2=C(C3=C(C=C2O1)OC(C3)C(C)(C)O)OC,Inactive,,,Potential missing data,Inhibition,%,Not Active
46,160680059,12311312,CCCCCCCCCCCCC/C=C/1\[C@H]([C@H](OC1=O)C)O,Inactive,,,Potential missing data,Inhibition,%,Not Active
47,160685328,70688501,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=C(C=CC(=C3)[C@@H]4CC(=O)C5=C(C=C(C=C5O4)O)O)OC)O)O)O)O)O)O,Inactive,,,Potential missing data,Inhibition,%,Not Active
48,160685354,70688509,C1=CC=C(C=C1)/C=C/C(=O)NCCCCNC(=O)CC2=CC=C(C=C2)O,Inactive,,,Potential missing data,Inhibition,%,Not Active
49,160685380,56643444,C/C=C(/C)\C(=O)O[C@H]1CC2=C(C=C3C(=C2O)C(=O)C=C(O3)C)OC1(C)C,Inactive,,,Potential missing data,Inhibition,%,Not Active
50,160685381,5318962,C/C=C(/C)\C(=O)O[C@H]1CC2=C(C=C3C(=C2O)C(=O)C=C(O3)CO)OC1(C)C,Inactive,,,Potential missing data,Inhibition,%,Not Active
51,160685382,70688523,CC1=CC(=O)C2=C(C3=C(C=C2O1)OC([C@H](C3)O[C@@H]4[C@H]([C@@H]([C@H]([C@@H](O4)CO)O)O)O)(C)C)O,Inactive,,,Potential missing data,Inhibition,%,Not Active
52,160690821,185862,COC1=C(C=C(C=C1)C(=O)O[C@H]2[C@@H]3C=CO[C@H]([C@@H]3[C@@]4([C@H]2O4)CO)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)OC,Inactive,,,Potential missing data,Inhibition,%,Not Active
53,160690849,14589224,C[C@H](CC[C@H](C)C(=C)C)[C@H]1CC[C@@]2([C@@]1(CC=C3[C@H]2CC[C@@H]4[C@@]3(CCC(=O)C4(C)C)C)C)C,Inactive,,,Potential missing data,Inhibition,%,Not Active
54,160690850,226486,COC1=CC(=CC(=C1O)OC)CC=C,Inactive,,,Potential missing data,Inhibition,%,Not Active
55,160696245,51040596,C[C@]1(CC[C@@]2([C@@H](C1)CC[C@@H]3C2=CCC[C@]3(C)CO)C)C=C,Inactive,,,Potential missing data,Inhibition,%,Not Active
56,160696246,70692725,CC1=CC(=O)C2=C(C3=C(C=C2O1)OC(C3)C(C)(C)O[C@@H]4[C@H]([C@@H]([C@H]([C@@H](O4)CO)O)O)O)OC,Inactive,,,Potential missing data,Inhibition,%,Not Active
57,160701571,70694758,C1=CC=C(C=C1)/C=C/C(=O)NCCCCNC(=O)C2=CC=C(C=C2)O,Inactive,,,Potential missing data,Inhibition,%,Not Active
58,160701572,12002014,COC1=C(C=C(C=C1)C(=O)O[C@H]2[C@@H]3C=CO[C@H]([C@@H]3[C@@]4([C@H]2O4)CO)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)O,Inactive,,,Potential missing data,Inhibition,%,Not Active
59,160701573,12002015,COC1=C(C=C(C=C1)/C=C/C(=O)O[C@H]2[C@@H]3C=CO[C@H]([C@@H]3[C@@]4([C@H]2O4)CO)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)O,Inactive,,,Potential missing data,Inhibition,%,Not Active
60,160701574,70694759,COC1=C(C=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O[C@@H]4[C@H]([C@@H]([C@H]([C@@H](O4)CO)O)O)O)O)O,Inactive,,,Potential missing data,Inhibition,%,Not Active
61,160701597,70694764,C[C@H](CCC(C)C(=C)C)[C@H]1CC[C@@]2([C@@]1(CC=C3[C@H]2CC[C@@H]4[C@@]3(CCC(=O)C4(C)C)C)C)C,Inactive,,,Potential missing data,Inhibition,%,Not Active
62,194134282,442428,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2OC3=CC(=C4C(=O)C[C@H](OC4=C3)C5=CC=C(C=C5)O)O)CO)O)O)O)O)O,Inactive,,,Potential missing data,Inhibition,%,Not Active
