PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Qualifier,IC50,LogIC50,Hill Slope,Hill S0,Hill Sinf,Hill dS,Chi Square,Rsquare,Number of DataPoints,Inhibition at 3.0 nM,Inhibition at 9.1 nM,Inhibition at 27.3 nM,Inhibition at 81.8 nM,Inhibition at 245.4 nM,Inhibition at 736.3 nM,Inhibition at 2.2 uM,Inhibition at 6.6 uM,Inhibition at 19.9 uM,Inhibition at 59.6 uM
79,49677939,2530053,C1=CC(=CN=C1)NC(=O)CC2=CC(=C(C=C2)Cl)Cl,Inactive,39,,,=,28.145,-4.55,1.05535,-2.98919,92.35,95.3392,-36.7554,0.997184,30,-4.2,-3,-3.8,-1.6,-1,-0.2,4.6,17.6,41.8,66
80,49733167,3221960,CC(C)C1=CC=C(C=C1)N(C(C2=CN=CC=C2)C(=O)NC3CCCC3)C(=O)C4=CSN=N4,Inactive,39,,,=,28.125,-4.55,0.893963,1.36388,98.5613,97.1974,36.7375,0.996052,30,1.8,0.3,2.2,2,1.8,6,10.1,21.9,42.6,66
81,3714360,2998767,CC1(C(=O)N(C(=O)N1)CC(=O)NCC2=CC=CO2)C3=CC4=C(C=C3)C=C(C=C4)OC,Inactive,32,,,=,31.12,-4.51,1.01056,-2.52423,107.743,110.267,-24.3288,0.997447,30,-2.7,-3.8,-2.2,-1.7,-1.3,0.2,4.3,14.8,38.4,67.2
82,49825925,5897880,C1COCCN1C(=O)CN2C=C(C3=CC=CC=C32)/C=C/4\C(=O)NC(=O)N(C4=O)C5=CC=CC=C5F,Inactive,25,,,=,34.276,-4.47,1.13041,-2.86565,68.4685,71.3342,627.722,0.990554,30,-4.1,-3.3,-1.5,-1.6,-3,0.2,7.1,19.9,42,56
83,49668659,675749,CC1=C(C=C(C=C1)C(=O)N2C(=CC(=N2)C)C)Br,Inactive,24,,,=,34.897,-4.46,1.05032,0.590732,88.4615,87.8708,82.6484,0.994921,30,2.2,-0.3,0.5,0.1,1.4,2.3,6.5,16.6,37,61.6
84,47196538,887990,C1=CC(=C(C(=C1)Cl)/C=C/C(=O)NC2=CN=CC=C2)F,Inactive,20,,,=,36.771,-4.43,0.900639,-1.72284,96.8196,98.5424,-64.0191,0.992373,30,-5.2,-1.8,-0.6,0.8,0.7,1.1,6.7,16.3,37.4,60
85,860204,661510,CCC1=C(C(=CC=C1)CC)N(COC)C(=O)CN2C3=CC=CC=C3N=N2,Inactive,11,,,=,40.505,-4.39,1.07484,-2.66895,86.1477,88.8166,-29.0257,0.994797,30,-3.3,-3.7,-3.5,-1.1,-1.8,0.2,3.1,12.3,34.2,57.9
86,7973891,805223,CC(=O)C1=C(C2=CC=CC=C2N1C)OC(=O)C3=CC=CO3,Inactive,1,,,=,45.324,-4.34,0.857707,-2.40295,127.26,129.663,7.7686,0.993766,30,-1.9,-2.6,-2.2,-2.6,-0.9,0.2,3.7,12.9,30.2,57.4
87,49674172,6903089,C1=CC=C(C=C1)C2=C(C3=CC=CC=C3N2C4=CC=CC=C4)/C=N/NC(=O)CC#N,Inactive,0,,,>,59.64,-4.22,,,,,,,30,-2.2,-2.8,-2.8,-3.1,-1.5,-0.8,5,20.8,27.3,30
88,17412676,2294766,C1=CC=C(C(=C1)C(=O)NC2=CC(=C(C=C2)OCC(C(F)F)(F)F)C(F)(F)F)O,Inactive,0,,,>,59.64,-4.22,,,,,,,30,-1.2,-2.7,-3.2,-2.2,-1.5,-1.8,0.9,13.3,24,29.2
89,47201907,2971444,CC1=CC(=O)OC2=C1C=CC(=C2)NC(=O)CC3=CC=CC=C3[N+](=O)[O-],Inactive,0,,,>,59.64,-4.22,,,,,,,30,2.9,0.6,1.7,2.8,3,7.5,12.8,18.8,15.1,14
90,24826882,9643441,CC1(C2CC=C(C1C2)/C=N/NC(=S)NC3=CN=CC=C3)C,Inactive,0,,,>,59.64,-4.22,,,,,,,30,-3,-1,-1.2,-2.8,0.1,3,13.1,35.4,34.5,26.6
91,49721405,22515899,C1=C(C=C(C=C1C(F)(F)F)NS(=O)(=O)C2=C(N=CC(=C2)Br)N)C(F)(F)F,Inactive,0,,,>,59.64,-4.22,,,,,,,30,-2.8,-3.3,-2.6,-3.1,-0.8,-0.7,3,16.9,36.5,39.6
92,49718735,24790407,C[C@]12[C@@H]3[C@H]([C@H](N1C(=O)N(C2=O)C4=CC(=CC=C4)Br)C5=CC=C(C=C5)Cl)C(=O)N(C3=O)C6CCCCC6,Inactive,0,,,>,59.64,-4.22,,,,,,,30,-3.5,-3.6,-1.3,-3.3,-1.9,-0.9,9.2,22.3,27,29.2
93,49667911,4621376,CCCCOC1=CC=C(C=C1)C(=O)OC2=CN=CC=C2,Inactive,0,,,>,59.64,-4.22,,,,,,,30,0.7,1.6,0.8,1.4,2.4,4.7,8.3,18.9,25.7,33.4
94,47200946,728514,COC(=O)C1=CC=C(C=C1)OC(=O)CN2C(=O)C3=CC=CC=C3C2=O,Inactive,0,,,>,59.64,-4.22,,,,,,,30,0.4,0.1,2.1,-0.7,2.1,1.7,4.3,11.7,25.8,39.3
95,49717936,1304219,CC1=C(C=C(C=C1)C(=O)O)NC(=S)NC(=O)C2=CC=C(C=C2)COC3=CC=CC=C3,Inactive,0,,,>,59.64,-4.22,,,,,,,30,-0.3,0.6,-0.1,0.3,2.8,3.1,4.5,13.9,17.7,22.4
96,47202252,2965851,C1=CC=C2C(=C1)C(=C(N2)C(=O)O)C(C3=C(C=CC(=C3)Br)O)C4=C(NC5=CC=CC=C54)C(=O)O,Inactive,0,,,>,59.64,-4.22,,,,,,,30,0,-0.6,0.5,-0.1,-0.5,-0.9,4,17.8,37.4,43.1
97,47202254,2966254,C1=CC=C2C(=C1)C(=C(N2)C(=O)O)C(C3=C(C=CC(=C3)Br)OCC(=O)O)C4=C(NC5=CC=CC=C54)C(=O)O,Inactive,0,,,>,59.64,-4.22,,,,,,,30,-0.9,0.9,-0.5,1.3,1.9,2.5,4.5,14.3,33.6,42.9
98,845167,647501,CCN1C2=NC(=O)N(C(=O)C2=NC(=N1)C3=CC=CC=C3)C,Inactive,0,,,>,59.64,-4.22,,,,,,,30,-1.1,-1.7,-1.1,-0.2,1.1,-192.9,-227.1,-47.1,28.9,48.1
99,3711170,2997527,CC1=CC(=NO1)NC(=O)COC(=O)C(C(C)C)NC2=C(C=C(C=C2)C(F)(F)F)Cl,Inactive,0,,,>,59.64,-4.22,,,,,,,30,-1.2,-2.3,-1.9,-1.5,0.4,0,3.4,11.5,22,29.7
100,14740696,1120962,COC1=CC=C(C=C1)C(=O)OC2=CN=CC=C2,Inactive,0,,,>,59.64,-4.22,,,,,,,30,-2.2,-2.4,-3.1,-0.5,-0.7,-2.9,-2.5,-1.7,-1.7,0.1
101,49713840,24789267,CC(C)C[C@@H](C(=O)OC(C)(C)C)NC(=O)C1=C(NC=N1)C(=O)NCC2=CC=C(C=C2)CNC(=O)OC(C)(C)C,Inactive,0,,,>,59.64,-4.22,,,,,,,30,1.6,0.9,0,-0.1,-0.1,2.8,6.1,16.1,30.7,30
