RESULT_ATTR_CONC_MICROMOL,,,,,,,,,,,,,,,,,,,,,,0.000914495,0.00155464,0.00263993,0.00459575,0.0064826,0.00912159,0.0137872,0.0269967,0.0413617,0.0569821,0.0820943,0.124085,0.188912,0.246899,0.423153,0.738849,1.11677,1.70021,2.22209,3.66561,6.6433,10,13.3629,20,40,
146,363679861,57509391,C[C@H]1CC[C@@]2([C@H]([C@H]3[C@@H](O2)CC4[C@@]3(CCC5[C@H]4CC[C@H]6[C@@]5(CC[C@@H](C6)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO[C@H]9[C@@H]([C@H]([C@@H](CO9)O)O)O)O[C@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)O)O)O)O)O)O)C)C)C)OC1,Inconclusive,23,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00385658-01/250023650,,Activator,1.9096,43.2448,,23,Partial curve; partial efficacy,-5.7191,3.0654,0.9628,41.9686,-1.2762,2.2,0 0 0 0 0 0 0 0,41.6264,,,-5.2302,,0.1433,,,-4.0122,,4.2988,,,0.2866,,-0.8598,,,14.974,,,41.6264,,,,,QC'd by Analyticon
147,363681062,204104,CC1C2=CC=CC=C2CCN1C3=NC(=NC(=C3C)C)NC4=CC=C(C=C4)F,Inconclusive,23,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00408843-01/250022945,,Activator,3.5481,54.6646,,23,Complete curve; partial efficacy,-5.45,3.132,0.9895,56.619,1.9544,1.2,0 0 0 0 0 0 0 0,56.2433,,,,,,2.9338,,-1.288,,,6.4043,,,-0.8587,,3.0769,,,12.6297,,50.1968,,,56.2433,,QC'd by Glixx
148,384568518,16736529,CC1=CN=C(C(=C1OC)C)CN2C=NC3=C2N=C(N=C3Cl)N,Inconclusive,23,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00247877-09/250023143,,Activator,1.2589,30.7173,,23,Complete curve; partial efficacy,-5.9,4.9549,0.9286,35.7173,5,1.2,0 0 0 0 0 0 0 0,30.6723,,,,,,13.178,,1.7571,,,3.4377,,,3.4377,,5.5004,,,36.249,,39.3812,,,30.6723,,QC'd by MedChem Express
149,384568971,59397065,CC1=C(C=C(C=C1)NC(=O)NC2=C(C=CC(=C2)C(F)(F)F)F)NC3=CC4=C(C=C3)/C(=C/C5=CC=CN5)/C(=O)N4,Inconclusive,23,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00346936-13/250023505,,Activator,3.1623,64.85,,23,Complete curve; partial efficacy,-5.5,4.9549,0.9216,68.35,3.5,1.2,0 0 0 0 0 0 0 0,53.5102,,,,,,0.379,,0.1624,,,8.2115,,,6.4429,,4.2411,,,12.1097,,81.7361,,,53.5102,,QC'd by MedChem Express
150,384569030,91623361,CC1=CN(C2=CC=CC=C12)CCN3CCN(CC3)C4=CC=CC=C4C5=CC(=CC(=C5)C#N)C(=O)NCCCN6CCCC6,Inconclusive,23,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00356417-05/250023461,,Activator,2.8184,51.1342,,23,Partial curve; partial efficacy,-5.55,2.4064,0.9829,49.1563,-1.9779,2.2,0 0 0 0 0 0 0 1,-15.7537,,,,,,-2.6654,,-3.0699,,,2.3713,,,-4.9816,,-0.4228,,,17.3713,,43.2904,,,-15.7537,,QC'd by Tocris
151,384569103,135743577,C/C(=N\NC(=O)C1=CC(=CC=C1)S(=O)(=O)N2CCOCC2)/C3=C(C=CC(=C3)Cl)O,Inconclusive,23,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00384181-05/250023554,,Activator,1.122,41.6702,,23,Complete curve; partial efficacy,-5.95,1.1,0.8895,41.518,-0.1523,1.2,0 0 0 0 0 0 0 0,44.6643,,,,,,5.973,,-3.0436,,,-2.2066,,,10.6144,,12.7069,,,34.3161,,27.4681,,,44.6643,,QC'd by Glixx
152,384569144,46215462,C1CCN(C1)[C@H]2CCC3=C(CC2)C=C(C=C3)NC4=NN(C(=N4)N)C5=NN=C6C(=C5)CCCC7=CC=CC=C76,Inconclusive,23,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00386665-06/250023074,,Activator,3.1623,55.4874,,23,Partial curve; partial efficacy,-5.5,3.9295,0.9489,58.0261,2.5387,2.2,0 0 0 0 0 0 0 1,-15.2203,,,,,,7.7437,,-0.3815,,,10.4139,,,-0.8011,,-0.8011,,,13.3893,,55.2356,,,-15.2203,,QC'd by MedChem Express
153,405558904,56841712,CCOC(=O)N[C@@H]1CC[C@@H]2[C@@H](C1)C[C@@H]3C([C@H]2/C=C/C4=NC=C(C=C4)C5=CC(=CC=C5)F)[C@H](OC3=O)C,Inconclusive,23,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00482976-01/250023451,,Activator,3.9811,53.854,,23,Complete curve; partial efficacy,-5.4,4.9549,0.9594,56.4891,2.6351,1.2,0 0 0 0 0 0 0 0,53.5378,,,,,,2.2538,,11.1953,,,-4.4707,,,6.7984,,2.0321,,,3.5101,,55.9394,,,53.5378,,QC'd by DC Chemicals
154,405558968,6918632,C[C@@H]1C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O1)CC(C)C)C)CC2=CC=C(C=C2)N3CCOCC3)CC(C)C)C)C)CC(C)C)C)CC4=CC=C(C=C4)N5CCOCC5)CC(C)C)C,Inconclusive,23,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00507682-01/250023548,,Activator,3.9811,69.1138,,23,Complete curve; partial efficacy,-5.4,4.9549,0.9898,63.9854,-5.1285,1.2,0 0 0 0 0 0 0 0,60.0342,,,,,,-1.7881,,-2.7392,,,-5.3643,,,-6.3534,,-7.1904,,,-5.0219,,63.0778,,,60.0342,,QC'd by AdvChemBlocks
155,406861849,44142148,CN1C(=NN=N1)SC2=NC=NC3=C2C(=CS3)C4=CC(=CC=C4)S(=O)(=O)C,Inconclusive,23,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00182390-05/250022998,,Activator,2.8184,50.9794,,23,Complete curve; partial efficacy,-5.55,1.21,0.9797,52.0619,1.0826,1.2,0 0 0 0 0 0 0 0,47.2795,,,,,,3.9775,,2.5141,,,-3.2645,,,1.9137,,12.7955,,,21.9887,,39.0994,,,47.2795,,QC'd by NCGCChem
156,170465019,2788,C1=CC2=C(C(=C(C=C2Cl)I)O)N=C1,Inconclusive,22,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00016391-13/250023609,,Activator,5.6234,50.8619,,22,Partial curve; partial efficacy,-5.25,4.9549,0.9805,45.4399,-5.422,2.2,0 0 0 0 0 0 0 0,47.8332,,,,,,0.544,,-5.9112,,,-7.0354,,,-6.2738,,-4.6782,,,-8.2684,,32.7471,,,47.8332,,QC'd by Microsource
157,170465084,2722,C1=CC2=C(C(=C(C=C2Cl)Cl)O)N=C1,Inconclusive,22,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00095264-04/250023178,,Activator,10,61.6207,,22,Partial curve; partial efficacy,-5,3.9295,0.9852,62.2872,0.6665,2.2,0 0 0 0 0 0 0 0,58.6325,,,,,,-1.5279,,0.4966,,,5.615,,,-1.4133,,3.0176,,,-1.0313,,10.5424,,,58.6325,,QC'd by Vitas
158,170465871,92178,CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)S(=O)(=O)N(C)C.CS(=O)(=O)O.CS(=O)(=O)O,Inconclusive,22,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00179625-03/250023389,,Activator,7.0795,50.9229,,22,Partial curve; partial efficacy,-5.15,2.3332,0.9463,47.9334,-2.9895,2.2,0 0 0 0 0 0 0 0,42.5817,,,,,,-0.1341,,-5.2976,,,2.4141,,,-5.3311,,-0.7041,,,-7.0746,,23.9061,,,42.5817,,QC'd by Prestwick
159,174006592,25171648,CN1CCC(CC1)COC2=CN=C(N=C2)C3=CC=CC(=C3)CN4C(=O)C=CC(=N4)C5=CC=CC(=C5)C#N,Inconclusive,22,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00345793-01/250023343,,Activator,10,72.8017,,22,Partial curve; partial efficacy,-5,2.4064,0.9922,74.8017,2,2.2,0 0 0 0 0 0 0 0,63.2423,,,,,,2.3423,,0.4242,,,0.7562,,,6.0679,,0.166,,,2.9694,,22.7038,,,63.2423,,QC'd by ChemieTek
160,225144295,50259,CC1=CC(=O)N(C(=C1)CC(C)CC(C)(C)C)O,Inconclusive,22,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00167586-03/250023109,,Activator,3.5481,43.4501,,22,Complete curve; partial efficacy,-5.45,2.7868,0.9367,46.4956,3.0455,1.2,0 0 0 0 0 0 0 0,46.1062,,,,,,1.0321,,13.5673,,,0.319,,,1.595,,-2.0454,,,13.0418,,40.0263,,,46.1062,,QC'd by Bosche
161,363676726,13855800,CC1=C2[C@H]3[C@@H](CC(=O)[C@]2(CCC1)C)C(=C)C(=O)O3,Inconclusive,22,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00168931-02/250023495,,Activator,1,35.8728,,22,Complete curve; partial efficacy,-6,2.1876,0.9835,32.1743,-3.6985,1.2,0 0 0 0 0 0 0 0,30.386,,,,,,-5.0551,,-0.9743,,,-2.6287,,,-5.1654,,9.6875,,,25.3493,,34.136,,,30.386,,QC'd by Analyticon
162,363677266,2950007,COC1=CC=C(C=C1)C2CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C4=CC=CC=C4,Inconclusive,22,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00263209-09/250023614,,Activator,8.9125,66.7423,,22,Partial curve; partial efficacy,-5.05,2.4729,0.927,64.3638,-2.3785,2.2,0 0 0 0 0 0 0 0,56.3554,,,,,,-3.155,,-8.2321,,,10.5893,,,-7.8332,,-0.8704,,,-3.1913,,20.4533,,,56.3554,,QC'd by Aobious
163,363677959,656768,COC1=CC=C(C=C1)CCCN2CCC(CC2)COC(C3=CC=CC=C3)C4=CC=CC=C4,Inconclusive,22,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00370962-01/250023029,,Activator,2.5119,32.8365,,22,Complete curve; partial efficacy,-5.6,3.9295,0.953,30.4969,-2.3396,1.2,0 0 0 0 0 0 0 0,24.7548,,,,,,-3.5779,,-2.016,,,-4.4497,,,-2.1976,,0.2724,,,10.0799,,35.2525,,,24.7548,,QC'd by Tocris
164,363678017,9847219,CCN(CC)CC1=NC(=CC=C1)/C=C/C2=NC3=C(C=C(C=C3)F)C(=O)N2C4=CC=CC=C4Cl,Inconclusive,22,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00371073-01/250022944,,Activator,10,74.7925,,22,Partial curve; partial efficacy,-5,1.9887,0.9943,73.3703,-1.4222,2.2,0 0 0 0 0 0 0 0,58.6762,,,,,,-2.6476,,-0.0358,,,1.5385,,,-3.6852,,-0.7871,,,2.3614,,21.0018,,,58.6762,,QC'd by Tocris
165,363678402,2853753,C1CN2C3=CC=CC=C3N(C2=N1)CC(=O)C4=CC=C(C=C4)C5=CC=CC=C5,Inconclusive,22,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00379180-02/250023455,,Activator,7.9433,60.2626,,22,Partial curve; partial efficacy,-5.1,2.4064,0.981,55.1338,-5.1288,2.2,0 0 0 0 0 0 0 0,48.6606,,,,,,-2.4386,,-9.274,,,-0.5542,,,-5.8747,,-6.2812,,,-3.8795,,20.2476,,,48.6606,,QC'd by Axon Medchem
166,363678450,69580299,C1CC1NC2=NC=CC(=N2)C3=C(N=C(S3)C4CCNCC4)C5=CC=C(C=C5)F,Inconclusive,22,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00379253-01/250023300,,Activator,8.9125,58.4027,,22,Partial curve; partial efficacy,-5.05,1.3987,0.9628,56.3516,-2.051,2.2,0 0 0 0 0 0 0 0,44.9526,,,,,,-2.6027,,-3.7925,,,0.2603,,,-2.9745,,-0.8552,,,10.8942,,16.5458,,,44.9526,,QC'd by Tocris
167,363679999,45783100,C[C@@H]1C[C@@H]2[C@@H]([C@H](C(=O)O2)C)C([C@]3([C@H]1C=CC3=O)C)OC(=O)C,Inconclusive,22,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00385908-01/250023699,,Activator,5.6234,56.7205,,22,Partial curve; partial efficacy,-5.25,4.9549,0.9414,60.0323,3.3118,2.2,0 0 0 0 0 0 0 0,59.0158,,,,,,-0.6243,,-2.2402,,,2.4972,,,16.3055,,3.7091,,,1.9464,,44.3628,,,59.0158,,QC'd by Analyticon
168,363680114,9825149,C1CCN(C1)CC2CC(C2)N3C=C(C4=C(N=CN=C43)N)C5=CC(=CC=C5)OCC6=CC=CC=C6,Inconclusive,22,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00386129-03/250023575,,Activator,8.9125,56.6972,,22,Partial curve; partial efficacy,-5.05,2.3332,0.9817,57.7363,1.0391,2.2,0 0 0 0 0 0 0 0,50.2188,,,,,,2.0164,,1.5218,,,-1.2174,,,6.2393,,-0.1902,,,1.1033,,21.0386,,,50.2188,,QC'd by MedChem Express
169,363680341,91826473,CN1C=C(C2=C1C(=CC=C2)N3CCNCC3)S(=O)(=O)C4=CC=C(C=C4)Cl,Inconclusive,22,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00386585-01/250023350,,Activator,5.6234,54.1894,,22,Partial curve; partial efficacy,-5.25,4.095,0.9898,52.8244,-1.365,2.2,0 0 0 0 0 0 0 0,55.3117,,,,,,1.6415,,-4.8875,,,-0.7931,,,-0.5717,,-3.0432,,,0.9775,,34.2494,,,55.3117,,QC'd by Axon Medchem
170,363680667,46215122,CN1CCN(CC1)C(=O)C2=C(C=C(C=C2)NC3=NC=CC(=N3)C4=CC=CS4)Cl,Inconclusive,22,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00387786-01/250023522,,Activator,10,71.7168,,22,Partial curve; partial efficacy,-5,1.9282,0.99,72.3129,0.5961,2.2,0 0 0 0 0 0 0 0,57.6972,,,,,,-0.7038,,3.0861,,,-2.0032,,,-0.4873,,4.566,,,4.4577,,22.3245,,,57.6972,,QC'd by Chemdea
171,363681054,1100216,COC1=CC=CC(=C1)NC[C@H](CN2C3=C(C=C(C=C3)Br)C4=C2C=CC(=C4)Br)O,Inconclusive,22,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00408808-01/250023630,,Activator,11.2202,70.4412,,22,Partial curve; partial efficacy,-4.95,3.6272,0.9912,71.061,0.6198,2.2,0 0 0 0 0 0 0 0,63.0844,,,,,,-0.8598,,0.4299,,,-2.4001,,,2.9375,,-0.4299,,,4.2271,,10.2454,,,63.0844,,QC'd by Glixx
172,363681149,6475,CC(C1=CC=CC=C1)(C2=CC=C(C=C2)Cl)OCCN(C)C,Inconclusive,22,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00484055-01/250023327,,Activator,5.0119,60.8264,,22,Complete curve; partial efficacy,-5.3,4.9549,0.9944,59.6718,-1.1546,1.2,0 0 0 0 0 0 0 0,59.8356,,,,,,-1.9584,,0.9092,,,1.3289,,,0.8743,,-3.4621,,,-2.2382,,47.4209,,,59.8356,,QC'd by MedChem Express
173,363681194,16219099,C[C@H](CCC(=O)OC)C1CCC2C1([C@H](CC3C2CCC4C3(CC[C@H](C4)OC(=O)C)C)O)C,Inconclusive,22,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00485026-01/250023107,,Activator,11.2202,73.6193,,22,Partial curve; partial efficacy,-4.95,2.9023,0.9839,75.5564,1.937,2.2,0 0 0 0 0 0 0 0,64.271,,,,,,-0.0938,,-0.3941,,,-0.4691,,,1.9328,,7.7125,,,4.8227,,14.4305,,,64.271,,QC'd by SIGMA
174,377020527,53475321,C1CN(CCN1)C2=CC=C(C=C2)N(CC3=CC=CC=N3)C(=O)C4=CC=C(O4)C5=CC=C(C=C5)Cl,Inconclusive,22,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00388282-01/250023202,,Activator,3.5481,39.9971,,22,Complete curve; partial efficacy,-5.45,4.9549,0.9761,41.7254,1.7282,1.2,0 0 0 0 0 0 0 0,38.1275,,,,,,-1.4765,,4.6378,,,-0.2258,,,2.9703,,2.9703,,,3.5609,,43.7207,,,38.1275,,QC'd by Cayman
175,384567974,2749,CC1=CC(=O)N(C(=C1)C2CCCCC2)O,Inconclusive,22,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00017112-14/250023353,,Activator,5.6234,54.8637,,22,Partial curve; partial efficacy,-5.25,1.3723,0.9706,54.8366,-0.0271,2.2,0 0 0 0 0 0 0 0,50.9959,,,,,,1.457,,-1.2726,,,-0.4242,,,-0.2767,,2.5636,,,16.9495,,25.9129,,,50.9959,,QC'd by Prestwick
176,384568331,9893571,CC(C)C1=C(C(=NO1)C2=C(C=CC=C2Cl)Cl)COC3=CC(=C(C=C3)/C=C/C4=CC(=CC=C4)C(=O)O)Cl,Inconclusive,22,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00167739-08/250023027,,Activator,8.9125,66.6954,,22,Partial curve; partial efficacy,-5.05,2.3332,0.9945,67.2583,0.5628,2.2,0 0 0 0 0 0 0 0,58.5725,,,,,,-0.3814,,-0.781,,,1.8344,,,3.7595,,1.0352,,,1.7617,,23.4835,,,58.5725,,QC'd by MedChem Express
177,384568609,9849040,CCN(CC)CCCCNC1=NC2=CC(=C(C=C2N=C1C3=CC=C(S3)C4=CC=CS4)Cl)Cl,Inconclusive,22,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00263128-02/250022943,,Activator,3.1623,39.1438,,22,Partial curve; partial efficacy,-5.5,2.7202,0.9379,38.4766,-0.6673,2.2,0 0 0 0 0 0 0 1,-11.449,,,,,,-0.6082,,-4.7227,,,-2.7191,,,6.0823,,-0.8229,,,10.5546,,33.7746,,,-11.449,,QC'd by Axon Medchem
178,384568874,44195571,CC1(CC2=C(C(=O)C1)C(=NN2C3=CC(=C(C=C3)C(=O)N)NC4CCC(CC4)OC(=O)CN)C(F)(F)F)C,Inconclusive,22,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00346640-05/250023009,,Activator,1.2589,35.8591,,22,Complete curve; partial efficacy,-5.9,4.9549,0.9735,33.2756,-2.5835,1.2,0 0 0 0 0 0 0 0,29.9437,,,,,,-4.6529,,-1.5385,,,0.863,,,-2.5516,,-4.0901,,,35.6098,,33.1332,,,29.9437,,QC'd by MedChem Express
179,384569385,77050682,CN1C=C(C=N1)C2=CC=C(C=C2)C3=CN=CC(=C3N4CCC5(CCNC5=O)CC4)Cl,Inconclusive,22,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00509936-02/250022997,,Activator,10,64.169,,22,Partial curve; partial efficacy,-5,1.4787,0.8915,66.8107,2.6417,2.2,0 0 0 0 0 0 0 0,53.2458,,,,,,11.5572,,0.3002,,,-4.4653,,,-0.0375,,1.6135,,,17.7861,,20.2627,,,53.2458,,QC'd by Glixx
180,384569444,126843232,C1CN(CCC12CN(C(=O)O2)CC3=CC(=C(C=C3)Cl)Cl)C(=O)/C=C/C4=CC=C(C=C4)Cl,Inconclusive,22,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00510481-01/250023140,,Activator,10,66.3936,,22,Partial curve; partial efficacy,-5,3.132,0.9711,67.8408,1.4472,2.2,0 0 0 0 0 0 0 0,61.1184,,,,,,0.1689,,-5.4607,,,4.635,,,0.6568,,7.037,,,2.2331,,15.669,,,61.1184,,QC'd by MedChem Express
181,384569460,91933867,CC1=CC(=CC(=C1C2=CC=C(C=C2)C(C)(C)C)C)O[C@@H](CCC(F)(F)F)C3=CC=C(C=C3)C(=O)NCCC(=O)O,Inconclusive,22,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00510498-01/250023471,,Activator,3.5481,47.1011,,22,Complete curve; partial efficacy,-5.45,3.99,0.8601,49.9908,2.8897,1.2,0 0 0 0 0 0 0 0,48.8787,,,,,,4.8713,,2.4816,,,-2.5919,,,22.3713,,-1.1949,,,9.7978,,47.5184,,,48.8787,,QC'd by MedChem Express
182,384569493,155435,CC1=C([C@@H](OC2=C1C=CC(=C2)O)C3=CC=C(C=C3)OCCN4CCCCC4)C5=CC=C(C=C5)O,Inconclusive,22,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00510909-01/250023636,,Activator,5.0119,51.8958,,22,Complete curve; partial efficacy,-5.3,4.5045,0.9946,51.2147,-0.6811,1.2,0 0 0 0 0 0 0 0,53.7704,,,,,,-2.6509,,-0.3224,,,-1.218,,,1.4329,,-0.2866,,,-0.5732,,38.9038,,,53.7704,,QC'd by SantaCruz Bio
183,406861838,1697,C1=CC=C(C=C1)NC2=C(C=C3C(=C2)C(=O)NC3=O)NC4=CC=CC=C4,Inconclusive,22,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00093700-07/250023494,,Activator,3.1623,39.4,,22,Complete curve; partial efficacy,-5.5,4.9549,0.8913,42.3779,2.9779,1.2,0 0 0 0 0 0 0 0,34.614,,,,,,0.6801,,-2.5184,,,1.489,,,3.0699,,13.2169,,,9.2463,,49.136,,,34.614,,QC'd by SIGMA
184,406861839,5475,CCN(CC)CCOC1=CC2=C(C=C1)C3=C(C2=O)C=C(C=C3)OCCN(CC)CC,Inconclusive,22,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00095196-04/250023122,,Activator,1.5849,36.1264,,22,Partial curve; partial efficacy,-5.8,1.4781,0.9093,36.0736,-0.0528,2.2,0 0 0 0 0 0 0 1,-3.6592,,,,,,-5.4607,,6.4365,,,2.3832,,,-1.4074,,11.4656,,,20.3603,,33.4209,,,-3.6592,,QC'd by Microsource
185,137275916,57519555,CC1=CC(=CC=C1)NC2=NC(=NC=C2C(=O)N)N[C@@H]3CCCC[C@H]3N,Inconclusive,21,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00253909-02/250023484,,Activator,11.2202,58.8309,,21,Partial curve; partial efficacy,-4.95,3.2475,0.9842,60.3824,1.5515,2.2,0 0 0 0 0 0 0 0,52.4816,,,,,,4.9449,,2.8125,,,3.4375,,,-2.0404,,-0.6066,,,2.7757,,10.3125,,,52.4816,,QC'd by NCGCChem
186,170465127,2913,CN1CCC(=C2C3=CC=CC=C3C=CC4=CC=CC=C42)CC1,Inconclusive,21,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00015252-12/250023628,,Activator,10,45.6282,,21,Partial curve; partial efficacy,-5,2.7868,0.9789,44.9742,-0.6539,2.2,0 0 0 0 0 0 0 0,39.1904,,,,,,3.9764,,-1.6479,,,-3.045,,,-1.5046,,0.0716,,,0.2149,,10.5678,,,39.1904,,QC'd by Vitas
187,170465376,2170,C1CN(CCN1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl,Inconclusive,21,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00015004-13/250023639,,Activator,8.9125,37.6405,,21,Partial curve; partial efficacy,-5.05,2.4064,0.9645,35,-2.6405,2.2,0 0 0 0 0 0 0 0,30.0197,,,,,,-7.2004,,-1.5404,,,-1.2538,,,-0.8956,,0,,,-2.4001,,10.1379,,,30.0197,,QC'd by Enzo
188,363677333,10047612,CC1=C2CC[C@@H](C[C@@H](C2=CC=C1)O)CN3CCC(CC3)C4=C(C=CC=C4Cl)Cl,Inconclusive,21,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00344511-04/250023581,,Activator,5.0119,35.7493,,21,Partial curve; partial efficacy,-5.3,4.9549,0.9294,30.718,-5.0313,2.2,0 0 0 0 0 0 0 0,32.5295,,,,,,-7.4705,,-7.0354,,,-3.5539,,,-7.8332,,3.9529,,,-8.7761,,22.5204,,,32.5295,,QC'd by Axon Medchem
189,363677963,23631116,CC1=NC2=C(C=C(C=C2)OC3=CC=C(C=C3)F)C(=O)N1C[C@H]4CCCN(C4)C(C)C,Inconclusive,21,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00370967-01/250023204,,Activator,7.9433,40.3429,,21,Partial curve; partial efficacy,-5.1,2.4064,0.9795,43.3429,3,2.2,0 0 0 0 0 0 0 0,39.5518,,,,,,1.6849,,1.7891,,,2.5534,,,6.5138,,4.2557,,,1.8239,,19.2288,,,39.5518,,QC'd by Tocris
190,363678102,53378752,C1C[C@H](CN(C1)[C@@H]2CC3=CC=CC=C3[C@H]2OC4=C(C=C(C=C4)C#N)Cl)N,Inconclusive,21,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00378585-01/250023500,,Activator,11.2202,64.1607,,21,Partial curve; partial efficacy,-4.95,3.1925,0.9749,66.5063,2.3456,2.2,0 0 0 0 0 0 0 0,57.8493,,,,,,4.4301,,5.0184,,,6.1949,,,6.7831,,1.011,,,-1.3787,,12.4449,,,57.8493,,QC'd by MedChem Express
