PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,Activity_Score,Curve_Description,Fit_LogAC50,Fit_HillSlope,Fit_R2,Fit_InfiniteActivity,Fit_ZeroActivity,Fit_CurveClass,Excluded_Points,Max_Response,Activity at 0.0009144947 uM,Activity at 0.00155 uM,Activity at 0.00264 uM,Activity at 0.00460 uM,Activity at 0.00648 uM,Activity at 0.00912 uM,Activity at 0.014 uM,Activity at 0.027 uM,Activity at 0.041 uM,Activity at 0.057 uM,Activity at 0.082 uM,Activity at 0.124 uM,Activity at 0.189 uM,Activity at 0.247 uM,Activity at 0.423 uM,Activity at 0.739 uM,Activity at 1.117 uM,Activity at 1.700 uM,Activity at 2.222 uM,Activity at 3.666 uM,Activity at 6.643 uM,Activity at 10.000 uM,Activity at 13.36 uM,Activity at 20.00 uM,Activity at 40.00 uM,Compound QC
7,363681116,91754489,CN1CCN(CC1)C2=CC(=CC(=C2Cl)NC3=NN4C(=CN=C4C(=C3)NC5CC5)C#N)NC(=O)OC,Active,86,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-Cytotox-VeroE6-cherrypicks-SRI-p5-conf/NCGC00481082-01/250025173,,Cytotoxic,2.5119,106.195,,86,Complete curve; high efficacy,-5.6,1.8265,0.9865,-107.6948,-1.5,-1.1,0 0 0 0 0 0 0 0,-99.6704,,,,,,-3.32,,-2.0956,,,-0.6828,,,3.6496,,-18.3424,,,-46.4092,,-99.7174,,,-99.6704,,QC'd by Piramal
8,384568870,25229526,C1CN(CCC1N2C3=C(C=N2)C(=NC(=N3)C4=CC5=C(C=C4)NC=C5)N6CCOCC6)CC7=CN=CC=C7,Active,86,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-Cytotox-VeroE6-cherrypicks-SRI-p5-conf/NCGC00346634-02/250024601,,Cytotoxic,2.5119,102.195,,86,Complete curve; high efficacy,-5.6,1.4641,0.9939,-107.3393,-5.1438,-1.1,0 0 0 0 0 0 0 0,-98.8391,,,,,,-1.3699,,-8.3817,,,-7.6387,,,-10.1463,,-16.8331,,,-49.942,,-90.7128,,,-98.8391,,QC'd by Selleck
9,363677888,11238212,CN(C)C1=NC(=NC2=CC=CC=C21)NC3CCC(CC3)NCCC4=C(C=C(C=C4)Br)OC(F)(F)F,Active,85,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-Cytotox-VeroE6-cherrypicks-SRI-p5-conf/NCGC00370856-01/250024933,,Cytotoxic,3.9811,97.5772,,85,Complete curve; high efficacy,-5.4,4.9549,0.997,-103.2485,-5.6713,-1.1,0 0 0 0 0 0 0 0,-100.047,,,,,,-7.9238,,-6.8422,,,-6.1368,,,-4.7261,,-4.7731,,,-7.9238,,-99.7649,,,-100.047,,QC'd by Tocris
10,363678201,11168182,CN(C)CCN(CC1=CC=C(C=C1)C2=CC=C(C=C2)CNCCC3=CC=CC=C3)C(=O)CCC4CCCC4,Active,85,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-Cytotox-VeroE6-cherrypicks-SRI-p5-conf/NCGC00378788-02/250024892,,Cytotoxic,3.9811,97.8641,,85,Complete curve; high efficacy,-5.4,4.9549,0.9974,-103.1035,-5.2394,-1.1,0 0 0 0 0 0 0 0,-99.9065,,,,,,-4.9311,,-3.9495,,,-4.9778,,,-7.455,,-5.4919,,,-8.2029,,-99.5793,,,-99.9065,,QC'd by Axon Medchem
11,363679252,51136366,C[C@H]1[C@@H]2[C@@H](C3[C@@]4([C@@H](CC(=O)[C@]3([C@H]1C(=O)O2)C)C(=CC(=O)[C@H]4O)C)C)O,Active,85,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-Cytotox-VeroE6-cherrypicks-SRI-p5-conf/NCGC00384574-01/250024862,,Cytotoxic,2.2387,77.3501,,85,Complete curve; high efficacy,-5.65,3.9295,0.9955,-81.3501,-4,-1.1,0 0 0 0 0 0 0 0,-81.9584,,,,,-8.0159,,,-3.0615,,-4.1365,,,-4.7441,,0.0234,,,-15.9617,,-76.1627,,,-81.9584,,,QC'd by Analyticon
12,363681159,25141092,CN1CCN(CC1)C2=CC(=C(C=C2)C(=O)NC3=NNC4=C3C=C(C=C4)CC5=CC(=CC(=C5)F)F)NC6CCOCC6,Active,85,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-Cytotox-VeroE6-cherrypicks-SRI-p5-conf/NCGC00484067-03/250024519,,Cytotoxic,3.5481,98.9563,,85,Complete curve; high efficacy,-5.45,2.9023,0.9972,-99.9563,-1,-1.1,0 0 0 0 0 0 0 0,-99.7568,,,,,,-3.9883,,-0.1946,,,-1.751,,,2.5778,,-4.9125,,,-20.1848,,-85.5545,,,-99.7568,,QC'd by Selleck
13,377020354,3013166,CC(=CCC1=C2C(=CC=C1)C(=CN2)C3=C(C(=O)C(=C(C3=O)O)C4=C(NC5=CC=CC=C54)C(C)(C)C=C)O)C,Active,85,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-Cytotox-VeroE6-cherrypicks-SRI-p5-conf/NCGC00025307-02/250025113,,Cytotoxic,3.9811,96.2641,,85,Complete curve; high efficacy,-5.4,4.9549,0.9961,-100.0155,-3.7514,-1.1,0 0 0 0 0 0 0 0,-98.6347,,,,,,-1.4595,,-9.1808,,,-4.8023,,,-3.1073,,-3.2486,,,-5.9793,,-94.9153,,,-98.6347,,QC'd by Tocris
14,384569201,73425588,CCCCNC1=NC=C2C(=CN(C2=N1)C3CCC(CC3)O)C4=CC=C(C=C4)CN5CCN(CC5)C,Active,85,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-Cytotox-VeroE6-cherrypicks-SRI-p5-conf/NCGC00390618-03/250025184,,Cytotoxic,3.1623,94.697,,85,Complete curve; high efficacy,-5.5,3.132,0.9762,-100.75,-6.0531,-1.1,0 0 0 0 0 0 0 0,-99.9504,,,,,,-2.7523,,-1.7109,,,-4.24,,,-14.6541,,-19.4148,,,-26.308,,-93.6524,,,-99.9504,,QC'd by MedChem Express
15,124886964,2733526,CC/C(=C(\C1=CC=CC=C1)/C2=CC=C(C=C2)OCCN(C)C)/C3=CC=CC=C3,Active,82,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-Cytotox-VeroE6-cherrypicks-SRI-p5-conf/NCGC00024928-14/250025198,,Cytotoxic,10,93.3687,,82,Complete curve; high efficacy,-5,4.9549,0.9988,-99.2543,-5.8856,-1.1,0 0 0 0 0 0 0 0,-99.6529,,,,,,,,-7.4634,,-5.7773,,,-5.7773,,-6.2237,,,-5.8765,,-4.488,,,-80.3124,,-99.6529,QC'd by SIGMA
16,384569409,6410104,CC1=C2C(=CC=C1)C3=C(N2)N=C(N=N3)N/N=C(\C)/C4=CC=CC=N4,Active,68,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-Cytotox-VeroE6-cherrypicks-SRI-p5-conf/NCGC00510111-01/250024877,,Cytotoxic,0.3548,77.7844,,68,Complete curve; partial efficacy,-6.45,2.6384,0.9989,-77.7844,0,-1.2,0 0 0 0 0 0 0 0,-78.967,,,,,,1.2853,,-0.444,,,-3.3419,,,-19.6541,,-67.8897,,,-76.7235,,-76.9572,,,-78.967,,QC'd by Glixx
17,384569103,135743577,C/C(=N\NC(=O)C1=CC(=CC=C1)S(=O)(=O)N2CCOCC2)/C3=C(C=CC(=C3)Cl)O,Active,66,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-Cytotox-VeroE6-cherrypicks-SRI-p5-conf/NCGC00384181-05/250024474,,Cytotoxic,1,67.3484,,66,Complete curve; partial efficacy,-6,1.4163,0.989,-74.9582,-7.6098,-1.2,0 0 0 0 0 0 0 0,-71.8931,,,,,,-6.3415,,-7.3635,,,-8.4785,,,-21.0685,,-29.8026,,,-61.4402,,-71.7073,,,-71.8931,,QC'd by Glixx
18,170465019,2788,C1=CC2=C(C(=C(C=C2Cl)I)O)N=C1,Active,64,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-Cytotox-VeroE6-cherrypicks-SRI-p5-conf/NCGC00016391-13/250024649,,Cytotoxic,3.1623,64.4076,,64,Complete curve; partial efficacy,-5.5,3.5117,0.9864,-71.0394,-6.6318,-1.2,0 0 0 0 0 0 0 0,-70.6486,,,,,,-2.1932,,-10.3126,,,-9.2394,,,-9.2394,,-11.3392,,,-18.5254,,-67.6155,,,-70.6486,,QC'd by Microsource
19,406861858,45359344,CC1=CC2[C@](C(C1=O)O)([C@]3(C(CC(C34CO4)O2)O)C)C,Active,64,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-Cytotox-VeroE6-cherrypicks-SRI-p5-conf/NCGC00380410-02/250025182,,Cytotoxic,3.5481,70.7034,,64,Complete curve; partial efficacy,-5.45,2.7202,0.9963,-74.1853,-3.4819,-1.2,0 0 0 0 0 0 0 0,-72.6754,,,,,,,,-0.8182,,-4.2896,,,-3.5457,,-6.67,,,-9.2487,,-47.4833,,,-74.7087,,-72.6754,QC'd by Analyticon
20,404904732,25212148,COCCNCC1=CN=C(C=C1)C2=CC3=NC=CC(=C3S2)OC4=C(C=C(C=C4)NC(=O)C5(CC5)C(=O)NC6=CC=C(C=C6)F)F,Active,63,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-Cytotox-VeroE6-cherrypicks-SRI-p5-conf/NCGC00483926-02/250025159,,Cytotoxic,5.0119,64.1558,,63,Complete curve; partial efficacy,-5.3,4.9549,0.9867,-65.1558,-1,-1.2,0 0 0 0 0 0 0 0,-66.3292,,,,,,-5.7217,,-2.1427,,,-1.1067,,,-4.1676,,2.4723,,,2.1427,,-51.0713,,,-66.3292,,QC'd by ChemieTek
21,406861848,159516,CC1=C(C(=O)C=C2C1=CC=C3[C@]2(CC[C@@]4([C@@]3(CC[C@@]5([C@H]4C[C@](CC5)(C)C(=O)OC)C)C)C)C)O,Active,48,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-Cytotox-VeroE6-cherrypicks-SRI-p5-conf/NCGC00178090-03/250025091,,Cytotoxic,1.0079,105.563,,48,Partial curve; high efficacy,-5.9966,3.0654,0.9971,-109.6415,-4.0784,-2.1,0 0 0 0 0 0 0 0,-97.7197,-8.076,,-3.5629,,,-2.5653,,-2.8979,,,-3.3729,,-4.323,,,-28.0285,,-97.7197,,,,,,,,QC'd by SIGMA
22,384568758,9868928,CCC[C@@H](C=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OCC1=CC=CC=C1,Active,47,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-Cytotox-VeroE6-cherrypicks-SRI-p5-conf/NCGC00345815-02/250025074,,Cytotoxic,0.7135,82.8929,,47,Partial curve; high efficacy,-6.1466,2.4064,0.9908,-83.3929,-0.5,-2.1,0 0 0 0 0 0 0 0,-81.7577,-0.0475,,-3.2304,,,-0.8551,,-0.8076,,,3.4204,,-7.981,,,-38.2898,,-81.7577,,,,,,,,QC'd by Cayman
23,363679613,75368811,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@H]2[C@@H](CO[C@H]([C@@H]2O)O[C@H]3[C@@H](O[C@H]([C@@H]([C@@H]3O)O)O[C@@H]4[C@H]([C@H]([C@H](O[C@H]4OC(=O)[C@]56CCC(C[C@H]5C7=CCC8[C@]([C@@]7(C[C@H]6O)C)(CCC9[C@@]8(C[C@@H]([C@@H]([C@@]9(C)CO)O[C@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)C)O)O)O)O)C)C)(C)C)C)O)O)C)O)O)O)O,Active,46,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-Cytotox-VeroE6-cherrypicks-SRI-p5-conf/NCGC00385241-01/250024605,,Cytotoxic,1.9053,98.245,,46,Partial curve; high efficacy,-5.72,4.095,0.9988,-102.4476,-4.2026,-2.1,0 0 0 0 0 0 0 0,-94.3348,,-5.967,,-2.2521,,,-4.9454,,-4.899,,,-3.5524,,,-4.4346,,-14.5113,,,-94.3348,,,,,,QC'd by Analyticon
24,363680075,44715466,C[C@]12CC[C@@H]([C@@](C1CC[C@@]3(C2CC[C@@]45[C@]3(C[C@H]([C@@]6([C@H]4CC(CC6)(C)C)CO5)O)C)C)(C)CO)O[C@H]7[C@@H]([C@H]([C@H](CO7)O[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO)O)O)O[C@H]9[C@@H]([C@H]([C@@H](CO9)O)O)O)O)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O,Active,45,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-Cytotox-VeroE6-cherrypicks-SRI-p5-conf/NCGC00386040-01/250025003,,Cytotoxic,3.0265,95.8707,,45,Partial curve; high efficacy,-5.5191,4.095,0.9983,-103.0711,-7.2004,-2.1,0 0 0 0 0 0 0 0,-92.3576,,,-6.3687,,-8.5797,,,-8.3393,,-8.4355,,,-6.7532,,-5.167,,,-14.3956,,,-92.3576,,,,,QC'd by Analyticon
25,363677913,25141190,COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCC(CC3)N4CCCCC4)NC5CCCCCC5)OC,Active,44,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-Cytotox-VeroE6-cherrypicks-SRI-p5-conf/NCGC00370891-01/250024996,,Cytotoxic,6.3096,103.659,,44,Partial curve; high efficacy,-5.2,2.2526,0.9915,-108.0519,-4.3929,-2.1,0 0 0 0 0 0 0 0,-100.0481,,,,,,-8.099,,-6.3206,,,-4.4941,,,-6.0803,,-5.2151,,,-6.1283,,-61.2112,,,-100.0481,,QC'd by Tocris
26,363679917,75368809,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H](CO[C@H]2OC(=O)[C@]34CCC(C[C@H]3C5=CCC6[C@]7(CC[C@@H](C(C7CC[C@]6([C@@]5(C[C@H]4O)C)C)(C)C)O[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO[C@H]9[C@@H]([C@H]([C@H](CO9)O)O)O)O)O)O)C)(C)C)O)O)O)O[C@H]1[C@@H]([C@](CO1)(CO)O)O)O[C@H]1[C@@H]([C@H]([C@H](CO1)O)O[C@H]1[C@@H]([C@H]([C@@H](CO1)O)O)O)O,Active,44,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-Cytotox-VeroE6-cherrypicks-SRI-p5-conf/NCGC00385743-01/250024869,,Cytotoxic,1.9053,64.7476,,44,Partial curve; partial efficacy,-5.72,4.095,0.9792,-70.2339,-5.4863,-2.2,0 0 0 0 0 0 0 0,-64.5712,,-4.043,,-10.4931,,,-2.5006,,-5.2582,,,-1.2386,,,-8.6703,,-12.6431,,,-64.5712,,,,,,QC'd by Analyticon
27,406861846,72378,C1CN2CC3=CC4=C(C=C3[C@H]5[C@H]2C1=C[C@@H]([C@H]5O)O)OCO4,Active,44,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-Cytotox-VeroE6-cherrypicks-SRI-p5-conf/NCGC00163413-07/250024467,,Cytotoxic,3.1623,87.0251,,44,Partial curve; high efficacy,-5.5,1.6259,0.9828,-89.3875,-2.3624,-2.1,0 0 0 0 0 0 0 0,-88.1533,,,,,,-8.1533,,-4.5296,,,-0.302,,,-1.5099,,-3.5075,,,-38.2578,,-64.8316,,,-88.1533,,QC'd by DC Chemicals
28,124896673,53315437,COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCCCC3)NC4CCN(CC4)CC5=CC=CC=C5)OC,Active,43,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-Cytotox-VeroE6-cherrypicks-SRI-p5-conf/NCGC00185849-01/250025118,,Cytotoxic,10,111.448,,43,Partial curve; high efficacy,-5,3.1925,0.9985,-110.9477,0.5,-2.1,0 0 0 0 0 0 0 0,-99.9529,,,,,,-0.8475,,3.1073,,,0.4237,,,-1.177,,-0.1883,,,0.0942,,-24.435,,,-99.9529,,QC'd by UNC
29,144206260,13985,CCCCCCOC1=CC=C(C2=CC=CC=C21)C(=N)N(CCCC)CCCC.Cl,Active,43,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-Cytotox-VeroE6-cherrypicks-SRI-p5-conf/NCGC00181091-01/250024770,,Cytotoxic,10,101.312,,43,Partial curve; high efficacy,-5,3.5722,0.9984,-107.2959,-5.9835,-2.1,0 0 0 0 0 0 0 0,-99.9031,,,,,,-3.3196,,-6.8088,,,-6.9057,,,-5.9365,,-7.6327,,,-6.3727,,-24.4003,,,-99.9031,,QC'd by NCI
30,363678113,58223272,C1C[C@H](CNC1)N2C3=NC=NC(=C3C(=N2)C4=CC=C(C=C4)OC5=CC=CC=C5)N,Active,43,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-Cytotox-VeroE6-cherrypicks-SRI-p5-conf/NCGC00378594-02/250025047,,Cytotoxic,8.9125,112.183,,43,Partial curve; high efficacy,-5.05,1.3443,0.9932,-115.2116,-3.0284,-2.1,0 0 0 0 0 0 0 0,-88.0823,,,,,,-0.0236,,-5.2731,,,-2.0099,,,-6.5027,,-5.7933,,,-20.7851,,-44.8096,,,-88.0823,,QC'd by MedChem Express
31,363680220,9939609,CCN(CC)CCN(CC1=CC=C(C=C1)C2=CC=C(C=C2)C(F)(F)F)C(=O)CN3C4=C(CCC4)C(=O)N=C3SCC5=CC=C(C=C5)F,Active,43,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-Cytotox-VeroE6-cherrypicks-SRI-p5-conf/NCGC00386337-05/250024940,,Cytotoxic,10,98.3243,,43,Partial curve; high efficacy,-5,4.9549,0.9991,-102.6176,-4.2933,-2.1,0 0 0 0 0 0 0 0,-99.4357,,,,,,-5.1023,,-2.3278,,,-3.9266,,,-4.1618,,-4.0677,,,-5.9487,,-16.1063,,,-99.4357,,QC'd by Glixx
32,377020288,9549298,C1CCN(C1)C2CCN(CC2)C(=O)C3=CC=C(C=C3)NC4=NC=CC(=N4)C5=CC6=CC=CC=C6S5,Active,43,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-Cytotox-VeroE6-cherrypicks-SRI-p5-conf/NCGC00167767-12/250025185,,Cytotoxic,10,107.249,,43,Partial curve; high efficacy,-5,3.132,0.9967,-110.5046,-3.2555,-2.1,0 0 0 0 0 0 0 0,-99.5537,,,,,,-4.2896,,-6.8683,,,-2.6035,,,-1.9092,,-1.7109,,,-1.4629,,-27.1014,,,-99.5537,,QC'd by MedChem Express
33,384568491,53316138,C[C@H]1C[C@@H]([C@@H]([C@H](/C=C(\[C@@H]([C@H](/C=C\C=C(/C(=O)NC2=CC(=O)C(=C(C1)C2=O)NCCN(C)C)\C)OC)OC(=O)N)/C)C)O)OC,Active,43,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-Cytotox-VeroE6-cherrypicks-SRI-p5-conf/NCGC00242478-04/250024725,,Cytotoxic,5.6234,81.173,,43,Partial curve; partial efficacy,-5.25,1,0.9497,-82.673,-1.5,-2.2,0 0 0 0 0 0 0 0,-72.5202,,,,,,-3.8443,,-0.0949,,,1.4238,,,-1.9934,,-18.5097,,,-26.8154,,-36.972,,,-72.5202,,QC'd by Selleck
34,384568609,9849040,CCN(CC)CCCCNC1=NC2=CC(=C(C=C2N=C1C3=CC=C(S3)C4=CC=CS4)Cl)Cl,Active,43,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-Cytotox-VeroE6-cherrypicks-SRI-p5-conf/NCGC00263128-02/250024863,,Cytotoxic,10,100.806,,43,Partial curve; high efficacy,-5,4.4495,0.9993,-103.9608,-3.1546,-2.1,0 0 0 0 0 0 0 0,-99.5793,,,,,,-1.3788,,-4.1365,,,-3.7158,,,-3.9963,,-3.3419,,,-2.6875,,-17.1769,,,-99.5793,,QC'd by Axon Medchem
35,384569124,59472121,CC(C)S(=O)(=O)C1=CC=C(C=C1)C2=CN=C(C(=N2)C3=CC(=NO3)C4=CC=C(C=C4)CNC)N,Active,43,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-Cytotox-VeroE6-cherrypicks-SRI-p5-conf/NCGC00386313-08/250024913,,Cytotoxic,11.2202,113.99,,43,Partial curve; high efficacy,-4.95,2.5334,0.9912,-119.8321,-5.8419,-2.1,0 0 0 0 0 0 0 0,-98.8714,,,,,,-6.0428,,-6.6071,,,-5.2434,,,-1.9516,,-5.2434,,,-14.2253,,-27.4865,,,-98.8714,,QC'd by ActiveBioChem
36,384569144,46215462,C1CCN(C1)[C@H]2CCC3=C(CC2)C=C(C=C3)NC4=NN(C(=N4)N)C5=NN=C6C(=C5)CCCC7=CC=CC=C76,Active,43,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-Cytotox-VeroE6-cherrypicks-SRI-p5-conf/NCGC00386665-06/250024514,,Cytotoxic,10,106.958,,43,Partial curve; high efficacy,-5,2.8473,0.9982,-111.635,-4.677,-2.1,0 0 0 0 0 0 0 0,-98.4436,,,,,,-4.3774,,-5.642,,,-5.9825,,,-3.9883,,-5.7879,,,-3.0642,,-30.642,,,-98.4436,,QC'd by MedChem Express
