PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Standard Relation,Standard Value,Activity Comment
10,103401549,3034034,COC1=CC2=C(C=CN=C2C=C1)[C@H]([C@@H]3C[C@@H]4CCN3C[C@@H]4C=C)O,Unspecified,,,,Hit score,=,0.2113,"N=2 (0.232714858,0.189898759)"
11,103512718,492405,C1=C(N=C(C(=O)N1)C(=O)N)F,Unspecified,,,,Hit score,=,0.1243,"N=2 (0.227617003,0.020958197)"
12,103550738,4217,C1CNCCN(C1)S(=O)(=O)C2=CC=CC3=C2C=CC=C3Cl,Unspecified,,,,Hit score,=,0.1073,"N=2 (0.168747786,0.045882357)"
13,103554703,6398764,C[C@H](CN1C=NC2=C(N=CN=C21)N)OCP(=O)(OCOC(=O)OC(C)C)OCOC(=O)OC(C)C.C(=C/C(=O)O)\C(=O)O,Unspecified,,,,Hit score,=,0.1962,"N=2 (0.231891094,0.160471653)"
14,103567639,135398748,C1=NC2=C(N1CCC(CO)CO)N=C(NC2=O)N,Unspecified,,,,Hit score,=,0.1283,"N=2 (0.146871317,0.109795157)"
15,103619997,37542,C1=NC(=NN1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)C(=O)N,Unspecified,,,,Hit score,=,0.1047,"N=2 (0.211248858,-0.001805985)"
16,103660112,12947,CCN(CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl)CCO.OS(=O)(=O)O,Unspecified,,,,Hit score,=,0.5553,"N=2 (0.742183898,0.368346617)"
17,103724215,2536,CN(C)C(=O)COC(=O)CC1=CC=C(C=C1)OC(=O)C2=CC=C(C=C2)N=C(N)N,Unspecified,,,,Hit score,=,0.2137,"N=2 (0.344299282,0.083050627)"
18,103771064,23680530,C[C@H]1C[C@H]2[C@@H]3CC[C@@]([C@]3(C[C@@H]([C@@H]2[C@@]4(C1=CC(=O)C=C4)C)O)C)(C(=O)COC(=O)CCC(=O)[O-])O.[Na+],Unspecified,,,,Hit score,=,0.2294,"N=2 (0.349402954,0.109452086)"
19,104234161,449381,CCC(CC)O[C@@H]1C=C(C[C@@H]([C@H]1NC(=O)C)N)C(=O)O,Unspecified,,,,Hit score,=,0.1922,"N=2 (0.254418968,0.130061298)"
20,104234207,213039,CC(C)CN(C[C@H]([C@H](CC1=CC=CC=C1)NC(=O)O[C@H]2CO[C@@H]3[C@H]2CCO3)O)S(=O)(=O)C4=CC=C(C=C4)N,Unspecified,,,,Hit score,=,0.153,"N=2 (0.236316448,0.069591595)"
21,104240781,131411,CCOC(=O)C1=C(N(C2=CC(=C(C(=C21)CN(C)C)O)Br)C)CSC3=CC=CC=C3,Unspecified,,,,Hit score,=,0.1334,"N=2 (0.283662373,-0.016805852)"
22,104248688,25242512,CC[C@@H]1[C@@]2([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H](C(=O)[C@](C(=O)O1)(C)F)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)OC)C)C)N(C(=O)O2)CCCCN4C=C(N=N4)C5=CC(=CC=C5)N)C,Unspecified,,,,Hit score,=,0.6032,"N=2 (0.624593085,0.581906835)"
23,124966023,10281,CC1=CC(=O)C(=CC1=O)C(C)C,Unspecified,,,,Hit score,=,0.2773,"N=2 (0.389697552,0.164892052)"
24,160667005,44468216,C1=C2C(=NC=NN2C(=C1)[C@]3([C@@H]([C@@H]([C@H](O3)CO)O)O)C#N)N,Unspecified,,,,Hit score,=,1,"N=2 (0.999998436,0.999997106)"
25,160678787,46216796,C1CCN(C1)CCOC2=C3COC/C=C/COCC4=CC(=CC=C4)C5=NC(=NC=C5)NC(=C3)C=C2,Unspecified,,,,Hit score,=,0.2418,"N=2 (0.400063906,0.083550613)"
26,160692925,637568,COC(=O)/C=C/C(=O)OC,Unspecified,,,,Hit score,=,0.1078,"N=2 (0.225414345,-0.009837224)"
27,160697744,25151504,CC(C)C1=NC(=CS1)CN(C)C(=O)N[C@@H](CCN2CCOCC2)C(=O)N[C@H](CC[C@H](CC3=CC=CC=C3)NC(=O)OCC4=CN=CS4)CC5=CC=CC=C5,Unspecified,,,,Hit score,=,0.2397,"N=2 (0.340568629,0.138740278)"
28,163315619,11625818,CC[C@@H](C1=NC2=C(C(=CC=C2)F)C(=O)N1C3=CC=CC=C3)NC4=NC=NC5=C4NC=N5,Unspecified,,,,Hit score,=,-0.08519,"N=2 (-0.045682567,-0.124695021)"
29,194161762,6975516,CCOC(=O)O[C@@H]([C@@H]1C[C@@H]2CCN1C[C@@H]2C=C)C3=C4C=C(C=CC4=NC=C3)OC,Unspecified,,,,Hit score,=,0.1489,"N=2 (0.217736544,0.080072409)"
30,318373795,9882882,C1CN([C@@H]1C(=O)O)CC[C@@H](C(=O)O)NCC[C@@H](C(=O)O)N,Unspecified,,,,Hit score,=,0.1086,"N=2 (0.119396315,0.09789912)"
31,381838043,121304016,CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@@H]1[C@H]([C@H]([C@](O1)(C#N)C2=CC=C3N2N=CN=C3N)O)O)OC4=CC=CC=C4,Unspecified,,,,Hit score,=,0.5934,"N=2 (0.593796312,0.59307348)"
32,504793523,5484730,CC(C)(C)NC(=O)[C@@H]1CN(CCN1C[C@H](C[C@@H](CC2=CC=CC=C2)C(=O)N[C@@H]3[C@@H](CC4=CC=CC=C34)O)O)CC5=CN=CC=C5.O,Unspecified,,,,Hit score,=,0.2525,"N=2 (0.379566171,0.125449684)"
