PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Average Inhibition at 100 uM,Standard Deviation,Inhibition at 100 uM [1],Inhibition at 100 uM [2],Inhibition at 100 uM [3]
40,87915616,44634844,CC(C)(C)NC(=O)C(C1=CSC=C1)N(C2=CC=C(C=C2)F)C(=O)C3=NNC4=CC=CC=C43,Inactive,15,,,15.35,4.78,19.48,16.46,10.11
41,87915611,44634839,CC(C)(C)NC(=O)C(C1=CSC=C1)N(C2=CC=C(C=C2)F)C(=O)C3=CC=CC4=C3CCCC4,Inactive,14,,,14.38,6.01,20.48,14.19,8.46
42,87915618,44634846,CC(C)(C)NC(=O)C(C1=CSC=C1)N(C2=CC=C(C=C2)OC(F)F)C(=O)C3=NNC4=CC=CC=C43,Inactive,14,,,14.26,2.77,13.14,17.41,12.23
43,87915563,44634791,CC(C)(C)NC(=O)C(C1=CN=CC=C1)N(C2=CC=C(C=C2)OCF)C(=O)C3=CN=C(C=C3)C(F)(F)F,Inactive,13,,,13.73,13.46,28.5,10.51,2.17
44,87915577,44634805,CC(C)C1=CC=C(C=C1)N(C(C2=CN=CC=C2)C(=O)NC(C)(C)C)C(=O)C3=NNC4=CC=CC=C43,Inactive,12,,,13.18,12.33,26.58,10.63,2.32
45,87915615,44634843,CC(C)(C)NC(=O)C(C1=CSC=C1)N(C2CC2)C(=O)C3=NNC4=CC=CC=C43,Inactive,12,,,12.97,3.43,14.26,15.57,9.08
46,87915614,44634842,CC(C)(C)C1=CC=C(C=C1)N(C(C2=CSC=C2)C(=O)NC(C)(C)C)C(=O)C3=CC=CC4=C3CCCC4,Inactive,12,,,12.9,4.26,17.66,11.6,9.45
47,87915574,44634802,CC(C)(C)C1=CC=C(C=C1)N(C(C2=CN=CC=C2)C(=O)NC(C)(C)C)C(=O)C3=CC=CC4=C3CCCC4,Inactive,12,,,12.67,10.05,23.27,11.46,3.28
48,93373788,45382037,CC(C)(C)NC(=O)C(C1=CSC=C1)N(C2=CC=C(C=C2)N)C(=O)CN3C=NC4=CC=CC=C43,Inactive,12,,,12.64,2.46,10.01,14.87,13.05
49,87915613,44634841,CC(C)(C)NC(=O)C(C1=CSC=C1)N(C2=CC=C(C=C2)OCF)C(=O)C3=CC=CC4=C3CCCC4,Inactive,12,,,12.58,6.23,18.88,12.44,6.42
50,87915571,44634799,CC(C)(C)NC(=O)C(C1=CN=CC=C1)N(C2=CC=C(C=C2)F)C(=O)C3=CC=CC4=C3CCCC4,Inactive,11,,,12,11.73,24.64,9.91,1.47
51,87915558,44634786,CC(C)(C)NC(=O)C(C1=CN=CC=C1)N(C2=CC=C(C=C2)OCF)C(=O)CC3=CNC4=CC=CC=C43,Inactive,11,,,11.51,7.07,18.22,12.18,4.12
52,87915600,44634828,CC(C)(C)NC(=O)C(C1=CSC=C1)N(C2CC2)C(=O)C3=CN=C(C=C3)C(F)(F)F,Inactive,11,,,11.34,7.03,19.34,8.5,6.17
53,87915585,44634813,CC(C)(C)NC(=O)C(C1=CSC=C1)N(C2CC2)C(=O)C3=CC=C(C=C3)C#N,Inactive,11,,,11.22,4.07,14.89,11.94,6.84
54,87915581,44634809,CC(C)(C)NC(=O)C(C1=CSC=C1)N(C2=CC=C(C=C2)F)C(=O)C3=CC=CO3,Inactive,11,,,11.21,6.62,17.27,12.2,4.15
55,87915561,44634789,CC(C)(C)NC(=O)C(C1=CN=CC=C1)N(C2=CC=C(C=C2)F)C(=O)C3=CN=C(C=C3)C(F)(F)F,Inactive,10,,,10.48,3.94,9.28,14.88,7.27
56,87915575,44634803,CC(C)(C)NC(=O)C(C1=CN=CC=C1)N(C2CC2)C(=O)C3=NNC4=CC=CC=C43,Inactive,9,,,9.27,4.36,11.23,12.32,4.28
57,87915576,44634804,CC(C)(C)NC(=O)C(C1=CN=CC=C1)N(C2=CC=C(C=C2)F)C(=O)C3=NNC4=CC=CC=C43,Inactive,9,,,9.24,4.04,10.07,12.81,4.85
58,87915601,44634829,CC(C)(C)NC(=O)C(C1=CSC=C1)N(C2=CC=C(C=C2)F)C(=O)C3=CN=C(C=C3)C(F)(F)F,Inactive,9,,,9.21,11.73,22.42,5.21,0.01
59,87915555,44634783,CC(C)(C)NC(=O)C(C1=CN=CC=C1)N(C2CC2)C(=O)CC3=CNC4=CC=CC=C43,Inactive,8,,,8.97,15.47,26.02,5.06,-4.18
60,87915607,44634835,CC(C)C1=CC=C(C=C1)N(C(C2=CSC=C2)C(=O)NC(C)(C)C)C(=O)CC3=CC=CC4=CC=CC=C43,Inactive,8,,,8.43,2.17,8.54,10.54,6.2
61,87915564,44634792,CC(C)(C)C1=CC=C(C=C1)N(C(C2=CN=CC=C2)C(=O)NC(C)(C)C)C(=O)C3=CN=C(C=C3)C(F)(F)F,Inactive,8,,,8.39,8.56,16.91,8.48,-0.2
62,87915602,44634830,CC(C)C1=CC=C(C=C1)N(C(C2=CSC=C2)C(=O)NC(C)(C)C)C(=O)C3=CN=C(C=C3)C(F)(F)F,Inactive,8,,,8.21,5.08,13.72,7.17,3.73
63,87915570,44634798,CC(C)(C)NC(=O)C(C1=CN=CC=C1)N(C2CC2)C(=O)C3=CC=CC4=C3CCCC4,Inactive,7,,,8.14,27.46,39.26,-2.19,-12.65
64,87915592,44634820,CC(C)C1=CC=C(C=C1)N(C(C2=CSC=C2)C(=O)NC(C)(C)C)C(=O)CC3=CN=CC=C3,Inactive,7,,,7.95,4.19,12.1,8.03,3.73
65,93373794,45382043,CC1=NC=CN1CC(=O)N(C2=CC=C(C=C2)NC(=O)C(C)C)C(C3=CSC=C3)C(=O)NC(C)(C)C,Inactive,7,,,7.94,1.76,8.01,9.67,6.15
66,87915580,44634808,CC(C)(C)NC(=O)C(C1=CSC=C1)N(C2CC2)C(=O)C3=CC=CO3,Inactive,7,,,7.74,6.8,13.83,9,0.41
67,87915597,44634825,CC(C)C1=CC=C(C=C1)N(C(C2=CSC=C2)C(=O)NC(C)(C)C)C(=O)CC3=CNC4=CC=CC=C43,Inactive,7,,,7.61,10.22,18.95,4.75,-0.88
68,87915612,44634840,CC(C)C1=CC=C(C=C1)N(C(C2=CSC=C2)C(=O)NC(C)(C)C)C(=O)C3=CC=CC4=C3CCCC4,Inactive,7,,,7.39,6.06,14.05,5.91,2.2
69,87915617,44634845,CC(C)C1=CC=C(C=C1)N(C(C2=CSC=C2)C(=O)NC(C)(C)C)C(=O)C3=NNC4=CC=CC=C43,Inactive,7,,,7.3,9.87,17.46,6.71,-2.26
70,87915550,44634778,CC(C)(C)NC(=O)C(C1=CN=CC=C1)N(C2CC2)C(=O)CC3=CN=CC=C3,Inactive,6,,,7.01,22.99,32.89,-0.81,-11.04
71,93373795,45382044,CC1=NC=CN1CC(=O)N(C2=CC=C(C=C2)N)C(C3=CSC=C3)C(=O)NC(C)(C)C,Inactive,6,,,6.79,2.56,4.02,7.27,9.07
72,87915582,44634810,CC(C)C1=CC=C(C=C1)N(C(C2=CSC=C2)C(=O)NC(C)(C)C)C(=O)C3=CC=CO3,Inactive,6,,,6.57,8.47,14.87,6.9,-2.05
73,87915556,44634784,CC(C)(C)NC(=O)C(C1=CN=CC=C1)N(C2=CC=C(C=C2)F)C(=O)CC3=CNC4=CC=CC=C43,Inactive,5,,,5.7,11.46,17.78,4.34,-5.02
74,87915551,44634779,CC(C)(C)NC(=O)C(C1=CN=CC=C1)N(C2=CC=C(C=C2)F)C(=O)CC3=CN=CC=C3,Inactive,5,,,5.7,13.69,20.51,3.08,-6.49
75,87915560,44634788,CC(C)(C)NC(=O)C(C1=CN=CC=C1)N(C2CC2)C(=O)C3=CN=C(C=C3)C(F)(F)F,Inactive,5,,,5.34,15.1,21.84,1.98,-7.78
76,93373793,45382042,CCC(=O)NC1=CC=C(C=C1)N(C(C2=CSC=C2)C(=O)NC(C)(C)C)C(=O)CN3C=CN=C3C,Inactive,5,,,5.34,1.26,5.31,4.1,6.61
77,87915557,44634785,CC(C)C1=CC=C(C=C1)N(C(C2=CN=CC=C2)C(=O)NC(C)(C)C)C(=O)CC3=CNC4=CC=CC=C43,Inactive,3,,,3.78,10.37,14.4,3.24,-6.31
78,87915568,44634796,CC(C)(C)NC(=O)C(C1=CN=CC=C1)N(C2=CC=C(C=C2)OCF)C(=O)CC3=CC=CC4=CC=CC=C43,Inactive,3,,,3.12,10.4,13.76,2.64,-7.02
79,87915552,44634780,CC(C)C1=CC=C(C=C1)N(C(C2=CN=CC=C2)C(=O)NC(C)(C)C)C(=O)CC3=CN=CC=C3,Inactive,2,,,2.83,17.45,22.07,-1.61,-11.97
80,93373777,45382026,CC(C)(C)C1=CC=C(C=C1)N(C(C2=CSC=C2)C(=O)NC(C)(C)C)C(=O)CN3C4=CC=CC=C4N=N3,Inactive,2,,,2.8,3.89,7.23,1.12,0.04
81,93373775,45382024,CC(=O)NC1=CC=C(C=C1)N(C(C2=CSC=C2)C(=O)NC(C)(C)C)C(=O)CN3C=NC4=CC=CC=C43,Inactive,2,,,2.63,2.84,5.67,2.2,0.03
82,87915565,44634793,CC(C)(C)NC(=O)C(C1=CN=CC=C1)N(C2CC2)C(=O)CC3=CC=CC4=CC=CC=C43,Inactive,2,,,2.44,11.96,15,1.11,-8.8
83,93373776,45382025,CC1=NC=CN1CC(=O)N(C2=CC=C(C=C2)NC(=O)C)C(C3=CSC=C3)C(=O)NC(C)(C)C,Inactive,2,,,2.36,2.18,4.66,2.1,0.33
84,93373774,45382023,CC1=NC2=CC=CC=C2N1CC(=O)N(C3=CC=C(C=C3)NC(=O)C)C(C4=CSC=C4)C(=O)NC(C)(C)C,Inactive,2,,,2.27,2.67,0.02,1.57,5.23
85,93373778,45382027,CC1=NC2=CC=CC=C2N1CC(=O)N(C3=CC=C(C=C3)C(C)(C)C)C(C4=CSC=C4)C(=O)NC(C)(C)C,Inactive,1,,,2.02,1,2.01,1.02,3.02
86,93373779,45382028,CC(C)(C)C1=CC=C(C=C1)N(C(C2=CSC=C2)C(=O)NC(C)(C)C)C(=O)CN3C=NC4=CC=CC=C43,Inactive,1,,,1.78,0.13,1.92,1.67,1.76
87,93373791,45382040,CC1=NC2=CC=CC=C2N1CC(=O)N(C3=CC=C(C=C3)N)C(C4=CSC=C4)C(=O)NC(C)(C)C,Inactive,0,,,1.01,1.03,2.1,0.89,0.06
88,93373789,45382038,CCC(=O)NC1=CC=C(C=C1)N(C(C2=CSC=C2)C(=O)NC(C)(C)C)C(=O)CN3C(=NC4=CC=CC=C43)C,Inactive,0,,,0.52,0.63,0.01,0.34,1.22
89,93373792,45382041,CC1=NC=CN1CC(=O)N(C2=CC=C(C=C2)NS(=O)(=O)C)C(C3=CSC=C3)C(=O)NC(C)(C)C,Inactive,0,,,0.44,0.67,0.04,1.22,0.07
90,93373780,45382029,CC1=NC=CN1CC(=O)N(C2=CC=C(C=C2)C(C)(C)C)C(C3=CSC=C3)C(=O)NC(C)(C)C,Inactive,0,,,0.41,0.68,0.02,0.01,1.2
91,93373790,45382039,CC1=NC2=CC=CC=C2N1CC(=O)N(C3=CC=C(C=C3)NC(=O)C(C)C)C(C4=CSC=C4)C(=O)NC(C)(C)C,Inactive,0,,,0.26,0.26,0.11,0.12,0.56
92,87915549,44634777,CC(C)(C)C1=CC=C(C=C1)N(C(C2=CN=CC=C2)C(=O)NC(C)(C)C)C(=O)C3=CC=C(C=C3)C#N,Inactive,0,,,-0.02,7.67,6.76,1.5,-8.34
93,87915567,44634795,CC(C)C1=CC=C(C=C1)N(C(C2=CN=CC=C2)C(=O)NC(C)(C)C)C(=O)CC3=CC=CC4=CC=CC=C43,Inactive,0,,,-1.29,15.1,15,-4.05,-14.82
94,87915540,44634768,CC(C)(C)NC(=O)C(C1=CN=CC=C1)N(C2CC2)C(=O)C3=CC=CO3,Inactive,0,,,-1.64,7.65,4.35,-10.26,0.98
95,87915547,44634775,CC(C)C1=CC=C(C=C1)N(C(C2=CN=CC=C2)C(=O)NC(C)(C)C)C(=O)C3=CC=C(C=C3)C#N,Inactive,0,,,-3.85,11.32,7.65,-4.19,-14.99
96,87915545,44634773,CC(C)(C)NC(=O)C(C1=CN=CC=C1)N(C2CC2)C(=O)C3=CC=C(C=C3)C#N,Inactive,0,,,-4.03,14.08,10.91,-5.96,-17.05
97,87915541,44634769,CC(C)(C)NC(=O)C(C1=CN=CC=C1)N(C2=CC=C(C=C2)F)C(=O)C3=CC=CO3,Inactive,0,,,-4.66,11.66,7.24,-5.13,-16.08
98,87915572,44634800,CC(C)C1=CC=C(C=C1)N(C(C2=CN=CC=C2)C(=O)NC(C)(C)C)C(=O)C3=CC=CC4=C3CCCC4,Inactive,0,,,-5.03,8.07,1.98,-3.22,-13.86
99,87915587,44634815,CC(C)C1=CC=C(C=C1)N(C(C2=CSC=C2)C(=O)NC(C)(C)C)C(=O)C3=CC=C(C=C3)C#N,Inactive,0,,,-5.45,19.93,17.17,-13.12,-20.41
100,87915548,44634776,CC(C)(C)NC(=O)C(C1=CN=CC=C1)N(C2=CC=C(C=C2)OCF)C(=O)C3=CC=C(C=C3)C#N,Inactive,0,,,-7.47,11.93,4.63,-7.82,-19.22
101,87915566,44634794,CC(C)(C)NC(=O)C(C1=CN=CC=C1)N(C2=CC=C(C=C2)F)C(=O)CC3=CC=CC4=CC=CC=C43,Inactive,0,,,-7.86,17.05,10.59,-11.1,-23.05
102,87915546,44634774,CC(C)(C)NC(=O)C(C1=CN=CC=C1)N(C2=CC=C(C=C2)F)C(=O)C3=CC=C(C=C3)C#N,Inactive,0,,,-13.46,13.17,-0.05,-13.95,-26.37
103,87915562,44634790,CC(C)C1=CC=C(C=C1)N(C(C2=CN=CC=C2)C(=O)NC(C)(C)C)C(=O)C3=CN=C(C=C3)C(F)(F)F,Inactive,0,,,-15.33,22.53,9.47,-20.93,-34.52
