"ChEMBL ID";"Assay Type";"Description";"Organism";"Compounds";"Activities";"BAO Format ID";"BAO Format";"Confidence Score";"Confidence Label";"Strain";"Source";"Tax ID";"Tissue ChEMBL ID";"Tissue Name";"Cell Type";"Subcellular Fraction";"Document ChEMBL ID";"PubMed ID";"DOI";"Year";"Journal";"Volume";"First Page";"Last Page";"Assay Parameters";"Assay Classification L1";"Assay Classification L2";"Assay Classification L3";"Variant Sequence Accession";"Variant Sequence Mutation"
"CHEMBL1023470";"F";"Antibacterial activity against Bacillus cereus ATCC 11778 after 24 hrs by paper disk diffusion technique";"Bacillus cereus";"12";"12";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"ATCC 11778";"Scientific Literature";"1396";"";"";"";"";"CHEMBL1158339";"18603337";"10.1016/j.ejmech.2008.04.010";"2009";"Eur J Med Chem";"44";"2328";"2333";"";"";"";"";"";""
"CHEMBL3423609";"F";"Antibacterial activity against Bacillus cereus TISTR 688 by 2-fold serial dilution method";"Bacillus cereus";"21";"21";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"TISTR 688";"Scientific Literature";"1396";"";"";"";"";"CHEMBL3421562";"25651042";"10.1021/np5008476";"2015";"J Nat Prod";"78";"265";"271";"";"";"";"";"";""
"CHEMBL3282147";"F";"Antimicrobial activity against Bacillus cereus";"Bacillus cereus";"10";"10";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"1396";"";"";"";"";"CHEMBL3272085";"818381";"10.1021/jm00227a004";"1976";"J Med Chem";"19";"587";"600";"";"";"";"";"";""
"CHEMBL975237";"F";"Antimicrobial activity against Bacillus cereus 702 Roma at 10 mg/mL after 18 hrs by agar-well diffusion method";"Bacillus cereus";"23";"23";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"702 Roma";"Scientific Literature";"1396";"";"";"";"";"CHEMBL1138558";"18676062";"10.1016/j.ejmech.2008.06.019";"2009";"Eur J Med Chem";"44";"1057";"1066";"";"";"";"";"";""
"CHEMBL1121209";"F";"Antibacterial activity against Bacillus cereus ATCC 7064 after 18 hrs by broth microdilution assay";"Bacillus cereus";"2";"2";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"ATCC 7064";"Scientific Literature";"1396";"";"";"";"";"CHEMBL1157874";"20163896";"10.1016/j.ejmech.2010.01.035";"2010";"Eur J Med Chem";"45";"1935";"1940";"";"";"";"";"";""
"CHEMBL3083691";"F";"Antimicrobial activity against Bacillus cereus ATCC 11778 assessed as growth inhibition rate at 2.36 mg/l after 72 hr by spectrophotometry";"Bacillus cereus";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"ATCC 11778";"Scientific Literature";"1396";"";"";"";"";"CHEMBL3046951";"14969531";"10.1021/jf034936d";"2004";"J Agric Food Chem";"52";"781";"787";"";"";"";"";"";""
"CHEMBL4155170";"F";"Bactericidal activity against Bacillus cereus after 24 hrs by micro broth dilution method";"Bacillus cereus";"15";"15";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"1396";"";"";"";"";"CHEMBL4152270";"29787914";"10.1016/j.ejmech.2018.05.021";"2018";"Eur J Med Chem";"154";"144";"154";"";"";"";"";"";""
"CHEMBL3056246";"F";"Antibacterial activity against Bacillus cereus RSKK 863 at 1 mg/ml after 24 hr by agar well diffusion method";"Bacillus cereus";"15";"15";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"RSKK 863";"Scientific Literature";"1396";"";"";"";"";"CHEMBL3046947";"None";"10.1007/s00044-009-9177-9";"2010";"Med Chem Res";"19";"120";"126";"";"";"";"";"";""
"CHEMBL3070064";"F";"Antibacterial activity against Bacillus cereus ATCC 10876 assessed as growth inhibition at 25 ug/disk after 24 hr by Kirby-Bauer disk diffusion method";"Bacillus cereus";"7";"7";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"ATCC 10876";"Scientific Literature";"1396";"";"";"";"";"CHEMBL3044696";"None";"10.1007/s00044-012-0371-9";"2013";"Med Chem Res";"22";"3703";"3711";"";"";"";"";"";""
"CHEMBL1017590";"F";"Antimicrobial activity against Bacillus cereus NCIM 2155 after 24 hrs by serial dilution method";"Bacillus cereus";"14";"14";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"NCIM 2155";"Scientific Literature";"1396";"";"";"";"";"CHEMBL1138564";"18718695";"10.1016/j.ejmech.2008.07.004";"2009";"Eur J Med Chem";"44";"976";"980";"";"";"";"";"";""
"CHEMBL3077200";"F";"Antibacterial activity against Bacillus cereus assessed as growth inhibition by serial plate dilution method";"Bacillus cereus";"35";"35";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"1396";"";"";"";"";"CHEMBL3046513";"None";"10.1007/s00044-012-0028-8";"2013";"Med Chem Res";"22";"253";"266";"";"";"";"";"";""
"CHEMBL885791";"F";"Inhibition of biofilm formation in Bacillus cereus at 8 uM after 24 hrs by 96-well polyvinylchloride microtiter plate assay";"Bacillus cereus";"2";"2";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"1396";"";"";"";"";"CHEMBL1139061";"17169556";"10.1016/j.bmcl.2006.11.076";"2007";"Bioorg Med Chem Lett";"17";"1428";"1431";"";"";"";"";"";""
"CHEMBL3411769";"F";"Antibacterial activity against Bacillus cereus ATCC 13061 after 16 to 20 hrs by broth microdilution method";"Bacillus cereus";"9";"9";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"ATCC 13061";"Scientific Literature";"1396";"";"";"";"";"CHEMBL3407479";"25590813";"10.1021/jm501661f";"2015";"J Med Chem";"58";"1380";"1389";"";"";"";"";"";""
"CHEMBL4236204";"F";"Antibacterial activity against Bacillus cereus at 2 mg/ml after 4 to 10 hrs by filter paper dispersion method";"Bacillus cereus";"10";"10";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"1396";"";"";"";"";"CHEMBL4229537";"30119995";"10.1016/j.bmc.2018.07.041";"2018";"Bioorg Med Chem";"26";"4644";"4649";"";"";"";"";"";""
"CHEMBL5139963";"F";"Bactericidal activity against Bacillus cereus ATCC 10987 measured upto 24 hrs by CLSI based broth microdilution method";"Bacillus cereus";"4";"4";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"ATCC 10987";"Scientific Literature";"1396";"";"";"";"";"CHEMBL5137029";"35621995";"10.1021/acs.jnatprod.1c01107";"2022";"J Nat Prod";"85";"1459";"1473";"";"";"";"";"";""
"CHEMBL918854";"F";"Antimicrobial activity against Bacillus cereus by broth microdilution method";"Bacillus cereus";"1";"2";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"1396";"";"";"";"";"CHEMBL1145534";"17210770";"10.1128/aac.01496-06";"2007";"Antimicrob Agents Chemother";"51";"1491";"1493";"";"";"";"";"";""
"CHEMBL4191314";"F";"Antimicrobial activity against Bacillus cereus DSM 4384 assessed as growth inhibition at 20 ug per disc after 24 to 48 hrs (Rvb = 0 millimeter)";"Bacillus cereus";"4";"4";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"DSM 4384";"Scientific Literature";"1396";"";"";"";"";"CHEMBL4190191";"28520428";"10.1021/acs.jnatprod.6b00703";"2017";"J Nat Prod";"80";"1703";"1713";"";"";"";"";"";""
"CHEMBL4191325";"F";"Antimicrobial activity against Bacillus cereus DSM 4313 assessed as growth inhibition at 7 ug per disc after 24 to 48 hrs (Rvb = 0 millimeter)";"Bacillus cereus";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"DSM 4313";"Scientific Literature";"1396";"";"";"";"";"CHEMBL4190191";"28520428";"10.1021/acs.jnatprod.6b00703";"2017";"J Nat Prod";"80";"1703";"1713";"";"";"";"";"";""
"CHEMBL969984";"F";"Antibacterial activity against Bacillus cereus ATCC 10702";"Bacillus cereus";"4";"4";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"1396";"";"";"";"";"CHEMBL1155592";"11000038";"10.1021/np000033s";"2000";"J Nat Prod";"63";"1283";"1285";"";"";"";"";"";""
